,cid
0,6993810
1,17121
2,81006
3,26333
4,106766
5,39742
6,74346
7,61657
8,10931
9,585911
10,6997335
11,5365793
12,105179
13,105758
14,262
15,7127
16,442405
17,20653
18,32809
19,111418
20,29467
21,429065
22,92221
23,7500
24,15271
25,6437163
26,5354776
27,23535
28,251529
29,86882
30,97785
31,5273467
32,89315
33,163414
34,637758
35,16507
36,638122
37,173843
38,307
39,15825653
40,12097
41,53425201
42,13694693
43,71587838
44,6284401
45,62566
46,8106
47,65575
48,15394
49,6970
50,16734862
51,13187
52,7865
53,100938
54,5372813
55,10888889
56,5984
57,2775
58,53422908
59,5365909
60,111727
61,61434
62,106530
63,7895
64,91696
65,13016
66,216442
67,5363201
68,61659
69,92573
70,551316
71,14614417
72,5363291
73,61235
74,74606
75,2723602
76,62661
77,29373
78,8058
79,161675
80,6920
81,44145813
82,7733
83,94373
84,5364579
85,62090
86,18756
87,13237362
88,6232217
89,105050
90,101315
91,77224
92,6428985
93,175481
94,440967
95,68850838
96,532739
97,22556
98,62341
99,7649
100,5283339
101,84328
102,90984
103,125468
104,15225386
105,443159
106,95414
107,13561
108,71587448
109,91337
110,7520
111,108237
112,1213
113,5283292
114,11505
115,7523
116,161936
117,28906
118,3085817
119,8655
120,19802217
121,87436
122,637760
123,2537
124,439263
125,2723627
126,11435490
127,61781
128,6251
129,91457
130,10129
131,16220111
132,102567
133,17100
134,5317319
135,82674
136,14491
137,76334
138,8791
139,6341
140,11126
141,3893
142,643731
143,75515
144,196
145,5367785
146,122943
147,21828
148,6951716
149,5388696
150,5365847
151,6428995
152,1550890
153,536987
154,138166
155,7338
156,10125362
157,20859
158,6430754
159,795
160,73772
161,3018771
162,69346
163,543664
164,5363876
165,285097
166,5320191
167,172844
168,5281168
169,519409
170,5370602
171,5354834
172,10687
173,6951713
174,61997
175,20354
176,102855
177,15717
178,38866
179,556940
180,4685450
181,5284369
182,112226
183,57509241
184,61417
185,369312
186,7798
187,39801
188,23173
189,20836197
190,5280435
191,7601
192,62374
193,5287883
194,84545
195,78640
196,91497
197,519709
198,163263
199,100936
200,12216
201,105513
202,184493
203,6050
204,6438191
205,109183
206,17824126
207,12762300
208,448996
209,11418
210,5366352
211,12101
212,6455496
213,7695
214,77151
215,5376281
216,8792
217,8835
218,77932
219,6429343
220,13420
221,5463914
222,5367767
223,11276107
224,23234
225,14514
226,5363388
227,8432
228,24583
229,168115
