,Abbrev,Long,Category
0,MW,molecular weight, Constitutional indices
1,AMW,average molecular weight, Constitutional indices
2,Sv,sum of atomic van der Waals volumes (scaled on Carbon atom), Constitutional indices
3,Se,sum of atomic Sanderson electronegativities (scaled on Carbon atom), Constitutional indices
4,Sp,sum of atomic polarizabilities (scaled on Carbon atom), Constitutional indices
5,Si,sum of first ionization potentials (scaled on Carbon atom), Constitutional indices
6,Mv,mean atomic van der Waals volume (scaled on Carbon atom), Constitutional indices
7,Me,mean atomic Sanderson electronegativity (scaled on Carbon atom), Constitutional indices
8,Mp,mean atomic polarizability (scaled on Carbon atom), Constitutional indices
9,Mi,mean first ionization potential (scaled on Carbon atom), Constitutional indices
10,GD,graph density, Constitutional indices
11,nAT,number of atoms, Constitutional indices
12,nSK,number of non-H atoms, Constitutional indices
13,nAA,number of aromatic atoms, Constitutional indices
14,nTA,number of terminal atoms, Constitutional indices
15,nBT,number of bonds, Constitutional indices
16,nBO,number of non-H bonds, Constitutional indices
17,nBM,number of multiple bonds, Constitutional indices
18,SCBO,sum of conventional bond orders (H-depleted), Constitutional indices
19,RBN,number of rotatable bonds, Constitutional indices
20,RBF,rotatable bond fraction, Constitutional indices
21,nDB,number of double bonds, Constitutional indices
22,nTB,number of triple bonds, Constitutional indices
23,nAB,number of aromatic bonds, Constitutional indices
24,nH,number of Hydrogen atoms, Constitutional indices
25,nC,number of Carbon atoms, Constitutional indices
26,nN,number of Nitrogen atoms, Constitutional indices
27,nO,number of Oxygen atoms, Constitutional indices
28,nP,number of Phosphorous atoms, Constitutional indices
29,nS,number of Sulfur atoms, Constitutional indices
30,nF,number of Fluorine atoms, Constitutional indices
31,nCL,number of Chlorine atoms, Constitutional indices
32,nBR,number of Bromine atoms, Constitutional indices
33,nI,number of Iodine atoms, Constitutional indices
34,nB,number of Boron atoms, Constitutional indices
35,nHM,number of heavy atoms, Constitutional indices
36,nHet,number of heteroatoms, Constitutional indices
37,nX,number of halogen atoms, Constitutional indices
38,H%,percentage of H atoms, Constitutional indices
39,C%,percentage of C atoms, Constitutional indices
40,N%,percentage of N atoms, Constitutional indices
41,O%,percentage of O atoms, Constitutional indices
42,X%,percentage of halogen atoms, Constitutional indices
43,nCsp3,number of sp3 hybridized Carbon atoms, Constitutional indices
44,nCsp2,number of sp2 hybridized Carbon atoms, Constitutional indices
45,nCsp,number of sp hybridized Carbon atoms, Constitutional indices
46,Fsp3,number of sp3 hybridized carbons/total carbon count, Constitutional indices
47,max_conj_path,maximum number of atoms that can be in conjugation with each other, Constitutional indices
48,nStructures,number of disconnected structures, Constitutional indices
49,totalcharge,total charge, Constitutional indices
50,nCIC,number of rings (cyclomatic number), Ring descriptors
51,nCIR,number of circuits, Ring descriptors
52,TRS,total ring size, Ring descriptors
53,Rperim,ring perimeter, Ring descriptors
54,Rbrid,ring bridge count, Ring descriptors
55,MCD,molecular cyclized degree, Ring descriptors
56,RFD,ring fusion density, Ring descriptors
57,RCI,ring complexity index, Ring descriptors
58,NRS,number of ring systems, Ring descriptors
59,NNRS,normalized number of ring systems, Ring descriptors
60,nSpiro,number of spiro atoms, Ring descriptors
61,nBridgeHead,number of bridgehead atoms, Ring descriptors
62,nR03,number of 3-membered rings, Ring descriptors
63,nR04,number of 4-membered rings, Ring descriptors
