,1p_geranoil_logFC,p01_anisaldehyde_logFC,10p_p2octanol_logFC,1p_pyridine_logFC,p1_isovalericAcid_logFC,1M_nMenthol_logFC,1p_bCaryophyllene_logFC,1p_pLimonene_logFC,p01_tmt_logFC,1p_heptanal_logFC,1p_heptanoicAcid_logFC,1p_2heptanone_logFC,1p_methylSalicylate_logFC,1p_isoamylAcetate_logFC,1p_sbt_logFC,1p_isopropylTiglate_logFC,1p_4methylAC_logFC,10p_tmt_logFC,p1_tmt_logFC,1p_linalool_logFC,100p_tmt_logFC,1p_2m2t_logFC,100p_acetophenone_logFC,1p_2hexanone_logFC,1p_2phenylAlcohol_logFC,1p_ethylTiglate_logFC,1p_indole_logFC,100p_sbt_logFC,100p_ebFarnesene_logFC,1p_pDihydrocarveol_logFC,1p_acetophenone_logFC,1p_guaiacol_logFC,1p_2m2p_logFC,1p_Benzaldehyde_logFC,p1_acetophenone_logFC,1p_dimethyltrisulfide_logFC,1p_ntmt_logFC,p01_acetophenone_logFC,1p_transCinnamaldehyde_logFC,100uM_MTMT_logFC,1p_3methyl1butanethiol_logFC,1p_bDamascone_logFC,1p_pCarvone_logFC,1p_dimethylSulfide_logFC,p01_cyclopentanethiol_logFC,1p_ethylButyrate_logFC,1p_tbm_logFC,1p_tmt_logFC,p01_citral_logFC,1p_paraCresol_logFC,10p_n2octanol_logFC,1M_pMenthol_logFC,1p_butyricAcid_logFC,1p_2e3mp_logFC,1p_2hac_logFC,p01_e2butene1thiol_logFC,1p_nCarvone_logFC,1p_nDihydrocarveol_logFC,p01_sbt_logFC,77p_dhb_logFC,1p_aPinene_logFC,1p_Octanal_logFC,1p_25dmp_logFC,1p_propionicAcid_logFC,1p_diacetyl_logFC,100mM_CPD_logFC,1p_bIonone_logFC,1p_hexylTiglate_logFC,1p_citronellol_logFC,100p_2m2t_logFC,10mM_MTMT_logFC,3mM_androstenone_logFC
Olfr1,-1.06547637646582,-0.0448542419288828,0.0288616128950119,0.0616718210783963,0.834532009518973,0.953998741280416,0.176674172368964,0.238408145158436,-0.540622456388473,-0.0301216754608112,1.63563322336962,-0.0887010681603033,-0.204658223979452,0.390293500410965,0.0025043507943357,0.233814170272956,0.147508910916016,-0.533909593752035,-0.562946210916278,-0.0962764088240782,0.643792580619147,-0.192962319146789,0.696949841947774,0.455023894045406,0.352059260405116,-0.172642528170884,0.361408398019446,1.32664990324752,0.310173850980695,0.0057931648925378,0.18467490162831,-0.150846774883319,0.0256068384735517,-0.211341376773682,-0.0612001693893136,-0.113393982879244,2.56725013590761,1.326367206146,0.0640179750569914,0.350064046639275,0.282915301347697,-0.306794259104092,-0.036712860317889,-0.437408410695939,-0.247662576626626,-0.26706867717336,0.326414500984301,0.164894054393523,0.0845023043369618,0.367884374481325,-0.343529698307841,1.08468202994098,0.085668898336104,0.0567737355678397,0.632265217080488,-0.270101177269714,-0.327860427802524,0.275781216425822,0.100656058081763,0.0028227384922199,-0.0851321001232979,0.233374399998645,0.119538959986913,0.229274300250631,0.431404369951429,0.22192196013001,-0.0383194516846405,0.0668055929108014,-0.0158125044814212,-0.809779141908337,0.456709709115333,-0.197550535668402
Olfr10,1.50740227602243,0.878482340260083,-0.685371227690222,-2.41527722576361,0.780201917993352,-1.09275219456443,-0.185175779738638,0.602716970144021,4.45798226906506,-1.29603556680056,2.59251768928234,-0.165812523515689,0.839418828241579,2.71333708885741,0.298562122519752,0.911210759965912,-0.372415737786826,5.38998902726536,5.83839342089268,1.67623506684079,-1.5319473386891,1.57121452944447,-0.0289536024538409,0.834944455185475,0.200993113690946,1.42007916730169,-0.577815223373845,-0.953526918389468,-0.27119962920258,-1.55080470721862,-1.77060843740084,1.75409520332431,-0.160173989123767,-0.433615663304411,0.382056564615913,-0.231751348908849,0.536540690909894,-0.986372054906408,-0.602323370439359,-0.341891415578239,0.0175830738784919,-0.357232878079105,0.0159688447048792,-0.364040349156911,-0.301051218666923,-0.770617496851475,-2.09211134999381,-3.02004286609653,0.433166156348984,0.411616206822846,-0.798422732675084,-0.533457244066675,-0.37267207825754,1.11215217144723,-0.226846780317805,-0.457734346617714,-0.101162955018415,-0.756559805964945,1.79292880766001,-0.690031001695516,0.547820343882612,-0.473341187222764,0.206485357705865,1.12409171540208,-0.514605609849618,0.578357146252356,1.46858430893299,1.19593190394835,-0.326930310117816,0.674534950124559,-0.0719085912480447,2.09767045614642
Olfr1009,0.501043140679915,-0.0442379733277322,2.84324604658805,0.49442678533032,0.239356753096992,0.265745060491003,0.019942558316069,0.0950932330364451,-0.0647081601204928,0.214855502362802,1.42603713362129,0.164919027086152,-0.120133636492279,0.0604957743271329,0.421154517934483,0.190181425227803,-0.0664294057756592,-0.431948624951032,0.119719103751902,0.994517977291172,-0.561395623397715,-0.466678483606704,1.52904900373286,0.408677071266564,0.251390185023659,-0.140391257754238,-0.250149882245409,1.40488703212277,1.21918871497072,0.696200390195674,0.45817829762533,-0.546351359460126,-0.359636379807836,0.0954902491417096,0.746449605999481,0.189410846581914,0.292768950218556,1.07265830175829,-0.340895994912825,0.312519603122729,0.336014508882926,-0.121438164042187,0.18271378024499,0.272746030563096,-0.613433124123891,0.29363188676346,0.209300539331482,-0.376130066416736,0.264608801637566,0.435245733935565,3.41998732472777,0.424883751005381,-0.102417664375495,-0.581270389026233,0.495098650107202,0.193318536399132,0.0203605540740336,0.432115624182352,0.0315936818259503,-0.200399957736172,-0.471173017600516,-0.494741890838287,0.212146230793341,0.292820079977156,0.563798690239509,1.06147481967607,0.10106470756013,0.22041286734004,-0.403071252403502,0.0271121341490443,0.565569789697909,-0.603916018335111
Olfr1012,-0.848419162359993,-0.221690406544688,-0.163755555336422,0.318849621994469,0.466419762803138,-0.405527286480591,0.234485656541912,0.228617562129656,-0.636991203505797,0.0554237518824246,0.63405917882279,-0.274058326091425,-0.665715168583228,0.204164513731573,1.51792506468791,-0.198822792498934,0.180885075748417,-0.562285991380423,-0.32435363579838,-0.793091888155677,0.166127999566198,-0.300950360691482,-0.0219028371852062,0.124143370774629,0.0046214361434039,0.0507986490291863,0.109248009167976,1.76433520415173,1.17943238391015,-0.174521743297415,-0.437318412400221,-0.104055163007368,-0.380695096364285,0.0239296584930529,-0.0254639481585388,-0.193661830567656,2.03493722721806,0.398505370041251,-1.13031532800477,-0.0775735422205434,0.160420799459696,-0.832344611311238,0.23809141012831,-0.155331475261583,-0.351608133676739,-0.505900050205424,-0.490523881667508,-0.331899209227051,-0.191257752627717,-0.0420782546636857,-0.232313081458098,-1.04675038152149,-0.144628479880637,0.776068470900613,0.167005863085247,-0.260259226702091,-0.0052927882898318,0.253656334537699,0.0861604458207011,-0.205385724584403,-0.223243514424071,0.0063110766048268,2.0198835500011,0.688792713602433,0.204059014973368,-0.34690402007676,-0.221529897783868,-0.24527836256238,-0.198418307253781,0.15018556221325,-0.777718029970003,-0.791486043607314
Olfr1013,-1.42805270691317,-0.037067848633411,0.122737109800839,-0.336616255552877,0.234129242287623,-0.0356242444089754,0.73328362850133,0.037003241946921,-0.228405009100621,-0.236959777416421,0.769195478659516,-0.389410903305768,-0.360048014054804,-0.018488548536405,0.627835967241656,-0.235994755239493,0.11858829007112,-0.52503033328922,-0.0157145244926567,-0.29616649050679,-0.591316464121907,0.0717193675904782,-0.233027061186758,0.106815640157981,0.197876674398656,-0.530128596734071,-0.185849529030392,0.79127475285063,0.06236931130448,0.307545006873505,0.308529994104528,0.334592488896201,-0.290839893824334,0.0133044530615779,0.121668943451371,-0.0402634401726554,0.752861586475144,0.392947681281519,-0.445122140588113,0.224687260636201,0.370169224710048,0.24529752655828,-0.290664116757526,-0.294623440811238,-0.629522039197579,-0.222054883921876,-0.206045400518474,0.04859293199698,-0.128860147718141,0.319242163560877,-0.117402859118173,-0.521956753025856,-0.258374300412128,2.00267045091932,0.28776639116287,0.074275414699958,-0.256299610016038,-0.043671617176737,0.0497190687833462,-0.103591861447934,0.113998428306099,0.428174217161506,1.86495753440809,-0.0393594976653065,0.0551873688802016,0.0417604108469974,-0.0388626020862392,0.0425469477019522,0.352362359367585,-1.84326852913269,0.225038205773892,-0.502578040228019
Olfr1014,-0.452407438714413,-0.367190717337775,0.261532238556698,-0.0393520651526858,0.340640102242518,0.048090207132113,0.531724317717669,0.372989037232569,-0.494722553596589,0.609527293879924,1.22123754745414,-0.330321355943806,-0.216328780678637,0.0789263682572481,-0.0268571301490575,-0.247469669933273,-0.560010201250074,-0.252900335605326,-0.0472828992286292,0.282657377132064,-0.765850036238158,-0.165107690644506,-0.294374472090544,0.219458026229471,0.183704937069239,-0.369101767963225,0.420944264416321,0.0238689995316296,0.23107006280997,0.506115341405493,-0.211542446502573,-0.505326739243396,-0.326579338305539,-0.0172596449333293,0.63306603296614,0.333104158479366,-0.144190322150159,-0.276492330980938,-0.158109907777407,0.247455929772342,0.294363387935557,0.0219964538466649,0.201791781349658,1.0162285964764,-0.0866788019157133,0.716003341095007,0.0020315038845175,-0.275230452375378,-0.51372945943418,0.187710979072149,-0.0753190109343569,-0.367683790033558,0.241088335522372,0.450381004557545,0.443521151958829,0.0584795998117242,-0.341609062373265,0.504147758529267,0.183605886700171,0.360053794606653,0.397817868000916,-0.365850951614678,1.36267541611425,0.638585775992983,0.677576753288037,-0.100976052991952,0.703346570197527,0.0891497272254659,-0.0273268626360655,-0.950235473744354,0.305869294471741,-0.137880093969037
Olfr1015,0.494651662804526,0.0093078540679494,0.142667379310553,-0.210054332610785,0.642508521540921,-0.322981745976955,0.478228330758439,0.722268825627457,-0.459845910917769,0.327235042038467,1.0732617183422,-0.265014114173025,-0.0960739102389985,0.158718224863521,0.022124666402482,0.560490388132524,-0.378803828484667,0.0526993376099211,-0.0651687061836652,0.01232650721312,0.310324882561681,-0.655625923016278,0.0639125080935705,-0.0921820150945072,0.0546517440495782,0.281422437317819,0.356375812240173,-0.145299528195847,0.0504466809438456,0.118712826497701,0.608151820784352,-0.664729973104263,-0.214601859231937,-0.281512028227086,0.170425267807954,-0.0098424011725899,0.73685096075482,0.460404524804857,-0.603334130330889,0.38819205982688,0.0451215335546855,-0.241071383911937,0.373264339618876,0.826471068545367,-0.306833994899557,-0.2674834412657,0.0495289598649956,0.359976815224462,0.0361831246543353,0.41768130334956,-0.149641136349181,0.121099475534883,0.331043352229546,1.51856634493568,0.478589627074252,-0.506493455832064,0.0250818689494186,0.139680490436891,0.247929256813243,0.100198241483177,0.289299877980579,0.186860907730197,0.33812240204636,0.851525931235192,-0.0742631431293378,0.447087235809398,0.0967351111179617,-0.0658796934918077,-0.417364905567221,-1.42607772815002,-0.380948905899227,0.0084585521132434
Olfr1016,-1.0169161903181,-0.338236197146063,0.591031776894219,-0.831588998938245,0.214086294721801,0.774622687248693,0.314615553610339,0.685998586243568,0.243179738300355,0.698804411733887,1.08250389299538,0.016367612342247,0.30639762889975,0.0891076788587695,0.239076574422313,-1.13273372709382,-0.226032060654297,-0.646275744735815,0.0894842976906774,0.951021446338364,-0.565561346815659,0.326024329732555,-0.709684675914395,0.0312293415472229,0.221250967647478,0.803850900001696,0.575625445780702,-0.339034981266566,-0.0993999731399453,-0.699331505162452,0.0789554486054478,0.499320370541317,-0.693441115008032,-0.923882568203565,0.176107935895041,-0.0347218061087999,0.187374774271286,-0.387309562729164,0.0551777652941286,-0.0712115274905685,0.0497388828867171,-0.070977403560118,-0.541459139247225,0.346921254153512,-0.50020440615736,-0.414408175580603,-0.410478991992495,0.242331835413172,-0.210900563463651,0.178816470121355,0.0755792603528895,0.417191272348041,0.318886933466405,1.97852158301082,0.811897144085203,-0.18720178942181,-0.79720014278756,0.0397275076282307,-0.25494415662501,0.726919748370836,0.4077068658303,-0.288030645784904,0.894411950697978,-0.189036195726945,0.0922925343061038,0.775845992306027,-0.131384721178775,-0.611550935521306,0.370635456404553,-2.2535059298781,-1.98499930770482,-0.490998561070369
Olfr1019,-0.272755783358546,-0.158099396334556,0.285726339637749,0.389510373831639,-0.102077401017459,-0.163285239792659,0.648591865945281,-0.27061603935895,0.0294752150553879,-0.249405462025939,1.00100752728093,-0.211243803049204,-0.0987123928658456,-0.260809155958434,0.179364893556037,0.662952035940011,0.0736284350536262,0.214188476425852,0.403873894370981,-0.462569471799192,-0.0026501401865897,0.868159254190152,0.420508836443891,-0.506334754361333,0.15051463985627,-0.749050067800576,0.06543136145549,1.26997070630993,0.584322061922284,-0.0419749937387154,0.320073778204842,-0.241806131381456,-0.0954484734699265,0.17083630654541,0.200421278109699,0.296208468968394,-0.111688591774152,-0.239704823799563,0.114727658919595,0.669190515046305,-0.307648874807995,-0.211848080079359,0.697258475503095,0.307341901103411,-0.946256284292374,-0.103781732510771,-0.0305311511404682,0.0589370719018674,0.0178693380293509,0.448717021501946,0.144472996531461,-0.536936763660715,-0.148925152446096,0.166222958620728,0.310513059775842,-0.667674180469392,0.0041337725972155,-0.0707005665215244,-0.0229055688076823,0.0914399134330713,-0.237991559475288,0.156366670292946,0.352975608069489,-0.144949932026993,0.496649154407685,0.739723395466772,0.601050952230385,0.62815714781939,-0.0681476307134976,0.533965584283101,0.555884969346292,-0.246983730771806
Olfr102,-0.223658340237701,0.321779551534655,1.05119036894496,0.532370877945225,0.408940253622945,-0.48617381928411,-0.404743422319739,-0.205305690206162,0.374604983443634,0.16810839996218,0.93603030529866,0.147855298521258,-0.296025570414087,0.399833674141994,-0.0272605030737186,-0.287969617295322,-0.338134528728227,-0.0561719020232886,0.279062234816488,-0.453013611017018,-0.529206500128461,0.432229791939383,0.452156717442161,0.543892194992544,0.575035642433215,-0.381574281004288,0.155075660838877,0.778671339763139,0.109292999842413,-0.25797738313869,-0.165818754097502,0.364603532140751,0.136331746239103,0.0764975165945001,-0.0415063861993459,-0.368321523348556,0.0813131768753368,-0.599394133859001,0.474858294415629,-0.0201317078819134,-0.189401519918782,-0.0294567422221241,-0.0868338367766916,0.166179009736322,-0.337465736036296,-0.206053417030637,0.12084356837134,-1.21301741124134,0.0873132096909019,1.25020299992812,0.781499484047617,-0.429928541839906,0.207224059621551,-0.0597610575912761,0.415512048957872,-0.750067914122122,-0.885979422606798,0.731868367298958,0.144076595134716,0.707771814430477,-0.0640989294853334,0.237858764020765,-0.0856035453980592,0.0461578886021733,0.623914475618272,0.0291288162862459,0.291224852662572,0.271293753235504,-0.068876742073065,-1.5718722016729,0.24947250257124,-0.0902563589003092
