,symbol,logFC,FDR,cid
0,Olfr1,-0.211341376773682,1.0,240
1,Olfr1009,0.0954902491417096,1.0,240
2,Olfr1012,0.0239296584930529,1.0,240
3,Olfr1013,0.0133044530615779,1.0,240
4,Olfr1014,-0.0172596449333293,1.0,240
5,Olfr1015,-0.281512028227086,1.0,240
6,Olfr1016,-0.923882568203565,1.0,240
7,Olfr102,0.0764975165945001,1.0,240
8,Olfr1023,0.450672918867805,1.0,240
9,Olfr1029,-0.686407822713085,1.0,240
10,Olfr1030,-0.278362415908135,1.0,240
11,Olfr1044,-0.242366280113399,1.0,240
12,Olfr1047,0.144757672895599,1.0,240
13,Olfr1054,-0.250390174628454,1.0,240
14,Olfr1056,0.0699777728547931,1.0,240
15,Olfr1079,-0.408101730222049,1.0,240
16,Olfr1082,0.247474678341475,1.0,240
17,Olfr1085,0.404603273166668,1.0,240
18,Olfr1090,0.304029674261302,1.0,240
19,Olfr1093,0.396144078400434,1.0,240
20,Olfr1094,0.104367593853592,1.0,240
21,Olfr1097,0.379338317520743,1.0,240
22,Olfr11,0.490805413307997,1.0,240
23,Olfr110,0.0545830289863359,1.0,240
24,Olfr1107,-0.0575537831954497,1.0,240
25,Olfr111,-0.179323622610666,1.0,240
26,Olfr1110,0.185803484372043,1.0,240
27,Olfr1113,-0.164811132610884,1.0,240
28,Olfr1115,-0.139412447348342,1.0,240
29,Olfr1116,0.592292114520852,1.0,240
30,Olfr112,0.19188866046838,1.0,240
31,Olfr1121,-0.0918879935781562,1.0,240
32,Olfr1123,0.525338021278927,1.0,240
33,Olfr1129,-0.527022543350659,1.0,240
34,Olfr1131,-0.14214051867215,1.0,240
35,Olfr1132,-0.0545311853066025,1.0,240
36,Olfr1133,-0.338335623910298,1.0,240
37,Olfr1134,-1.05767735196142,1.0,240
38,Olfr1135,-0.410293627226864,1.0,240
39,Olfr1138,0.229308759595225,1.0,240
40,Olfr114,-0.711904201006271,1.0,240
41,Olfr1152,-0.664655916973824,1.0,240
42,Olfr1153,-0.8593795385238,1.0,240
43,Olfr1155,0.592584654239158,1.0,240
44,Olfr1160,0.515369951205951,1.0,240
45,Olfr1168,-0.355175541479422,1.0,240
46,Olfr1179,0.615465144030847,1.0,240
47,Olfr1180,-0.229952322299519,1.0,240
48,Olfr1183,0.0034631686146443,1.0,240
49,Olfr1193,0.165581067339851,1.0,240
50,Olfr1199,0.133223362340743,1.0,240
51,Olfr12,-0.170144437706162,1.0,240
52,Olfr1204,0.0015035239663615,1.0,240
53,Olfr1205,0.0728720729220657,1.0,240
54,Olfr1206,-0.436861847235956,1.0,240
55,Olfr1209,-0.156744862751198,1.0,240
56,Olfr1215,-0.461682338207518,1.0,240
57,Olfr1217,0.0169075930132862,1.0,240
58,Olfr1219,0.13399207987934,1.0,240
59,Olfr122,0.184428605719679,1.0,240
60,Olfr1220,-0.126788267053749,1.0,240
61,Olfr1223,0.273064085787221,1.0,240
62,Olfr1228,0.150992798259998,1.0,240
63,Olfr123,0.170962726448296,1.0,240
64,Olfr124,0.0871779185301808,1.0,240
65,Olfr1242,0.260056579701258,1.0,240
66,Olfr1243,-0.189056710309013,1.0,240
67,Olfr1246,-0.400675579939205,1.0,240
68,Olfr1254,-0.0394060136105244,1.0,240
69,Olfr1255,-0.061658966391751,1.0,240
70,Olfr1256,-0.115409946611977,1.0,240
71,Olfr1257,-0.337123766656637,1.0,240
72,Olfr1258,0.195877232743164,1.0,240
73,Olfr1259,-0.191730049475759,1.0,240
74,Olfr1265,0.216486077700384,1.0,240
75,Olfr1269,0.0346314869583002,1.0,240
76,Olfr1270,0.99145374793908,0.7071161339625,240
77,Olfr1272,1.70690126095403,0.571528806143539,240
78,Olfr1274,-0.115766402016809,1.0,240
79,Olfr1275,0.230422436503016,1.0,240
80,Olfr1280,0.543396235022607,1.0,240
81,Olfr1284,1.1468071700566,1.0,240
82,Olfr1286,0.229350907806839,1.0,240
83,Olfr1290,0.0371469849653367,1.0,240
84,Olfr1294,-0.169073171640343,1.0,240
85,Olfr1295,0.0507789776396133,1.0,240
86,Olfr1297,-0.218699999680423,1.0,240
87,Olfr1299,-0.192808507914334,1.0,240
88,Olfr13,0.158981616491241,1.0,240
89,Olfr1301,-0.215439306526409,1.0,240
90,Olfr1302,-0.090137987078755,1.0,240
91,Olfr131,0.0393427285765775,1.0,240
92,Olfr1312,0.260680117047056,1.0,240
93,Olfr132,0.124387778656274,1.0,240
94,Olfr133,0.20879708726115,1.0,240
95,Olfr1333,-0.206986958914857,1.0,240
96,Olfr1339,2.67797979464619,1.37833610716464e-14,240
97,Olfr1340,1.50784272068865,0.0478977390557739,240
98,Olfr1341,1.67121180938478,4.11236104350624e-08,240
99,Olfr1342,-0.368106936125822,1.0,240
100,Olfr1352,-0.169861125035036,1.0,240
101,Olfr1353,-0.276997392089277,1.0,240
102,Olfr1357,-0.281088367921819,1.0,240
103,Olfr1359,0.412505977732375,1.0,240
104,Olfr136,0.507820113854716,1.0,240
105,Olfr1360,0.231177454524677,1.0,240
106,Olfr1362,0.0306398305803282,1.0,240
107,Olfr1364,-0.211072555943919,1.0,240
108,Olfr1370,0.117918007700262,1.0,240
109,Olfr1377,0.449132545421522,1.0,240
110,Olfr138,-0.0186056378413362,1.0,240
111,Olfr1380,0.255175680239484,1.0,240
112,Olfr1381,-0.139933542411805,1.0,240
113,Olfr1382,0.11972932661014,1.0,240
114,Olfr1383,0.484735460894679,1.0,240
115,Olfr1384,0.462773950220821,1.0,240
116,Olfr1386,0.310031997632634,1.0,240
117,Olfr1388,-0.359999632868525,1.0,240
118,Olfr1393,0.146623616882358,1.0,240
119,Olfr1394,0.0535572927882841,1.0,240
120,Olfr1395,0.0180646017456929,1.0,240
121,Olfr1396,0.227923060906312,1.0,240
122,Olfr141,0.0703042552459342,1.0,240
123,Olfr1411,0.0018645184680111,1.0,240
124,Olfr1416,0.46929619528569,1.0,240
125,Olfr1419,-0.700904587834748,1.0,240
126,Olfr1427,0.292371489260906,1.0,240
