,nAA,nBM,nAB,nN,N%,nCsp2,max_conj_path,RCI,NRS,NNRS,nR06,ARR,AP,D/Dtr06,Qindex,PCD,GATS8m,GATS8v,GGI4,P_VSA_LogP_5,P_VSA_MR_6,P_VSA_e_3,P_VSA_i_4,P_VSA_ppp_ar,P_VSA_ppp_con,P_VSA_ppp_cyc,P_VSA_charge_4,HOMA,CMBL,AROM,nRCOOR,nRCHO,nOHs,nSH,nPyrazines,C-025,C-028,C-036,O-060,S-106,SsSH,NsSH,minsSH,MaxsSH,T(N..N),B01[C-N],B02[C-N],B03[N-N],B07[C-O],F01[C-N],F02[C-N],F03[C-N],F03[C-O],F03[N-N],F07[C-O],G(N..N),Uc,Ui,MDEC-33,MDEO-12,MDEN-22,nLevel6,phLevel1,s4_numSharedNeighbors,s4_numRotBonds
240,6,7,6,0,0.0,7,8,1.0,1,1.0,1,0.75,0.75,22.4571428571429,4,1.39981146304772,0.0,0.0,0.151111111111111,3.18557495074005,50.5668123178907,0.0,0.0,50.5668123178907,87.1358892052808,50.5668123178907,0.0,0.830971627690449,1.39496050840158,0.999877478963739,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,3.0,2.32192809488736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0,1,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,1,0.204794412646013,0.0,0.0,0.0,0.0,0.909874472903056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,0,1,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.160342650075179,0.988320352775944,0.724956866288193,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,6,6,6,0,0.0,6,6,1.0,1,1.0,1,0.666666666666667,0.666666666666667,26.3238095238095,5,1.24009144771847,0.0,0.0,0.262222222222222,16.2433159821907,54.031475394039,0.0,0.0,43.1484179883047,43.1484179883047,43.1484179883047,0.0,0.987746053545147,1.394979114539,0.999883504394485,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,0,0.0,2.8073549220576,2.0,1.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0
650,0,2,0,0,0.0,2,4,0.0,0,0.0,0,0.0,0.0,0.0,2,0.405465108108164,0.0,0.0,0.0,0.0,10.2669546645646,0.0,0.0,0.0,60.5568087294002,0.0,0.0,-0.551156256827654,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,1.58496250072116,1.58496250072116,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1049,6,6,6,1,9.09090909090909,5,6,1.0,1,1.0,1,1.0,1.0,14.4,3,1.22288075488865,0.0,0.0,0.0,18.0948401524302,28.4287424202904,16.7855295481303,16.7855295481303,63.3091121208509,63.3091121208509,63.3091121208509,0.0,0.988915005194246,1.39049973031281,0.964466300109138,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,1,0,0,2,2,1,0,0,0,0.0,2.8073549220576,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2879,6,6,6,0,0.0,6,6,1.0,1,1.0,1,0.75,0.75,22.1333333333333,5,1.23011616430553,0.0,0.0,0.302222222222222,3.18557495074005,41.0905648444606,0.0,0.0,41.0905648444606,41.0905648444606,41.0905648444606,0.0,0.987929304951,1.39490011470356,0.999859765236616,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,2.8073549220576,2.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
4133,6,7,6,0,0.0,7,8,1.0,1,1.0,1,0.545454545454545,0.545454545454545,34.9428571428571,6,1.35083346288779,0.0,0.0,0.382222222222222,14.1854628383465,59.1649527263213,0.0,0.0,41.0905648444606,73.4268223530048,41.0905648444606,0.0,0.825349210323536,1.39495521433485,0.999885955340283,0,0,0,0,0,1,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,0,0,0.0,3.0,2.32192809488736,2.3811015779523,0.707106781186548,0.0,0.0,0.0,0.0,0.0
6054,6,6,6,0,0.0,6,6,1.0,1,1.0,1,0.666666666666667,0.666666666666667,26.8857142857143,4,1.20413726448583,0.0,0.0,0.151111111111111,3.18557495074004,50.5668123178907,0.0,0.0,50.5668123178907,50.5668123178907,50.5668123178907,0.0,0.987723048317278,1.39499210750456,0.999874565977241,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0.0,2.8073549220576,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6387,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.563628990611,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,4.12268518518519,1,4.12268518518519,4.12268518518519,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6549,0,2,0,0,0.0,4,0,0.0,0,0.0,0,0.0,0.0,0.0,4,0.439698279750407,0.472662802062346,0.539151161611558,0.24,3.18557495074005,18.9524949468603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,1.58496250072116,1.58496250072116,0.0,0.0,0.0,0.0,1.0,0.0,2.0
6654,0,1,0,0,0.0,2,0,1.42857142857143,1,0.5,2,0.0,0.0,48.8761904761905,12,0.346431576523972,0.0,0.0,0.444444444444444,3.18557495074005,3.18557495074005,0.0,0.0,0.0,0.0,17.7308859025702,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.65096362444731,0.0,0.0,0.0,0.0,2.5,0.0
