"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s1",0.97824890195557,1.12034318084658,0.974096029212237,0.000514811537299696,0.957967775918142,0.00154162655958502,0,1811,1811,1811
"s2",0.958960889017711,2.10114360521466,0.49387510948251,0.00770094309506784,0.436754924897458,0.0153775014763675,0.003003003003003,765,54,85
"s3",0.948405672668415,2.62936744877356,0.438463106520352,0.00832230002360632,0.346739610885787,0.0166689970339284,0.00600600600600601,584,27,27
"s4",0.941448330065355,2.97535405840476,0.400718781989006,0.00875134557284784,0.322332384562956,0.0171301423178317,0.00900900900900901,441,22,19
"s5",0.936559074038226,3.21863800007593,0.356070631456268,0.00912945875952038,0.292918211986658,0.0175691802013532,0.012012012012012,388,8,14
"s6",0.932015666517903,3.44310736990485,0.344749123783725,0.00936799188415162,0.254388201162664,0.0179599457981142,0.015015015015015,347,7,7
"s7",0.928872464366981,3.60000744941913,0.324659994931511,0.00962697141860059,0.237531115458357,0.0182156245280498,0.018018018018018,303,4,4
"s8",0.925418580288051,3.77020013520419,0.248065419637373,0.00988580110895992,0.198755801227222,0.0184536212187134,0.021021021021021,287,3,2
"s9",0.922422116730899,3.91792159530472,NA,0.0100049274502353,0.179522814106685,0.0186121036992153,0.024024024024024,255,0,1
"s10",0.919879211940809,4.04411070197751,NA,0.0100049274502353,NA,0.0186355445116958,0.027027027027027,246,0,0
"s11",0.917827128619612,4.14714741503847,NA,0.0100049274502353,NA,0.0186355445116958,0.03003003003003,225,0,0
"s12",0.915786116309007,4.24922526435934,NA,0.0100049274502353,NA,0.0186355445116958,0.033033033033033,226,0,0
"s13",0.913926174452051,4.34276456538772,NA,0.0100049274502353,NA,0.0186355445116958,0.036036036036036,209,0,0
"s14",0.912287992758232,4.42609877048759,NA,0.0100049274502353,NA,0.0186355445116958,0.039039039039039,196,0,0
"s15",0.910731242746869,4.50528691538253,NA,0.0100049274502353,NA,0.0186355445116958,0.042042042042042,196,0,0
"s16",0.90930963096417,4.57850715632612,NA,0.0100049274502353,NA,0.0186355445116958,0.045045045045045,181,0,0
"s17",0.907971141460466,4.64787353818622,NA,0.0100049274502353,NA,0.0186355445116958,0.048048048048048,170,0,0
"s18",0.906919899194873,4.70427035524115,NA,0.0100049274502353,NA,0.0186355445116958,0.0510510510510511,164,0,0
"s19",0.905832571255755,4.76242076422234,NA,0.0100049274502353,NA,0.0186355445116958,0.0540540540540541,162,0,0
"s20",0.904745985720418,4.82056816605129,NA,0.0100049274502353,NA,0.0186355445116958,0.0570570570570571,164,0,0
"s21",0.903674980438515,4.87813180334435,NA,0.0100049274502353,NA,0.0186355445116958,0.0600600600600601,155,0,0
"s22",0.902654168295346,4.93342260456776,NA,0.0100049274502353,NA,0.0186355445116958,0.0630630630630631,155,0,0
"s23",0.901527359939381,4.99329683963941,NA,0.0100049274502353,NA,0.0186355445116958,0.0660660660660661,151,0,0
"s24",0.90045449418391,5.0508720145591,NA,0.0100049274502353,NA,0.0186355445116958,0.0690690690690691,147,0,0
"s25",0.899503735991077,5.10293788766377,NA,0.0100049274502353,NA,0.0186355445116958,0.0720720720720721,149,0,0
"s26",0.89836351246854,5.16340292018121,NA,0.0100049274502353,NA,0.0186355445116958,0.0750750750750751,144,0,0
"s27",0.897317495886838,5.21950161137906,NA,0.0100049274502353,NA,0.0186355445116958,0.0780780780780781,143,0,0
"s28",0.896226885899047,5.27770778829371,NA,0.0100049274502353,NA,0.0186355445116958,0.0810810810810811,140,0,0
"s29",0.89514720675947,5.33535197309705,NA,0.0100049274502353,NA,0.0186355445116958,0.0840840840840841,139,0,0
"s30",0.894069943917339,5.39282679645493,NA,0.0100049274502353,NA,0.0186355445116958,0.0870870870870871,139,0,0
"s31",0.892861878665557,5.4557860740247,NA,0.0100049274502353,NA,0.0186355445116958,0.0900900900900901,138,0,0
"s32",0.891805859313766,5.51217573538926,NA,0.0100049274502353,NA,0.0186355445116958,0.0930930930930931,134,0,0
"s33",0.890755859316572,5.56830428010569,NA,0.0100049274502353,NA,0.0186355445116958,0.0960960960960961,127,0,0
"s34",0.889904868375466,5.61607885558274,NA,0.0100049274502353,NA,0.0186355445116958,0.0990990990990991,124,0,0
"s35",0.888938521334021,5.66857749496715,NA,0.0100049274502353,NA,0.0186355445116958,0.102102102102102,124,0,0
"s36",0.888106866335718,5.71561084933713,NA,0.0100049274502353,NA,0.0186355445116958,0.105105105105105,122,0,0
"s37",0.887155372403612,5.76761620201295,NA,0.0100049274502353,NA,0.0186355445116958,0.108108108108108,121,0,0
"s38",0.886285756700032,5.81616006274941,NA,0.0100049274502353,NA,0.0186355445116958,0.111111111111111,119,0,0
"s39",0.885463123071493,5.86270047958113,NA,0.0100049274502353,NA,0.0186355445116958,0.114114114114114,113,0,0
"s40",0.884727156635359,5.90576118773638,NA,0.0100049274502353,NA,0.0186355445116958,0.117117117117117,112,0,0
"s41",0.88396147800986,5.95009926733775,NA,0.0100049274502353,NA,0.0186355445116958,0.12012012012012,110,0,0
"s42",0.883218127246372,5.99340789490708,NA,0.0100049274502353,NA,0.0186355445116958,0.123123123123123,107,0,0
"s43",0.882550800928824,6.03381891744221,NA,0.0100049274502353,NA,0.0186355445116958,0.126126126126126,104,0,0
"s44",0.881888517647424,6.07423134318515,NA,0.0100049274502353,NA,0.0186355445116958,0.129129129129129,102,0,0
"s45",0.881204997426512,6.1155954585275,NA,0.0100049274502353,NA,0.0186355445116958,0.132132132132132,99,0,0
"s46",0.88055817611245,6.15530742071402,NA,0.0100049274502353,NA,0.0186355445116958,0.135135135135135,97,0,0
"s47",0.879953343267461,6.19345835352146,NA,0.0100049274502353,NA,0.0186355445116958,0.138138138138138,96,0,0
"s48",0.87937606353255,6.23055244310313,NA,0.0100049274502353,NA,0.0186355445116958,0.141141141141141,95,0,0
"s49",0.878728077667267,6.270543880855,NA,0.0100049274502353,NA,0.0186355445116958,0.144144144144144,95,0,0
"s50",0.878102580682983,6.30969557874822,NA,0.0100049274502353,NA,0.0186355445116958,0.147147147147147,94,0,0
"s51",0.877405710086682,6.35184248797263,NA,0.0100049274502353,NA,0.0186355445116958,0.15015015015015,94,0,0
"s52",0.876790959408659,6.39064717845822,NA,0.0100049274502353,NA,0.0186355445116958,0.153153153153153,94,0,0
"s53",0.876167620326998,6.42979452385022,NA,0.0100049274502353,NA,0.0186355445116958,0.156156156156156,93,0,0
"s54",0.875529579424469,6.46971631133625,NA,0.0100049274502353,NA,0.0186355445116958,0.159159159159159,92,0,0
"s55",0.874920064584916,6.50852750700762,NA,0.0100049274502353,NA,0.0186355445116958,0.162162162162162,89,0,0
"s56",0.87426523513333,6.54922017143557,NA,0.0100049274502353,NA,0.0186355445116958,0.165165165165165,87,0,0
"s57",0.873644486203417,6.58856480782254,NA,0.0100049274502353,NA,0.0186355445116958,0.168168168168168,87,0,0
