"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda"
"s1",0.724163587388134,12.3753336496405,0.399906048962901,0.00840491411572818,0.295819980394853,0.0170047763125563,0
"s2",0.723736322078882,12.3920405575143,0.39028225912652,0.00848241961020353,0.291662982425336,0.0170519776458962,0.003003003003003
"s3",0.723220321036741,12.4125851327111,0.387925009499039,0.00850209401414485,0.289675752460191,0.0170750800185414,0.00600600600600601
"s4",0.722716945307097,12.4329369614166,0.386075340420272,0.00851788678768752,0.288156152986029,0.0170929190247688,0.00900900900900901
"s5",0.722244447945951,12.4523389705557,0.384732813512154,0.00852967605415375,0.286896840486914,0.0171078300156326,0.012012012012012
"s6",0.721802372025649,12.4707746481663,0.383454539530114,0.00854105585025715,0.285816007815393,0.0171207400232214,0.015015015015015
"s7",0.721383142309769,12.4885091816958,0.38239044730858,0.00855073657943845,0.284858491417109,0.0171322806297875,0.018018018018018
"s8",0.720987427446005,12.505499125371,0.381453613601093,0.00855940109556004,0.283985102078758,0.0171429043301704,0.021021021021021
"s9",0.720606048651749,12.5220761852279,0.380517683713957,0.00856816492524854,0.283180833701876,0.017152784098163,0.024024024024024
"s10",0.720226742725175,12.5387188645548,0.379688436035634,0.00857610413976929,0.282462127003708,0.0171617300692269,0.027027027027027
"s11",0.719903692255054,12.5533361532118,0.378935750781827,0.00858343739615516,0.281819295087242,0.0171698308135624,0.03003003003003
"s12",0.719595428846235,12.5674909892795,0.378225896691934,0.00859046142971264,0.281211826627322,0.0171775561186216,0.033033033033033
"s13",0.71928816689864,12.5817104413714,0.377539699517474,0.00859736509515316,0.280620695358158,0.0171851459024048,0.036036036036036
"s14",0.718988086997859,12.595750808418,0.37691011169553,0.00860380918620738,0.280089396743415,0.0171920479024794,0.039039039039039
"s15",0.718697012272832,12.6095296065892,0.376311078522303,0.00861003244105021,0.279585294961919,0.0171986567041186,0.042042042042042
"s16",0.718407151831437,12.6233509006567,0.375739546413259,0.0086160575118112,0.279105493472902,0.0172050029007663,0.045045045045045
"s17",0.718127147672661,12.63686618642,0.375192868942775,0.00862190389131568,0.278647057574216,0.0172111192315228,0.048048048048048
"s18",0.71785063826308,12.6503186507439,0.37466874189685,0.00862758842696895,0.27820719174141,0.0172170405781481,0.0510510510510511
"s19",0.717577382473815,12.6637132835842,0.374165150621393,0.00863312573659006,0.277782859992996,0.0172228077379991,0.0540540540540541
"s20",0.717307225076356,12.6770523058112,0.373680327085401,0.00863852854357416,0.277360723345045,0.0172286177527313,0.0570570570570571
"s21",0.71704014712469,12.6903331778419,0.373212713621207,0.00864380795418314,0.276974245139033,0.0172339933258775,0.0600600600600601
"s22",0.716776370568125,12.703544228267,0.372760930160062,0.00864897370806232,0.276601865422609,0.0172392230301048,0.0630630630630631
"s23",0.716516621262941,12.7166528045106,0.37232374376305,0.00865403442775221,0.27624258868943,0.0172443175419408,0.0660660660660661
"s24",0.716263160966634,12.7295517148729,0.371900044675451,0.00865899784928851,0.275895515480599,0.017249286455917,0.0690690690690691
"s25",0.716005596327637,12.7426701742233,0.371488838458356,0.00866387093820593,0.275559830858186,0.0172541384176162,0.0720720720720721
"s26",0.715751853590141,12.7556850326156,0.371089256698412,0.00866865977791175,0.275234794494103,0.0172588812378272,0.0750750750750751
