,feature,auroc
0,nAA,0.8757396449704142
1,nBM,0.9276485788113695
2,RBN,0.6857142857142857
3,RBF,0.6857142857142857
4,nDB,0.6302083333333333
5,nAB,0.8757396449704142
6,nN,0.8984126984126983
7,nO,0.8081597222222221
8,nS,0.7214285714285714
9,nHM,0.7214285714285714
10,nHet,0.006802721088435375
11,N%,0.8984126984126983
12,O%,0.8081597222222221
13,nCsp3,0.5374149659863946
14,nCsp2,0.9276485788113695
15,Fsp3,0.5374149659863946
16,max_conj_path,0.8050595238095238
17,nCIC,0.8148148148148148
18,nCIR,0.8148148148148148
19,TRS,0.8148148148148148
20,Rperim,0.8148148148148148
21,Rbrid,0.12
22,MCD,0.8148148148148148
23,RFD,0.12
24,RCI,0.8148148148148148
25,NRS,0.8148148148148148
26,NNRS,0.8148148148148148
27,nBridgeHead,0.12
28,nR05,0.07246376811594205
29,nR06,0.8970814132104454
30,nBnz,0.7545219638242894
31,ARR,0.8757396449704142
32,AP,0.8757396449704142
33,D/Dtr05,0.07246376811594205
34,D/Dtr06,0.8970814132104454
35,Qindex,0.8212765957446808
36,Ram,0.717391304347826
37,PW4,0.19727891156462588
38,PW5,0.6818181818181819
39,SRW05,0.07246376811594205
40,SRW07,0.07246376811594205
41,SRW09,0.07246376811594205
42,MPC04,0.19727891156462588
43,MPC05,0.6818181818181819
44,MPC06,0.7435897435897435
45,MPC07,0.7424242424242424
46,MPC08,0.534453781512605
47,MPC09,0.0
48,MPC10,0.08085106382978723
49,piPC04,0.19727891156462588
50,piPC05,0.6818181818181819
51,piPC06,0.7435897435897435
52,piPC07,0.7424242424242424
53,piPC08,0.534453781512605
54,piPC09,0.0
55,piPC10,0.08085106382978723
56,PCD,0.9276485788113695
57,ATS6m,0.6956521739130435
58,ATS7m,0.6909722222222222
59,ATS8m,0.6502976190476191
60,ATS6v,0.6956521739130435
61,ATS7v,0.6909722222222222
62,ATS8v,0.6502976190476191
63,ATS6e,0.6956521739130435
64,ATS7e,0.6909722222222222
65,ATS8e,0.6502976190476191
66,ATS6p,0.6956521739130435
67,ATS7p,0.6909722222222222
68,ATS8p,0.6502976190476191
69,ATS6i,0.6956521739130435
70,ATS7i,0.6909722222222222
71,ATS8i,0.6502976190476191
72,ATSC6m,0.6956521739130435
73,ATSC7m,0.6909722222222222
74,ATSC8m,0.6502976190476191
75,ATSC6v,0.6956521739130435
76,ATSC7v,0.6909722222222222
77,ATSC8v,0.6502976190476191
78,ATSC6e,0.6956521739130435
79,ATSC7e,0.6909722222222222
80,ATSC8e,0.6502976190476191
81,ATSC6p,0.6956521739130435
82,ATSC7p,0.6909722222222222
83,ATSC8p,0.6502976190476191
84,ATSC6i,0.6956521739130435
85,ATSC7i,0.6909722222222222
86,ATSC8i,0.6502976190476191
87,MATS1m,0.45238095238095244
88,MATS6m,0.6956521739130435
89,MATS7m,0.6909722222222222
90,MATS8m,0.6502976190476191
91,MATS1v,0.45238095238095244
92,MATS6v,0.6956521739130435
93,MATS7v,0.6909722222222222
94,MATS8v,0.6502976190476191
95,MATS1e,0.45238095238095244
96,MATS6e,0.6956521739130435
97,MATS7e,0.6909722222222222
98,MATS8e,0.6502976190476191
99,MATS1p,0.45238095238095244
100,MATS6p,0.6956521739130435
101,MATS7p,0.6909722222222222
102,MATS8p,0.6502976190476191
103,MATS1i,0.45238095238095244
104,MATS6i,0.6956521739130435
105,MATS7i,0.6909722222222222
106,MATS8i,0.6502976190476191
107,GATS5m,0.6956521739130435
108,GATS6m,0.736842105263158
109,GATS7m,0.6502976190476191
110,GATS8m,0.7549549549549549
111,GATS5v,0.6956521739130435
112,GATS6v,0.736842105263158
113,GATS7v,0.6502976190476191
114,GATS8v,0.7549549549549549
115,GATS5e,0.6956521739130435
116,GATS6e,0.736842105263158
117,GATS7e,0.6502976190476191
118,GATS8e,0.7549549549549549
119,GATS5p,0.6956521739130435
120,GATS6p,0.736842105263158
121,GATS7p,0.6502976190476191
122,GATS8p,0.7549549549549549
123,GATS5i,0.6956521739130435
