,feature,pearson_r
0,nAA,0.5183803542851745
1,nBM,0.6186393565245114
2,nAB,0.5183803542851745
3,nN,0.6941042077074017
5,N%,0.6962473028327325
7,nCsp2,0.6198660152813366
8,max_conj_path,0.5706154507383218
14,RCI,0.5438783982048407
15,NRS,0.5366431276162198
16,NNRS,0.5179104716944797
17,nR06,0.5330801565174569
19,ARR,0.5644759218418824
20,AP,0.5644759218418824
21,D/Dtr06,0.6889889354574508
22,Qindex,0.5626240119928042
23,PCD,0.6811937777476657
24,GATS8m,0.5216639105146516
25,GATS8v,0.5195172053704378
29,GGI4,0.6187392797462773
33,P_VSA_LogP_5,0.5949319906758376
35,P_VSA_MR_6,0.5227076201384023
37,P_VSA_e_3,0.6097152365303455
39,P_VSA_i_4,0.6097152365303455
40,P_VSA_ppp_ar,0.5098704489348578
41,P_VSA_ppp_con,0.580502311379074
42,P_VSA_ppp_cyc,0.5419730502713433
43,P_VSA_charge_4,0.5505177893978584
46,HOMA,0.5089882873954945
47,CMBL,0.5723506558006601
48,AROM,0.5458137070496752
69,nRCOOR,0.5830337728421912
70,nRCHO,0.5399687339404151
71,nOHs,0.880218040800248
72,nSH,0.5748254487696159
73,nPyrazines,0.6639614235110664
76,C-025,0.5057785319056312
77,C-028,0.7215271108287288
78,C-036,0.5399687339404151
84,O-060,0.5050435947454572
85,S-106,0.5748254487696159
90,SsSH,0.575649554064462
95,NsSH,0.5748254487696159
100,minsSH,0.575649554064462
105,MaxsSH,0.575649554064462
109,T(N..N),0.6907846363013508
110,B01[C-N],0.604635375740304
112,B02[C-N],0.604635375740304
117,B03[N-N],0.6639614235110664
119,B07[C-O],0.5926717901388437
120,F01[C-N],0.694381878068792
122,F02[C-N],0.700800129789753
125,F03[C-N],0.5433134280412599
126,F03[C-O],0.5439542824400331
127,F03[N-N],0.6639614235110664
129,F07[C-O],0.5180499571915111
130,G(N..N),0.6894802198684112
131,Uc,0.6780851472122299
132,Ui,0.674540614286882
138,MDEC-33,0.7822962546136163
139,MDEO-12,0.531702344878975
140,MDEN-22,0.6631943496508433
142,nLevel6,0.8439837577744214
143,phLevel1,0.6427572581273486
145,s4_numSharedNeighbors,0.5011308692361702
146,s4_numRotBonds,0.7623980643718271
