"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"1","Olfr1047","minusD","1-0",-0.029036,-0.151074623161688,0.093002623161688,0.953471920942995
"2","Olfr1047","minusD","3.16-0",0.0379336666666667,-0.0841049564950213,0.159972289828355,0.868577494366899
"3","Olfr1047","minusD","10-0",0.0363123333333333,-0.0857262898283547,0.158350956495021,0.887495732070792
"4","Olfr1047","minusD","31.6-0",0.121121,-0.000917623161687961,0.243159623161688,0.0517725981021899
"5","Olfr1047","minusD","100-0",0.262227666666667,0.140189043504979,0.384266289828355,0.000115569004255134
"6","Olfr1047","minusD","316-0",0.281287,0.159248376838312,0.403325623161688,3.52252076923909e-05
"7","Olfr1047","pCI_minusD","1-0",-0.0137923333333333,-0.0747746674967929,0.0471900008301262,0.962621489914801
"8","Olfr1047","pCI_minusD","3.16-0",0.0141383333333333,-0.0468440008301262,0.0751206674967929,0.958353922392601
"9","Olfr1047","pCI_minusD","10-0",-0.00814433333333334,-0.0691266674967929,0.0528380008301262,0.997188976827892
"10","Olfr1047","pCI_minusD","31.6-0",-0.033442,-0.0944243341634596,0.0275403341634596,0.43710883694062
"11","Olfr1047","pCI_minusD","100-0",-0.0790526666666667,-0.140035000830126,-0.0180703325032071,0.00983258776541007
"12","Olfr1047","pCI_minusD","316-0",-0.0963703333333333,-0.157352667496793,-0.0353879991698738,0.00195015050747405
"13","Olfr1047","pCI_plusH","1-0",0.014595,-0.0627309907446572,0.0919209907446572,0.983712859291852
"14","Olfr1047","pCI_plusH","3.16-0",-0.0224403333333333,-0.0997663240779905,0.0548856574113239,0.897317019028957
"15","Olfr1047","pCI_plusH","10-0",0.0182316666666667,-0.0590943240779905,0.0955576574113239,0.955243826411618
"16","Olfr1047","pCI_plusH","31.6-0",-0.00190166666666666,-0.0792276574113239,0.0754243240779905,0.999999846125314
"17","Olfr1047","pCI_plusH","100-0",-0.049948,-0.127273990744657,0.0273779907446572,0.291832025430428
"18","Olfr1047","pCI_plusH","316-0",-0.07129,-0.148615990744657,0.00603599074465722,0.0756044116925718
"19","Olfr1047","plusH","1-0",-0.0467066666666667,-0.19224084628383,0.0988275129504964,0.853312833788866
"20","Olfr1047","plusH","3.16-0",-0.035366,-0.180900179617163,0.110168179617163,0.949110985480349
"21","Olfr1047","plusH","10-0",-0.0370393333333333,-0.182573512950496,0.10849484628383,0.938397527405195
"22","Olfr1047","plusH","31.6-0",0.0555253333333333,-0.0900088462838298,0.201059512950496,0.748980890711985
"23","Olfr1047","plusH","100-0",0.284448333333333,0.13891415371617,0.429982512950496,0.000306992348423574
"24","Olfr1047","plusH","316-0",0.471866666666667,0.326332487049504,0.61740084628383,5.78925060890079e-07
"25","Olfr1463","minusD","1-0",0.00242799999999999,-0.110963592996919,0.115819592996919,0.999999932906909
"26","Olfr1463","minusD","3.16-0",0.0345876666666667,-0.0788039263302527,0.147979259663586,0.877007716819883
"27","Olfr1463","minusD","10-0",-0.00362500000000002,-0.117016592996919,0.109766592996919,0.999999262990087
"28","Olfr1463","minusD","31.6-0",-0.0270706666666667,-0.140462259663586,0.0863209263302527,0.952813662455846
"29","Olfr1463","minusD","100-0",-0.0108833333333333,-0.124274926330253,0.102508259663586,0.999542406323122
"30","Olfr1463","minusD","316-0",-0.0166516666666667,-0.130043259663586,0.0967399263302527,0.995360103356159
"31","Olfr1463","pCI_minusD","1-0",-0.0137923333333333,-0.0747746674967929,0.0471900008301262,0.962621489914801
"32","Olfr1463","pCI_minusD","3.16-0",0.0141383333333333,-0.0468440008301262,0.0751206674967929,0.958353922392601
"33","Olfr1463","pCI_minusD","10-0",-0.00814433333333334,-0.0691266674967929,0.0528380008301262,0.997188976827892
"34","Olfr1463","pCI_minusD","31.6-0",-0.033442,-0.0944243341634596,0.0275403341634596,0.43710883694062
"35","Olfr1463","pCI_minusD","100-0",-0.0790526666666667,-0.140035000830126,-0.0180703325032071,0.00983258776541007
"36","Olfr1463","pCI_minusD","316-0",-0.0963703333333333,-0.157352667496793,-0.0353879991698738,0.00195015050747405
"37","Olfr1463","pCI_plusH","1-0",0.014595,-0.0627309907446572,0.0919209907446572,0.983712859291852
"38","Olfr1463","pCI_plusH","3.16-0",-0.0224403333333333,-0.0997663240779905,0.0548856574113239,0.897317019028957
"39","Olfr1463","pCI_plusH","10-0",0.0182316666666667,-0.0590943240779905,0.0955576574113239,0.955243826411618
"40","Olfr1463","pCI_plusH","31.6-0",-0.00190166666666666,-0.0792276574113239,0.0754243240779905,0.999999846125314
"41","Olfr1463","pCI_plusH","100-0",-0.049948,-0.127273990744657,0.0273779907446572,0.291832025430428
"42","Olfr1463","pCI_plusH","316-0",-0.07129,-0.148615990744657,0.00603599074465722,0.0756044116925718
"43","Olfr1463","plusH","1-0",-0.000304333333333351,-0.0976687431429046,0.0970600764762379,0.999999999999345
"44","Olfr1463","plusH","3.16-0",-0.000367333333333358,-0.0977317431429046,0.0969970764762379,0.99999999999797
"45","Olfr1463","plusH","10-0",-0.03059,-0.127954409809571,0.0667744098095712,0.863609157373851
"46","Olfr1463","plusH","31.6-0",-0.00999266666666668,-0.107357076476238,0.0873717431429046,0.999334558963589
"47","Olfr1463","plusH","100-0",-0.00581266666666669,-0.103177076476238,0.0915517431429045,0.999970314230964
"48","Olfr1463","plusH","316-0",0.011178,-0.0861864098095712,0.108542409809571,0.998759768794399
"49","Olfr194","minusD","1-0",0.385446666666667,-0.209268594635403,0.980161927968736,0.289266684054474
"50","Olfr194","minusD","3.16-0",0.975222,0.380506738697931,1.56993726130207,0.0014822046589531
"51","Olfr194","minusD","10-0",2.369775,1.77505973869793,2.96449026130207,1.37169052782937e-08
"52","Olfr194","minusD","31.6-0",4.463394,3.86867873869793,5.05810926130207,0
"53","Olfr194","minusD","100-0",4.76623533333333,4.17152007203126,5.3609505946354,0
"54","Olfr194","minusD","316-0",4.03817066666667,3.4434554053646,4.63288592796874,7.88258347483861e-15
"55","Olfr194","pCI_minusD","1-0",-0.0137923333333333,-0.0747746674967929,0.0471900008301262,0.962621489914801
"56","Olfr194","pCI_minusD","3.16-0",0.0141383333333333,-0.0468440008301262,0.0751206674967929,0.958353922392601
"57","Olfr194","pCI_minusD","10-0",-0.00814433333333334,-0.0691266674967929,0.0528380008301262,0.997188976827892
"58","Olfr194","pCI_minusD","31.6-0",-0.033442,-0.0944243341634596,0.0275403341634596,0.43710883694062
"59","Olfr194","pCI_minusD","100-0",-0.0790526666666667,-0.140035000830126,-0.0180703325032071,0.00983258776541007
"60","Olfr194","pCI_minusD","316-0",-0.0963703333333333,-0.157352667496793,-0.0353879991698738,0.00195015050747405
"61","Olfr194","pCI_plusH","1-0",0.014595,-0.0627309907446572,0.0919209907446572,0.983712859291852
"62","Olfr194","pCI_plusH","3.16-0",-0.0224403333333333,-0.0997663240779905,0.0548856574113239,0.897317019028957
"63","Olfr194","pCI_plusH","10-0",0.0182316666666667,-0.0590943240779905,0.0955576574113239,0.955243826411618
"64","Olfr194","pCI_plusH","31.6-0",-0.00190166666666666,-0.0792276574113239,0.0754243240779905,0.999999846125314
"65","Olfr194","pCI_plusH","100-0",-0.049948,-0.127273990744657,0.0273779907446572,0.291832025430428
"66","Olfr194","pCI_plusH","316-0",-0.07129,-0.148615990744657,0.00603599074465722,0.0756044116925718
"67","Olfr194","plusH","1-0",-0.0287816666666667,-0.46452384579206,0.406960512458727,0.999946622610904
"68","Olfr194","plusH","3.16-0",0.086549,-0.349193179125394,0.522291179125394,0.979253522789435
"69","Olfr194","plusH","10-0",0.278634333333333,-0.15710784579206,0.714376512458727,0.300164084449539
"70","Olfr194","plusH","31.6-0",0.521192333333333,0.0854501542079397,0.956934512458727,0.0169864288077752
"71","Olfr194","plusH","100-0",1.47675333333333,1.04101115420794,1.91249551245873,2.6878665781993e-07
"72","Olfr194","plusH","316-0",2.48687933333333,2.05113715420794,2.92262151245873,5.91848792197425e-12
"73","Olfr203","minusD","1-0",1.034768,0.112482725122799,1.9570532748772,0.0254110711185005
