"","odor_set","tested_OR","specific_odorant","specific_conc","normLuc_val"
"337","Carvone","Olfr203","plusH",316,4.117528
"338","Carvone","Olfr203","plusH",316,3.058179
"339","Carvone","Olfr203","plusH",316,3.530071
"340","Carvone","Olfr203","plusH",100,2.830389
"341","Carvone","Olfr203","plusH",100,2.580673
"342","Carvone","Olfr203","plusH",100,2.364393
"343","Carvone","Olfr203","plusH",31.6,1.81904
"344","Carvone","Olfr203","plusH",31.6,1.791383
"345","Carvone","Olfr203","plusH",31.6,2.008621
"346","Carvone","Olfr203","plusH",10,1.275244
"347","Carvone","Olfr203","plusH",10,1.309259
"348","Carvone","Olfr203","plusH",10,1.402062
"349","Carvone","Olfr203","plusH",3.16,0.873128
"350","Carvone","Olfr203","plusH",3.16,0.760818
"351","Carvone","Olfr203","plusH",3.16,1.006205
"352","Carvone","Olfr203","plusH",1,0.778148
"353","Carvone","Olfr203","plusH",1,0.807808
"354","Carvone","Olfr203","plusH",1,0.945034
"355","Carvone","Olfr203","plusH",0,1.032922
"356","Carvone","Olfr203","plusH",0,0.955844
"357","Carvone","Olfr203","plusH",0,0.914833
"358","Carvone","Olfr203","minusD",316,4
"359","Carvone","Olfr203","minusD",316,4.604697
"360","Carvone","Olfr203","minusD",316,4.33443
"361","Carvone","Olfr203","minusD",100,4.409302
"362","Carvone","Olfr203","minusD",100,5.477656
"363","Carvone","Olfr203","minusD",100,4.928638
"364","Carvone","Olfr203","minusD",31.6,5.75603
"365","Carvone","Olfr203","minusD",31.6,5.203237
"366","Carvone","Olfr203","minusD",31.6,6.180258
"367","Carvone","Olfr203","minusD",10,3.804132
"368","Carvone","Olfr203","minusD",10,4.950948
"369","Carvone","Olfr203","minusD",10,4.423077
"370","Carvone","Olfr203","minusD",3.16,3.115925
"371","Carvone","Olfr203","minusD",3.16,2.719547
"372","Carvone","Olfr203","minusD",3.16,2.692464
"373","Carvone","Olfr203","minusD",1,2.025505
"374","Carvone","Olfr203","minusD",1,2.217064
"375","Carvone","Olfr203","minusD",1,1.834611
"376","Carvone","Olfr203","minusD",0,1.106043
"377","Carvone","Olfr203","minusD",0,0.898492
"378","Carvone","Olfr203","minusD",0,0.968341
"379","Carvone","Olfr203","pCI_plusH",316,0.146456
"380","Carvone","Olfr203","pCI_plusH",316,0.13272
"381","Carvone","Olfr203","pCI_plusH",316,0.109384
"382","Carvone","Olfr203","pCI_plusH",100,0.164006
"383","Carvone","Olfr203","pCI_plusH",100,0.163646
"384","Carvone","Olfr203","pCI_plusH",100,0.124934
"385","Carvone","Olfr203","pCI_plusH",31.6,0.24337
"386","Carvone","Olfr203","pCI_plusH",31.6,0.155368
"387","Carvone","Olfr203","pCI_plusH",31.6,0.197987
"388","Carvone","Olfr203","pCI_plusH",10,0.190777
"389","Carvone","Olfr203","pCI_plusH",10,0.243676
"390","Carvone","Olfr203","pCI_plusH",10,0.222672
"391","Carvone","Olfr203","pCI_plusH",3.16,0.146131
"392","Carvone","Olfr203","pCI_plusH",3.16,0.170528
"393","Carvone","Olfr203","pCI_plusH",3.16,0.21845
"394","Carvone","Olfr203","pCI_plusH",1,0.230412
"395","Carvone","Olfr203","pCI_plusH",1,0.255168
"396","Carvone","Olfr203","pCI_plusH",1,0.160635
"397","Carvone","Olfr203","pCI_plusH",0,0.209653
"398","Carvone","Olfr203","pCI_plusH",0,0.188134
"399","Carvone","Olfr203","pCI_plusH",0,0.204643
"400","Carvone","Olfr203","pCI_minusD",316,0.082885
"401","Carvone","Olfr203","pCI_minusD",316,0.136747
"402","Carvone","Olfr203","pCI_minusD",316,0.101145
"403","Carvone","Olfr203","pCI_minusD",100,0.118046
"404","Carvone","Olfr203","pCI_minusD",100,0.121288
"405","Carvone","Olfr203","pCI_minusD",100,0.133396
"406","Carvone","Olfr203","pCI_minusD",31.6,0.212695
"407","Carvone","Olfr203","pCI_minusD",31.6,0.1582
"408","Carvone","Olfr203","pCI_minusD",31.6,0.138667
"409","Carvone","Olfr203","pCI_minusD",10,0.186832
"410","Carvone","Olfr203","pCI_minusD",10,0.201198
"411","Carvone","Olfr203","pCI_minusD",10,0.197425
"412","Carvone","Olfr203","pCI_minusD",3.16,0.246542
"413","Carvone","Olfr203","pCI_minusD",3.16,0.207528
"414","Carvone","Olfr203","pCI_minusD",3.16,0.198233
"415","Carvone","Olfr203","pCI_minusD",1,0.187467
"416","Carvone","Olfr203","pCI_minusD",1,0.222677
"417","Carvone","Olfr203","pCI_minusD",1,0.158367
"418","Carvone","Olfr203","pCI_minusD",0,0.197929
"419","Carvone","Olfr203","pCI_minusD",0,0.229095
"420","Carvone","Olfr203","pCI_minusD",0,0.182864
"421","Carvone","Olfr1047","plusH",316,0.77137
"422","Carvone","Olfr1047","plusH",316,0.726421
"423","Carvone","Olfr1047","plusH",316,0.705278
"424","Carvone","Olfr1047","plusH",100,0.633913
"425","Carvone","Olfr1047","plusH",100,0.491322
"426","Carvone","Olfr1047","plusH",100,0.515579
"427","Carvone","Olfr1047","plusH",31.6,0.417348
"428","Carvone","Olfr1047","plusH",31.6,0.273504
"429","Carvone","Olfr1047","plusH",31.6,0.263193
"430","Carvone","Olfr1047","plusH",10,0.223421
"431","Carvone","Olfr1047","plusH",10,0.184608
"432","Carvone","Olfr1047","plusH",10,0.268322
"433","Carvone","Olfr1047","plusH",3.16,0.215168
"434","Carvone","Olfr1047","plusH",3.16,0.248425
"435","Carvone","Olfr1047","plusH",3.16,0.217778
"436","Carvone","Olfr1047","plusH",1,0.192982
"437","Carvone","Olfr1047","plusH",1,0.230668
"438","Carvone","Olfr1047","plusH",1,0.223699
"439","Carvone","Olfr1047","plusH",0,0.368352
"440","Carvone","Olfr1047","plusH",0,0.180081
"441","Carvone","Olfr1047","plusH",0,0.239036
"442","Carvone","Olfr1047","minusD",316,0.485612
"443","Carvone","Olfr1047","minusD",316,0.449657
"444","Carvone","Olfr1047","minusD",316,0.540625
"445","Carvone","Olfr1047","minusD",100,0.501269
"446","Carvone","Olfr1047","minusD",100,0.490691
"447","Carvone","Olfr1047","minusD",100,0.426756
"448","Carvone","Olfr1047","minusD",31.6,0.401124
"449","Carvone","Olfr1047","minusD",31.6,0.355673
"450","Carvone","Olfr1047","minusD",31.6,0.238599
"451","Carvone","Olfr1047","minusD",10,0.276715
"452","Carvone","Olfr1047","minusD",10,0.186412
"453","Carvone","Olfr1047","minusD",10,0.277843
"454","Carvone","Olfr1047","minusD",3.16,0.266667
"455","Carvone","Olfr1047","minusD",3.16,0.178613
"456","Carvone","Olfr1047","minusD",3.16,0.300554
"457","Carvone","Olfr1047","minusD",1,0.199605
"458","Carvone","Olfr1047","minusD",1,0.167518
"459","Carvone","Olfr1047","minusD",1,0.177802
"460","Carvone","Olfr1047","minusD",0,0.238308
"461","Carvone","Olfr1047","minusD",0,0.187692
"462","Carvone","Olfr1047","minusD",0,0.206033
"463","Carvone","Olfr1047","pCI_plusH",316,0.146456
"464","Carvone","Olfr1047","pCI_plusH",316,0.13272
"465","Carvone","Olfr1047","pCI_plusH",316,0.109384
"466","Carvone","Olfr1047","pCI_plusH",100,0.164006
"467","Carvone","Olfr1047","pCI_plusH",100,0.163646
"468","Carvone","Olfr1047","pCI_plusH",100,0.124934
"469","Carvone","Olfr1047","pCI_plusH",31.6,0.24337
"470","Carvone","Olfr1047","pCI_plusH",31.6,0.155368
"471","Carvone","Olfr1047","pCI_plusH",31.6,0.197987
"472","Carvone","Olfr1047","pCI_plusH",10,0.190777
"473","Carvone","Olfr1047","pCI_plusH",10,0.243676
"474","Carvone","Olfr1047","pCI_plusH",10,0.222672
"475","Carvone","Olfr1047","pCI_plusH",3.16,0.146131
"476","Carvone","Olfr1047","pCI_plusH",3.16,0.170528
"477","Carvone","Olfr1047","pCI_plusH",3.16,0.21845
"478","Carvone","Olfr1047","pCI_plusH",1,0.230412
"479","Carvone","Olfr1047","pCI_plusH",1,0.255168
"480","Carvone","Olfr1047","pCI_plusH",1,0.160635
"481","Carvone","Olfr1047","pCI_plusH",0,0.209653
"482","Carvone","Olfr1047","pCI_plusH",0,0.188134
"483","Carvone","Olfr1047","pCI_plusH",0,0.204643
"484","Carvone","Olfr1047","pCI_minusD",316,0.082885
"485","Carvone","Olfr1047","pCI_minusD",316,0.136747
"486","Carvone","Olfr1047","pCI_minusD",316,0.101145
"487","Carvone","Olfr1047","pCI_minusD",100,0.118046
"488","Carvone","Olfr1047","pCI_minusD",100,0.121288
"489","Carvone","Olfr1047","pCI_minusD",100,0.133396
"490","Carvone","Olfr1047","pCI_minusD",31.6,0.212695
"491","Carvone","Olfr1047","pCI_minusD",31.6,0.1582
"492","Carvone","Olfr1047","pCI_minusD",31.6,0.138667
"493","Carvone","Olfr1047","pCI_minusD",10,0.186832
"494","Carvone","Olfr1047","pCI_minusD",10,0.201198
"495","Carvone","Olfr1047","pCI_minusD",10,0.197425
"496","Carvone","Olfr1047","pCI_minusD",3.16,0.246542
"497","Carvone","Olfr1047","pCI_minusD",3.16,0.207528
"498","Carvone","Olfr1047","pCI_minusD",3.16,0.198233
"499","Carvone","Olfr1047","pCI_minusD",1,0.187467
"500","Carvone","Olfr1047","pCI_minusD",1,0.222677
"501","Carvone","Olfr1047","pCI_minusD",1,0.158367
"502","Carvone","Olfr1047","pCI_minusD",0,0.197929
"503","Carvone","Olfr1047","pCI_minusD",0,0.229095
"504","Carvone","Olfr1047","pCI_minusD",0,0.182864
"505","Carvone","Olfr881","plusH",316,0.167603
"506","Carvone","Olfr881","plusH",316,0.186308
"507","Carvone","Olfr881","plusH",316,0.152987
"508","Carvone","Olfr881","plusH",100,0.157484
"509","Carvone","Olfr881","plusH",100,0.184154
"510","Carvone","Olfr881","plusH",100,0.160839
"511","Carvone","Olfr881","plusH",31.6,0.200476
"512","Carvone","Olfr881","plusH",31.6,0.230769
"513","Carvone","Olfr881","plusH",31.6,0.165354
"514","Carvone","Olfr881","plusH",10,0.276269
"515","Carvone","Olfr881","plusH",10,0.204739
"516","Carvone","Olfr881","plusH",10,0.185597
"517","Carvone","Olfr881","plusH",3.16,0.187593
"518","Carvone","Olfr881","plusH",3.16,0.259426
"519","Carvone","Olfr881","plusH",3.16,0.241701
"520","Carvone","Olfr881","plusH",1,0.263889
"521","Carvone","Olfr881","plusH",1,0.28915
"522","Carvone","Olfr881","plusH",1,0.199888
"523","Carvone","Olfr881","plusH",0,0.237607
"524","Carvone","Olfr881","plusH",0,0.198875
"525","Carvone","Olfr881","plusH",0,0.216805
"526","Carvone","Olfr881","minusD",316,0.158832
"527","Carvone","Olfr881","minusD",316,0.117431
"528","Carvone","Olfr881","minusD",316,0.148097
"529","Carvone","Olfr881","minusD",100,0.117371
"530","Carvone","Olfr881","minusD",100,0.090909
"531","Carvone","Olfr881","minusD",100,0.119266
"532","Carvone","Olfr881","minusD",31.6,0.194335
"533","Carvone","Olfr881","minusD",31.6,0.163022
"534","Carvone","Olfr881","minusD",31.6,0.2
"535","Carvone","Olfr881","minusD",10,0.174312
"536","Carvone","Olfr881","minusD",10,0.112132
"537","Carvone","Olfr881","minusD",10,0.200251
"538","Carvone","Olfr881","minusD",3.16,0.167013
"539","Carvone","Olfr881","minusD",3.16,0.174572
