"","odor_set","tested_OR","specific_odorant","specific_conc","normLuc_val"
"337","Carvone","Olfr203","plusH",316,4.117528
"338","Carvone","Olfr203","plusH",316,3.058179
"339","Carvone","Olfr203","plusH",316,3.530071
"340","Carvone","Olfr203","plusH",100,2.830389
"341","Carvone","Olfr203","plusH",100,2.580673
"342","Carvone","Olfr203","plusH",100,2.364393
"343","Carvone","Olfr203","plusH",31.6,1.81904
"344","Carvone","Olfr203","plusH",31.6,1.791383
"345","Carvone","Olfr203","plusH",31.6,2.008621
"346","Carvone","Olfr203","plusH",10,1.275244
"347","Carvone","Olfr203","plusH",10,1.309259
"348","Carvone","Olfr203","plusH",10,1.402062
"349","Carvone","Olfr203","plusH",3.16,0.873128
"350","Carvone","Olfr203","plusH",3.16,0.760818
"351","Carvone","Olfr203","plusH",3.16,1.006205
"352","Carvone","Olfr203","plusH",1,0.778148
"353","Carvone","Olfr203","plusH",1,0.807808
"354","Carvone","Olfr203","plusH",1,0.945034
"355","Carvone","Olfr203","plusH",0,1.032922
"356","Carvone","Olfr203","plusH",0,0.955844
"357","Carvone","Olfr203","plusH",0,0.914833
"358","Carvone","Olfr203","minusD",316,4
"359","Carvone","Olfr203","minusD",316,4.604697
"360","Carvone","Olfr203","minusD",316,4.33443
"361","Carvone","Olfr203","minusD",100,4.409302
"362","Carvone","Olfr203","minusD",100,5.477656
"363","Carvone","Olfr203","minusD",100,4.928638
"364","Carvone","Olfr203","minusD",31.6,5.75603
"365","Carvone","Olfr203","minusD",31.6,5.203237
"366","Carvone","Olfr203","minusD",31.6,6.180258
"367","Carvone","Olfr203","minusD",10,3.804132
"368","Carvone","Olfr203","minusD",10,4.950948
"369","Carvone","Olfr203","minusD",10,4.423077
"370","Carvone","Olfr203","minusD",3.16,3.115925
"371","Carvone","Olfr203","minusD",3.16,2.719547
"372","Carvone","Olfr203","minusD",3.16,2.692464
"373","Carvone","Olfr203","minusD",1,2.025505
"374","Carvone","Olfr203","minusD",1,2.217064
"375","Carvone","Olfr203","minusD",1,1.834611
"376","Carvone","Olfr203","minusD",0,1.106043
"377","Carvone","Olfr203","minusD",0,0.898492
"378","Carvone","Olfr203","minusD",0,0.968341
"421","Carvone","Olfr1047","plusH",316,0.77137
"422","Carvone","Olfr1047","plusH",316,0.726421
"423","Carvone","Olfr1047","plusH",316,0.705278
"424","Carvone","Olfr1047","plusH",100,0.633913
"425","Carvone","Olfr1047","plusH",100,0.491322
"426","Carvone","Olfr1047","plusH",100,0.515579
"427","Carvone","Olfr1047","plusH",31.6,0.417348
"428","Carvone","Olfr1047","plusH",31.6,0.273504
"429","Carvone","Olfr1047","plusH",31.6,0.263193
"430","Carvone","Olfr1047","plusH",10,0.223421
"431","Carvone","Olfr1047","plusH",10,0.184608
"432","Carvone","Olfr1047","plusH",10,0.268322
"433","Carvone","Olfr1047","plusH",3.16,0.215168
"434","Carvone","Olfr1047","plusH",3.16,0.248425
"435","Carvone","Olfr1047","plusH",3.16,0.217778
"436","Carvone","Olfr1047","plusH",1,0.192982
"437","Carvone","Olfr1047","plusH",1,0.230668
"438","Carvone","Olfr1047","plusH",1,0.223699
"439","Carvone","Olfr1047","plusH",0,0.368352
"440","Carvone","Olfr1047","plusH",0,0.180081
"441","Carvone","Olfr1047","plusH",0,0.239036
"442","Carvone","Olfr1047","minusD",316,0.485612
"443","Carvone","Olfr1047","minusD",316,0.449657
"444","Carvone","Olfr1047","minusD",316,0.540625
"445","Carvone","Olfr1047","minusD",100,0.501269
"446","Carvone","Olfr1047","minusD",100,0.490691
"447","Carvone","Olfr1047","minusD",100,0.426756
"448","Carvone","Olfr1047","minusD",31.6,0.401124
"449","Carvone","Olfr1047","minusD",31.6,0.355673
"450","Carvone","Olfr1047","minusD",31.6,0.238599
"451","Carvone","Olfr1047","minusD",10,0.276715
"452","Carvone","Olfr1047","minusD",10,0.186412
"453","Carvone","Olfr1047","minusD",10,0.277843
"454","Carvone","Olfr1047","minusD",3.16,0.266667
"455","Carvone","Olfr1047","minusD",3.16,0.178613
"456","Carvone","Olfr1047","minusD",3.16,0.300554
"457","Carvone","Olfr1047","minusD",1,0.199605
"458","Carvone","Olfr1047","minusD",1,0.167518
"459","Carvone","Olfr1047","minusD",1,0.177802
"460","Carvone","Olfr1047","minusD",0,0.238308
"461","Carvone","Olfr1047","minusD",0,0.187692
"462","Carvone","Olfr1047","minusD",0,0.206033
"589","Carvone","Olfr194","plusH",316,3.264103
"590","Carvone","Olfr194","plusH",316,2.616822
"591","Carvone","Olfr194","plusH",316,3.037218
"592","Carvone","Olfr194","plusH",100,2.238128
"593","Carvone","Olfr194","plusH",100,1.878007
"594","Carvone","Olfr194","plusH",100,1.77163
"595","Carvone","Olfr194","plusH",31.6,0.998883
"596","Carvone","Olfr194","plusH",31.6,1.104096
"597","Carvone","Olfr194","plusH",31.6,0.918103
"598","Carvone","Olfr194","plusH",10,0.924985
"599","Carvone","Olfr194","plusH",10,0.71984
"600","Carvone","Olfr194","plusH",10,0.648583
"601","Carvone","Olfr194","plusH",3.16,0.744011
"602","Carvone","Olfr194","plusH",3.16,0.537673
"603","Carvone","Olfr194","plusH",3.16,0.435468
"604","Carvone","Olfr194","plusH",1,0.491651
"605","Carvone","Olfr194","plusH",1,0.508208
"606","Carvone","Olfr194","plusH",1,0.371301
"607","Carvone","Olfr194","plusH",0,0.542336
"608","Carvone","Olfr194","plusH",0,0.387546
"609","Carvone","Olfr194","plusH",0,0.527623
"610","Carvone","Olfr194","minusD",316,4.266949
"611","Carvone","Olfr194","minusD",316,4.179344
"612","Carvone","Olfr194","minusD",316,4.645205
"613","Carvone","Olfr194","minusD",100,4.712606
"614","Carvone","Olfr194","minusD",100,5.180632
"615","Carvone","Olfr194","minusD",100,5.382454
"616","Carvone","Olfr194","minusD",31.6,4.254808
"617","Carvone","Olfr194","minusD",31.6,5.128664
"618","Carvone","Olfr194","minusD",31.6,4.983696
"619","Carvone","Olfr194","minusD",10,2.693813
"620","Carvone","Olfr194","minusD",10,2.59761
"621","Carvone","Olfr194","minusD",10,2.794888
"622","Carvone","Olfr194","minusD",3.16,1.405128
"623","Carvone","Olfr194","minusD",3.16,1.256327
"624","Carvone","Olfr194","minusD",3.16,1.241197
"625","Carvone","Olfr194","minusD",1,0.659292
"626","Carvone","Olfr194","minusD",1,0.871898
"627","Carvone","Olfr194","minusD",1,0.602136
"628","Carvone","Olfr194","minusD",0,0.325926
"629","Carvone","Olfr194","minusD",0,0.324435
"630","Carvone","Olfr194","minusD",0,0.326625
"757","Carvone","Olfr47","plusH",316,4.952077
"758","Carvone","Olfr47","plusH",316,4.41497
"759","Carvone","Olfr47","plusH",316,4.651584
"760","Carvone","Olfr47","plusH",100,7.644728
"761","Carvone","Olfr47","plusH",100,6.037671
"762","Carvone","Olfr47","plusH",100,6.919129
"763","Carvone","Olfr47","plusH",31.6,7.620999
"764","Carvone","Olfr47","plusH",31.6,7.577476
"765","Carvone","Olfr47","plusH",31.6,5.630816
"766","Carvone","Olfr47","plusH",10,6.342765
"767","Carvone","Olfr47","plusH",10,5.149168
"768","Carvone","Olfr47","plusH",10,5.624564
"769","Carvone","Olfr47","plusH",3.16,4.512868
"770","Carvone","Olfr47","plusH",3.16,3.687777
"771","Carvone","Olfr47","plusH",3.16,3.951633
"772","Carvone","Olfr47","plusH",1,3.606701
"773","Carvone","Olfr47","plusH",1,3.638668
"774","Carvone","Olfr47","plusH",1,3.183544
"775","Carvone","Olfr47","plusH",0,2.516622
"776","Carvone","Olfr47","plusH",0,2.31793
"777","Carvone","Olfr47","plusH",0,2.610999
"778","Carvone","Olfr47","minusD",316,7.182385
"779","Carvone","Olfr47","minusD",316,6.366099
"780","Carvone","Olfr47","minusD",316,5.980328
"781","Carvone","Olfr47","minusD",100,8.052597
"782","Carvone","Olfr47","minusD",100,6.817175
"783","Carvone","Olfr47","minusD",100,5.97445
"784","Carvone","Olfr47","minusD",31.6,7.353224
"785","Carvone","Olfr47","minusD",31.6,5.793243
"786","Carvone","Olfr47","minusD",31.6,6.505074
"787","Carvone","Olfr47","minusD",10,5.671622
"788","Carvone","Olfr47","minusD",10,5.422576
"789","Carvone","Olfr47","minusD",10,4.510625
"790","Carvone","Olfr47","minusD",3.16,4.649211
"791","Carvone","Olfr47","minusD",3.16,3.933532
"792","Carvone","Olfr47","minusD",3.16,3.474401
"793","Carvone","Olfr47","minusD",1,2.90404
"794","Carvone","Olfr47","minusD",1,3.410256
"795","Carvone","Olfr47","minusD",1,3.052488
"796","Carvone","Olfr47","minusD",0,2.358556
"797","Carvone","Olfr47","minusD",0,2.437232
"798","Carvone","Olfr47","minusD",0,2.862891
"1009","Carvone","Olfr488","plusH",316,1.602694
"1010","Carvone","Olfr488","plusH",316,1.004954
"1011","Carvone","Olfr488","plusH",316,0.706897
"1012","Carvone","Olfr488","plusH",100,0.955418
"1013","Carvone","Olfr488","plusH",100,0.639875
"1014","Carvone","Olfr488","plusH",100,0.562714
"1015","Carvone","Olfr488","plusH",31.6,0.436152
"1016","Carvone","Olfr488","plusH",31.6,0.299228
"1017","Carvone","Olfr488","plusH",31.6,0.273023
"1018","Carvone","Olfr488","plusH",10,0.238596
"1019","Carvone","Olfr488","plusH",10,0.174893
"1020","Carvone","Olfr488","plusH",10,0.174425
"1021","Carvone","Olfr488","plusH",3.16,0.206306
"1022","Carvone","Olfr488","plusH",3.16,0.255405
"1023","Carvone","Olfr488","plusH",3.16,0.266841
"1024","Carvone","Olfr488","plusH",1,0.222707
"1025","Carvone","Olfr488","plusH",1,0.121059
"1026","Carvone","Olfr488","plusH",1,0.16323
"1027","Carvone","Olfr488","plusH",0,0.238005
"1028","Carvone","Olfr488","plusH",0,0.177419
"1029","Carvone","Olfr488","plusH",0,0.179927
"1030","Carvone","Olfr488","minusD",316,0.736701
"1031","Carvone","Olfr488","minusD",316,0.59572
"1032","Carvone","Olfr488","minusD",316,0.552077
"1033","Carvone","Olfr488","minusD",100,0.543743
"1034","Carvone","Olfr488","minusD",100,0.335135
"1035","Carvone","Olfr488","minusD",100,0.366197
"1036","Carvone","Olfr488","minusD",31.6,0.259375
"1037","Carvone","Olfr488","minusD",31.6,0.265734
"1038","Carvone","Olfr488","minusD",31.6,0.207938
"1039","Carvone","Olfr488","minusD",10,0.189189
"1040","Carvone","Olfr488","minusD",10,0.100116
"1041","Carvone","Olfr488","minusD",10,0.158993
"1042","Carvone","Olfr488","minusD",3.16,0.214081
"1043","Carvone","Olfr488","minusD",3.16,0.233141
"1044","Carvone","Olfr488","minusD",3.16,0.197802
"1045","Carvone","Olfr488","minusD",1,0.202196
"1046","Carvone","Olfr488","minusD",1,0.165806
"1047","Carvone","Olfr488","minusD",1,0.118332
"1048","Carvone","Olfr488","minusD",0,0.174229
"1049","Carvone","Olfr488","minusD",0,0.197062
"1050","Carvone","Olfr488","minusD",0,0.205774
"1093","Carvone","Olfr502","plusH",316,1.383569
"1094","Carvone","Olfr502","plusH",316,1.412075
"1095","Carvone","Olfr502","plusH",316,1.192617
"1096","Carvone","Olfr502","plusH",100,1.372347
"1097","Carvone","Olfr502","plusH",100,1.045294
"1098","Carvone","Olfr502","plusH",100,1.193373
