"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"1","Olfr1085","minusD","1-0",0.137344333333333,0.0101671656456514,0.264521501021015,0.0320631259542936
"2","Olfr1085","minusD","3.16-0",0.160684333333333,0.0335071656456514,0.287861501021015,0.0115313544264746
"3","Olfr1085","minusD","10-0",0.418671,0.291493832312318,0.545848167687682,3.89757726759754e-07
"4","Olfr1085","minusD","31.6-0",0.745235666666667,0.618058498978985,0.872412834354349,6.32827124036339e-15
"5","Olfr1085","minusD","100-0",1.08719033333333,0.960013165645651,1.21436750102102,0
"6","Olfr1085","minusD","316-0",1.194144,1.06696683231232,1.32132116768768,0
"7","Olfr1085","pCI_minusD","1-0",0.0412523333333333,-0.0612475101342002,0.143752176800867,0.709532026696914
"8","Olfr1085","pCI_minusD","3.16-0",0.0751873333333333,-0.0273125101342002,0.177687176800867,0.195332170368965
"9","Olfr1085","pCI_minusD","10-0",0.025674,-0.0768258434675335,0.128173843467534,0.942296578805892
"10","Olfr1085","pCI_minusD","31.6-0",0.0169346666666667,-0.0855651768008669,0.1194345101342,0.991529878066685
"11","Olfr1085","pCI_minusD","100-0",-0.009029,-0.111528843467534,0.0934708434675335,0.999718541507195
"12","Olfr1085","pCI_minusD","316-0",0.035836,-0.0666638434675335,0.138335843467534,0.806215277051192
"13","Olfr1085","pCI_plusH","1-0",-0.00940933333333335,-0.130133945181931,0.111315278515264,0.999860785507609
"14","Olfr1085","pCI_plusH","3.16-0",-0.0659446666666667,-0.186669278515264,0.0547799451819308,0.440840878207886
"15","Olfr1085","pCI_plusH","10-0",-0.061972,-0.182696611848597,0.0587526118485975,0.498440725189815
"16","Olfr1085","pCI_plusH","31.6-0",-0.037938,-0.158662611848597,0.0827866118485975,0.863538910960076
"17","Olfr1085","pCI_plusH","100-0",-0.032894,-0.153618611848597,0.0878306118485975,0.919191325066645
"18","Olfr1085","pCI_plusH","316-0",0.052405,-0.0683196118485975,0.173129611848597,0.648533523922116
"19","Olfr1085","plusH","1-0",-0.031365,-0.190880104829934,0.128150104829934,0.980223722079685
"20","Olfr1085","plusH","3.16-0",0.0300046666666667,-0.129510438163267,0.189519771496601,0.983969614296603
"21","Olfr1085","plusH","10-0",0.01938,-0.140135104829934,0.178895104829934,0.998311199339922
"22","Olfr1085","plusH","31.6-0",0.067618,-0.091897104829934,0.227133104829934,0.668235286130475
"23","Olfr1085","plusH","100-0",0.073815,-0.085700104829934,0.233330104829934,0.593111042416586
"24","Olfr1085","plusH","316-0",0.223111333333333,0.0635962285033993,0.382626438163267,0.00548876235324203
"25","Olfr1110","minusD","1-0",0.011693,-0.565928318447224,0.589314318447224,0.999999952048259
"26","Olfr1110","minusD","3.16-0",-0.00311333333333333,-0.580734651780557,0.574507985113891,0.999999999982746
"27","Olfr1110","minusD","10-0",0.0729696666666667,-0.504651651780557,0.650590985113891,0.997913836475312
"28","Olfr1110","minusD","31.6-0",0.338711333333333,-0.238909985113891,0.916332651780558,0.375773083303476
"29","Olfr1110","minusD","100-0",0.584909,0.00728768155277582,1.16253031844722,0.0464657200102579
"30","Olfr1110","minusD","316-0",0.648867,0.0712456815527758,1.22648831844722,0.025574100489675
"31","Olfr1110","pCI_minusD","1-0",0.0412523333333333,-0.0612475101342002,0.143752176800867,0.709532026696914
"32","Olfr1110","pCI_minusD","3.16-0",0.0751873333333333,-0.0273125101342002,0.177687176800867,0.195332170368965
"33","Olfr1110","pCI_minusD","10-0",0.025674,-0.0768258434675335,0.128173843467534,0.942296578805892
"34","Olfr1110","pCI_minusD","31.6-0",0.0169346666666667,-0.0855651768008669,0.1194345101342,0.991529878066685
"35","Olfr1110","pCI_minusD","100-0",-0.009029,-0.111528843467534,0.0934708434675335,0.999718541507195
"36","Olfr1110","pCI_minusD","316-0",0.035836,-0.0666638434675335,0.138335843467534,0.806215277051192
"37","Olfr1110","pCI_plusH","1-0",-0.00940933333333335,-0.130133945181931,0.111315278515264,0.999860785507609
"38","Olfr1110","pCI_plusH","3.16-0",-0.0659446666666667,-0.186669278515264,0.0547799451819308,0.440840878207886
"39","Olfr1110","pCI_plusH","10-0",-0.061972,-0.182696611848597,0.0587526118485975,0.498440725189815
"40","Olfr1110","pCI_plusH","31.6-0",-0.037938,-0.158662611848597,0.0827866118485975,0.863538910960076
"41","Olfr1110","pCI_plusH","100-0",-0.032894,-0.153618611848597,0.0878306118485975,0.919191325066645
"42","Olfr1110","pCI_plusH","316-0",0.052405,-0.0683196118485975,0.173129611848597,0.648533523922116
"43","Olfr1110","plusH","1-0",-0.116340666666667,-0.561343533968986,0.328662200635653,0.931321291676462
"44","Olfr1110","plusH","3.16-0",0.080689,-0.364313867302319,0.525691867302319,0.986571951200179
"45","Olfr1110","plusH","10-0",0.273922666666667,-0.171080200635653,0.718925533968986,0.332734941609091
"46","Olfr1110","plusH","31.6-0",0.836988,0.391985132697681,1.28199086730232,0.000471110763328841
"47","Olfr1110","plusH","100-0",1.81233733333333,1.36733446603101,2.25734020063565,7.86197740243466e-09
"48","Olfr1110","plusH","316-0",2.86779866666667,2.42279579936435,3.31280153396899,7.26085858104852e-14
"49","Olfr112","minusD","1-0",-0.0250606666666666,-0.160436582611237,0.110315249277904,0.985163084447761
"50","Olfr112","minusD","3.16-0",-0.0202066666666667,-0.155582582611237,0.115169249277904,0.994954942211933
"51","Olfr112","minusD","10-0",-0.0558033333333333,-0.191179249277904,0.079572582611237,0.690752075809762
"52","Olfr112","minusD","31.6-0",-0.0618993333333333,-0.197275249277904,0.073476582611237,0.603689399812708
"53","Olfr112","minusD","100-0",-0.065939,-0.20131491594457,0.0694369159445703,0.546875004285922
"54","Olfr112","minusD","316-0",0.00577933333333333,-0.129596582611237,0.141155249277904,0.999995889502695
"55","Olfr112","pCI_minusD","1-0",0.00168966666666667,-0.140506293954518,0.143885627287852,0.999999998027561
"56","Olfr112","pCI_minusD","3.16-0",0.0296383333333333,-0.112557627287852,0.171834293954518,0.974068425438312
"57","Olfr112","pCI_minusD","10-0",-0.0588463333333333,-0.201042293954518,0.0833496272878517,0.687614206296763
"58","Olfr112","pCI_minusD","31.6-0",0.0606726666666667,-0.0815232939545183,0.202868627287852,0.662839874422611
