"","odor_set","tested_OR","specific_odorant","specific_conc","normLuc_val"
"5485","Menthol","Olfr491","plusH",316,0.423899
"5486","Menthol","Olfr491","plusH",316,0.542714
"5487","Menthol","Olfr491","plusH",316,0.607397
"5488","Menthol","Olfr491","plusH",100,0.45953
"5489","Menthol","Olfr491","plusH",100,0.593434
"5490","Menthol","Olfr491","plusH",100,0.552957
"5491","Menthol","Olfr491","plusH",31.6,0.32085
"5492","Menthol","Olfr491","plusH",31.6,0.529545
"5493","Menthol","Olfr491","plusH",31.6,0.513707
"5494","Menthol","Olfr491","plusH",10,0.445664
"5495","Menthol","Olfr491","plusH",10,0.342529
"5496","Menthol","Olfr491","plusH",10,0.297347
"5497","Menthol","Olfr491","plusH",3.16,0.315968
"5498","Menthol","Olfr491","plusH",3.16,0.412879
"5499","Menthol","Olfr491","plusH",3.16,0.507003
"5500","Menthol","Olfr491","plusH",1,0.363372
"5501","Menthol","Olfr491","plusH",1,0.224138
"5502","Menthol","Olfr491","plusH",1,0.197324
"5503","Menthol","Olfr491","plusH",0,0.340996
"5504","Menthol","Olfr491","plusH",0,0.469529
"5505","Menthol","Olfr491","plusH",0,0.495077
"5506","Menthol","Olfr491","minusD",316,4.426471
"5507","Menthol","Olfr491","minusD",316,4.780702
"5508","Menthol","Olfr491","minusD",316,3.592018
"5509","Menthol","Olfr491","minusD",100,2.224256
"5510","Menthol","Olfr491","minusD",100,2.719718
"5511","Menthol","Olfr491","minusD",100,2.339829
"5512","Menthol","Olfr491","minusD",31.6,1.664474
"5513","Menthol","Olfr491","minusD",31.6,2.042079
"5514","Menthol","Olfr491","minusD",31.6,1.861654
"5515","Menthol","Olfr491","minusD",10,1.284564
"5516","Menthol","Olfr491","minusD",10,1.076618
"5517","Menthol","Olfr491","minusD",10,1.391534
"5518","Menthol","Olfr491","minusD",3.16,0.74247
"5519","Menthol","Olfr491","minusD",3.16,0.701774
"5520","Menthol","Olfr491","minusD",3.16,0.838747
"5521","Menthol","Olfr491","minusD",1,0.630102
"5522","Menthol","Olfr491","minusD",1,0.74
"5523","Menthol","Olfr491","minusD",1,0.488474
"5524","Menthol","Olfr491","minusD",0,0.379571
"5525","Menthol","Olfr491","minusD",0,0.353717
"5526","Menthol","Olfr491","minusD",0,0.297798
"5527","Menthol","Olfr491","pCI_plusH",316,0.293907
"5528","Menthol","Olfr491","pCI_plusH",316,0.201355
"5529","Menthol","Olfr491","pCI_plusH",316,0.222986
"5530","Menthol","Olfr491","pCI_plusH",100,0.127151
"5531","Menthol","Olfr491","pCI_plusH",100,0.110287
"5532","Menthol","Olfr491","pCI_plusH",100,0.224913
"5533","Menthol","Olfr491","pCI_plusH",31.6,0.231527
"5534","Menthol","Olfr491","pCI_plusH",31.6,0.108388
"5535","Menthol","Olfr491","pCI_plusH",31.6,0.107304
"5536","Menthol","Olfr491","pCI_plusH",10,0.125203
"5537","Menthol","Olfr491","pCI_plusH",10,0.160952
"5538","Menthol","Olfr491","pCI_plusH",10,0.088962
"5539","Menthol","Olfr491","pCI_plusH",3.16,0.0878
"5540","Menthol","Olfr491","pCI_plusH",3.16,0.139944
"5541","Menthol","Olfr491","pCI_plusH",3.16,0.135455
"5542","Menthol","Olfr491","pCI_plusH",1,0.213603
"5543","Menthol","Olfr491","pCI_plusH",1,0.15566
"5544","Menthol","Olfr491","pCI_plusH",1,0.163542
"5545","Menthol","Olfr491","pCI_plusH",0,0.137817
"5546","Menthol","Olfr491","pCI_plusH",0,0.253968
"5547","Menthol","Olfr491","pCI_plusH",0,0.169248
"5548","Menthol","Olfr491","pCI_minusD",316,0.08066
"5549","Menthol","Olfr491","pCI_minusD",316,0.082902
"5550","Menthol","Olfr491","pCI_minusD",316,0.202691
"5551","Menthol","Olfr491","pCI_minusD",100,0.053898
"5552","Menthol","Olfr491","pCI_minusD",100,0.093291
"5553","Menthol","Olfr491","pCI_minusD",100,0.084469
"5554","Menthol","Olfr491","pCI_minusD",31.6,0.085954
"5555","Menthol","Olfr491","pCI_minusD",31.6,0.098072
"5556","Menthol","Olfr491","pCI_minusD",31.6,0.125523
"5557","Menthol","Olfr491","pCI_minusD",10,0.08737
"5558","Menthol","Olfr491","pCI_minusD",10,0.100503
"5559","Menthol","Olfr491","pCI_minusD",10,0.147894
"5560","Menthol","Olfr491","pCI_minusD",3.16,0.187623
"5561","Menthol","Olfr491","pCI_minusD",3.16,0.173481
"5562","Menthol","Olfr491","pCI_minusD",3.16,0.123203
"5563","Menthol","Olfr491","pCI_minusD",1,0.192347
"5564","Menthol","Olfr491","pCI_minusD",1,0.132304
"5565","Menthol","Olfr491","pCI_minusD",1,0.057851
"5566","Menthol","Olfr491","pCI_minusD",0,0.070755
"5567","Menthol","Olfr491","pCI_minusD",0,0.113594
"5568","Menthol","Olfr491","pCI_minusD",0,0.074396
"5569","Menthol","Olfr983","plusH",316,0.236257
"5570","Menthol","Olfr983","plusH",316,0.145197
"5571","Menthol","Olfr983","plusH",316,0.161557
"5572","Menthol","Olfr983","plusH",100,0.127869
"5573","Menthol","Olfr983","plusH",100,0.208525
"5574","Menthol","Olfr983","plusH",100,0.091116
"5575","Menthol","Olfr983","plusH",31.6,0.289291
"5576","Menthol","Olfr983","plusH",31.6,0.21398
"5577","Menthol","Olfr983","plusH",31.6,0.234109
"5578","Menthol","Olfr983","plusH",10,0.262517
"5579","Menthol","Olfr983","plusH",10,0.263708
"5580","Menthol","Olfr983","plusH",10,0.219885
"5581","Menthol","Olfr983","plusH",3.16,0.123457
"5582","Menthol","Olfr983","plusH",3.16,0.214286
"5583","Menthol","Olfr983","plusH",3.16,0.173554
"5584","Menthol","Olfr983","plusH",1,0.192432
"5585","Menthol","Olfr983","plusH",1,0.420635
"5586","Menthol","Olfr983","plusH",1,0.288777
"5587","Menthol","Olfr983","plusH",0,0.166127
"5588","Menthol","Olfr983","plusH",0,0.188904
"5589","Menthol","Olfr983","plusH",0,0.292267
"5590","Menthol","Olfr983","minusD",316,0.472924
"5591","Menthol","Olfr983","minusD",316,0.434741
"5592","Menthol","Olfr983","minusD",316,0.585319
"5593","Menthol","Olfr983","minusD",100,0.348889
"5594","Menthol","Olfr983","minusD",100,0.499377
"5595","Menthol","Olfr983","minusD",100,0.369878
"5596","Menthol","Olfr983","minusD",31.6,0.227519
"5597","Menthol","Olfr983","minusD",31.6,0.245243
"5598","Menthol","Olfr983","minusD",31.6,0.245742
"5599","Menthol","Olfr983","minusD",10,0.260152
"5600","Menthol","Olfr983","minusD",10,0.492284
"5601","Menthol","Olfr983","minusD",10,0.136292
"5602","Menthol","Olfr983","minusD",3.16,0.244737
"5603","Menthol","Olfr983","minusD",3.16,0.261694
"5604","Menthol","Olfr983","minusD",3.16,0.388084
"5605","Menthol","Olfr983","minusD",1,0.242839
