"","odor_set","tested_OR","specific_odorant","specific_conc","normLuc_val"
"5485","Menthol","Olfr491","plusH",316,0.423899
"5486","Menthol","Olfr491","plusH",316,0.542714
"5487","Menthol","Olfr491","plusH",316,0.607397
"5488","Menthol","Olfr491","plusH",100,0.45953
"5489","Menthol","Olfr491","plusH",100,0.593434
"5490","Menthol","Olfr491","plusH",100,0.552957
"5491","Menthol","Olfr491","plusH",31.6,0.32085
"5492","Menthol","Olfr491","plusH",31.6,0.529545
"5493","Menthol","Olfr491","plusH",31.6,0.513707
"5494","Menthol","Olfr491","plusH",10,0.445664
"5495","Menthol","Olfr491","plusH",10,0.342529
"5496","Menthol","Olfr491","plusH",10,0.297347
"5497","Menthol","Olfr491","plusH",3.16,0.315968
"5498","Menthol","Olfr491","plusH",3.16,0.412879
"5499","Menthol","Olfr491","plusH",3.16,0.507003
"5500","Menthol","Olfr491","plusH",1,0.363372
"5501","Menthol","Olfr491","plusH",1,0.224138
"5502","Menthol","Olfr491","plusH",1,0.197324
"5503","Menthol","Olfr491","plusH",0,0.340996
"5504","Menthol","Olfr491","plusH",0,0.469529
"5505","Menthol","Olfr491","plusH",0,0.495077
"5506","Menthol","Olfr491","minusD",316,4.426471
"5507","Menthol","Olfr491","minusD",316,4.780702
"5508","Menthol","Olfr491","minusD",316,3.592018
"5509","Menthol","Olfr491","minusD",100,2.224256
"5510","Menthol","Olfr491","minusD",100,2.719718
"5511","Menthol","Olfr491","minusD",100,2.339829
"5512","Menthol","Olfr491","minusD",31.6,1.664474
"5513","Menthol","Olfr491","minusD",31.6,2.042079
"5514","Menthol","Olfr491","minusD",31.6,1.861654
"5515","Menthol","Olfr491","minusD",10,1.284564
"5516","Menthol","Olfr491","minusD",10,1.076618
"5517","Menthol","Olfr491","minusD",10,1.391534
"5518","Menthol","Olfr491","minusD",3.16,0.74247
"5519","Menthol","Olfr491","minusD",3.16,0.701774
"5520","Menthol","Olfr491","minusD",3.16,0.838747
"5521","Menthol","Olfr491","minusD",1,0.630102
"5522","Menthol","Olfr491","minusD",1,0.74
"5523","Menthol","Olfr491","minusD",1,0.488474
"5524","Menthol","Olfr491","minusD",0,0.379571
"5525","Menthol","Olfr491","minusD",0,0.353717
"5526","Menthol","Olfr491","minusD",0,0.297798
"5653","Menthol","Olfr1085","plusH",316,0.454642
"5654","Menthol","Olfr1085","plusH",316,0.229478
"5655","Menthol","Olfr1085","plusH",316,0.453584
"5656","Menthol","Olfr1085","plusH",100,0.318553
"5657","Menthol","Olfr1085","plusH",100,0.155576
"5658","Menthol","Olfr1085","plusH",100,0.215686
"5659","Menthol","Olfr1085","plusH",31.6,0.205128
"5660","Menthol","Olfr1085","plusH",31.6,0.219429
"5661","Menthol","Olfr1085","plusH",31.6,0.246667
"5662","Menthol","Olfr1085","plusH",10,0.108879
"5663","Menthol","Olfr1085","plusH",10,0.206731
"5664","Menthol","Olfr1085","plusH",10,0.2109
"5665","Menthol","Olfr1085","plusH",3.16,0.199284
"5666","Menthol","Olfr1085","plusH",3.16,0.121921
"5667","Menthol","Olfr1085","plusH",3.16,0.237179
"5668","Menthol","Olfr1085","plusH",1,0.135392
"5669","Menthol","Olfr1085","plusH",1,0.129412
"5670","Menthol","Olfr1085","plusH",1,0.109471
"5671","Menthol","Olfr1085","plusH",0,0.177948
"5672","Menthol","Olfr1085","plusH",0,0.151776
"5673","Menthol","Olfr1085","plusH",0,0.138646
"5674","Menthol","Olfr1085","minusD",316,1.363007
"5675","Menthol","Olfr1085","minusD",316,1.235945
"5676","Menthol","Olfr1085","minusD",316,1.376771
"5677","Menthol","Olfr1085","minusD",100,1.245803
"5678","Menthol","Olfr1085","minusD",100,1.280549
"5679","Menthol","Olfr1085","minusD",100,1.12851
"5680","Menthol","Olfr1085","minusD",31.6,0.889941
"5681","Menthol","Olfr1085","minusD",31.6,0.822813
"5682","Menthol","Olfr1085","minusD",31.6,0.916244
"5683","Menthol","Olfr1085","minusD",10,0.546787
"5684","Menthol","Olfr1085","minusD",10,0.608235
"5685","Menthol","Olfr1085","minusD",10,0.494282
"5686","Menthol","Olfr1085","minusD",3.16,0.286307
"5687","Menthol","Olfr1085","minusD",3.16,0.309166
"5688","Menthol","Olfr1085","minusD",3.16,0.279871
"5689","Menthol","Olfr1085","minusD",1,0.288089
"5690","Menthol","Olfr1085","minusD",1,0.293902
"5691","Menthol","Olfr1085","minusD",1,0.223333
"5692","Menthol","Olfr1085","minusD",0,0.137931
"5693","Menthol","Olfr1085","minusD",0,0.142562
"5694","Menthol","Olfr1085","minusD",0,0.112798
"5821","Menthol","Olfr824","plusH",316,0.848117
"5822","Menthol","Olfr824","plusH",316,1.12531
"5823","Menthol","Olfr824","plusH",316,1.454142
"5824","Menthol","Olfr824","plusH",100,0.613303
"5825","Menthol","Olfr824","plusH",100,0.575439
"5826","Menthol","Olfr824","plusH",100,0.73903
"5827","Menthol","Olfr824","plusH",31.6,0.394495
"5828","Menthol","Olfr824","plusH",31.6,0.370326
"5829","Menthol","Olfr824","plusH",31.6,0.536306
"5830","Menthol","Olfr824","plusH",10,0.208136
"5831","Menthol","Olfr824","plusH",10,0.324053
"5832","Menthol","Olfr824","plusH",10,0.217812
"5833","Menthol","Olfr824","plusH",3.16,0.274862
"5834","Menthol","Olfr824","plusH",3.16,0.166667
"5835","Menthol","Olfr824","plusH",3.16,0.243954
"5836","Menthol","Olfr824","plusH",1,0.155844
"5837","Menthol","Olfr824","plusH",1,0.147059
"5838","Menthol","Olfr824","plusH",1,0.144482
"5839","Menthol","Olfr824","plusH",0,0.198157
"5840","Menthol","Olfr824","plusH",0,0.169916
"5841","Menthol","Olfr824","plusH",0,0.375635
"5842","Menthol","Olfr824","minusD",316,3.57984
"5843","Menthol","Olfr824","minusD",316,3.940904
"5844","Menthol","Olfr824","minusD",316,2.62905
"5845","Menthol","Olfr824","minusD",100,2.538999
"5846","Menthol","Olfr824","minusD",100,2.941832
"5847","Menthol","Olfr824","minusD",100,2.508108
"5848","Menthol","Olfr824","minusD",31.6,1.814149
"5849","Menthol","Olfr824","minusD",31.6,1.750293
"5850","Menthol","Olfr824","minusD",31.6,1.508197
"5851","Menthol","Olfr824","minusD",10,1.009412
"5852","Menthol","Olfr824","minusD",10,1.190349
"5853","Menthol","Olfr824","minusD",10,0.810327
"5854","Menthol","Olfr824","minusD",3.16,0.446855
"5855","Menthol","Olfr824","minusD",3.16,0.492047
"5856","Menthol","Olfr824","minusD",3.16,0.427239
"5857","Menthol","Olfr824","minusD",1,0.220982
"5858","Menthol","Olfr824","minusD",1,0.394417
"5859","Menthol","Olfr824","minusD",1,0.269874
"5860","Menthol","Olfr824","minusD",0,0.235763
"5861","Menthol","Olfr824","minusD",0,0.218
"5862","Menthol","Olfr824","minusD",0,0.18732
