"","logFC","FDR","symbol","response","odor"
"1",0.586315220748351,1,"Olfr1029","pCarvone","minus"
"2",1.50641339517579,0.286853136081084,"Olfr1047","pCarvone","minus"
"3",1.99800883522659,0.00481323082149458,"Olfr1168","both","minus"
"4",2.36477865653527,1.76203422966761e-05,"Olfr1333","both","minus"
"5",1.63364116384042,0.000280353751004993,"Olfr1463","both","minus"
"6",4.06835988593639,1.85518164479724e-09,"Olfr194","both","minus"
"7",2.58021171186322,7.01460067118388e-05,"Olfr203","nCarvone","minus"
"8",1.05465415759558,0.870348476128186,"Olfr47","pCarvone","minus"
"9",0.404189784976407,1,"Olfr488","pCarvone","minus"
"10",0.846856374475832,1,"Olfr502","pCarvone","minus"
"11",0.776460099865114,1,"Olfr506","pCarvone","minus"
"12",3.45032155013979,1.85518164479724e-09,"Olfr881","both","minus"
"13",1.60061024568023,0.182020339448981,"Olfr889","pCarvone","minus"
"14",4.20160844494765,1.36719819218736e-05,"Olfr902","both","minus"
"15",3.14811639198878,4.08320984882529e-09,"Olfr923","both","minus"
"16",3.28641079544993,3.59113781750714e-05,"Olfr935","both","minus"
"17",0.469954880097121,1,"Olfr968","pCarvone","minus"
