"","logFC","FDR","symbol","response","odor"
"1",0.790644101926583,0.896807499256286,"Olfr1056","pMenthol","minus"
"2",1.96711419994248,0.00393507497847797,"Olfr1085","nMenthol","minus"
"3",2.92934581905831,5.18509651095475e-46,"Olfr1110","both","minus"
"4",2.74181746828669,2.16884520886225e-06,"Olfr112","both","minus"
"5",0.169432110564079,0.9423326826551,"Olfr136","pMenthol","minus"
"6",3.27004190521164,0.00327017087590133,"Olfr1449","both","minus"
"7",1.93701613154874,0.05937704295856,"Olfr1451","pMenthol","minus"
"8",1.71552354440207,0.00791236159789844,"Olfr1454","both","minus"
"9",1.1487353752315,0.130964415485414,"Olfr1459","pMenthol","minus"
"10",0.973804985077365,0.582540364426442,"Olfr146","pMenthol","minus"
"11",0.556471514260813,0.274778710385889,"Olfr1463","pMenthol","minus"
"12",0.811167063575072,0.906946854619171,"Olfr1466","pMenthol","minus"
"13",3.65028795033373,1.85185678264344e-05,"Olfr1469","nMenthol","minus"
"14",1.95291327256867,2.71535307902664e-05,"Olfr1471","nMenthol","minus"
"15",1.46444569710372,0.00134940667388501,"Olfr1487","nMenthol","minus"
"16",1.48766511399991,0.000207225781585832,"Olfr1505","both","minus"
"17",1.04695522370112,0.330542692789785,"Olfr1537","pMenthol","minus"
"18",1.38764470890561,0.00402770304522769,"Olfr181","nMenthol","minus"
"19",2.35019320352899,1.86113381771194e-05,"Olfr202","nMenthol","minus"
"20",2.71239578410208,0.00185862418493249,"Olfr259","nMenthol","minus"
"21",0.737781934551139,0.103988311184766,"Olfr30","pMenthol","minus"
"22",0.605929585290769,0.924352613043568,"Olfr338","pMenthol","minus"
"23",0.289743273591145,0.924431708971397,"Olfr346","pMenthol","minus"
"24",0.528512751967221,0.924352613043568,"Olfr374","pMenthol","minus"
"25",0.96760002227263,0.0109295660611464,"Olfr43","both","minus"
"26",2.18281998203429,3.49918940150391e-21,"Olfr491","nMenthol","minus"
"27",1.5804704115146,0.924352613043568,"Olfr618","pMenthol","minus"
"28",1.92986117376056,1.72220381243596e-06,"Olfr824","nMenthol","minus"
"29",2.87257222451324,0.0224582780531397,"Olfr830","nMenthol","minus"
"30",3.20823946338897,4.30487503952154e-20,"Olfr913","both","minus"
"31",0.293018798891833,0.972339214368362,"Olfr935","pMenthol","minus"
"32",0.107345805981108,0.989738776639051,"Olfr937","pMenthol","minus"
"33",3.19329349581454,2.01896239391174e-12,"Olfr948","both","minus"
"34",0.976873598651055,0.860999296297751,"Olfr954","pMenthol","minus"
"35",1.45332156528747,0.0881645425702407,"Olfr968","pMenthol","minus"
"36",0.264240349755208,0.965602790839392,"Olfr972","pMenthol","minus"
"37",1.7385910640723,6.51486716342641e-09,"Olfr983","nMenthol","minus"
