,receptor,vivo_pref,vitro_ratio,vivo_ratio
0,Olfr716,both,-0.7986412910362999,-0.3933112557230001
1,Olfr599,p2Octanol,0.13574347165235912,0.281140003403748
2,Olfr824,both,-0.7942928522809218,0.018554738790470093
3,Olfr90,both,-0.556505086298289,0.0483166124760499
4,Olfr434,both,-0.11630119189844912,0.0005823885204701007
5,Olfr1411,p2Octanol,0.0024471564626624698,0.29803237212339195
6,Olfr398,p2Octanol,0.18122900145307153,0.383259675172393
7,Olfr476,p2Octanol,0.12257906189442114,1.1568855157993527
8,Olfr1107,both,-0.0753189122911131,0.15846310989760015
9,Olfr1370,p2Octanol,0.27031517483922674,0.23821088622750597
10,Olfr477,p2Octanol,0.0038631463316800563,0.9881680915250179
11,Olfr123,both,0.341869822778075,0.03347861280371012
12,Olfr1009,both,-0.4430963352727453,-0.5767412781397199
13,Olfr518,p2Octanol,0.5362886919794745,1.2764936589316003
14,Olfr715,both,-0.2985287621956818,-0.18111799675780005
