"","odor_set","tested_OR","specific_odorant","specific_conc","normLuc_val"
"1177","2Octanol","Olfr59","plusH",316,0.143372
"1178","2Octanol","Olfr59","plusH",316,0.11512
"1179","2Octanol","Olfr59","plusH",316,0.112957
"1180","2Octanol","Olfr59","plusH",100,0.07362
"1181","2Octanol","Olfr59","plusH",100,0.132974
"1182","2Octanol","Olfr59","plusH",100,0.123631
"1183","2Octanol","Olfr59","plusH",31.6,0.114621
"1184","2Octanol","Olfr59","plusH",31.6,0.116978
"1185","2Octanol","Olfr59","plusH",31.6,0.154107
"1186","2Octanol","Olfr59","plusH",10,0.10928
"1187","2Octanol","Olfr59","plusH",10,0.200855
"1188","2Octanol","Olfr59","plusH",10,0.13355
"1189","2Octanol","Olfr59","plusH",3.16,0.129101
"1190","2Octanol","Olfr59","plusH",3.16,0.170815
"1191","2Octanol","Olfr59","plusH",3.16,0.112253
"1192","2Octanol","Olfr59","plusH",1,0.134314
"1193","2Octanol","Olfr59","plusH",1,0.169924
"1194","2Octanol","Olfr59","plusH",1,0.089888
"1195","2Octanol","Olfr59","plusH",0,0.110266
"1196","2Octanol","Olfr59","plusH",0,0.096799
"1197","2Octanol","Olfr59","plusH",0,0.081952
"1198","2Octanol","Olfr59","minusD",316,0.079043
"1199","2Octanol","Olfr59","minusD",316,0.118819
"1200","2Octanol","Olfr59","minusD",316,0.147037
"1201","2Octanol","Olfr59","minusD",100,0.09682
"1202","2Octanol","Olfr59","minusD",100,0.111473
"1203","2Octanol","Olfr59","minusD",100,0.150033
"1204","2Octanol","Olfr59","minusD",31.6,0.064571
"1205","2Octanol","Olfr59","minusD",31.6,0.102011
"1206","2Octanol","Olfr59","minusD",31.6,0.203988
"1207","2Octanol","Olfr59","minusD",10,0.110518
"1208","2Octanol","Olfr59","minusD",10,0.115804
"1209","2Octanol","Olfr59","minusD",10,0.09811
"1210","2Octanol","Olfr59","minusD",3.16,0.114943
"1211","2Octanol","Olfr59","minusD",3.16,0.128858
"1212","2Octanol","Olfr59","minusD",3.16,0.162202
"1213","2Octanol","Olfr59","minusD",1,0.106504
"1214","2Octanol","Olfr59","minusD",1,0.155462
"1215","2Octanol","Olfr59","minusD",1,0.128917
"1216","2Octanol","Olfr59","minusD",0,0.138782
"1217","2Octanol","Olfr59","minusD",0,0.113449
"1218","2Octanol","Olfr59","minusD",0,0.197955
"1219","2Octanol","Olfr59","pCI_plusH",316,0.017773
"1220","2Octanol","Olfr59","pCI_plusH",316,0.048976
"1221","2Octanol","Olfr59","pCI_plusH",316,0.077985
"1222","2Octanol","Olfr59","pCI_plusH",100,0.116775
"1223","2Octanol","Olfr59","pCI_plusH",100,0.050435
"1224","2Octanol","Olfr59","pCI_plusH",100,0.121032
"1225","2Octanol","Olfr59","pCI_plusH",31.6,0.12754
"1226","2Octanol","Olfr59","pCI_plusH",31.6,0.071579
"1227","2Octanol","Olfr59","pCI_plusH",31.6,0.054422
"1228","2Octanol","Olfr59","pCI_plusH",10,0.070847
"1229","2Octanol","Olfr59","pCI_plusH",10,0.064463
"1230","2Octanol","Olfr59","pCI_plusH",10,0.05367
"1231","2Octanol","Olfr59","pCI_plusH",3.16,0.017086
