"","odor_set","tested_OR","specific_odorant","specific_conc","normLuc_val"
"1345","2Octanol","Olfr716","plusH",316,0.208583
"1346","2Octanol","Olfr716","plusH",316,0.115479
"1347","2Octanol","Olfr716","plusH",316,0.175147
"1348","2Octanol","Olfr716","plusH",100,0.151515
"1349","2Octanol","Olfr716","plusH",100,0.085206
"1350","2Octanol","Olfr716","plusH",100,0.153271
"1351","2Octanol","Olfr716","plusH",31.6,0.176471
"1352","2Octanol","Olfr716","plusH",31.6,0.148734
"1353","2Octanol","Olfr716","plusH",31.6,0.144928
"1354","2Octanol","Olfr716","plusH",10,0.13466
"1355","2Octanol","Olfr716","plusH",10,0.125644
"1356","2Octanol","Olfr716","plusH",10,0.23865
"1357","2Octanol","Olfr716","plusH",3.16,0.170782
"1358","2Octanol","Olfr716","plusH",3.16,0.13811
"1359","2Octanol","Olfr716","plusH",3.16,0.178174
"1360","2Octanol","Olfr716","plusH",1,0.149171
"1361","2Octanol","Olfr716","plusH",1,0.236659
"1362","2Octanol","Olfr716","plusH",1,0.174717
"1363","2Octanol","Olfr716","plusH",0,0.184855
"1364","2Octanol","Olfr716","plusH",0,0.252721
"1365","2Octanol","Olfr716","plusH",0,0.091503
"1366","2Octanol","Olfr716","minusD",316,0.389061
"1367","2Octanol","Olfr716","minusD",316,0.34657
"1368","2Octanol","Olfr716","minusD",316,0.445344
"1369","2Octanol","Olfr716","minusD",100,0.269713
"1370","2Octanol","Olfr716","minusD",100,0.30993
"1371","2Octanol","Olfr716","minusD",100,0.224274
"1372","2Octanol","Olfr716","minusD",31.6,0.248402
"1373","2Octanol","Olfr716","minusD",31.6,0.227824
"1374","2Octanol","Olfr716","minusD",31.6,0.212938
"1375","2Octanol","Olfr716","minusD",10,0.199805
"1376","2Octanol","Olfr716","minusD",10,0.124558
"1377","2Octanol","Olfr716","minusD",10,0.138634
"1378","2Octanol","Olfr716","minusD",3.16,0.134935
"1379","2Octanol","Olfr716","minusD",3.16,0.09541
"1380","2Octanol","Olfr716","minusD",3.16,0.102591
"1381","2Octanol","Olfr716","minusD",1,0.232992
"1382","2Octanol","Olfr716","minusD",1,0.15343
"1383","2Octanol","Olfr716","minusD",1,0.210366
"1384","2Octanol","Olfr716","minusD",0,0.147872
"1385","2Octanol","Olfr716","minusD",0,0.130823
"1386","2Octanol","Olfr716","minusD",0,0.146977
"1429","2Octanol","Olfr599","plusH",316,8.439753
"1430","2Octanol","Olfr599","plusH",316,8.962555
"1431","2Octanol","Olfr599","plusH",316,8.40603
"1432","2Octanol","Olfr599","plusH",100,13.35891
"1433","2Octanol","Olfr599","plusH",100,9.337006
"1434","2Octanol","Olfr599","plusH",100,11.14679
"1435","2Octanol","Olfr599","plusH",31.6,14.08571
"1436","2Octanol","Olfr599","plusH",31.6,12.36533
"1437","2Octanol","Olfr599","plusH",31.6,10.43376
"1438","2Octanol","Olfr599","plusH",10,15.30083
"1439","2Octanol","Olfr599","plusH",10,13.20837
"1440","2Octanol","Olfr599","plusH",10,16.17702
"1441","2Octanol","Olfr599","plusH",3.16,11.93009
"1442","2Octanol","Olfr599","plusH",3.16,14.3716
"1443","2Octanol","Olfr599","plusH",3.16,13.74613
"1444","2Octanol","Olfr599","plusH",1,13.54767
"1445","2Octanol","Olfr599","plusH",1,13.95636
"1446","2Octanol","Olfr599","plusH",1,15.56527
"1447","2Octanol","Olfr599","plusH",0,11.94432
"1448","2Octanol","Olfr599","plusH",0,16.80187
"1449","2Octanol","Olfr599","plusH",0,14.92105
"1450","2Octanol","Olfr599","minusD",316,10.52468
"1451","2Octanol","Olfr599","minusD",316,13.12245
"1452","2Octanol","Olfr599","minusD",316,11.83678
"1453","2Octanol","Olfr599","minusD",100,10.13107
"1454","2Octanol","Olfr599","minusD",100,12.20313
"1455","2Octanol","Olfr599","minusD",100,12.0974
"1456","2Octanol","Olfr599","minusD",31.6,12.88345
"1457","2Octanol","Olfr599","minusD",31.6,13.74477
"1458","2Octanol","Olfr599","minusD",31.6,12.10366
"1459","2Octanol","Olfr599","minusD",10,14.17462
"1460","2Octanol","Olfr599","minusD",10,12.6164
"1461","2Octanol","Olfr599","minusD",10,14.10726
"1462","2Octanol","Olfr599","minusD",3.16,13.19162
"1463","2Octanol","Olfr599","minusD",3.16,12.47919
"1464","2Octanol","Olfr599","minusD",3.16,14.78703
"1465","2Octanol","Olfr599","minusD",1,12.94968
"1466","2Octanol","Olfr599","minusD",1,14.04237
"1467","2Octanol","Olfr599","minusD",1,13.96872
"1468","2Octanol","Olfr599","minusD",0,14.03055
"1469","2Octanol","Olfr599","minusD",0,20.25403
"1470","2Octanol","Olfr599","minusD",0,15.10761
"1513","2Octanol","Olfr824","plusH",316,1.254545
"1514","2Octanol","Olfr824","plusH",316,1.35377
"1515","2Octanol","Olfr824","plusH",316,1.228106
"1516","2Octanol","Olfr824","plusH",100,1.062997
"1517","2Octanol","Olfr824","plusH",100,1.076973
"1518","2Octanol","Olfr824","plusH",100,1.130937
"1519","2Octanol","Olfr824","plusH",31.6,0.904661
"1520","2Octanol","Olfr824","plusH",31.6,1.004843
"1521","2Octanol","Olfr824","plusH",31.6,0.829759
"1522","2Octanol","Olfr824","plusH",10,0.56975
"1523","2Octanol","Olfr824","plusH",10,0.720833
"1524","2Octanol","Olfr824","plusH",10,0.671653
"1525","2Octanol","Olfr824","plusH",3.16,0.501837
"1526","2Octanol","Olfr824","plusH",3.16,0.600518
"1527","2Octanol","Olfr824","plusH",3.16,0.422741
"1528","2Octanol","Olfr824","plusH",1,0.518955
"1529","2Octanol","Olfr824","plusH",1,0.39107
"1530","2Octanol","Olfr824","plusH",1,0.446067
"1531","2Octanol","Olfr824","plusH",0,0.385292
"1532","2Octanol","Olfr824","plusH",0,0.474813
"1533","2Octanol","Olfr824","plusH",0,0.384501
"1534","2Octanol","Olfr824","minusD",316,3.057906
"1535","2Octanol","Olfr824","minusD",316,2.615482
