"","logFC","FDR","symbol","response","odor"
"1",1.66886416056759,0.0448423455637037,"Olfr1029","pCarvone","plus"
"2",2.03027928041956,0.000166768157857736,"Olfr1047","pCarvone","plus"
"3",1.62872487020876,0.0187564015600467,"Olfr1168","both","plus"
"4",1.66435162418466,0.0139248580480546,"Olfr1333","both","plus"
"5",1.66772019901058,7.82860466266188e-07,"Olfr1463","both","plus"
"6",2.97816283025806,0.000283698230974241,"Olfr194","both","plus"
"7",0.963735161416211,0.838246630665332,"Olfr203","nCarvone","plus"
"8",1.26544439495732,0.00242760586379603,"Olfr47","pCarvone","plus"
"9",1.3750969583209,0.000592004085446066,"Olfr488","pCarvone","plus"
"10",1.77049793232289,4.78939909938286e-06,"Olfr502","pCarvone","plus"
"11",2.5119791599721,9.62871262721507e-15,"Olfr506","pCarvone","plus"
"12",3.40686184763867,3.46762091313518e-18,"Olfr881","both","plus"
"13",2.00530381577869,0.000154162249679451,"Olfr889","pCarvone","plus"
"14",4.23125320616591,4.78939909938286e-06,"Olfr902","both","plus"
"15",3.79461964546985,2.3164368895586e-26,"Olfr923","both","plus"
"16",2.63710293723662,8.26692755909195e-06,"Olfr935","both","plus"
"17",1.457307044497,0.00684221170834992,"Olfr968","pCarvone","plus"
