"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s1",0.928865809482096,3.57031835749487,0.668718263563396,0.00553088511155224,0.616275383991338,0.0115578515453175,0,321,321,321
"s2",0.928765333418657,3.57522264646645,0.646914347557912,0.00586962422106704,0.601207303235879,0.0120194084692513,0.003003003003003,321,321,321
"s3",0.928636615628408,3.58153451937055,0.630868863466839,0.00610619390263618,0.587927357387054,0.0124256156926039,0.00600600600600601,321,321,321
"s4",0.928499557826037,3.58827359343828,0.618484330492464,0.00628067111932787,0.576131464347824,0.0127604213255383,0.00900900900900901,321,321,321
"s5",0.928364394048755,3.59493711375279,0.60838009446833,0.00641829023948473,0.565518878100339,0.0130408485350133,0.012012012012012,321,321,321
"s6",0.92823205282809,3.60147674279043,0.599772825964908,0.00653228314479976,0.555928432532648,0.0132795660565895,0.015015015015015,321,321,321
"s7",0.928102822051227,3.60787645648268,0.592316279417977,0.00662893073812398,0.547118508262277,0.013487106660881,0.018018018018018,321,321,321
"s8",0.927978425802006,3.61405085007367,0.585762451059615,0.00671246270926097,0.539152401629585,0.013667486603004,0.021021021021021,321,321,321
"s9",0.927854914375206,3.62019084609235,0.579837309550311,0.0067866346159724,0.531747891755408,0.0138283114627871,0.024024024024024,321,321,321
"s10",0.927734871668021,3.6261700521863,0.574569893183377,0.00685201055879825,0.525026365953071,0.0139703183851579,0.027027027027027,321,321,321
"s11",0.927618421325444,3.63198163699769,0.569726236927204,0.00691134847147081,0.518740038710788,0.0140989161916432,0.03003003003003,321,321,321
"s12",0.927504410887391,3.63768101660958,0.56525468953743,0.00696553685243731,0.512870198461036,0.0142158227571317,0.033033033033033,321,321,321
"s13",0.92739601456062,3.64311300088544,0.561184457833408,0.00701464473753813,0.507459077955528,0.0143215671024387,0.036036036036036,321,321,321
"s14",0.927285112531086,3.64867196293339,0.557411057330881,0.00705987729934285,0.502321050685197,0.0144194705653345,0.039039039039039,321,321,321
"s15",0.927176317926485,3.65413356501,0.553831464651006,0.00710230524296837,0.497565394540452,0.0145088395341377,0.042042042042042,321,321,321
"s16",0.927072103711861,3.65937686333359,0.55053586766559,0.00714134072520195,0.493001218473608,0.0145926645404819,0.045045045045045,321,321,321
"s17",0.926968184309606,3.66460987574347,0.547448016684523,0.0071777837679286,0.488771747111279,0.0146696113082511,0.048048048048048,321,321,321
"s18",0.926864619910068,3.66982945645052,0.544461184095775,0.00721262719189807,0.484781634055359,0.0147412389907268,0.0510510510510511,321,321,321
"s19",0.926761638719891,3.67502436063144,0.541709582509013,0.00724488122392635,0.480901149378978,0.0148094853930932,0.0540540540540541,321,321,321
"s20",0.926659765886099,3.68016905831023,0.539102262251823,0.00727535815841793,0.477297930352705,0.0148725726795779,0.0570570570570571,321,321,321
"s21",0.926560067500285,3.68521171485253,0.536626530134434,0.00730422989494378,0.473867598001882,0.0149319552267344,0.0600600600600601,321,321,321
"s22",0.926464617196028,3.69004958681046,0.534271142569323,0.00733164636096515,0.470601388462186,0.0149879184046427,0.0630630630630631,321,321,321
"s23",0.926363913847548,3.69514688621097,0.532026040482908,0.0073577396571374,0.467496208087387,0.015040670759925,0.0660660660660661,321,321,321
"s24",0.92626692987012,3.70006735167818,0.52988219844458,0.00738262671489027,0.464425714882188,0.0150918629991622,0.0690690690690691,321,321,321
"s25",0.926176968187033,3.70464732379963,0.527831606679504,0.00740641024947977,0.461576075931073,0.0151394775674615,0.0720720720720721,321,321,321
"s26",0.926084367445886,3.70935750188029,0.525867358956098,0.00742917880430332,0.458843620716975,0.0151847894236471,0.0750750750750751,321,321,321
"s27",0.925986864408757,3.71431056017546,0.523983727331158,0.00745100799775884,0.45622078053416,0.015227979099265,0.0780780780780781,321,321,321
"s28",0.925897034399352,3.71889053657848,0.522175895419832,0.00747196499735236,0.453700807771265,0.0152692074819838,0.0810810810810811,321,321,321
"s29",0.925803641103832,3.7236451109425,0.520439082232454,0.00749211399299514,0.451277332474169,0.0153086222721175,0.0840840840840841,321,321,321
"s30",0.925703804606868,3.72871870967827,0.518767987167339,0.0075115124856632,0.448943708001342,0.0153463632388898,0.0870870870870871,321,321,321
"s31",0.92561203497721,3.73340439894732,0.517157871091971,0.00753019650134394,0.446693367586803,0.0153825551594513,0.0900900900900901,321,321,321
"s32",0.925534055792396,3.73741297445828,0.515608232651166,0.00754818210939011,0.444521880635403,0.0154172871144396,0.0930930930930931,321,321,321
"s33",0.925438073602703,3.74230600208047,0.514085325059026,0.0075657224778449,0.442428427373472,0.0154506037400404,0.0960960960960961,321,321,321
"s34",0.925354111805892,3.74661302939529,0.512637272311921,0.0075825920287786,0.440417400932036,0.0154825030903147,0.0990990990990991,321,321,321
"s35",0.925268032986542,3.75102499902853,0.511236547655527,0.00759893063006599,0.438388745813975,0.0155141154972143,0.102102102102102,321,321,321
"s36",0.92517840234402,3.75561712407763,0.509880492516447,0.00761477000373328,0.436499683217631,0.0155438559749304,0.105105105105105,321,321,321
"s37",0.925105624666219,3.75938034986821,0.508566654802542,0.00763013923405327,0.434669983348107,0.0155725573287209,0.108108108108108,321,321,321
"s38",0.925012831605318,3.76412973106249,0.507292768736652,0.00764506504244009,0.432896592200361,0.0156002807191058,0.111111111111111,321,321,321
"s39",0.924935824317707,3.76810856442121,0.506056736944978,0.00765957202849501,0.431176668852766,0.0156270824168255,0.114114114114114,321,321,321
"s40",0.924858735845505,3.77209249873525,0.50485661436495,0.0076736828830007,0.429507567107229,0.0156530142893194,0.117117117117117,321,321,321
"s41",0.924781404583681,3.77608919392557,0.50369059375592,0.00768741857708009,0.427886818858746,0.0156781242297106,0.12012012012012,321,321,321
"s42",0.924703590617701,3.78011009236717,0.502556992903716,0.00770079852953279,0.426312118933763,0.0157024565364593,0.123123123123123,321,321,321
"s43",0.924624930086535,3.78417270993777,0.501454243800453,0.00771384075246927,0.42478131126165,0.0157260522506697,0.126126126126126,321,321,321
"s44",0.92454486252087,3.78830442515888,0.5003808838476,0.00772656197553159,0.42329237640406,0.0157489494568144,0.129129129129129,321,321,321
"s45",0.924462518852586,3.79254885642348,0.499335548350185,0.0077389777524736,0.421843420590765,0.0157711835513064,0.132132132132132,321,321,321
"s46",0.924376511343435,3.796981229953,0.498316962696841,0.00775110255919766,0.420432666385628,0.0157927874819996,0.135135135135135,321,321,321
"s47",0.92431153676044,3.80037648069377,0.497323932759355,0.00776294989406334,0.419058444840948,0.0158137919606873,0.138138138138138,321,321,321
"s48",0.924223985639307,3.80488432711763,0.496355334168454,0.00777453238283464,0.417719188524169,0.0158342256505469,0.141141141141141,321,321,321
"s49",0.924157076908899,3.80837529823793,0.495410104451309,0.0077858618724153,0.4164134243694,0.0158541153317146,0.144144144144144,321,321,321
