"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s1",0.859364444535169,6.80434191760454,0.537591956971569,0.00711345240518501,0.434331590316994,0.0151200623678643,0,128,128,128
"s2",0.859342141804768,6.8053668420205,0.530340524143762,0.00720446704380289,0.429756819142328,0.0152143154524402,0.003003003003003,128,128,128
"s3",0.859312145866478,6.80677673048962,0.522760704816222,0.00729568447973306,0.424059673367249,0.0153268768843846,0.00600600600600601,128,128,128
"s4",0.859276193680346,6.80849034762863,0.516514873697703,0.00736896721545095,0.418721857006614,0.0154272004169639,0.00900900900900901,128,128,128
"s5",0.859241763058985,6.81016965473336,0.511310433739514,0.00742922508886213,0.413910371296884,0.0155143743140422,0.012012012012012,128,128,128
"s6",0.859205641542599,6.81195494026891,0.506887357167941,0.0074801267582991,0.40955492181448,0.0155910531150452,0.015015015015015,128,128,128
"s7",0.859165929118776,6.81393050436768,0.50306329426385,0.00752407660974426,0.405700429669059,0.0156577683422537,0.018018018018018,128,128,128
"s8",0.859124709097337,6.81599992259293,0.499649617543904,0.0075631816942497,0.402211426680012,0.0157172194593826,0.021021021021021,128,128,128
"s9",0.85908061433059,6.81822497927014,0.496657745984535,0.00759776872964406,0.399034603899661,0.0157706991370823,0.024024024024024,128,128,128
"s10",0.859036776378869,6.82045977237114,0.49393574155913,0.00762927610253098,0.396116797830419,0.0158193428822762,0.027027027027027,128,128,128
"s11",0.858988694654656,6.82291074485993,0.491446989227536,0.00765820340729409,0.393481042409028,0.0158631342646926,0.03003003003003,128,128,128
"s12",0.858942082613384,6.82531366925217,0.489196091279199,0.00768463651403858,0.390991350773418,0.0159040916838804,0.033033033033033,128,128,128
"s13",0.858891999789915,6.82789462459721,0.487075257382859,0.00770953476389514,0.38872636750667,0.0159413871745999,0.036036036036036,128,128,128
"s14",0.858841118512755,6.83053131474459,0.485138908468611,0.00773257479229237,0.386611750572289,0.0159760912170227,0.039039039039039,128,128,128
"s15",0.858790687801785,6.83316346516662,0.483329224765947,0.00775425567012141,0.38463379927558,0.016008465458259,0.042042042042042,128,128,128
"s16",0.858737120789082,6.83595692756016,0.481632956433834,0.0077747272984141,0.382735450287854,0.0160393200079079,0.045045045045045,128,128,128
"s17",0.858684526601828,6.83872069943667,0.480038816803365,0.00779410098061026,0.380983000035627,0.0160679491166727,0.048048048048048,128,128,128
"s18",0.858628922125263,6.84163965845492,0.478502624526621,0.00781273552443687,0.379326361432629,0.0160950042388485,0.0510510510510511,128,128,128
"s19",0.858575268517224,6.84448222899572,0.477072724652565,0.0078303722446063,0.377756807620548,0.016120635583053,0.0540540540540541,128,128,128
"s20",0.858519749921458,6.8474234235783,0.475712957218489,0.00784726272568908,0.376269016237619,0.0161449275252385,0.0570570570570571,128,128,128
"s21",0.858461198640791,6.85052023886544,0.474416477417615,0.00786347906406003,0.374814501450417,0.0161684973729952,0.0600600600600601,128,128,128
"s22",0.858405520038035,6.85349648482896,0.473177164308331,0.00787908659545214,0.373462139940033,0.0161906251391742,0.0630630630630631,128,128,128
"s23",0.858348555124556,6.85654247613099,0.471990972090705,0.00789413422849807,0.372168545410184,0.0162118095888179,0.0660660660660661,128,128,128
"s24",0.858289737101085,6.85968447339773,0.470855892324525,0.00790864941535289,0.370929562305843,0.0162321269801572,0.0690690690690691,128,128,128
"s25",0.858227664850828,6.86299133829774,0.469769062151976,0.00792264272214462,0.369742217961638,0.0162516367251969,0.0720720720720721,128,128,128
"s26",0.858169335148485,6.86613542190318,0.468695049644324,0.00793633173322417,0.368603012924299,0.0162703888717092,0.0750750750750751,128,128,128
