"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"8","ENSMUSG00000096436",2.55335211560786,2.07554825816913,27.3644587305515,1.68499829973222e-07,0.000185686812630491,19,28,27,437,150,90,"Olfr1437","olfactory receptor 1437"
"22","ENSMUSG00000060049",1.75875307361939,3.06489721844481,16.5426253646249,4.75686209689212e-05,0.0262103101538756,263,24,35,629,63,436,"Olfr235","olfactory receptor 235"
"37","ENSMUSG00000060523",1.1437733028846,4.43006928559202,14.2123635365779,0.000163294093061394,0.0599833635178854,198,410,312,285,2232,796,"Olfr726","olfactory receptor 726"
"48","ENSMUSG00000109449",1.39354885061325,1.52413926111903,12.2409553981694,0.000467518844848218,0.128801441755684,39,37,39,68,232,120,"Olfr1280","olfactory receptor 1280"
"56","ENSMUSG00000049041",1.07166022068532,2.18582483497287,11.4129448946171,0.000729341299122107,0.138750039283627,23,142,84,84,340,184,"Olfr398","olfactory receptor 398"
"57","ENSMUSG00000062757",1.46248320437166,1.66242253665893,11.3476257213687,0.000755444859983448,0.138750039283627,18,50,36,36,393,81,"Olfr1206","olfactory receptor 1206"
"74","ENSMUSG00000075121",1.95774013274239,0.897230833622677,10.7378518042145,0.00104966114349511,0.146329093723355,11,11,20,30,242,40,"Olfr1195","olfactory receptor 1195"
"80","ENSMUSG00000046650",1.44399563320449,2.90472739587523,10.5294174065527,0.00117489243881637,0.146329093723355,112,39,49,864,46,177,"Olfr1440","olfactory receptor 1440"
"89","ENSMUSG00000059887",0.993307491023234,4.28800465926947,10.0855201747073,0.00149438970673183,0.146329093723355,215,358,343,298,1871,705,"Olfr1507","olfactory receptor 1507"
"90","ENSMUSG00000050158",1.94250824596835,0.994234269626796,10.0287569156221,0.00154115010401358,0.146329093723355,2,22,26,15,286,34,"Olfr165","olfactory receptor 165"
"92","ENSMUSG00000059910",1.71413039881453,1.2155811982751,9.95562621265659,0.0016035857159273,0.146329093723355,14,22,22,19,305,67,"Olfr1265","olfactory receptor 1265"
"95","ENSMUSG00000099486",0.755663542626558,3.45798527019069,9.87308846109052,0.00167713747272908,0.146329093723355,140,224,289,261,541,583,"Olfr1228","olfactory receptor 1228"
"98","ENSMUSG00000101480",1.79987771759525,0.646095703982791,9.78141529817977,0.00176284570585193,0.146329093723355,13,14,13,16,182,55,"Olfr1220","olfactory receptor 1220"
"101","ENSMUSG00000049372",1.31007474080189,1.21640592947006,9.68380719854354,0.00185899030138563,0.146329093723355,16,37,39,35,234,76,"Olfr1183","olfactory receptor 1183"
"109","ENSMUSG00000094133",1.65197158872564,1.30417367143325,9.34926830224718,0.00223074511521701,0.160377099145715,94,6,16,116,36,157,"Olfr1431","olfactory receptor 1431"
"111","ENSMUSG00000052417",1.07419436078953,2.68818126802791,9.27067075730639,0.00232852412552762,0.160377099145715,66,147,71,90,688,185,"Olfr720","olfactory receptor 720"
"126","ENSMUSG00000064084",1.65924091115503,-0.0236611729367452,8.65144478308611,0.00326802114457345,0.211844664783526,1,16,20,10,84,44,"Olfr1202","olfactory receptor 1202"
"134","ENSMUSG00000075097",0.764744401193544,3.41159422186172,8.37050169193589,0.00381360327681704,0.233477267280688,159,200,264,283,622,443,"Olfr1226","olfactory receptor 1226"
