"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000036658",3.02847536983111,3.5270527082075,111.792120961669,3.9680968757926e-26,4.37284275712345e-23,59,120,98,671,697,880,"Olfr11","olfactory receptor 11"
"2","ENSMUSG00000074947",3.01729178385184,3.1249435201083,103.22609299958,2.99002035671586e-24,1.64750121655044e-21,56,77,74,550,632,524,"Olfr1312","olfactory receptor 1312"
"3","ENSMUSG00000036744",2.91912647589638,3.5242840879412,86.1034453166109,1.70765065498908e-20,6.27277007265989e-18,48,112,150,654,760,792,"Olfr701","olfactory receptor 701"
"4","ENSMUSG00000067186",1.82169104543176,4.10656200317542,61.4890033019261,4.45222824117066e-15,1.22658888044252e-12,222,325,276,874,992,1085,"Olfr132","olfactory receptor 132"
"5","ENSMUSG00000109354",2.35369042084172,2.82825689205323,50.427008455367,1.23680319354332e-12,2.72591423856948e-10,63,99,83,452,583,279,"Olfr706","olfactory receptor 706"
"6","ENSMUSG00000109449",2.19276543745579,2.71906528797099,37.2762005689971,1.02528220104848e-09,1.88310164259237e-07,34,133,112,341,429,387,"Olfr1280","olfactory receptor 1280"
"9","ENSMUSG00000109058",2.00759285912364,2.75492934626542,29.4086066528211,5.86167416375e-08,9.22794989778929e-06,57,123,112,462,476,253,"Olfr705","olfactory receptor 705"
"10","ENSMUSG00000059864",2.16716860812174,2.37869496855215,27.6690946562964,1.43944137657686e-07,1.98283049623462e-05,42,102,59,310,178,443,"Olfr1393","olfactory receptor 1393"
"11","ENSMUSG00000062497",1.68945565310499,3.60590145807558,26.9202948659288,2.12020801130392e-07,2.59607692050769e-05,90,327,254,617,846,536,"Olfr1411","olfactory receptor 1411"
"13","ENSMUSG00000068535",1.49572830299491,4.68338193623953,23.4428392821888,1.28680806521327e-06,0.000141806248786502,264,515,756,1582,1237,1283,"Olfr169","olfactory receptor 169"
"20","ENSMUSG00000068806",1.4205461254364,2.22950828964041,20.9081962101411,4.81828546935897e-06,0.000482704598839417,60,109,108,215,290,235,"Olfr1259","olfactory receptor 1259"
"21","ENSMUSG00000090874",1.4135416757908,2.43211701921101,20.3925277281569,6.30756028797914e-06,0.000579244286446084,76,139,107,312,275,270,"Olfr733","olfactory receptor 733"
"25","ENSMUSG00000043605",1.76306608964252,1.38497191192075,19.7023602771747,9.04895321248028e-06,0.000767072803088713,25,41,64,150,170,112,"Olfr13","olfactory receptor 13"
"26","ENSMUSG00000060480",1.32609871912374,3.51823230189945,19.2248952424191,1.16188256274547e-05,0.000914567560103934,148,266,309,637,644,504,"Olfr171","olfactory receptor 171"
"28","ENSMUSG00000075378",2.16263551562852,2.32933704118909,18.2777738370529,1.90921803398717e-05,0.00140263884896924,25,90,88,397,359,146,"Olfr361","olfactory receptor 361"
"35","ENSMUSG00000044205",1.22116869976272,2.20821821199605,16.1210217761501,5.94207909633158e-05,0.00409260697759838,81,123,94,243,279,187,"Olfr983","olfactory receptor 983"
"37","ENSMUSG00000061210",1.64427429993628,1.56769667538634,15.8689895522205,6.78819372316903e-05,0.00440034675466604,32,51,70,178,210,100,"Olfr47","olfactory receptor 47"
"40","ENSMUSG00000056600",1.20387572229878,2.73946681403504,15.3581753611379,8.89352652561563e-05,0.00542324428787635,90,178,178,323,346,339,"Olfr90","olfactory receptor 90"
"41","ENSMUSG00000043383",1.45147241693217,2.06924880256511,15.2635364916099,9.3504211859937e-05,0.00542324428787635,33,125,100,193,183,275,"Olfr1342","olfactory receptor 1342"
"56","ENSMUSG00000075210",1.17943238391015,1.27370465533577,13.6592875090203,0.000219154641229118,0.0120754207317244,41,56,60,110,117,134,"Olfr1012","olfactory receptor 1012"
"66","ENSMUSG00000043226",1.21918871497072,1.27496703799477,12.5014806025429,0.000406629629023547,0.0213383738659023,24,92,49,89,140,126,"Olfr1009","olfactory receptor 1009"
"74","ENSMUSG00000059043",0.970119317195581,5.10798060883127,11.5937074528472,0.00066175352488305,0.0331478356555055,372,1356,1005,1498,1627,1710,"Olfr15","olfactory receptor 15"
"77","ENSMUSG00000048933",1.37388133652866,1.59914216243439,11.4379494031273,0.000719591608183098,0.0344778240094684,46,64,59,247,172,74,"Olfr722","olfactory receptor 722"
"89","ENSMUSG00000063827",0.95233668114348,2.75786555881801,10.7596359599255,0.00103737786028206,0.0476329334179512,99,232,177,259,390,315,"Olfr1382","olfactory receptor 1382"
"98","ENSMUSG00000060057",1.84979735802028,0.790637677868989,10.50186629722,0.00119254033044209,0.0525671777658873,10,31,37,126,130,37,"Olfr193","olfactory receptor 193"
"106","ENSMUSG00000047050",1.66086705976734,-0.39827307395198,10.1842482939685,0.00141645454002083,0.0600358808885752,5,15,18,27,49,40,"Olfr914","olfactory receptor 914"
"111","ENSMUSG00000046493",1.12409739554897,2.24242425403187,10.0735258995641,0.00150414913246657,0.0613915682954874,67,122,134,253,282,171,"Olfr1352","olfactory receptor 1352"
"122","ENSMUSG00000073955",-3.89148541004904,-2.68794418773212,9.55586800664294,0.00199311243281915,0.0761189928111289,3,9,9,1,0,0,"Olfr593","olfactory receptor 593"
"124","ENSMUSG00000073900",1.27743319044074,1.12956888612693,9.54666407239231,0.00200313138976655,0.0761189928111289,21,55,65,118,129,81,"Olfr704","olfactory receptor 704"
"128","ENSMUSG00000044985",0.874308267740404,5.11394095160605,9.43930303116684,0.00212384190234974,0.0780157925463138,378,1118,1343,1431,1524,1755,"Olfr124","olfactory receptor 124"
"132","ENSMUSG00000093877",1.02581825134513,4.49118572517048,9.36203617603012,0.00221525914353003,0.078748889553874,302,766,559,1527,1128,700,"Olfr1348","olfactory receptor 1348"
