"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"14","ENSMUSG00000108919",1.802594433729,2.39820446527079,30.5077188724489,3.32540768627922e-08,3.6645992702797e-05,52,95,102,212,400,249,"Olfr1295","olfactory receptor 1295"
"19","ENSMUSG00000059279",1.43421750064098,3.6478624693946,26.2726122225687,2.96463199161753e-07,0.000163351222738126,92,360,320,410,894,577,"Olfr224","olfactory receptor 224"
"22","ENSMUSG00000050158",1.70810624084149,1.10490480721101,23.2012843825457,1.4589985245333e-06,0.000535938791345232,21,47,40,93,144,104,"Olfr165","olfactory receptor 165"
"25","ENSMUSG00000056959",1.29506296555476,2.93038541172136,21.7516847184076,3.10317242886528e-06,0.000854924004152385,67,268,157,213,553,354,"Olfr315","olfactory receptor 315"
"29","ENSMUSG00000040328",1.39130398950274,3.00977766468313,19.8237415958477,8.49213062290291e-06,0.0018716655892878,81,253,176,395,431,390,"Olfr56","olfactory receptor 56"
"34","ENSMUSG00000050763",1.51504388716652,4.24750155054038,18.7159383368278,1.5170910981861e-05,0.00278639065033514,157,484,439,911,1509,546,"Olfr1395","olfactory receptor 1395"
"74","ENSMUSG00000075113",1.3561207643403,0.920358956454378,12.0620257644681,0.000514593431289397,0.0810117087544165,19,60,39,102,97,81,"Olfr1209","olfactory receptor 1209"
"248","ENSMUSG00000062272",1.86638050754965,-1.40709437475202,7.61582945325623,0.00578581401727069,0.796995880879038,3,4,8,11,21,22,"Olfr1129","olfactory receptor 1129"
"295","ENSMUSG00000089892",1.28875408102572,-0.169749555171833,7.1888064734383,0.00733597601961695,0.898249508179764,9,32,15,35,50,39,"Olfr1199","olfactory receptor 1199"
"386","ENSMUSG00000052417",0.889778113793949,2.50443469115435,6.55639449074833,0.0104507905105861,1,67,171,212,230,288,236,"Olfr720","olfactory receptor 720"
"472","ENSMUSG00000068818",1.76788463043274,-0.949278063547267,6.10467051778591,0.0134825084212672,1,1,22,6,15,23,33,"Olfr1132","olfactory receptor 1132"
"484","ENSMUSG00000111689",1.38028377899506,-0.455883562387843,6.04110883191834,0.013976503159331,1,6,24,13,32,26,45,"Olfr1082","olfactory receptor 1082"
"524","ENSMUSG00000094539",0.89313230215493,0.877535386504319,5.89821246691152,0.0151562591213071,1,23,77,43,73,96,73,"Olfr191","olfactory receptor 191"
"529","ENSMUSG00000075139",1.10227630412562,0.035341914771971,5.85701997505666,0.0155150408571427,1,14,13,41,30,35,74,"Olfr1162","olfactory receptor 1162"
"534","ENSMUSG00000095917",-0.535106213906105,5.06674256423817,5.84188825251003,0.0156490237729909,1,1437,1475,1331,1176,1162,663,"Olfr740","olfactory receptor 740"
"564","ENSMUSG00000073900",0.866664286860975,0.87017995660174,5.70742226614916,0.016893327785045,1,21,55,65,61,81,97,"Olfr704","olfactory receptor 704"
"597","ENSMUSG00000049372",1.11589282077133,0.972770841869538,5.57995518437628,0.018167187546364,1,13,46,90,89,83,88,"Olfr1183","olfactory receptor 1183"
"684","ENSMUSG00000051414",1.6420551910079,-1.50865131773543,5.33493229930105,0.0209021519561572,1,3,4,9,19,15,14,"Olfr829","olfactory receptor 829"
"699","ENSMUSG00000107417",0.655264018029056,2.68048814444456,5.29358393986121,0.0214041268595981,1,201,133,198,283,208,347,"Olfr1383","olfactory receptor 1383"
"744","ENSMUSG00000075061",1.4834802997292,-1.45274446374048,5.11895522243785,0.0236658609401399,1,3,8,7,15,14,20,"Olfr1272","olfactory receptor 1272"
"806","ENSMUSG00000073998",1.37363012295306,-1.06663251168543,4.9712452519583,0.0257720863197483,1,9,16,2,30,28,7,"Olfr520","olfactory receptor 520"
"864","ENSMUSG00000068535",0.49203333820926,4.09048828649951,4.78932617125438,0.0286366272845647,1,264,515,756,415,743,915,"Olfr169","olfactory receptor 169"
"1000","ENSMUSG00000044994",0.628843598541586,2.17113895525425,4.44936153608101,0.034914297821982,1,75,186,128,150,207,212,"Olfr1426","olfactory receptor 1426"
"1007","ENSMUSG00000081649",0.659094817891036,1.83565110868221,4.44038725195314,0.03509828540201,1,55,150,98,106,162,185,"Olfr213","olfactory receptor 213"
"1038","ENSMUSG00000067513",3.52401943866948,-3.75869132115741,4.37374137116065,0.0364967746891686,1,0,0,0,1,1,2,"Olfr1436","olfactory receptor 1436"
"1063","ENSMUSG00000109487",0.893239453748319,0.224694334156827,4.34129964208187,0.0371985183248785,1,24,35,24,61,67,30,"Olfr1298","olfactory receptor 1298"
"1117","ENSMUSG00000075220",3.77597062377397,-3.66811246168249,4.25259950735393,0.039190298539835,1,0,0,0,0,4,1,"Olfr993","olfactory receptor 993"
"1120","ENSMUSG00000066749",0.764108188411521,0.770176623358803,4.24699894756454,0.0393197554843848,1,22,72,45,57,76,84,"Olfr877","olfactory receptor 877"
"1137","ENSMUSG00000071510",-2.62512771862839,-2.71689004520907,4.21956350897416,0.0399604391590421,1,1,11,6,0,0,3,"Olfr172","olfactory receptor 172"
"1178","ENSMUSG00000051424",0.812838295761669,0.708785857347368,4.17395441598979,0.04104988427603,1,23,55,50,81,65,68,"Olfr1184","olfactory receptor 1184"
"1264","ENSMUSG00000056853",-1.36260360466739,-1.69276759152098,4.04964654531875,0.0441805943991165,1,10,16,14,5,5,5,"Olfr765","olfactory receptor 765"
"1283","ENSMUSG00000056883",0.56869193940922,2.83732026392152,4.01119777474356,0.0451990296987264,1,150,332,163,283,319,291,"Olfr533","olfactory receptor 533"
"1293","ENSMUSG00000064084",1.11202250561916,0.106161117350095,4.00706220315836,0.0453100363890633,1,7,38,31,62,39,45,"Olfr1202","olfactory receptor 1202"
"1381","ENSMUSG00000049864",0.696709516308007,1.46649648269049,3.90924408201983,0.0480211923331514,1,57,77,90,134,134,92,"Olfr250","olfactory receptor 250"
"1395","ENSMUSG00000071185",0.6480903393129,1.48996218097207,3.90176716176594,0.048235345668461,1,40,111,85,84,166,104,"Olfr1357","olfactory receptor 1357"
"1405","ENSMUSG00000050818",0.673267549277432,2.26593968082178,3.88411404893889,0.0487449740139308,1,58,214,152,188,234,180,"Olfr330","olfactory receptor 330"
"1417","ENSMUSG00000049168",0.382252876047754,5.08324114807853,3.88308619132818,0.0487748218414216,1,725,1517,1014,1228,1526,1299,"Olfr449","olfactory receptor 449"
"1461","ENSMUSG00000075208",0.669190515046305,0.983402080429072,3.79624010453506,0.0513678088115499,1,30,82,54,65,97,86,"Olfr1019","olfactory receptor 1019"
"1470","ENSMUSG00000075074",0.7341199217498,0.642485545241074,3.78116713647295,0.0518324939418186,1,20,54,52,49,79,69,"Olfr1254","olfactory receptor 1254"
"1492","ENSMUSG00000108931",1.2194713124998,-1.03100808745627,3.74623505511394,0.0529265996407565,1,4,10,15,26,14,25,"Olfr1284","olfactory receptor 1284"
