"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"10","ENSMUSG00000101480",2.88511838463376,0.438839343434836,32.7671161361095,1.03887496473455e-08,1.14484021113747e-05,3,10,11,22,98,67,"Olfr1220","olfactory receptor 1220"
"11","ENSMUSG00000050030",2.0781259003058,2.65309302628105,30.6005327974007,3.1700667943325e-08,1.74670680367721e-05,44,95,31,73,515,236,"Olfr728","olfactory receptor 728"
"16","ENSMUSG00000050818",2.84286394376892,3.76755073661007,26.0189686932226,3.3807928647242e-07,0.00010125785062177,76,64,58,90,1085,832,"Olfr330","olfactory receptor 330"
"18","ENSMUSG00000056959",2.09085756941317,3.25660899150534,25.4257993684023,4.59728636567124e-07,0.00010125785062177,73,91,75,89,659,567,"Olfr315","olfactory receptor 315"
"20","ENSMUSG00000059279",2.59648046640532,4.24011261913683,25.1290168046402,5.3619924267467e-07,0.00010125785062177,79,104,112,85,1317,1398,"Olfr224","olfactory receptor 224"
"22","ENSMUSG00000049758",1.90736028413741,2.11665881381309,25.0754142134889,5.51313161280053e-07,0.00010125785062177,28,72,24,42,370,142,"Olfr1318","olfactory receptor 1318"
"24","ENSMUSG00000047511",2.04921211802436,3.69414208210351,24.4473546193802,7.63682991801198e-07,0.00012022552242356,100,135,98,119,698,1001,"Olfr1396","olfactory receptor 1396"
"31","ENSMUSG00000108919",1.5864497437128,2.75483036492603,20.5988387305198,5.66304549259893e-06,0.000780084516605503,47,103,85,60,361,447,"Olfr1295","olfactory receptor 1295"
"37","ENSMUSG00000064252",2.19818925855325,4.05360871659036,19.9591685478436,7.91136721635708e-06,0.000968702963602834,58,120,105,58,1635,618,"Olfr329","olfactory receptor 329"
"40","ENSMUSG00000060765",2.41913001783342,2.75352135338224,19.6803072275877,9.1539859775698e-06,0.00100876925472819,38,34,40,48,668,228,"Olfr325","olfactory receptor 325"
"43","ENSMUSG00000059504",1.85804305873153,2.33379470766148,19.040128611132,1.27998184815023e-05,0.00128230908787414,15,62,56,39,484,120,"Olfr314","olfactory receptor 314"
"46","ENSMUSG00000057654",2.00137258111528,3.75698918163314,18.7473580932552,1.4922995221756e-05,0.00137042839453126,90,102,103,106,1303,416,"Olfr328","olfactory receptor 328"
"49","ENSMUSG00000068806",1.39135556712809,2.28761605114563,17.8048176839131,2.44762710161282e-05,0.00201957193095457,54,81,73,83,217,296,"Olfr1259","olfactory receptor 1259"
"50","ENSMUSG00000068437",1.83920898918807,1.0866271615141,17.7151875323771,2.56569936781887e-05,0.00201957193095457,16,24,23,22,150,101,"Olfr725","olfactory receptor 725"
"54","ENSMUSG00000062782",1.18090857527204,3.7965182819817,17.5121593877371,2.85476082096154e-05,0.00209729761646641,207,256,187,241,836,534,"Olfr527","olfactory receptor 527"
"59","ENSMUSG00000075113",1.77412052632233,1.40345163567074,16.8323152941147,4.08320447623018e-05,0.00265404680942257,26,27,30,30,172,140,"Olfr1209","olfactory receptor 1209"
"60","ENSMUSG00000096436",3.78835780762011,5.09877929483179,16.8271816993686,4.09426458803844e-05,0.00265404680942257,42,32,23,350,63,5724,"Olfr1437","olfactory receptor 1437"
"63","ENSMUSG00000050742",1.67422449589813,1.02560671299361,16.5810998363793,4.66132479923752e-05,0.00285376662708875,14,26,30,25,132,95,"Olfr164","olfactory receptor 164"
"66","ENSMUSG00000072707",1.87312673934627,3.28469451812685,16.0879287339457,6.04682492287296e-05,0.00350715845526632,71,98,84,58,687,581,"Olfr31","olfactory receptor 31"
"67","ENSMUSG00000094266",6.73006888643411,-1.40783683697738,15.9780745661893,6.40803441359364e-05,0.0035308269618901,0,0,0,0,0,54,"Olfr340","olfactory receptor 340"
"70","ENSMUSG00000093825",1.31734848143195,2.02750041298192,15.7266663702942,7.31851200525036e-05,0.00384047629989805,42,84,47,66,280,127,"Olfr723","olfactory receptor 723"
"71","ENSMUSG00000050763",1.69482856874143,4.8242508075621,15.438830072024,8.52191275337579e-05,0.00426870357010006,232,409,208,182,1940,1623,"Olfr1395","olfactory receptor 1395"
"91","ENSMUSG00000059136",1.31641264366536,3.03622525302699,13.8071240932575,0.000202566676198397,0.00933735753930045,114,131,135,328,165,529,"Olfr539","olfactory receptor 539"
"92","ENSMUSG00000075105",1.93562623087152,0.74813393987334,13.7998318503894,0.000203354429168068,0.00933735753930045,18,21,10,19,97,104,"Olfr1218","olfactory receptor 1218"
"109","ENSMUSG00000060827",1.11727147542078,1.99163088101845,12.3951308993236,0.000430454817917905,0.0184938006657709,61,85,56,92,200,152,"Olfr1193","olfactory receptor 1193"
