"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000043226",3.41998732472777,3.50677786090275,121.988015945658,2.32236467302088e-28,2.55924586966901e-25,31,65,98,514,480,1076,"Olfr1009","olfactory receptor 1009"
"3","ENSMUSG00000050813",2.22369825347842,5.73581421651129,70.2754705874193,5.15750375676974e-17,2.84178456998013e-14,290,922,744,2123,2490,4023,"Olfr332","olfactory receptor 332"
"4","ENSMUSG00000070375",2.52649011723605,3.13438559735074,67.2925153983472,2.34068317074547e-16,8.59810951387169e-14,53,83,126,454,425,593,"Olfr406","olfactory receptor 406"
"6","ENSMUSG00000100016",2.68149256001593,1.85678577964849,57.2767340037064,3.78607590644283e-14,1.043063912225e-11,15,36,42,96,206,316,"Olfr1215","olfactory receptor 1215"
"7","ENSMUSG00000070374",1.89538681225432,3.5481918426526,52.7468727542784,3.79426998167263e-13,8.36257103960648e-11,125,167,195,577,588,652,"Olfr59","olfactory receptor 59"
"8","ENSMUSG00000060503",1.80267752490308,3.72380510848735,51.1590290947584,8.51779899077383e-13,1.56443574797213e-10,112,207,265,468,621,948,"Olfr715","olfactory receptor 715"
"9","ENSMUSG00000073896",1.80821559724166,4.8118396604324,48.0355283231878,4.18565577411196e-12,6.58941809010197e-10,271,461,501,1555,1081,1688,"Olfr716","olfactory receptor 716"
"10","ENSMUSG00000069390",2.30000106002068,2.7425017121902,47.6083629034427,5.20459839945088e-12,7.16933429524359e-10,32,80,126,262,350,472,"Olfr707","olfactory receptor 707"
"11","ENSMUSG00000056600",1.98666474550718,3.30533554568545,46.3672533776899,9.80403972873488e-12,1.2004501978962e-09,124,115,140,369,496,709,"Olfr90","olfactory receptor 90"
"14","ENSMUSG00000095377",2.22055702226756,2.27320997276974,43.5886829523833,4.05175396695793e-11,4.21512378893986e-09,34,59,70,163,231,395,"Olfr91","olfactory receptor 91"
"15","ENSMUSG00000094182",2.53280817043162,2.24597339537058,43.5148822402179,4.20747383650984e-11,4.21512378893986e-09,35,44,50,315,144,342,"Olfr937","olfactory receptor 937"
"16","ENSMUSG00000045581",2.37545231875685,2.06436487759044,43.1374962768949,5.10249429284375e-11,4.68579059226151e-09,17,49,75,141,283,254,"Olfr710","olfactory receptor 710"
"18","ENSMUSG00000059411",2.37629586914053,1.09680462307911,37.8797610303349,7.52417661709229e-10,6.37818664002747e-08,23,11,35,124,98,121,"Olfr434","olfactory receptor 434"
"19","ENSMUSG00000095804",2.18459507392285,1.38040869721168,35.2660988567714,2.87594895159133e-09,2.2637826747526e-07,17,30,41,93,96,231,"Olfr824","olfactory receptor 824"
"22","ENSMUSG00000075163",2.11771031844444,1.43108912871621,35.1130380272161,3.11110801380937e-09,2.28562735414528e-07,22,35,39,113,115,200,"Olfr1107","olfactory receptor 1107"
