"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000063881",3.56104868855266,4.67678096199349,163.604086449142,1.846085676549e-37,2.034386415557e-34,89,123,109,1486,1043,1659,"Olfr376","olfactory receptor 376"
"4","ENSMUSG00000094858",3.47139727963693,3.22618039595033,121.738501749981,2.63359706202116e-28,1.45111198117366e-25,39,43,40,465,394,653,"Olfr1297","olfactory receptor 1297"
"5","ENSMUSG00000050763",2.16837757273613,5.09042462023345,96.4853181323498,8.99080840865139e-23,3.30262362211128e-20,329,246,439,1528,1369,2012,"Olfr1395","olfactory receptor 1395"
"6","ENSMUSG00000096695",2.98875094461265,2.77946629580103,86.8818877842639,1.1519955898e-20,3.173747849899e-18,40,33,47,268,310,488,"Olfr196","olfactory receptor 196"
"7","ENSMUSG00000062712",2.19492951140639,5.42047521303083,83.3267039232186,6.95536598394159e-20,1.53296266286073e-17,403,397,385,1381,1834,3029,"Olfr531","olfactory receptor 531"
"9","ENSMUSG00000043314",2.0082240302883,5.03447427385592,79.0645170869813,6.01143730760339e-19,1.10410065216316e-16,281,326,388,979,1262,2421,"Olfr30","olfactory receptor 30"
"10","ENSMUSG00000046493",2.85130838801998,3.38296970289505,77.9527929604306,1.05532773542131e-18,1.66138737776326e-16,89,40,76,410,436,762,"Olfr1352","olfactory receptor 1352"
"11","ENSMUSG00000047960",3.31911704954733,3.01815513585711,70.4770114282775,4.65661347289837e-17,6.41448505891751e-15,45,50,22,348,328,618,"Olfr186","olfactory receptor 186"
"12","ENSMUSG00000075174",3.04908727022051,2.12389029535879,63.1255327411412,1.93943708833256e-15,2.37473296815831e-13,28,18,29,268,231,180,"Olfr1087","olfactory receptor 1087"
"13","ENSMUSG00000090894",1.97490253464984,4.62177280456532,59.3006385559202,1.35332616009501e-14,1.4913654284247e-12,225,287,277,1101,808,1581,"Olfr110","olfactory receptor 110"
"14","ENSMUSG00000042774",2.7630958831328,2.36736635110856,57.1920842415975,3.95258837365797e-14,3.95977489797371e-12,29,41,34,260,190,338,"Olfr1353","olfactory receptor 1353"
