"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000075159",2.92934581905831,4.60227017635337,216.716717344537,4.70516924769034e-49,5.18509651095475e-46,108,108,114,1364,602,838,"Olfr1110","olfactory receptor 1110"
"4","ENSMUSG00000094612",2.18281998203429,3.45211017520734,101.733840187845,6.35061597369131e-24,3.49918940150391e-21,80,74,80,529,288,340,"Olfr491","olfactory receptor 491"
"5","ENSMUSG00000059189",3.20823946338897,2.16388536302635,95.9606015688534,1.17192605431621e-22,4.30487503952154e-20,30,13,7,338,81,95,"Olfr913","olfactory receptor 913"
"17","ENSMUSG00000057349",3.19329349581454,2.53675581210002,60.5079055859162,7.32835714668509e-15,2.01896239391174e-12,13,19,35,333,176,153,"Olfr948","olfactory receptor 948"
"23","ENSMUSG00000044205",1.7385910640723,2.82584411809769,44.2058745012529,2.95592884003013e-11,6.51486716342641e-09,75,68,48,356,142,209,"Olfr983","olfactory receptor 983"
"42","ENSMUSG00000095804",1.92986117376056,1.45255802509478,32.9663488157454,9.3767902673464e-09,1.72220381243596e-06,25,24,16,135,73,62,"Olfr824","olfactory receptor 824"
"44","ENSMUSG00000051611",2.74181746828669,1.60517914289402,32.2185808622757,1.37766937042067e-08,2.16884520886225e-06,6,22,16,182,57,97,"Olfr112","olfactory receptor 112"
"55","ENSMUSG00000063777",3.65028795033373,0.144696369424054,27.8012954594651,1.34436064075749e-07,1.85185678264344e-05,0,6,3,55,28,37,"Olfr1469","olfactory receptor 1469"
"58","ENSMUSG00000048810",2.35019320352899,2.28218483450244,27.5637846187935,1.51998224677019e-07,1.86113381771194e-05,16,37,33,312,104,109,"Olfr202","olfactory receptor 202"
"61","ENSMUSG00000096320",1.95291327256867,1.06678146569829,26.6298887950313,2.46402275773742e-07,2.71535307902664e-05,24,14,11,105,38,64,"Olfr1471","olfactory receptor 1471"
"90","ENSMUSG00000062314",1.48766511399991,2.04569431820995,22.5303488347038,2.06849691238126e-06,0.000207225781585832,49,40,33,216,64,116,"Olfr1505","olfactory receptor 1505"
"125","ENSMUSG00000094846",1.46444569710372,1.52652419093767,18.7768384024287,1.46940835631761e-05,0.00134940667388501,37,32,18,149,52,67,"Olfr1487","olfactory receptor 1487"
"139","ENSMUSG00000075160",2.71239578410208,-0.0670462229730105,18.0142552630499,2.19256936516537e-05,0.00185862418493249,10,4,1,35,39,19,"Olfr259","olfactory receptor 259"
"164","ENSMUSG00000049498",3.27004190521164,-0.109669270051923,16.7994738332646,4.15448205649897e-05,0.00327017087590133,0,3,5,62,17,19,"Olfr1449","olfactory receptor 1449"
"172","ENSMUSG00000075176",1.96711419994248,1.41315743774971,16.3176501624505,5.35627265673045e-05,0.00393507497847797,12,19,22,180,31,67,"Olfr1085","olfactory receptor 1085"
"178","ENSMUSG00000090951",1.38764470890561,2.05253496466574,16.1512990970511,5.84784471176434e-05,0.00402770304522769,45,40,37,245,81,67,"Olfr181","olfactory receptor 181"
"219","ENSMUSG00000094986",1.71552354440207,1.21041362644627,14.7605903088722,0.000122060024649976,0.00791236159789844,21,27,8,157,38,31,"Olfr1454","olfactory receptor 1454"
"241","ENSMUSG00000070377",0.96760002227263,3.7267535440982,14.0446301571911,0.000178522857623081,0.0109295660611464,154,179,188,594,280,274,"Olfr43","olfactory receptor 43"
"304","ENSMUSG00000062868",2.87257222451324,-0.614032465145934,12.5929153526847,0.000387211690571374,0.0224582780531397,1,1,7,26,16,20,"Olfr830","olfactory receptor 830"
"421","ENSMUSG00000056600",1.15960623679123,1.46573158626751,10.6253733939115,0.0011154644280861,0.05937704295856,20,35,48,91,67,78,"Olfr90","olfactory receptor 90"
"427","ENSMUSG00000094539",1.19873768008738,1.21002902380799,10.5756560151281,0.0011458659890307,0.05937704295856,21,43,20,52,61,85,"Olfr191","olfactory receptor 191"
"432","ENSMUSG00000046913",1.93701613154874,-0.0503955378641493,10.5128224801878,0.00118549043499733,0.05937704295856,8,6,5,59,22,10,"Olfr1451","olfactory receptor 1451"
"443","ENSMUSG00000062105",0.926136432419287,2.0366391163961,10.4308651617961,0.00123926677681205,0.05937704295856,71,53,45,110,122,103,"Olfr183","olfactory receptor 183"
"455","ENSMUSG00000043605",1.32677857371582,0.663786416291568,10.2931699481061,0.00133523510870109,0.0613095454078584,23,17,12,56,36,45,"Olfr13","olfactory receptor 13"
"531","ENSMUSG00000095903",1.45332156528747,1.03699593353379,9.54944112917443,0.0020001030528639,0.0881645425702407,13,29,17,112,43,34,"Olfr968","olfactory receptor 968"
"545","ENSMUSG00000075072",1.044394411079,1.15888436000228,9.39142371531554,0.002180028431456,0.0923996665947889,35,24,25,88,47,52,"Olfr48","olfactory receptor 48"
"588","ENSMUSG00000078118",-2.27735097915931,-0.996908838847742,9.07466544177383,0.00259174987977053,0.103988311184766,8,20,14,1,4,4,"Olfr483","olfactory receptor 483"
"593","ENSMUSG00000043314",0.737781934551139,4.20459921854095,9.03943610461369,0.00264217124607391,0.103988311184766,197,332,305,671,428,384,"Olfr30","olfactory receptor 30"
"618","ENSMUSG00000069823",0.953998741280416,2.13685090717537,8.86639777124896,0.0029046775119566,0.107197564329911,76,34,73,135,115,111,"Olfr1","olfactory receptor 1"
"619","ENSMUSG00000047048",-1.34896811756266,0.331633397441235,8.85787943066229,0.00291826400172171,0.107197564329911,40,27,36,19,11,13,"Olfr432","olfactory receptor 432"
"642","ENSMUSG00000075197",-1.35926073951607,0.546915831559346,8.63252254544059,0.00330214004202047,0.117385752461502,52,43,27,13,15,21,"Olfr1046","olfactory receptor 1046"
"651","ENSMUSG00000056858",2.61365889011201,-1.05743164052923,8.57075299902698,0.00341605846577312,0.117640513415062,0,2,5,17,10,15,"Olfr1502","olfactory receptor 1502"
"692","ENSMUSG00000057503",1.1487353752315,0.990710913459325,8.31967116049254,0.00392180191562493,0.130964415485414,18,30,23,75,38,57,"Olfr1459","olfactory receptor 1459"
"849","ENSMUSG00000066263",-1.5274353223858,-0.2405063397897,7.53485311453303,0.0060516670920412,0.192668662597338,18,37,15,7,10,7,"Olfr639","olfactory receptor 639"
"853","ENSMUSG00000095917",-0.335872534163297,5.32049350769498,7.51484924873736,0.00611924064510603,0.192668662597338,1227,790,670,1158,577,564,"Olfr740","olfactory receptor 740"
"901","ENSMUSG00000045204",-1.65008624067648,-0.157438596599061,7.32731681469138,0.00679143634970869,0.20550791004676,34,20,20,10,13,3,"Olfr835","olfactory receptor 835"
"907","ENSMUSG00000109449",-0.952786158790551,1.10898755075211,7.29881941347775,0.00689999335002733,0.20550791004676,52,71,43,39,33,19,"Olfr1280","olfactory receptor 1280"
"958","ENSMUSG00000070820",-0.769934928366018,1.75739326927659,7.12196245306716,0.00761453117144389,0.220821403971873,109,76,70,59,47,50,"Olfr1339","olfactory receptor 1339"
"1060","ENSMUSG00000044994",0.810241067592602,1.49209865839342,6.72694715061465,0.00949670005174057,0.268342652744054,49,30,42,87,65,71,"Olfr1426","olfactory receptor 1426"
"1079","ENSMUSG00000107677",1.17821463148505,0.324473611808706,6.68178889174104,0.00974028245263664,0.268344781570139,22,13,8,54,28,21,"Olfr316","olfactory receptor 316"
"1106","ENSMUSG00000096365",0.556471514260813,3.62790549722122,6.57892200546781,0.0103193369477267,0.274778710385889,340,133,153,406,258,254,"Olfr1463","olfactory receptor 1463"
"1112","ENSMUSG00000074995",1.22643959656311,0.58734623897097,6.55270038457719,0.010472509833219,0.274778710385889,9,21,22,53,39,34,"Olfr201","olfactory receptor 201"
"1143","ENSMUSG00000062142",-1.18829636429393,0.911042143657435,6.45824963567787,0.0110438380060791,0.283030453086027,78,38,21,71,6,10,"Olfr569","olfactory receptor 569"
"1214","ENSMUSG00000063188",0.775298224769636,1.58780733442704,6.19819441305488,0.0127880703770353,0.319431129258407,60,51,21,120,60,55,"Olfr107","olfactory receptor 107"
"1236","ENSMUSG00000058802",0.80899863236348,1.59038471442369,6.16314333669968,0.0130439208862326,0.319431129258407,65,39,23,137,40,67,"Olfr97","olfactory receptor 97"
"1274","ENSMUSG00000096109",1.04695522370112,0.98778095718087,6.0638562547618,0.0137976078659983,0.330542692789785,22,22,25,102,32,37,"Olfr1537","olfactory receptor 1537"
"1335","ENSMUSG00000075163",1.75329710656483,0.544975644133233,5.90279456686744,0.0151168812564348,0.354442620097684,3,24,10,86,20,31,"Olfr1107","olfactory receptor 1107"
"1445","ENSMUSG00000043911",-2.18343171534286,-1.45340607850907,5.66991146481936,0.0172583270885566,0.396222426074779,16,5,6,5,0,2,"Olfr922","olfactory receptor 922"
"1482","ENSMUSG00000056946",-1.70794934137071,-0.97299844641604,5.58655702170309,0.0180988368822759,0.407039147842205,17,16,7,4,4,4,"Olfr512","olfactory receptor 512"
"1507","ENSMUSG00000047702",-0.847152797276669,1.24669239766101,5.53872205154653,0.0186001607286869,0.409947542460259,52,66,60,50,33,24,"Olfr1388","olfactory receptor 1388"
"1616","ENSMUSG00000060765",-0.86857663468233,0.92600913601007,5.32646957748331,0.0210038895472634,0.452709931053681,49,49,44,39,25,20,"Olfr325","olfactory receptor 325"
"1635","ENSMUSG00000049797",-0.560937374752595,3.03583832252179,5.29701576321787,0.0213619931168706,0.452709931053681,349,184,51,288,83,52,"Olfr642","olfactory receptor 642"
"1665","ENSMUSG00000045126",2.61357293670881,-1.8079372070158,5.25102864984256,0.0219338009423906,0.456057521481405,0,2,1,0,13,8,"Olfr1445","olfactory receptor 1445"
"1708","ENSMUSG00000049010",-1.31169990223133,0.18554291710243,5.17501129579482,0.0229140225535301,0.467615793592411,35,30,21,26,16,2,"Olfr982","olfactory receptor 982"
"1738","ENSMUSG00000073974",-1.58152665639753,-0.532416597045758,5.1202235403232,0.0236485701070012,0.473831350143915,19,9,28,3,8,8,"Olfr551","olfactory receptor 551"
"1785","ENSMUSG00000094464",0.763109693461227,1.22663825908821,5.02565347715137,0.0249744997243438,0.491462476718337,41,28,33,58,58,66,"Olfr339","olfactory receptor 339"
"1832","ENSMUSG00000072708",1.50508726448282,-0.0990635364241605,4.94896837783983,0.0261062418987278,0.504720676708737,4,6,15,49,11,22,"Olfr381","olfactory receptor 381"
"1874","ENSMUSG00000101750",-0.366900329417663,4.20022203648907,4.87522211774451,0.0272449343091014,0.515090408200809,482,514,269,431,302,282,"Olfr1392","olfactory receptor 1392"
