"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000075159",2.83032558606982,4.48846914414958,254.970296211005,2.14245640243906e-57,2.36098695548784e-54,108,108,114,1063,744,634,"Olfr1110","olfactory receptor 1110"
"3","ENSMUSG00000058820",3.58564839659047,3.2692811955901,133.15603912312,8.35777453355393e-31,4.60513376798822e-28,22,37,23,519,436,146,"Olfr146","olfactory receptor 146"
"4","ENSMUSG00000059595",3.50419771767666,1.38681654589812,89.7944397454622,2.64235854854673e-21,9.70626373499499e-19,6,12,6,100,142,46,"Olfr935","olfactory receptor 935"
"5","ENSMUSG00000057349",3.06140324179528,2.344052334704,88.0546947848244,6.36693536628395e-21,1.75409069341123e-18,13,19,35,193,195,163,"Olfr948","olfactory receptor 948"
"8","ENSMUSG00000096109",2.69355014028811,2.17710997444182,75.8767797499417,3.01929756426612e-18,6.65453183164253e-16,22,22,25,219,167,93,"Olfr1537","olfactory receptor 1537"
"9","ENSMUSG00000096485",2.84929539335949,1.31005126027644,67.8074498637198,1.80267087500091e-16,3.310905507085e-14,10,17,8,91,117,52,"Olfr1466","olfactory receptor 1466"
"10","ENSMUSG00000094986",2.52418982278701,1.65660092734683,67.072569401147,2.61694423167533e-16,4.11981791900888e-14,21,27,8,127,132,63,"Olfr1454","olfactory receptor 1454"
"11","ENSMUSG00000094182",2.64187401762384,1.56843149453611,60.0835073300054,9.09169834861202e-15,1.25238144752131e-12,17,15,13,142,126,42,"Olfr937","olfactory receptor 937"
"12","ENSMUSG00000059189",2.51352807147205,1.51063205637272,58.8922079579006,1.66550469855933e-14,2.03931797534709e-12,30,13,7,154,100,36,"Olfr913","olfactory receptor 913"
"13","ENSMUSG00000094764",2.04510743006795,2.69786512849077,57.8130455945317,2.88251673652667e-14,3.17653344365239e-12,52,44,53,159,290,195,"Olfr346","olfactory receptor 346"
"14","ENSMUSG00000095903",2.56985881552043,1.84612567643307,56.439041064615,5.79679024113476e-14,5.80732985975501e-12,13,29,17,168,146,60,"Olfr968","olfactory receptor 968"
"15","ENSMUSG00000057503",2.53546060217881,2.11233280068753,55.3225895775757,1.02286315790559e-13,9.393293333433e-12,18,30,23,229,144,79,"Olfr1459","olfactory receptor 1459"
"16","ENSMUSG00000049498",4.13109260907279,0.457397117403374,43.7329273092864,3.76385623913318e-11,3.1905919811729e-09,0,3,5,57,63,30,"Olfr1449","olfactory receptor 1449"
