"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000051680",2.28383680445122,3.79880766542332,101.60788345244,6.76754226468326e-24,7.45783157568095e-21,118,218,186,827,880,1032,"Olfr693","olfactory receptor 693"
"5","ENSMUSG00000063881",2.01026867019596,3.82390344711215,56.092282288632,6.91480177759498e-14,3.81005577945483e-11,148,254,199,1038,1020,620,"Olfr376","olfactory receptor 376"
"6","ENSMUSG00000075210",2.0198835500011,1.92067160877949,46.5062288994206,9.13276769931813e-12,3.35477000154953e-09,41,56,60,163,232,324,"Olfr1012","olfactory receptor 1012"
"7","ENSMUSG00000059087",1.96548758925283,2.44012078867158,39.5022446277065,3.27682552136686e-10,9.0276543113657e-08,54,75,114,331,302,379,"Olfr698","olfactory receptor 698"
"14","ENSMUSG00000053287",1.86495753440809,2.34777236748273,32.7020269754873,1.07425138622352e-08,2.36765005523664e-06,60,71,107,329,304,300,"Olfr1013","olfactory receptor 1013"
"17","ENSMUSG00000095917",-0.920233725090185,4.90847437774045,28.1769469364454,1.10715428339105e-07,2.03347336716156e-05,1437,1475,1331,988,750,750,"Olfr740","olfactory receptor 740"
"21","ENSMUSG00000094612",1.34195936863559,3.38548940151685,25.9892088256603,3.43331089691623e-07,5.40501229771669e-05,129,318,211,546,699,503,"Olfr491","olfactory receptor 491"
"26","ENSMUSG00000096714",2.10613496727453,0.455382244398182,24.3111451045889,8.19634492058255e-07,0.000112904651281025,8,34,16,81,84,84,"Olfr699","olfactory receptor 699"
"28","ENSMUSG00000058014",2.15124489125024,1.41789317056134,23.8713781961726,1.02991716449499e-06,0.000126107635030387,13,39,61,189,148,159,"Olfr502","olfactory receptor 502"
"41","ENSMUSG00000064223",1.68823531241973,2.26184123089043,19.7721313291907,8.72455532647153e-06,0.000961445996977163,43,101,105,357,225,274,"Olfr694","olfactory receptor 694"
"48","ENSMUSG00000094285",-0.777196798379451,5.35222708591189,17.4837542349502,2.89773272374272e-05,0.00290300132869498,1988,1651,1916,1351,1195,1033,"Olfr743","olfactory receptor 743"
"96","ENSMUSG00000062272",2.23964955010279,-1.11015994377608,12.9704200343136,0.000316451018751823,0.0290607518887091,3,4,8,14,28,38,"Olfr1129","olfactory receptor 1129"
"104","ENSMUSG00000059379",1.36267541611425,1.16945779885788,12.4523402319899,0.000417468428394708,0.0353884775454591,27,56,49,171,108,97,"Olfr1014","olfactory receptor 1014"
"165","ENSMUSG00000075220",5.30174271748181,-3.08369485504749,10.6882765884761,0.00107816600775321,0.084867067181717,0,0,0,3,7,5,"Olfr993","olfactory receptor 993"
"187","ENSMUSG00000067513",5.19965451899318,-3.13887363454524,10.111583329914,0.00147340327370156,0.108246027174608,0,0,0,4,5,5,"Olfr1436","olfactory receptor 1436"
"194","ENSMUSG00000094426",1.46836347929571,1.11508346829146,9.98594634537209,0.0015773946696438,0.108361577550214,14,58,57,145,123,90,"Olfr478","olfactory receptor 478"
"201","ENSMUSG00000051591",1.33869740358626,0.488304884261485,9.87913001592912,0.00167163958108316,0.108361577550214,26,19,35,49,104,77,"Olfr697","olfactory receptor 697"
"277","ENSMUSG00000075066",0.938333733590626,2.015006442557,8.57623554299796,0.00340578770046971,0.208509891439868,59,127,117,197,230,187,"Olfr32","olfactory receptor 32"
"365","ENSMUSG00000068431",-0.462872868697885,4.55215359872817,7.61347266820034,0.00579338068393862,0.329189152531153,880,1124,944,740,824,782,"Olfr742","olfactory receptor 742"
"369","ENSMUSG00000049362",1.08256456979604,0.670572634568613,7.55800936086248,0.00597439478277954,0.329189152531153,24,46,36,105,54,92,"Olfr173","olfactory receptor 173"
"441","ENSMUSG00000071065",1.06983871223304,1.00301885892824,6.95364067056049,0.00836488315811734,0.438957201916443,45,91,17,94,96,111,"Olfr806","olfactory receptor 806"
"535","ENSMUSG00000075115",0.741881621773506,1.74231061863646,6.38955684492945,0.0114793683426636,0.575011996073422,48,119,105,113,154,222,"Olfr1200","olfactory receptor 1200"
"622","ENSMUSG00000068259",0.765142971314854,1.18831220535745,6.05511312262607,0.0138660871747889,0.645383067832572,35,69,73,79,85,175,"Olfr461","olfactory receptor 461"
"629","ENSMUSG00000068818",1.5753766527753,-1.02376527839208,6.03115545211558,0.0140555296079689,0.645383067832572,1,22,6,15,36,21,"Olfr1132","olfactory receptor 1132"
"689","ENSMUSG00000073967",-0.659424201384363,2.1903839060932,5.76205953072639,0.0163758658639462,0.684390922956258,164,235,201,113,159,146,"Olfr557","olfactory receptor 557"
