"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000075190",3.37941299983468,2.28651960750869,97.0487698134173,6.76405672803655e-23,7.45399051429628e-20,24,33,22,169,438,273,"Olfr1054","olfactory receptor 1054"
"4","ENSMUSG00000090894",1.77977602041598,4.93070883645587,91.5229884967638,1.10303288831193e-21,6.07771121459873e-19,432,486,424,1267,1774,1694,"Olfr110","olfactory receptor 110"
"5","ENSMUSG00000064223",2.56704253414749,2.76476266122494,86.3831130268228,1.48245409115008e-20,5.44554802815796e-18,44,73,76,302,452,398,"Olfr694","olfactory receptor 694"
"7","ENSMUSG00000053287",2.00267045091932,2.8370676768734,57.0093353418465,4.33748047688761e-14,1.19497587138254e-11,100,122,62,374,471,296,"Olfr1013","olfactory receptor 1013"
"8","ENSMUSG00000059087",2.03067131846583,2.63006890389729,53.3925818432088,2.73126277592649e-13,6.01970315814198e-11,78,79,79,280,349,360,"Olfr698","olfactory receptor 698"
"10","ENSMUSG00000109058",1.78665717968397,3.16175356603245,46.4403346345674,9.44511058177971e-12,1.73475197685354e-09,163,133,102,442,528,415,"Olfr705","olfactory receptor 705"
"12","ENSMUSG00000049362",2.08007218974775,1.7257130133294,35.313717439351,2.80648396725262e-09,4.4182076170177e-07,22,47,55,143,248,134,"Olfr173","olfactory receptor 173"
"14","ENSMUSG00000075209",1.97852158301082,0.958961790011213,34.2779267864996,4.77770011035664e-09,6.58128190201627e-07,19,34,23,85,118,98,"Olfr1016","olfactory receptor 1016"
"15","ENSMUSG00000063137",1.92852939173733,1.78376216747062,31.8246257103436,1.68739723192668e-08,2.06612416620356e-06,31,82,35,165,173,193,"Olfr177","olfactory receptor 177"
"21","ENSMUSG00000033850",1.51856634493568,1.97880712684214,22.8145880493474,1.7840635817212e-06,0.000196603806705676,50,71,69,136,301,147,"Olfr1015","olfactory receptor 1015"
"46","ENSMUSG00000090675",1.10731572549587,1.87662177851602,15.036070656619,0.000105475825493528,0.0105667599721698,49,89,88,115,208,170,"Olfr111","olfactory receptor 111"
"51","ENSMUSG00000051591",1.40204174728674,0.688500300543295,13.8563771287158,0.00019732595878564,0.0181211005484813,29,36,19,55,97,74,"Olfr697","olfactory receptor 697"
"69","ENSMUSG00000070377",0.726897369430177,3.59129363557033,12.0619135856018,0.000514624397535484,0.0436243143141618,279,309,304,477,511,516,"Olfr43","olfactory receptor 43"
"86","ENSMUSG00000075211",1.28630348926064,1.11203507201635,11.0818107794134,0.000871786280664361,0.068622034378009,61,30,31,81,85,131,"Olfr1006","olfactory receptor 1006"
"92","ENSMUSG00000052417",-1.26218039737415,2.28461884787339,10.6646247314688,0.00109204005372724,0.0802285426138279,142,202,327,86,135,59,"Olfr720","olfactory receptor 720"
"109","ENSMUSG00000060759",5.28792882746812,-2.88462185590741,9.84959158949918,0.00169869467740154,0.116997595906031,0,0,0,0,6,9,"Olfr503","olfactory receptor 503"
"121","ENSMUSG00000094426",1.12638543706444,0.803903272564707,9.37502373156285,0.00219961858422474,0.142587039989157,19,39,50,79,70,80,"Olfr478","olfactory receptor 478"
"135","ENSMUSG00000058014",1.06857656888472,1.10330969907243,8.99983749936827,0.00270003613348547,0.165302212172277,39,70,29,89,87,105,"Olfr502","olfactory receptor 502"
"230","ENSMUSG00000059503",3.64872088242465,-2.78168914269931,7.35424390602708,0.00669046397994385,0.388046910836743,0,0,1,1,6,9,"Olfr248","olfactory receptor 248"
"272","ENSMUSG00000075210",0.776068470900613,1.64311532020058,6.90780326117557,0.00858203653160774,0.472870212891586,69,79,73,104,159,127,"Olfr1012","olfactory receptor 1012"
"316","ENSMUSG00000071764",-0.834574792007213,1.26579618403739,6.48257874661495,0.0108936824622078,0.54928564416101,75,100,114,30,56,89,"Olfr1320","olfactory receptor 1320"
"318","ENSMUSG00000056184",1.42180131589066,-0.501042610429124,6.47085520752515,0.0109657751102924,0.54928564416101,5,18,13,22,30,41,"Olfr283","olfactory receptor 283"
"365","ENSMUSG00000043529",2.29545367819145,-2.02515065849413,6.18371635436506,0.0128931198819404,0.61774861347384,1,4,1,3,14,14,"Olfr266","olfactory receptor 266"
"408","ENSMUSG00000057890",1.90742219840398,-1.21515856623431,5.92813349915551,0.0149010166652771,0.637706159541825,0,9,9,13,27,16,"Olfr1375","olfactory receptor 1375"
"410","ENSMUSG00000032987",-0.583104118193446,3.39593756504709,5.91854209331522,0.0149823508683852,0.637706159541825,425,501,299,252,437,180,"Olfr281","olfactory receptor 281"
"413","ENSMUSG00000066122",-0.761436579542871,1.46098032527515,5.91110879695141,0.0150456988639632,0.637706159541825,137,99,98,82,77,45,"Olfr45","olfactory receptor 45"
"448","ENSMUSG00000063615",0.762282848099718,1.09067525793783,5.75334955340063,0.0164572487787789,0.671699561267198,27,84,45,53,116,88,"Olfr64","olfactory receptor 64"
"471","ENSMUSG00000068815",-1.17150502917371,-0.115009269616288,5.62242809260876,0.0177320661955436,0.697883462410323,34,47,35,10,31,15,"Olfr1143","olfactory receptor 1143"
"535","ENSMUSG00000073979",-4.10460780793705,-3.39612292605196,5.33466409596729,0.0209053684189398,0.794403999919712,0,5,2,0,0,0,"Olfr547","olfactory receptor 547"
"578","ENSMUSG00000096679",1.78521988046358,-1.53638431667444,5.08433215288356,0.0241429735506975,0.872931582075787,1,5,7,17,9,18,"Olfr498","olfactory receptor 498"
"587","ENSMUSG00000094493",-1.88175545814154,-1.78535695511106,5.05491746855743,0.0245561515828942,0.872931582075787,10,16,10,4,1,5,"Olfr700","olfactory receptor 700"
"638","ENSMUSG00000094464",0.689915491511916,1.30296290624843,4.84504032974282,0.0277257440822389,0.940370925027051,40,79,63,82,140,77,"Olfr339","olfactory receptor 339"
"652","ENSMUSG00000075092",0.631587634442188,1.62145389821618,4.81824960746397,0.0281599278819353,0.940370925027051,61,100,75,109,129,129,"Olfr1232","olfactory receptor 1232"
"675","ENSMUSG00000094182",1.35323076263079,-0.523382118564904,4.74437184370026,0.0293942830786075,0.952720586841926,7,25,6,17,32,40,"Olfr937","olfactory receptor 937"
"748","ENSMUSG00000109806",3.78397427574419,-3.5547411619357,4.57933710555056,0.0323597311239213,0.989671870690627,0,0,0,0,3,2,"Olfr663","olfactory receptor 663"
"792","ENSMUSG00000110970",0.72867451986955,1.26531940057198,4.52571510047994,0.0333891189200894,0.989671870690627,54,60,54,58,139,101,"Olfr156","olfactory receptor 156"
"795","ENSMUSG00000073927",-0.991406622894153,0.56202828927861,4.50871610890549,0.0337225445554953,0.989671870690627,50,56,70,9,50,45,"Olfr652","olfactory receptor 652"
"825","ENSMUSG00000054406",-0.705397734878959,1.2714103281458,4.46010768322542,0.0346953102658181,0.989671870690627,98,70,120,47,65,66,"Olfr411","olfactory receptor 411"
"836","ENSMUSG00000075088",1.05463136770151,-0.33842605104671,4.44397130622448,0.0350246850788879,0.989671870690627,12,16,19,30,38,31,"Olfr1239","olfactory receptor 1239"
"855","ENSMUSG00000045514",1.16134945248764,-0.110870053143806,4.3886587813135,0.0361787630112426,0.996724920959734,7,18,32,41,43,32,"Olfr460","olfactory receptor 460"
"919","ENSMUSG00000096151",-0.44242103063916,4.48211520801997,4.31036174080548,0.0378809056995413,1,1065,759,723,587,577,727,"Olfr477","olfactory receptor 477"
"933","ENSMUSG00000075196",0.926381437885951,0.211263420203059,4.26342936435505,0.0389412327932385,1,17,27,28,36,79,32,"Olfr1047","olfactory receptor 1047"
"1028","ENSMUSG00000044293",-0.600230805615522,1.38885500158158,4.14744889352172,0.0416973004118878,1,80,155,74,61,95,48,"Olfr794","olfactory receptor 794"
"1056","ENSMUSG00000096714",1.18547850004045,-0.739998213241737,4.1174693830077,0.0424425212106479,1,14,14,5,23,36,16,"Olfr699","olfactory receptor 699"
"1082","ENSMUSG00000075174",0.772949615802581,0.77224596153207,4.05086099381103,0.0441488222473491,1,33,38,43,35,104,74,"Olfr1087","olfactory receptor 1087"
"1137","ENSMUSG00000070460",-0.623507007160931,1.17655740713175,3.9391915786149,0.0471734421790343,1,75,89,100,56,66,52,"Olfr291","olfactory receptor 291"
"1144","ENSMUSG00000111456",1.91491158973902,-2.0330426317398,3.91887480945637,0.0477468271772107,1,1,9,0,8,16,3,"Olfr1245","olfactory receptor 1245"
"1158","ENSMUSG00000050853",0.65616817161297,0.947525603649555,3.88629759819112,0.048681630178736,1,20,43,84,40,72,110,"Olfr958","olfactory receptor 958"
"1166","ENSMUSG00000045559",0.853666400199975,0.16110878561014,3.86985342715256,0.0491608145234666,1,20,25,28,35,65,38,"Olfr827","olfactory receptor 827"
"1195","ENSMUSG00000045150",-1.76681929764241,-1.60331041388326,3.81076553647229,0.0509241707887123,1,7,22,12,9,2,2,"Olfr1161","olfactory receptor 1161"
"1239","ENSMUSG00000062186",-2.0518454929536,-2.02672005029814,3.7524678988684,0.0527296037318725,1,10,11,6,0,9,1,"Olfr395","olfactory receptor 395"
"1270","ENSMUSG00000064333",3.41255419440073,-3.64272048603121,3.7118097851043,0.0540287792882414,1,0,0,0,0,4,0,"Olfr926","olfactory receptor 926"
