"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000062497",1.95187656025317,4.38888714054481,86.9846221164333,1.09368262788655e-20,6.69262752963045e-18,255,229,144,790,836,651,"Olfr1411","olfactory receptor 1411"
"3","ENSMUSG00000067186",1.83404008451611,4.76056916216944,86.7771750514749,1.21463294548647e-20,6.69262752963045e-18,288,403,184,909,1313,713,"Olfr132","olfactory receptor 132"
"6","ENSMUSG00000049041",1.55346274939907,3.85720844327717,42.2441148480956,8.05620798638067e-11,2.95931373366383e-08,212,222,106,435,682,376,"Olfr398","olfactory receptor 398"
"7","ENSMUSG00000061616",1.41156422001512,4.17777103033619,41.0715730839691,1.467553439078e-10,4.04310972465989e-08,257,304,156,492,803,511,"Olfr12","olfactory receptor 12"
"15","ENSMUSG00000045202",1.81125663883727,2.85126534384814,26.1815142631596,3.1078343039022e-07,6.84966680580045e-05,97,81,44,150,430,201,"Olfr123","olfactory receptor 123"
"25","ENSMUSG00000095917",-0.896864243681934,4.82323409097306,19.2088381928849,1.17169656681475e-05,0.00215201602771642,649,1265,741,358,494,466,"Olfr740","olfactory receptor 740"
"42","ENSMUSG00000069390",-1.70704707373409,0.754874365924861,15.1217804324774,0.000100793665742139,0.0158678028068339,44,85,48,25,13,13,"Olfr707","olfactory receptor 707"
"73","ENSMUSG00000068431",-0.745605369792809,4.32408589039649,13.171026414213,0.000284310964797713,0.039163835400885,529,934,392,313,422,274,"Olfr742","olfactory receptor 742"
"92","ENSMUSG00000096000",-5.62577926254738,-2.15504968294927,11.7960177992385,0.00059357551625782,0.0654472363856609,16,4,0,0,0,0,"Olfr773","olfactory receptor 773"
"93","ENSMUSG00000052508",-0.555472992277838,5.66889936644143,11.7950158350335,0.000593895067020516,0.0654472363856609,1526,1549,1258,1003,944,863,"Olfr536","olfactory receptor 536"
"98","ENSMUSG00000083947",1.2432132429587,3.37553574867136,11.414950330786,0.000728554445839305,0.0683153746772231,180,146,94,171,394,417,"Olfr122","olfactory receptor 122"
"99","ENSMUSG00000075115",-0.960358015224265,1.7977590516019,11.3762135312771,0.000743906076339997,0.0683153746772231,132,122,72,54,72,35,"Olfr1200","olfactory receptor 1200"
"115","ENSMUSG00000045030",-0.840939466673612,3.16170932731595,10.8266130872037,0.00100051488767565,0.0848128774014282,243,425,173,116,184,129,"Olfr1443","olfactory receptor 1443"
"129","ENSMUSG00000070852",1.87876369207749,-0.347423884443076,10.3425417285241,0.00129998879724853,0.0965390910865431,11,7,4,21,29,26,"Olfr1121","olfactory receptor 1121"
"131","ENSMUSG00000107645",-0.701474149652136,4.00626911348848,10.322680559621,0.00131405296397291,0.0965390910865431,358,503,503,164,316,349,"Olfr1380","olfactory receptor 1380"
"137","ENSMUSG00000108534",1.14151506685529,0.966600630254378,10.1915694820362,0.00141084182368335,0.0971717306061907,24,32,25,34,75,68,"Olfr1360","olfactory receptor 1360"
"150","ENSMUSG00000094285",-0.756426913645705,5.08765280107824,9.91283801960476,0.00164129827187844,0.106394746800591,665,1935,642,425,661,534,"Olfr743","olfactory receptor 743"
"168","ENSMUSG00000090951",-0.921645930247039,1.50021019917317,9.50336883646728,0.00205094998424576,0.124270620500006,127,90,46,65,50,20,"Olfr181","olfactory receptor 181"
"171","ENSMUSG00000095095",-3.39773585155798,-1.68135274343988,9.42317957804292,0.00214259690517252,0.124270620500006,4,14,11,0,3,0,"Olfr385","olfactory receptor 385"
"183","ENSMUSG00000058194",1.74645356970146,-0.383393834521478,9.23098967136253,0.00237952996680009,0.130599344993809,6,12,5,21,24,27,"Olfr1126","olfactory receptor 1126"
"186","ENSMUSG00000059864",-1.09509998561935,1.22079890208892,9.14885666133568,0.0024887352494283,0.130599344993809,83,109,36,28,37,30,"Olfr1393","olfactory receptor 1393"
"199","ENSMUSG00000051424",-1.16479547218513,0.707046301456992,8.87614126316195,0.00288921569059713,0.144470810006081,60,55,39,17,25,23,"Olfr1184","olfactory receptor 1184"
"208","ENSMUSG00000110819",-0.986378890233803,1.19932526468322,8.70790617943578,0.00316832906115705,0.144470810006081,111,73,35,43,33,24,"Olfr1252","olfactory receptor 1252"
"216","ENSMUSG00000062037",-0.751955054345009,4.02822863412624,8.64644189369105,0.00327700691672644,0.144470810006081,403,803,318,281,275,244,"Olfr285","olfactory receptor 285"
"223","ENSMUSG00000061342",1.40381106773546,0.591127852663451,8.59657784422804,0.0033679528274715,0.144470810006081,14,37,10,49,42,47,"Olfr1168","olfactory receptor 1168"
"226","ENSMUSG00000075214",-1.77475416667079,-0.537713984123882,8.54205694017243,0.00347033244594131,0.144470810006081,23,38,8,7,8,3,"Olfr1002","olfactory receptor 1002"
"242","ENSMUSG00000067513",4.97946188786768,-2.56122330072885,8.34765402492327,0.00386185636078748,0.144470810006081,0,0,0,7,5,0,"Olfr1436","olfactory receptor 1436"
"243","ENSMUSG00000111869",-1.02507295456898,1.01782534875682,8.34506666572194,0.00386735973625966,0.144470810006081,95,56,40,31,36,20,"Olfr342","olfactory receptor 342"
"252","ENSMUSG00000070380",-1.86827486073651,-0.38780084091223,8.26823605452812,0.00403446850238664,0.144470810006081,35,18,23,3,11,6,"Olfr401","olfactory receptor 401"
"253","ENSMUSG00000049057",-0.786567579713987,3.09358809826731,8.26783912701001,0.00403535064439331,0.144470810006081,322,369,121,152,159,105,"Olfr1257","olfactory receptor 1257"
"254","ENSMUSG00000040328",-0.791238398669821,3.70846934082234,8.25496866912521,0.00406406089853766,0.144470810006081,572,542,139,187,378,104,"Olfr56","olfactory receptor 56"
"284","ENSMUSG00000075072",-0.855435530643327,1.59711611206305,7.79485859162086,0.00523951109664088,0.17657230270779,65,174,47,41,70,29,"Olfr48","olfactory receptor 48"
"286","ENSMUSG00000095765",-0.646410218076347,3.70116626197052,7.77836764533449,0.00528755534424416,0.17657230270779,347,518,285,225,248,210,"Olfr741","olfactory receptor 741"
"318","ENSMUSG00000049010",-0.978143863459461,0.833122307623901,7.49998248569056,0.0061699593231761,0.199979269827649,79,63,24,37,31,12,"Olfr982","olfactory receptor 982"
"329","ENSMUSG00000075219",-0.727707793427405,2.21928199080936,7.39537400727529,0.00653918270000526,0.205890838154451,174,183,68,86,106,47,"Olfr994","olfactory receptor 994"
"348","ENSMUSG00000096029",-0.895107814060833,1.22610094682464,7.25195444563998,0.00708238853665619,0.216799782427642,87,77,46,56,44,15,"Olfr679","olfactory receptor 679"
"363","ENSMUSG00000108464",-1.35673569889277,0.063181744380473,7.16359572657782,0.00743979100616804,0.221585126724248,34,38,26,9,10,18,"Olfr192","olfactory receptor 192"
"391","ENSMUSG00000110012",-0.725759889517933,2.19947707611537,6.96825731758056,0.00829682596478604,0.228056954064261,200,167,52,97,118,29,"Olfr644","olfactory receptor 644"
"393","ENSMUSG00000062042",-4.54539755955174,-2.75346645684556,6.96051168528509,0.00833281987744296,0.228056954064261,2,6,1,0,0,0,"Olfr294","olfactory receptor 294"
"408","ENSMUSG00000071494",-0.599072573375234,4.59336077043586,6.89899058677437,0.00862444311153201,0.228056954064261,869,863,415,383,550,373,"Olfr455","olfactory receptor 455"
"417","ENSMUSG00000075069",-0.660334668980341,3.05346688882053,6.86488742946957,0.00879057855694162,0.228056954064261,317,271,154,150,170,116,"Olfr1264","olfactory receptor 1264"
"419","ENSMUSG00000052012",0.826830310328277,3.06095737649716,6.85790471286144,0.00882499732413136,0.228056954064261,167,158,96,156,283,280,"Olfr796","olfactory receptor 796"
"421","ENSMUSG00000094764",-1.16739861195243,1.25157719690741,6.84303069347434,0.00889877406965809,0.228056954064261,89,85,48,21,23,56,"Olfr346","olfactory receptor 346"
"435","ENSMUSG00000094747",-1.10990306518818,0.315657158195771,6.73552986141119,0.00945111550513038,0.236707483787584,54,37,24,24,17,10,"Olfr1307","olfactory receptor 1307"
"514","ENSMUSG00000052058",-0.760144994831637,1.610802363698,6.37946715949753,0.011544808647079,0.282719536201801,94,108,66,39,77,39,"Olfr901","olfactory receptor 901"
"543","ENSMUSG00000051706",-0.657485324905531,2.33573776742572,6.25301644014277,0.0123981999133206,0.29701774574955,199,173,78,103,117,50,"Olfr1325","olfactory receptor 1325"
"577","ENSMUSG00000069998",-1.17139936592781,0.879879472005822,6.12833727616385,0.0133031925071395,0.31015499223917,65,75,23,13,73,7,"Olfr372","olfactory receptor 372"
"631","ENSMUSG00000075120",-0.732572453786944,2.40981160209013,5.99391128301214,0.0143553377736946,0.31015499223917,206,152,115,72,105,90,"Olfr1196","olfactory receptor 1196"
"638","ENSMUSG00000070857",1.04206458124775,0.362068234196981,5.97466818454593,0.0145128118728325,0.31015499223917,26,17,14,44,45,24,"Olfr1113","olfactory receptor 1113"
