"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000059043",2.05312879847015,6.29059506285346,55.6290222636149,8.75219231166827e-14,9.64491592745843e-11,656,859,843,5279,3547,4404,"Olfr15","olfactory receptor 15"
"2","ENSMUSG00000062497",2.19970606020445,3.98370478734676,44.7965433632304,2.18608272735482e-11,1.20453158277251e-08,128,192,126,889,772,1065,"Olfr1411","olfactory receptor 1411"
"4","ENSMUSG00000067186",1.56475117654321,4.19526708651162,34.1759082260803,5.0348430559186e-09,1.84946568254077e-06,312,185,235,1076,908,875,"Olfr132","olfactory receptor 132"
"10","ENSMUSG00000061616",1.53085131025201,4.39650552622903,25.6726317269504,4.04523417746063e-07,0.00011144620158904,205,356,302,1247,1090,961,"Olfr12","olfactory receptor 12"
"11","ENSMUSG00000075064",-4.69497028459297,-0.0124590655951864,23.780439714677,1.0797417140652e-06,0.00023797507377997,41,54,47,0,0,16,"Olfr1506","olfactory receptor 1506"
"18","ENSMUSG00000094539",1.83158497593177,2.02625499777768,17.7419608250075,2.5298428908026e-05,0.00464647810944077,31,72,39,225,168,257,"Olfr191","olfactory receptor 191"
"68","ENSMUSG00000094612",1.20918169394001,3.04645456657218,10.2305246727659,0.00138135364369358,0.217464530764332,107,139,125,414,232,568,"Olfr491","olfactory receptor 491"
"132","ENSMUSG00000063777",2.10638038494199,-0.976003854846646,8.10595329206824,0.00441201122199325,0.60775454582957,4,6,2,22,15,37,"Olfr1469","olfactory receptor 1469"
"160","ENSMUSG00000060523",0.750314691641574,4.6676710532176,7.61811044855746,0.00577850027997039,0.707545256503041,372,585,559,1042,1045,1291,"Olfr726","olfactory receptor 726"
"191","ENSMUSG00000095901",1.11385970406767,0.816759109546879,7.10570882182335,0.00768388339271593,0.846763949877296,27,40,19,80,82,81,"Olfr538","olfactory receptor 538"
"231","ENSMUSG00000045030",0.748499574906831,4.13391771530093,6.62873824996545,0.0100346320026296,1,260,336,435,811,590,915,"Olfr1443","olfactory receptor 1443"
"295","ENSMUSG00000096167",0.878715379917657,2.1740951563937,6.09838892009693,0.0135305183129169,1,77,89,73,280,194,139,"Olfr887","olfactory receptor 887"
"395","ENSMUSG00000096695",0.952910656549758,1.18712376693928,5.41035213004265,0.0200176776699052,1,32,50,36,116,81,109,"Olfr196","olfactory receptor 196"
"435","ENSMUSG00000050813",0.634873494115847,3.58512807108566,5.27272759744106,0.021662044906905,1,285,240,208,578,612,365,"Olfr332","olfactory receptor 332"
"445","ENSMUSG00000063660",-2.51469433256889,-2.72299555777453,5.19812355513376,0.0226112843250585,1,4,4,5,0,2,1,"Olfr98","olfactory receptor 98"
"458","ENSMUSG00000057997",0.856076916103093,2.7615011996769,5.15009796340977,0.0232450616405225,1,81,138,153,301,191,424,"Olfr541","olfactory receptor 541"
"469","ENSMUSG00000048197",2.26543287595546,-2.25255705104489,5.10933113360827,0.0237974930363511,1,0,1,3,7,6,11,"Olfr1153","olfactory receptor 1153"
"490","ENSMUSG00000060112",0.700821816643862,3.36055976524131,5.04350861243897,0.0247183768627311,1,172,209,226,492,339,506,"Olfr60","olfactory receptor 60"
"492","ENSMUSG00000049926",0.896704302939622,2.02606721646717,5.03940576881224,0.0247769877889915,1,48,106,72,171,148,228,"Olfr921","olfactory receptor 921"
"595","ENSMUSG00000048299",1.23999775185189,-0.666116320506409,4.68873406954862,0.030361007800679,1,6,9,11,24,22,37,"Olfr148","olfactory receptor 148"
"656","ENSMUSG00000075085",0.787083020812398,2.49728046035444,4.56223666226696,0.0326843623402277,1,80,129,113,251,186,310,"Olfr1242","olfactory receptor 1242"
"687","ENSMUSG00000063615",0.789702681752453,1.23108338756057,4.43803296714774,0.0351467198135937,1,41,63,30,109,125,73,"Olfr64","olfactory receptor 64"
"703","ENSMUSG00000050865",0.718913873620364,2.00578987036664,4.39745592231892,0.0359925849673316,1,87,79,67,204,149,164,"Olfr1494","olfactory receptor 1494"
"705","ENSMUSG00000094819",0.781795977729829,1.76719638726276,4.388138696814,0.036189801312914,1,59,63,66,161,99,187,"Olfr53","olfactory receptor 53"
"711","ENSMUSG00000096254",1.10504816473412,-0.233013876774443,4.35302145203297,0.0369433486917296,1,16,7,17,35,43,34,"Olfr724","olfactory receptor 724"
"724","ENSMUSG00000075114",0.708638206236688,1.94775212947575,4.31545800082184,0.0377676030242274,1,68,92,69,170,188,144,"Olfr1208","olfactory receptor 1208"
"756","ENSMUSG00000046643",0.815740040170053,0.706364663364204,4.25344576710076,0.0391707761591911,1,21,36,34,58,79,76,"Olfr218","olfactory receptor 218"
"765","ENSMUSG00000095809",0.875572355967317,0.778402258946389,4.24400678571266,0.0393891030804164,1,24,35,31,72,54,100,"Olfr1290","olfactory receptor 1290"
"772","ENSMUSG00000074955",0.989784150008838,-0.0397891368049474,4.22867064893704,0.0397465595654373,1,21,12,15,43,42,41,"Olfr1305","olfactory receptor 1305"
"828","ENSMUSG00000075160",1.38333405060936,-0.56777035506101,4.12919732395534,0.0421493386150108,1,7,17,3,49,23,17,"Olfr259","olfactory receptor 259"
"853","ENSMUSG00000045395",-1.78621641892393,-2.14707913264316,4.05124242639743,0.0441388482496319,1,11,7,3,5,1,2,"Olfr1499","olfactory receptor 1499"
"881","ENSMUSG00000090097",-0.812553332500692,0.631017445264507,4.01837825521201,0.0450069716492342,1,40,60,53,35,37,44,"Olfr1182","olfactory receptor 1182"
"926","ENSMUSG00000043314",0.611949138316827,4.11867246253211,3.97364229188095,0.0462176986890105,1,291,454,340,857,635,714,"Olfr30","olfactory receptor 30"
"1005","ENSMUSG00000045540",0.993005702337049,0.273273558641611,3.85412906075656,0.0496236842294169,1,11,35,17,61,51,45,"Olfr600","olfactory receptor 600"
"1012","ENSMUSG00000051160",1.64267529168919,-1.69705225167524,3.83049761825061,0.0503279888268208,1,2,2,4,22,4,12,"Olfr853","olfactory receptor 853"
"1052","ENSMUSG00000044801",3.55106662817078,-3.47147280658735,3.78400145752385,0.0517447762652066,1,0,0,0,3,2,0,"Olfr159","olfactory receptor 159"
"1079","ENSMUSG00000095484",1.39966000657932,-0.335265432732276,3.76865235427002,0.0522216914692262,1,1,28,11,29,33,39,"Olfr1480","olfactory receptor 1480"
"1085","ENSMUSG00000068818",1.00456347623386,-0.356643620605511,3.75649330853814,0.0526027888438737,1,14,12,11,35,30,35,"Olfr1132","olfactory receptor 1132"
"1109","ENSMUSG00000061195",-1.03820362167056,-0.573814767947594,3.73333798563041,0.0533367042884462,1,21,18,28,14,15,14,"Olfr1289","olfactory receptor 1289"
"1134","ENSMUSG00000109058",0.703830538314262,2.04995554942213,3.67629154147575,0.0551914782004757,1,60,116,75,156,173,205,"Olfr705","olfactory receptor 705"
"1159","ENSMUSG00000067526",0.753027472954275,0.859340551699476,3.6482177522421,0.0561292445603861,1,30,49,26,69,91,73,"Olfr1425","olfactory receptor 1425"
"1172","ENSMUSG00000059864",0.682140100957027,1.34353911798408,3.62626923990832,0.0568741745336286,1,40,42,69,89,92,142,"Olfr1393","olfactory receptor 1393"
"1193","ENSMUSG00000060759",-2.77608236777581,-2.94373397441878,3.5820701088668,0.058406325167251,1,2,5,3,2,0,0,"Olfr503","olfactory receptor 503"
"1223","ENSMUSG00000045479",1.32204647503847,-0.773081470636636,3.53363236460223,0.0601359089302165,1,4,19,3,34,27,13,"Olfr459","olfactory receptor 459"
"1286","ENSMUSG00000062608",0.88618273752826,0.561672924087721,3.49407709138698,0.0615887279623189,1,21,26,26,79,31,84,"Olfr195","olfactory receptor 195"
"1288","ENSMUSG00000094197",3.45464463002768,-3.48248367163624,3.49177687856203,0.0616743536196637,1,0,0,0,0,4,1,"Olfr474","olfactory receptor 474"
"1302","ENSMUSG00000073923",0.78882465684566,0.523254861997125,3.46828946946998,0.0625559675259735,1,21,31,27,71,62,51,"Olfr657","olfactory receptor 657"
"1308","ENSMUSG00000044061",-1.06092709482222,-0.291990078754358,3.45424818211515,0.0630894203057965,1,21,34,26,28,12,14,"Olfr225","olfactory receptor 225"
"1347","ENSMUSG00000068808",0.747534070778591,0.587082956737365,3.37841894399877,0.0660553929752992,1,31,34,20,68,69,53,"Olfr1189","olfactory receptor 1189"
"1368","ENSMUSG00000059874",-1.55519311322331,-1.43290150497916,3.36442711624012,0.0666187507954088,1,7,21,8,10,10,0,"Olfr603","olfactory receptor 603"
"1397","ENSMUSG00000061361",0.557420630201082,3.40903248491752,3.34043079278538,0.0675969090811899,1,222,237,209,482,362,486,"Olfr168","olfactory receptor 168"
"1410","ENSMUSG00000060254",1.04419674097737,0.135464533374649,3.31848724654191,0.0685048368090531,1,10,25,16,73,29,43,"Olfr980","olfactory receptor 980"
"1420","ENSMUSG00000073924",0.673513986927903,1.83494892419391,3.30984786468357,0.0688658672303351,1,58,104,57,148,155,150,"Olfr656","olfactory receptor 656"
"1432","ENSMUSG00000075105",0.901311981469466,0.00305098068000782,3.3000169554603,0.0692791681086743,1,18,26,8,56,46,25,"Olfr1218","olfactory receptor 1218"
"1451","ENSMUSG00000110879",1.38693424435451,-1.65013933570683,3.26861285469028,0.0706173111244113,1,3,2,6,13,15,10,"Olfr1010","olfactory receptor 1010"
"1452","ENSMUSG00000110621",-2.02895560675141,-2.30724022940889,3.26801369898647,0.0706431089271262,1,5,8,4,7,1,0,"Olfr837","olfactory receptor 837"
"1461","ENSMUSG00000073954",0.608096432900511,1.88254939442303,3.25129192985354,0.0713671853379701,1,70,94,65,140,197,134,"Olfr594","olfactory receptor 594"
"1537","ENSMUSG00000045341",0.557240775784754,3.1728726977026,3.17517271799731,0.0747653067766894,1,187,216,165,439,321,365,"Olfr167","olfactory receptor 167"
"1696","ENSMUSG00000060556",0.657879970898376,0.993517653629707,3.00509415629368,0.0830031544261703,1,31,41,47,79,81,90,"Olfr1418","olfactory receptor 1418"
"1704","ENSMUSG00000050015",-0.618549445709777,1.35025612991449,2.99747729253057,0.0833942763790915,1,81,81,78,68,68,74,"Olfr350","olfactory receptor 350"
"1710","ENSMUSG00000100016",0.776408461168301,0.164423345668868,2.98531946477553,0.0840227055851661,1,22,17,21,61,40,39,"Olfr1215","olfactory receptor 1215"
"1805","ENSMUSG00000094449",0.645996253367996,1.3405933314692,2.91915031314432,0.0875339459563133,1,62,43,42,136,68,111,"Olfr972","olfactory receptor 972"
"1933","ENSMUSG00000036658",0.675959196110389,1.729307512361,2.86105542454652,0.0907479379655749,1,49,79,66,188,110,124,"Olfr11","olfactory receptor 11"
"1936","ENSMUSG00000050803",-1.47976865054675,-2.24811255149574,2.85610399642943,0.0910277284388869,1,6,10,2,2,6,1,"Olfr866","olfactory receptor 866"
"1940","ENSMUSG00000096705",-1.68343444726673,-2.5819623175421,2.85280783536335,0.0912145038478885,1,4,7,2,2,4,0,"Olfr1329","olfactory receptor 1329"
"1969","ENSMUSG00000044985",0.510240624494682,4.58353602570263,2.81829049948011,0.0931956123778498,1,341,671,587,1046,890,1018,"Olfr124","olfactory receptor 124"
"2129","ENSMUSG00000058014",0.707385921650242,0.791742247727008,2.73207661006619,0.0983513279816403,1,36,43,21,86,59,70,"Olfr502","olfactory receptor 502"
"2131","ENSMUSG00000073900",0.748191330730129,0.84616753905212,2.73173042893818,0.0983726464237764,1,34,46,22,71,60,97,"Olfr704","olfactory receptor 704"
"2134","ENSMUSG00000075203",1.82067720918783,-2.67482883085932,2.72881455299009,0.0985524113895462,1,0,2,1,3,9,3,"Olfr1040","olfactory receptor 1040"
"2168","ENSMUSG00000094266",-3.60637552233042,-3.45415686373158,2.68499166605616,0.101297755683007,1,0,4,1,0,0,0,"Olfr340","olfactory receptor 340"
"2207","ENSMUSG00000066242",-0.642857300769321,0.71782335262072,2.67263130658993,0.102087115589216,1,39,72,46,36,54,43,"Olfr467","olfactory receptor 467"
"2208","ENSMUSG00000068574",1.30031191715461,-0.66024960123512,2.66894556455283,0.102323795311813,1,1,23,7,34,26,18,"Olfr458","olfactory receptor 458"
"2232","ENSMUSG00000073909",-2.7737740750745,-3.74022299550465,2.66377721279476,0.102656692301223,1,0,2,0,0,0,0,"Olfr688","olfactory receptor 688"
"2388","ENSMUSG00000049758",0.603038081289593,1.21439998046257,2.63189649680983,0.104736542671308,1,60,42,38,114,78,92,"Olfr1318","olfactory receptor 1318"
"2413","ENSMUSG00000063994",0.665960040601701,1.35417536350696,2.62103391326318,0.105455708211468,1,43,77,36,116,96,106,"Olfr120","olfactory receptor 120"
"2439","ENSMUSG00000073938",0.633864462128879,1.2343161652034,2.58679380871218,0.107758267675675,1,44,60,38,101,86,106,"Olfr632","olfactory receptor 632"
"2528","ENSMUSG00000060787",0.50354152301073,2.91619840532386,2.53159060451614,0.111587681038025,1,141,192,159,325,297,309,"Olfr464","olfactory receptor 464"
