"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000063827",2.59663625547667,3.86911687739534,76.8127171141682,1.87963338408541e-18,2.07135598926212e-15,104,155,183,1270,555,960,"Olfr1382","olfactory receptor 1382"
"3","ENSMUSG00000057443",2.63832365229055,2.05635894751083,59.0632292372568,1.5268596800719e-14,8.41299683719617e-12,37,45,39,223,236,304,"Olfr138","olfactory receptor 138"
"4","ENSMUSG00000043383",2.11127533799904,2.94761948172701,48.1956969154235,3.85733912148887e-12,1.41692923729358e-09,90,91,129,642,316,430,"Olfr1342","olfactory receptor 1342"
"5","ENSMUSG00000073966",1.65033782523314,4.13120430325464,44.5072745840028,2.53413844574084e-11,6.98155141801601e-09,218,247,483,1031,781,1024,"Olfr561","olfactory receptor 561"
"7","ENSMUSG00000095187",1.73617107138579,3.11541316239372,41.510894676876,1.17215870810402e-10,2.58343779266126e-08,133,138,161,541,453,454,"Olfr1381","olfactory receptor 1381"
"11","ENSMUSG00000109058",1.62513103163873,2.95099461934171,29.1077236783537,6.84634979436224e-08,1.25744624556453e-05,168,113,103,858,274,244,"Olfr705","olfactory receptor 705"
"12","ENSMUSG00000070856",1.73732130344018,1.7604041029781,24.6259288248719,6.9608809526653e-07,0.000109584154426245,33,73,66,195,178,180,"Olfr1115","olfactory receptor 1115"
"28","ENSMUSG00000107645",1.01735527043564,3.61373445690583,18.9515592564197,1.34079656216759e-05,0.0017971486736624,234,238,385,563,401,799,"Olfr1380","olfactory receptor 1380"
"30","ENSMUSG00000059043",0.766011906719272,5.22073547322394,18.7790234716968,1.46772577703826e-05,0.0017971486736624,1204,817,972,2145,1241,1794,"Olfr15","olfactory receptor 15"
"36","ENSMUSG00000047702",1.28376139116154,2.50366536528594,17.4368139479216,2.97017445901803e-05,0.00327313225383787,121,113,117,261,280,321,"Olfr1388","olfactory receptor 1388"
"69","ENSMUSG00000094285",0.88047973891887,5.07242153343204,13.2392224612465,0.000274151606718065,0.0274650064184825,728,880,911,2553,1279,1138,"Olfr743","olfactory receptor 743"
"93","ENSMUSG00000075382",1.62476846014055,0.716018762736058,11.8389144648279,0.000580056310918153,0.0532685045526504,35,42,12,93,67,99,"Olfr353","olfactory receptor 353"
