"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000096365",2.54144643753371,4.19510031739456,86.1487477153889,1.66897575905618e-20,1.83921128647991e-17,93,137,152,674,896,635,"Olfr1463","olfactory receptor 1463"
"4","ENSMUSG00000063881",2.40951857475257,3.87686493797357,71.4561839384475,2.83483934563901e-17,1.56199647944709e-14,52,203,96,435,945,380,"Olfr376","olfactory receptor 376"
"9","ENSMUSG00000062782",1.75764073472226,4.40518452261388,48.1975760205888,3.85364436201653e-12,1.12645742360188e-09,222,206,243,810,783,678,"Olfr527","olfactory receptor 527"
"10","ENSMUSG00000075066",2.25024789689485,3.17655274707336,48.0814451511979,4.0887746773208e-12,1.12645742360188e-09,47,84,90,262,533,274,"Olfr32","olfactory receptor 32"
"11","ENSMUSG00000094858",2.11469584384046,2.46055508501726,43.7244610256105,3.78017377884658e-11,8.33150300857786e-09,37,61,48,199,200,224,"Olfr1297","olfactory receptor 1297"
"17","ENSMUSG00000096695",1.96806831137451,1.2340355466118,27.6846592908706,1.42790593671395e-07,2.62258723709795e-05,26,19,19,90,66,97,"Olfr196","olfactory receptor 196"
"19","ENSMUSG00000075113",1.96607000407378,1.03166322552538,26.1487105517906,3.16108129094529e-07,4.97644511803101e-05,17,20,19,75,61,85,"Olfr1209","olfactory receptor 1209"
"25","ENSMUSG00000068806",1.82725722184994,1.85041904819007,23.9095412868188,1.0097008908256e-06,0.000139086297711226,44,36,26,136,86,163,"Olfr1259","olfactory receptor 1259"
"26","ENSMUSG00000049797",-1.50493661167225,3.50287265883337,23.1646638251771,1.48704886914703e-06,0.000182080872644447,212,706,263,81,347,58,"Olfr642","olfactory receptor 642"
"30","ENSMUSG00000094539",1.94853480531294,1.28602982982852,21.5886676394402,3.37842099161233e-06,0.000372301993275679,46,11,10,134,32,79,"Olfr191","olfactory receptor 191"
"41","ENSMUSG00000096477",-1.44302939934452,1.86544315217075,19.5895328577954,9.5993666733197e-06,0.000961682006727119,118,128,115,59,35,41,"Olfr92","olfactory receptor 92"
"45","ENSMUSG00000054054",1.05661076596305,4.60967578773427,19.0363707764712,1.28250492745887e-05,0.00117776702504973,339,323,458,767,756,779,"Olfr309","olfactory receptor 309"
"65","ENSMUSG00000101750",-1.07836444788933,4.28952451802954,15.5892798313856,7.86995186611439e-05,0.00667129765881389,396,967,604,255,280,343,"Olfr1392","olfactory receptor 1392"
"76","ENSMUSG00000045225",1.68854306908177,0.534337215091875,14.0309197618135,0.000179829172250418,0.0138618090622059,13,17,16,36,58,56,"Olfr1152","olfactory receptor 1152"
"79","ENSMUSG00000053146",5.91952675339858,-2.08496536001237,13.9324930654324,0.000189494235064846,0.0138618090622059,0,0,0,4,8,10,"Olfr352","olfactory receptor 352"
"81","ENSMUSG00000073893",-1.06762035645438,3.08921180157347,13.688509990499,0.000215770596602214,0.0138618090622059,268,269,251,145,96,140,"Olfr472","olfactory receptor 472"
"83","ENSMUSG00000073967",-1.15830639736636,2.66742056343965,13.6427823461973,0.000221089565409842,0.0138618090622059,150,333,153,65,115,92,"Olfr557","olfactory receptor 557"
