"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000059069",2.54486400339305,4.86292239253998,303.375508016173,6.05864259065698e-68,6.67662413490399e-65,144,298,249,1299,1764,1605,"Olfr749","olfactory receptor 749"
"4","ENSMUSG00000053815",2.47203281308541,2.95643140198105,102.431229498247,4.46605377966182e-24,2.46079563259366e-21,40,100,54,388,421,407,"Olfr744","olfactory receptor 744"
"5","ENSMUSG00000075200",2.1649038995861,2.55870054512095,83.2949170134841,7.06811162045687e-20,2.59635300191449e-17,49,62,55,356,255,285,"Olfr1044","olfactory receptor 1044"
"6","ENSMUSG00000049528",1.77082598042091,1.89859672207984,46.3819727721659,9.73066582846849e-12,2.68079843574307e-09,29,57,46,183,189,155,"Olfr429","olfactory receptor 429"
"9","ENSMUSG00000050028",1.01495193340705,3.76297497861376,33.6742982523205,6.51558967799248e-09,1.43603596502954e-06,187,265,264,500,547,672,"Olfr745","olfactory receptor 745"
"21","ENSMUSG00000062782",0.935091559883953,4.15596762782474,21.9995849599393,2.7270943092118e-06,0.000500876321458567,291,304,348,1061,569,606,"Olfr527","olfactory receptor 527"
"26","ENSMUSG00000050813",0.797062876442606,3.67969798460311,19.3393015667248,1.09430627775974e-05,0.00172275074013033,285,240,208,609,486,429,"Olfr332","olfactory receptor 332"
"58","ENSMUSG00000036658",0.8563670155088,1.80169872942433,13.3759857164368,0.000254866643734266,0.0347306854069815,49,79,66,115,146,154,"Olfr11","olfactory receptor 11"
"63","ENSMUSG00000075427",1.04151928213334,1.89889340106387,13.1754247085194,0.00028364443617317,0.0347306854069815,49,36,117,139,127,189,"Olfr288","olfactory receptor 288"
"147","ENSMUSG00000108167",0.505093388573679,4.20361825389689,9.98394931117861,0.00157910633482788,0.147796364192979,338,430,439,569,597,909,"Olfr1386","olfactory receptor 1386"
"150","ENSMUSG00000043698",0.824874816604574,1.59577394224966,9.95638276116877,0.00160292686766707,0.147796364192979,43,82,47,99,119,136,"Olfr62","olfactory receptor 62"
"153","ENSMUSG00000073975",0.749970275533254,2.37891835213437,9.94896587132995,0.00160939779520485,0.147796364192979,99,126,76,156,265,184,"Olfr550","olfactory receptor 550"
"179","ENSMUSG00000061195",-1.62077778671373,-0.721693787470266,9.38369969605523,0.00218923280476668,0.185579580834837,21,18,28,10,6,10,"Olfr1289","olfactory receptor 1289"
"188","ENSMUSG00000054141",0.588401187196163,3.58041741787264,9.24480437268216,0.00236164524301237,0.185895218414259,195,282,286,469,393,496,"Olfr24","olfactory receptor 24"
"204","ENSMUSG00000059610",0.404926469217935,4.94832593609252,8.95462587543965,0.00276767861236579,0.192288486022344,632,871,613,1267,1040,1012,"Olfr222","olfactory receptor 222"
"205","ENSMUSG00000094819",0.712410338854357,1.68082759221502,8.93874328477215,0.00279184734696688,0.192288486022344,59,63,66,121,106,143,"Olfr53","olfactory receptor 53"
"222","ENSMUSG00000054406",0.816151119870607,1.23264442329663,8.711940053353,0.00316132597378594,0.192607602246568,22,53,60,67,93,112,"Olfr411","olfactory receptor 411"
"228","ENSMUSG00000063583",0.939101338857809,0.728432258867006,8.63792966854674,0.0032923536161566,0.192607602246568,19,45,23,58,88,47,"Olfr1410","olfactory receptor 1410"
"232","ENSMUSG00000111259",0.681918950949514,2.34658492379365,8.59365399047716,0.00337336453334457,0.192607602246568,76,163,77,171,215,187,"Olfr1328","olfactory receptor 1328"
"236","ENSMUSG00000056961",1.56799143967173,-0.0277498067939751,8.5288522246167,0.00349560076672537,0.192607602246568,5,22,10,32,26,69,"Olfr919","olfactory receptor 919"
"262","ENSMUSG00000075064",-1.91483714774356,0.337595383125702,8.22688227146882,0.00412743743141015,0.21180036121972,41,54,47,31,31,0,"Olfr1506","olfactory receptor 1506"
"268","ENSMUSG00000075091",0.748612732951205,1.2851320434291,8.18306770879851,0.00422831937099259,0.21180036121972,39,62,40,84,103,91,"Olfr1233","olfactory receptor 1233"
"318","ENSMUSG00000061549",0.723960920657158,1.47046909438563,7.7536564518413,0.00536039037013199,0.241686030578636,42,72,48,111,120,84,"Olfr301","olfactory receptor 301"
"339","ENSMUSG00000051180",0.443267935703536,4.10369169634708,7.62813741858845,0.00574646167774057,0.241686030578636,292,537,347,554,670,630,"Olfr522","olfactory receptor 522"
"343","ENSMUSG00000068574",1.64423754380164,-0.446547703021661,7.59130215805935,0.00586505709082141,0.241686030578636,1,23,7,19,35,33,"Olfr458","olfactory receptor 458"
"345","ENSMUSG00000051200",-2.53973495796969,-2.05193846926867,7.57657191108741,0.00591317901937528,0.241686030578636,6,13,6,0,2,3,"Olfr513","olfactory receptor 513"
"348","ENSMUSG00000062497",0.567001662311917,2.80066800529061,7.5613621227135,0.00596329035799604,0.241686030578636,128,192,126,249,268,258,"Olfr1411","olfactory receptor 1411"
"353","ENSMUSG00000109058",0.62678227242653,2.01808080259839,7.50307882522917,0.00615936075805402,0.241686030578636,60,116,75,109,180,166,"Olfr705","olfactory receptor 705"
"374","ENSMUSG00000049618",0.786987619295657,1.11318815425815,7.35634618062814,0.0066826455875813,0.241686030578636,46,49,27,74,97,76,"Olfr103","olfactory receptor 103"
"380","ENSMUSG00000045479",1.63376079481998,-0.606677121844526,7.28429387269563,0.00695600677282507,0.241686030578636,4,19,3,25,29,24,"Olfr459","olfactory receptor 459"
"384","ENSMUSG00000095236",1.30468731033989,-0.15292876933297,7.27641490943491,0.00698658373850357,0.241686030578636,9,13,14,54,32,25,"Olfr38","olfactory receptor 38"
"387","ENSMUSG00000050134",-0.57965244486689,2.96749280042109,7.26832911770303,0.00701810615110377,0.241686030578636,272,296,175,191,217,174,"Olfr430","olfactory receptor 430"
"395","ENSMUSG00000070311",2.38570569280919,-1.90370152313116,7.18224727395319,0.00736284273167661,0.243640788125457,2,3,0,8,13,9,"Olfr894","olfactory receptor 894"
"402","ENSMUSG00000044923",0.715545250723748,1.23306098171835,7.14506668502482,0.00751704790949687,0.243640788125457,31,62,45,61,103,103,"Olfr1030","olfactory receptor 1030"
"413","ENSMUSG00000067528",0.846549904609539,0.889215014463258,7.07331929399601,0.00782401767689811,0.246344785141192,19,44,40,70,78,65,"Olfr1424","olfactory receptor 1424"
"458","ENSMUSG00000095809",0.817090327326516,0.711173012105746,6.81862167223463,0.00902121663291031,0.275569208481488,24,35,31,62,60,66,"Olfr1290","olfactory receptor 1290"
"482","ENSMUSG00000095910",0.971858582382136,0.383526688053065,6.71514616762867,0.00955974552596936,0.275569208481488,10,27,31,38,62,51,"Olfr469","olfactory receptor 469"
"486","ENSMUSG00000059429",0.566227264857775,2.43730550739962,6.70797020222801,0.00959829182601418,0.275569208481488,105,158,82,178,244,174,"Olfr365","olfactory receptor 365"
"501","ENSMUSG00000075114",0.598575189000232,1.88045272654619,6.65663167733432,0.00987874703928664,0.275569208481488,68,92,69,138,129,144,"Olfr1208","olfactory receptor 1208"
"506","ENSMUSG00000093825",0.656798160892865,1.44563750022923,6.62790709654758,0.0100393154696189,0.275569208481488,40,66,58,75,107,126,"Olfr723","olfactory receptor 723"
"520","ENSMUSG00000068437",0.770396563406722,0.859438098456608,6.59047609967265,0.010252574907206,0.275569208481488,19,41,44,50,67,90,"Olfr725","olfactory receptor 725"
"552","ENSMUSG00000043925",0.520008606234734,2.96054371367331,6.39405422118335,0.0114503217829145,0.300434633446947,99,255,164,190,332,332,"Olfr544","olfactory receptor 544"
"579","ENSMUSG00000070377",0.512016825805661,3.33387810503441,6.24995942338581,0.0124196151505347,0.318288741764866,223,251,182,424,310,383,"Olfr43","olfactory receptor 43"
"628","ENSMUSG00000073964",0.618013706016792,1.6796441098973,6.02031155985821,0.0141421499005457,0.348851744888306,44,88,68,117,117,122,"Olfr570","olfactory receptor 570"
"637","ENSMUSG00000110259",0.52306553360894,2.87480093805407,6.00332676751627,0.0142789288476041,0.348851744888306,125,210,139,185,328,300,"Olfr65","olfactory receptor 65"
"647","ENSMUSG00000044441",0.504995219811728,2.63880043093755,5.93108944397966,0.0148760422944825,0.348851744888306,106,176,126,191,259,231,"Olfr1442","olfactory receptor 1442"
"654","ENSMUSG00000090129",0.564642672915869,2.41642973057521,5.89534085105174,0.0151809911841115,0.348851744888306,89,98,155,218,157,221,"Olfr287","olfactory receptor 287"
"655","ENSMUSG00000073897",0.43980759478512,3.70566926875121,5.89371709467006,0.015194994332703,0.348851744888306,242,311,323,371,448,617,"Olfr17","olfactory receptor 17"
"674","ENSMUSG00000060765",0.669500534864758,1.1396449231283,5.82150511923022,0.0158313920902221,0.355075599589427,34,56,41,62,84,102,"Olfr325","olfactory receptor 325"
"682","ENSMUSG00000051493",0.647342288644186,1.30512679463062,5.79077251490083,0.0161105081483406,0.355075599589427,36,61,52,90,106,79,"Olfr974","olfactory receptor 974"
"702","ENSMUSG00000066262",0.579402578871983,2.69154945212047,5.70303410993522,0.0169356122852281,0.365942053692576,113,200,101,178,258,285,"Olfr640","olfactory receptor 640"
"752","ENSMUSG00000050763",0.435410116808892,3.85361628735166,5.54123152683594,0.018573507588493,0.373036124663753,304,336,323,655,378,558,"Olfr1395","olfactory receptor 1395"
"754","ENSMUSG00000052625",0.570724907674708,1.72261757064384,5.5360833727106,0.0186282287546765,0.373036124663753,74,72,60,116,116,133,"Olfr851","olfactory receptor 851"
"762","ENSMUSG00000042849",-0.562935364868078,2.02786746309441,5.51820392689982,0.0188195714383004,0.373036124663753,90,166,127,60,118,136,"Olfr1414","olfactory receptor 1414"
"763","ENSMUSG00000074945",1.54700565263334,-1.31429493188136,5.51475444827658,0.0188567202028464,0.373036124663753,4,3,6,12,14,20,"Olfr1314","olfactory receptor 1314"
"767","ENSMUSG00000101078",1.30037798369632,-0.521252313774672,5.50552730767438,0.0189564636852724,0.373036124663753,12,13,4,22,29,31,"Olfr1166","olfactory receptor 1166"
"825","ENSMUSG00000063173",0.834277064648312,0.868647274606937,5.29250029298586,0.0214174490516496,0.412640131934935,30,35,29,52,43,127,"Olfr811","olfactory receptor 811"
"873","ENSMUSG00000094692",0.82968022467063,0.690360155003796,5.20047440376584,0.0225807246349833,0.412640131934935,45,35,11,61,77,41,"Olfr738","olfactory receptor 738"
