"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"17","ENSMUSG00000059043",1.33850250530077,5.52210804169531,24.1240033811668,9.03273381729147e-07,0.00099540726666552,1100,1044,686,2426,3753,944,"Olfr15","olfactory receptor 15"
"35","ENSMUSG00000059504",1.48864481334409,2.53165932390189,14.5124245367787,0.000139238181064407,0.0767202377664883,150,90,102,319,421,155,"Olfr314","olfactory receptor 314"
"50","ENSMUSG00000059279",1.63461260316337,3.78715059553659,12.8652931273,0.000334732460492471,0.122958390487568,251,167,244,397,1505,384,"Olfr224","olfactory receptor 224"
"91","ENSMUSG00000108931",1.92357865190791,-0.212406518662454,9.96154217939304,0.00159844103905796,0.396953950679906,16,10,10,38,82,19,"Olfr1284","olfactory receptor 1284"
"94","ENSMUSG00000075203",5.20493974997195,-3.13594387431372,9.7419865402731,0.00180106148221373,0.396953950679906,0,0,0,7,5,1,"Olfr1040","olfactory receptor 1040"
"138","ENSMUSG00000049674",1.62273550375228,0.0790943315257369,8.57717481564799,0.00340403125916868,0.584713817939289,37,27,4,62,53,36,"Olfr714","olfactory receptor 714"
"153","ENSMUSG00000073960",4.8760843763066,-3.32142008295072,8.18790910831592,0.00421704992407111,0.584713817939289,0,0,0,4,4,2,"Olfr583","olfactory receptor 583"
"155","ENSMUSG00000062892",1.91184501472241,-0.973253757461943,8.17603406188791,0.00424474640972261,0.584713817939289,7,9,6,20,20,36,"Olfr1450","olfactory receptor 1450"
"166","ENSMUSG00000059030",1.39088431506654,0.049788779624593,7.92926832073862,0.00486414625389797,0.585406445553464,18,21,24,37,67,45,"Olfr128","olfactory receptor 128"
"175","ENSMUSG00000069390",1.17155771802077,1.39843594264306,7.76996147636704,0.00531221819921474,0.585406445553464,50,68,62,166,69,141,"Olfr707","olfactory receptor 707"
"248","ENSMUSG00000056853",2.27687416449371,-1.84234527731423,6.90591374724274,0.00859111086307162,0.860673106464084,1,7,2,16,15,8,"Olfr765","olfactory receptor 765"
"316","ENSMUSG00000092292",-2.21215702929773,-2.13237399392498,6.08162290221795,0.0136595228381665,1,14,7,12,3,2,1,"Olfr113","olfactory receptor 113"
"351","ENSMUSG00000060827",0.938273119073679,2.97830881360392,5.90214007865201,0.015122499371245,1,248,217,102,259,752,135,"Olfr1193","olfactory receptor 1193"
"372","ENSMUSG00000061489",0.829603703943328,2.44963759487203,5.7573285001211,0.0164200193093898,1,188,200,87,301,213,197,"Olfr525","olfactory receptor 525"
"464","ENSMUSG00000045708",1.24182293959283,-0.299917427185328,5.25812572435431,0.0218445312694763,1,25,14,12,67,21,26,"Olfr447","olfactory receptor 447"
"494","ENSMUSG00000056959",0.800623816934316,2.10392391182222,5.07875244803709,0.0242207916899444,1,166,99,103,180,155,219,"Olfr315","olfactory receptor 315"
"506","ENSMUSG00000073962",1.16968788790732,0.157484717456305,5.03858863274302,0.0247886781535236,1,25,21,24,84,19,56,"Olfr576","olfactory receptor 576"
