"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000061952",3.18452563840061,3.42667787370224,126.462334574481,2.43581122315414e-29,2.68426396791586e-26,73,102,64,927,726,425,"Olfr1377","olfactory receptor 1377"
"3","ENSMUSG00000066750",2.8537920659093,3.18043308072407,119.001713294373,1.04639084416462e-27,5.76561355134706e-25,86,98,64,678,705,336,"Olfr876","olfactory receptor 876"
"4","ENSMUSG00000060583",3.1831311488651,2.7677899368403,109.011674447109,1.61332837654752e-25,5.92629290318456e-23,58,59,32,681,462,203,"Olfr881","olfactory receptor 881"
"5","ENSMUSG00000059189",2.57495815213944,2.24764408428339,69.4222074505122,7.94886155999593e-17,2.18991135977888e-14,68,65,23,454,324,117,"Olfr913","olfactory receptor 913"
"6","ENSMUSG00000096356",2.73755442589303,1.62887396484462,65.5258844483454,5.73556790787114e-16,1.2641191668948e-13,29,39,22,250,208,114,"Olfr889","olfactory receptor 889"
"7","ENSMUSG00000094612",2.03609621467214,3.5608067730497,64.2822855346846,1.07810723865377e-15,1.98012362832742e-13,156,237,136,796,760,457,"Olfr491","olfactory receptor 491"
"8","ENSMUSG00000044798",3.12721243352912,4.42181575524325,54.5295937967186,1.53124447242811e-13,2.41061629802254e-11,102,191,125,2816,1120,445,"Olfr923","olfactory receptor 923"
"9","ENSMUSG00000044205",1.87190754680863,2.85502065622694,50.6177779565829,1.12223868468342e-12,1.54588378815141e-10,132,135,84,433,545,246,"Olfr983","olfactory receptor 983"
"12","ENSMUSG00000058014",2.07799134751701,1.77409179793851,45.4441514081839,1.57053810477014e-11,1.9230366571741e-09,65,57,28,250,234,108,"Olfr502","olfactory receptor 502"
"14","ENSMUSG00000046150",2.74013695811671,1.42506772120908,40.606026099885,1.86231442365336e-10,2.052270494866e-08,22,36,14,319,124,68,"Olfr918","olfactory receptor 918"
"17","ENSMUSG00000052058",1.65988820371053,2.84812161670471,35.1552882514305,3.04433572809373e-09,3.04987088396299e-07,234,102,79,518,358,261,"Olfr901","olfactory receptor 901"
"19","ENSMUSG00000066748",2.06818092926271,3.74451068452244,32.6876637636567,1.08221898608123e-08,9.93837768884596e-07,149,213,172,1288,909,269,"Olfr145","olfactory receptor 145"
"20","ENSMUSG00000058628",2.11946833075811,1.97230390762092,30.8251117452799,2.82360260678156e-08,2.39354620974868e-06,41,77,44,337,177,156,"Olfr875","olfactory receptor 875"
"24","ENSMUSG00000094380",2.62208962798793,0.634492211473807,25.9019616759922,3.59203927156934e-07,2.82744805519244e-05,10,13,22,153,87,43,"Olfr904","olfactory receptor 904"
"25","ENSMUSG00000075064",-7.04263121847444,-1.85328209619441,24.7592866642402,6.49550830137754e-07,4.7720334320787e-05,16,31,3,0,0,0,"Olfr1506","olfactory receptor 1506"
"30","ENSMUSG00000096409",2.26447217634592,1.1203608903017,23.4769136890345,1.26421715202061e-06,8.70729563454195e-05,14,38,28,180,166,47,"Olfr890","olfactory receptor 890"
"35","ENSMUSG00000049015",1.865603627243,2.01029597651058,21.480883417933,3.57373606702312e-06,0.000231662185050558,47,82,51,383,249,79,"Olfr1467","olfactory receptor 1467"
"38","ENSMUSG00000063764",1.58804007228901,1.60534884140817,19.9768387168878,7.83859122751274e-06,0.000479895974039947,69,40,45,323,117,67,"Olfr508","olfactory receptor 508"
"40","ENSMUSG00000095527",2.29810797972735,-0.0249914210696653,19.1646970842218,1.19910653581017e-05,0.000695481790769899,16,17,4,90,47,30,"Olfr888","olfactory receptor 888"
"42","ENSMUSG00000094426",1.70751851474731,1.76258675628407,18.6675479678255,1.55608488930189e-05,0.000857402774005341,61,51,37,417,119,61,"Olfr478","olfactory receptor 478"
"44","ENSMUSG00000107417",0.985719711622144,3.84813547564166,18.3561640572556,1.83225238084858e-05,0.000961496249378636,528,280,290,967,705,386,"Olfr1383","olfactory receptor 1383"
"51","ENSMUSG00000094588",1.76456777496042,1.13337400163407,17.3637806015609,3.0865210142587e-05,0.00154606643532413,32,43,24,237,98,43,"Olfr898","olfactory receptor 898"
"53","ENSMUSG00000096477",1.2627108798452,2.51972202604551,17.1807498046196,3.39862942017093e-05,0.00162838679175146,145,119,99,466,309,126,"Olfr92","olfactory receptor 92"
"64","ENSMUSG00000095893",1.48871622809722,2.45657700772422,15.1185156444655,0.00010096812284544,0.00463611964065312,119,72,70,706,161,89,"Olfr884","olfactory receptor 884"
"67","ENSMUSG00000049149",0.721176974113053,4.63773499267934,14.4957729858069,0.000140474401161256,0.00619211160318816,904,678,541,1426,1343,611,"Olfr1258","olfactory receptor 1258"
"68","ENSMUSG00000044170",0.707848099834559,5.78867047147344,14.3728350977155,0.000149950016457803,0.00635557377448073,2829,1242,961,3189,2123,1728,"Olfr1384","olfactory receptor 1384"
"102","ENSMUSG00000075194",-5.27561918210836,-3.02048803094851,10.631100430536,0.00111201523686932,0.0448708099676694,7,3,5,0,0,0,"Olfr1049","olfactory receptor 1049"
"104","ENSMUSG00000059371",-2.94741894796018,-2.03698240753782,10.5849931750028,0.00114009317522209,0.0448708099676694,9,10,18,1,2,1,"Olfr427","olfactory receptor 427"
"119","ENSMUSG00000040328",0.958772445454089,2.865329872365,9.91148569504365,0.00164250471880144,0.0610455495650139,230,141,150,648,296,143,"Olfr56","olfactory receptor 56"
"120","ENSMUSG00000050134",0.94808323284168,2.91654761878234,9.88992982833661,0.0016618570661982,0.0610455495650139,219,143,207,498,382,191,"Olfr430","olfactory receptor 430"
"132","ENSMUSG00000101750",0.820932844946723,4.30320895232815,9.56857613643002,0.00197936242130463,0.0703631415573452,564,596,350,1729,819,362,"Olfr1392","olfactory receptor 1392"
"144","ENSMUSG00000096757",1.07971445583216,1.66093660417635,9.39529174964013,0.00217543382494596,0.0749165023465765,76,75,62,261,154,63,"Olfr251","olfactory receptor 251"
"154","ENSMUSG00000050343",-2.33097132090971,-1.75511907787024,9.04776618160728,0.0026301597877244,0.0878313965476451,15,17,13,2,3,3,"Olfr1378","olfactory receptor 1378"
"165","ENSMUSG00000075203",3.91703609916742,-2.84118588697245,8.76546503009153,0.00306987794166792,0.0995001615211191,0,0,1,2,5,10,"Olfr1040","olfactory receptor 1040"
