"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000043698",2.92179019469538,3.51863031192688,84.4921310735183,3.85747049069432e-20,4.25093248074514e-17,91,76,44,510,410,637,"Olfr62","olfactory receptor 62"
"3","ENSMUSG00000070820",2.67797979464619,3.79853155668395,71.7030015008097,2.50151743587049e-17,1.37833610716464e-14,147,108,55,645,499,721,"Olfr1339","olfactory receptor 1339"
"7","ENSMUSG00000046790",1.67121180938478,4.02559132745027,41.6007249178273,1.11951752545542e-10,4.11236104350624e-08,226,190,183,515,608,774,"Olfr1341","olfactory receptor 1341"
"19","ENSMUSG00000075064",6.86476429929331,-1.39961172343347,24.5525680017535,7.23099093321854e-07,0.000199213800210171,0,0,0,16,0,32,"Olfr1506","olfactory receptor 1506"
"24","ENSMUSG00000094612",1.18561466686974,3.31917999879524,20.0766642355998,7.43989467687168e-06,0.00163975278678252,159,151,151,393,222,464,"Olfr491","olfactory receptor 491"
"26","ENSMUSG00000049528",1.80679981579791,1.87070734200796,19.5571088341985,9.76367416900717e-06,0.00179326148904098,56,60,20,178,108,158,"Olfr429","olfactory receptor 429"
"51","ENSMUSG00000070821",1.50784272068865,4.35653018726049,13.0440428470287,0.000304250611062085,0.0478977390557739,286,287,155,774,283,1312,"Olfr1340","olfactory receptor 1340"
"68","ENSMUSG00000063764",1.60252485994529,0.775323849275926,11.936567463715,0.000550427982796961,0.0758214546302814,23,21,16,91,25,86,"Olfr508","olfactory receptor 508"
"145","ENSMUSG00000047716",1.43112121416545,1.50770736829529,8.27336408605801,0.00402308945965177,0.492604953837361,58,42,18,75,78,159,"Olfr736","olfactory receptor 736"
"186","ENSMUSG00000075061",1.70690126095403,-0.635272050173861,7.70422957972337,0.00550915817555506,0.571528806143539,11,11,2,25,26,19,"Olfr1272","olfactory receptor 1272"
"188","ENSMUSG00000060759",4.51613065302581,-3.0368757084907,7.64122518560258,0.00570491548782117,0.571528806143539,0,0,0,2,4,2,"Olfr503","olfactory receptor 503"
"230","ENSMUSG00000075065",0.99145374793908,2.15218441894454,7.10195450510604,0.00769999419922867,0.7071161339625,102,55,65,122,99,228,"Olfr1270","olfactory receptor 1270"
"299","ENSMUSG00000029184",0.941304191249947,3.00898398983561,6.49913960820304,0.0107926708159003,0.899069845752024,269,115,81,288,176,347,"Olfr109","olfactory receptor 109"
"315","ENSMUSG00000095586",4.25662141073104,-3.10030571482294,6.39845999882542,0.0114219399641818,0.899069845752024,0,0,0,0,3,4,"Olfr1287","olfactory receptor 1287"
"463","ENSMUSG00000094755",-4.07088325463668,-3.19175938238869,5.45486930541145,0.0195138637971006,1,4,0,2,0,0,0,"Olfr1453","olfactory receptor 1453"
"513","ENSMUSG00000092292",-1.8494440308821,-1.59947756358655,5.273314860485,0.0216547387167915,1,18,6,9,3,1,5,"Olfr113","olfactory receptor 113"
"514","ENSMUSG00000074946",1.52839584707867,-1.12682925424031,5.26599203204115,0.0217460254261597,1,4,6,6,19,18,10,"Olfr1313","olfactory receptor 1313"
"605","ENSMUSG00000109824",1.98242852125402,-1.98124324425725,4.91010653413456,0.0266999942890689,1,3,0,3,8,4,11,"Olfr643","olfactory receptor 643"
"626","ENSMUSG00000058188",1.09127236741302,0.0551734305655519,4.84076536634327,0.0277945564852122,1,17,25,10,48,27,32,"Olfr746","olfactory receptor 746"
"724","ENSMUSG00000075169",1.36000232605826,-1.09024923386035,4.58200894181108,0.032309314379142,1,7,6,5,14,15,17,"Olfr1098","olfactory receptor 1098"
"736","ENSMUSG00000094119",0.961714536027493,0.226620760293699,4.5362011159596,0.0331851606712492,1,19,21,19,43,27,46,"Olfr612","olfactory receptor 612"
"827","ENSMUSG00000109497",-3.55556213671622,-3.35869596390564,4.37278086669228,0.0365173508891267,1,2,0,2,0,0,0,"Olfr492","olfactory receptor 492"
"844","ENSMUSG00000049098",0.791961489719158,0.980526532559234,4.31999491833216,0.0376670347147818,1,54,32,28,89,42,65,"Olfr147","olfactory receptor 147"
"851","ENSMUSG00000094197",3.55024362273302,-3.35811299818902,4.29912719395205,0.0381319379283167,1,0,0,0,0,3,1,"Olfr474","olfactory receptor 474"
"872","ENSMUSG00000058856",3.75082020632006,-3.27293934032013,4.27273667711658,0.0387285089686448,1,0,0,0,0,5,0,"Olfr952","olfactory receptor 952"
"899","ENSMUSG00000045204",-1.10338575477367,-0.230240316433136,4.20070812516512,0.0404071028575623,1,45,25,19,13,10,16,"Olfr835","olfactory receptor 835"
"947","ENSMUSG00000056858",3.41655939125644,-3.36094132456964,4.11095570356234,0.0426062795790817,1,0,0,0,2,0,2,"Olfr1502","olfactory receptor 1502"
"957","ENSMUSG00000055571",-1.13935541849165,-0.602373701514004,4.10717743931766,0.0427015720183718,1,23,29,15,8,11,10,"Olfr305","olfactory receptor 305"
"1011","ENSMUSG00000044170",0.462773950220821,4.07114640664771,4.0672174978273,0.043723241689876,1,238,279,481,303,320,816,"Olfr1384","olfactory receptor 1384"
"1033","ENSMUSG00000095030",-0.927719490651307,0.375265208654029,4.03473180258719,0.0445727595313561,1,79,32,27,29,24,14,"Olfr1513","olfactory receptor 1513"
"1046","ENSMUSG00000068647",1.03732636963933,-0.188561440926408,4.00111426431808,0.0454701942641116,1,7,15,21,20,33,30,"Olfr1278","olfactory receptor 1278"
"1096","ENSMUSG00000063842",-1.97386365967039,-2.16244301713763,3.89452229760053,0.048443814132503,1,6,12,2,0,4,1,"Olfr862","olfactory receptor 862"
"1098","ENSMUSG00000060918",2.65732543119255,-2.24651848075433,3.88964054075516,0.0485848211394315,1,0,3,0,4,2,13,"Olfr51","olfactory receptor 51"
"1099","ENSMUSG00000049618",0.918851987111724,1.01752928550042,3.87874548095103,0.0489010841550755,1,44,41,20,63,39,101,"Olfr103","olfactory receptor 103"
"1109","ENSMUSG00000111159",-2.27259469267048,-2.72552806828269,3.86573514394916,0.0492815997629727,1,6,3,2,1,1,0,"Olfr1337","olfactory receptor 1337"
"1148","ENSMUSG00000049797",-0.465905054141221,3.60153712407621,3.81892141518725,0.0506768502133256,1,407,142,481,309,81,396,"Olfr642","olfactory receptor 642"
"1150","ENSMUSG00000049073",-1.25103788305999,-1.12367376520201,3.81104041379383,0.0509158146052929,1,13,24,9,7,7,4,"Olfr985","olfactory receptor 985"
"1169","ENSMUSG00000066905",1.11724845454656,-0.361246190444824,3.77123983523879,0.0521409705089858,1,20,13,5,34,16,28,"Olfr860","olfactory receptor 860"
"1186","ENSMUSG00000110008",1.12335430772077,1.47686303290804,3.74514795168604,0.0529610384686455,1,46,52,19,81,34,183,"Olfr560","olfactory receptor 560"
"1194","ENSMUSG00000069390",0.765495880569906,0.786696401234414,3.71497735318063,0.0539263562995578,1,34,44,23,53,54,58,"Olfr707","olfactory receptor 707"
