"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"8","ENSMUSG00000108674",1.99474759116788,3.30195634642571,47.106001858708,6.72494418658237e-12,7.41088849361377e-09,83,124,78,392,829,264,"Olfr1359","olfactory receptor 1359"
"10","ENSMUSG00000070417",2.38571734510849,1.25903067414574,39.9904299227746,2.55210160164306e-10,1.40620798250533e-07,24,16,15,121,155,78,"Olfr2","olfactory receptor 2"
"14","ENSMUSG00000108534",2.24481624151298,2.47948620892139,30.240527814123,3.81650579046518e-08,1.40192979369754e-05,41,41,47,204,528,137,"Olfr1360","olfactory receptor 1360"
"19","ENSMUSG00000044985",1.49507737925552,5.55780337806728,24.294991217898,8.26537106748654e-07,0.000227710972909254,499,727,404,1129,4750,1068,"Olfr124","olfactory receptor 124"
"23","ENSMUSG00000046016",2.0301822772533,4.64214361884621,23.0772205686161,1.5562355658276e-06,0.000342994318708403,243,220,140,572,2890,551,"Olfr1364","olfactory receptor 1364"
"24","ENSMUSG00000050366",1.33811271368205,4.87981219520703,20.2675389216198,6.73333477359747e-06,0.0012366891534174,423,492,248,927,2683,582,"Olfr524","olfactory receptor 524"
"34","ENSMUSG00000075064",-6.66936147650102,-1.75443520130914,17.8983374646587,2.33024583315827e-05,0.00366847272591488,16,0,19,0,0,0,"Olfr1506","olfactory receptor 1506"
"37","ENSMUSG00000045202",1.52318103914228,2.87917453296811,17.2236608596039,3.32272183928576e-05,0.00457704933361613,85,96,74,193,651,196,"Olfr123","olfactory receptor 123"
"49","ENSMUSG00000049041",1.18716197073657,3.50970147968088,14.8091390979211,0.000118957612707444,0.0145656988004004,187,205,107,377,913,241,"Olfr398","olfactory receptor 398"
"84","ENSMUSG00000071000",1.36191052849263,1.07301090531161,11.173452865163,0.000829760590959418,0.0914396171237279,45,19,21,78,74,98,"Olfr155","olfactory receptor 155"
"88","ENSMUSG00000071494",0.958637199754324,5.47035826114717,10.7423466450113,0.00104711468014712,0.104901852502011,832,953,418,1089,3445,1098,"Olfr455","olfactory receptor 455"
"96","ENSMUSG00000070374",1.10921322425472,3.2211241617438,10.2906688159421,0.00133704618461951,0.122785407954225,149,224,55,217,887,162,"Olfr59","olfactory receptor 59"
"100","ENSMUSG00000075086",1.0270363148468,1.85858466943787,10.0637492823134,0.00151215184068071,0.12818394834078,58,82,38,157,123,142,"Olfr1241","olfactory receptor 1241"
"114","ENSMUSG00000057890",1.84547971506224,-0.872475957862407,9.48225093992026,0.00207469258916134,0.163307945232557,4,6,5,18,25,22,"Olfr1375","olfactory receptor 1375"
"133","ENSMUSG00000049280",0.935783192041018,2.99283805094204,8.63276183849904,0.00330170631761307,0.242565357467307,106,177,99,186,643,183,"Olfr509","olfactory receptor 509"
"141","ENSMUSG00000047716",1.02298954337737,1.03810072711679,8.44537112912377,0.00365973744197188,0.252064416315813,22,60,22,61,100,73,"Olfr736","olfactory receptor 736"
"173","ENSMUSG00000054666",0.977097066535795,2.057279176232,7.64034549767676,0.00570769836632694,0.369993152923076,41,91,57,79,362,92,"Olfr63","olfactory receptor 63"
"195","ENSMUSG00000094464",0.833491320836872,1.53134793900867,7.21320971223817,0.00723689614579908,0.443058864037255,29,105,33,80,167,77,"Olfr339","olfactory receptor 339"
