"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"11","ENSMUSG00000062272",2.16372604091231,0.988892162852859,37.5843942337362,8.7542079379154e-10,9.64713714758277e-07,17,32,20,121,208,54,"Olfr1129","olfactory receptor 1129"
"93","ENSMUSG00000073947",0.823950468736756,3.11991785483425,16.8838863062406,3.9737496522045e-05,0.0218953605836468,227,258,174,477,454,380,"Olfr615","olfactory receptor 615"
"188","ENSMUSG00000073950",0.573530977069895,4.08006402519368,12.0466796648998,0.000518847142097452,0.190589850197131,420,750,297,727,1058,590,"Olfr599","olfactory receptor 599"
"240","ENSMUSG00000050015",0.924306091477314,3.0304725716201,10.6361095293134,0.00110900728034182,0.305531505734171,155,86,401,270,403,514,"Olfr350","olfactory receptor 350"
"377","ENSMUSG00000040328",0.718017811933601,2.30124817848366,8.69929453813617,0.00318333226979165,0.624745469293028,227,82,83,390,226,112,"Olfr56","olfactory receptor 56"
"405","ENSMUSG00000049573",1.26920389849892,-0.040178309599549,8.46099509935912,0.00362843290014949,0.624745469293028,29,17,10,79,49,26,"Olfr780","olfactory receptor 780"
"425","ENSMUSG00000045824",2.16424387625712,-1.67537609889562,8.29820070539463,0.00396843764523702,0.624745469293028,3,6,1,17,22,10,"Olfr574","olfactory receptor 574"
"477","ENSMUSG00000057817",1.08401550299742,0.541188770044429,7.88976898949915,0.00497152141026183,0.684827074263567,55,18,26,79,83,59,"Olfr1446","olfactory receptor 1446"
"533","ENSMUSG00000051046",0.779742079644968,1.39000742066155,7.46051060843234,0.00630671151718787,0.718031094054213,65,40,94,87,125,168,"Olfr214","olfactory receptor 214"
"553","ENSMUSG00000056696",0.659666765754027,1.91911704421167,7.38012611758566,0.00659485453824082,0.718031094054213,139,89,77,242,151,149,"Olfr1350","olfactory receptor 1350"
"604","ENSMUSG00000075379",0.669330501918471,1.75941495555229,7.05901045650958,0.00788675494031443,0.718031094054213,96,108,67,189,174,124,"Olfr358","olfactory receptor 358"
"626","ENSMUSG00000059106",0.977647296555357,0.618800917640457,6.98523748420328,0.00821847473391012,0.718031094054213,34,48,23,59,86,86,"Olfr961","olfactory receptor 961"
"677","ENSMUSG00000075179",0.664734476719028,1.50185558641356,6.71880366195232,0.00954016003893412,0.718031094054213,82,90,55,134,160,111,"Olfr1079","olfactory receptor 1079"
"683","ENSMUSG00000045474",0.56365122077282,2.41215009462183,6.68721450563329,0.00971068164829959,0.718031094054213,205,154,94,298,292,161,"Olfr1368","olfactory receptor 1368"
"688","ENSMUSG00000095893",0.88231676156574,0.68053737307329,6.65410061547726,0.00989278915319627,0.718031094054213,67,19,34,99,56,76,"Olfr884","olfactory receptor 884"
"713","ENSMUSG00000096708",-4.5132536701529,-3.41476047329487,6.56076842990984,0.0104251338519668,0.718031094054213,3,0,6,0,0,0,"Olfr1475","olfactory receptor 1475"
"769","ENSMUSG00000070421",0.885608555650401,0.585910766219304,6.39126081808961,0.0114683542464537,0.721816741910372,45,23,40,82,77,62,"Olfr658","olfactory receptor 658"
"811","ENSMUSG00000054141",0.416397180474579,3.48201417730979,6.24917270637474,0.0124251324638961,0.721816741910372,397,345,263,588,556,379,"Olfr24","olfactory receptor 24"
"812","ENSMUSG00000095917",-0.497682255902826,5.42687591770421,6.24545202374257,0.0124512600643591,0.721816741910372,2891,1510,1040,1342,2056,844,"Olfr740","olfactory receptor 740"
"836","ENSMUSG00000060084",0.583586281585806,2.05396416073378,6.14111769306582,0.0132073806318573,0.721816741910372,138,120,85,258,203,130,"Olfr748","olfactory receptor 748"
"857","ENSMUSG00000075222",0.863272821389012,0.623956035539022,6.06930229581425,0.013755128475606,0.721816741910372,39,47,22,108,88,36,"Olfr988","olfactory receptor 988"
"1004","ENSMUSG00000091601",-0.380618299787913,3.67435267020997,5.64862407257928,0.0174690738897956,0.872923768670196,384,530,581,298,473,547,"Olfr93","olfactory receptor 93"
"1027","ENSMUSG00000073963",0.790810277672346,0.766837040728541,5.57497576786284,0.0182189171319551,0.872923768670196,52,50,19,117,117,24,"Olfr572","olfactory receptor 572"
"1080","ENSMUSG00000096822",-2.00120077175136,-2.18962556887106,5.44178723037519,0.0196605423963702,0.883501869279504,12,6,11,4,3,1,"Olfr344","olfactory receptor 344"
"1091","ENSMUSG00000075189",3.25597326338863,-3.11472033699095,5.3758817411036,0.0204170185691242,0.883501869279504,1,0,0,4,5,4,"Olfr1055","olfactory receptor 1055"
"1166","ENSMUSG00000060888",0.9622225253631,0.495646798630156,5.21699628942913,0.0223671533460918,0.883501869279504,51,22,24,57,108,49,"Olfr566","olfactory receptor 566"
"1202","ENSMUSG00000044205",0.595969410460118,2.00443133356824,5.12814930441621,0.0235408154049071,0.883501869279504,154,84,99,176,221,167,"Olfr983","olfactory receptor 983"
"1249","ENSMUSG00000068574",1.35248720215462,-0.463437075596238,5.04330562304782,0.0247212732688273,0.883501869279504,23,5,11,48,53,14,"Olfr458","olfactory receptor 458"
"1255","ENSMUSG00000061875",0.995716155866073,2.15884086173366,5.0392963482868,0.0247785528828107,0.883501869279504,101,34,204,143,308,216,"Olfr1148","olfactory receptor 1148"
"1261","ENSMUSG00000048933",0.682624423055765,1.20881569329316,5.01393832229713,0.0251440432390763,0.883501869279504,111,33,47,149,106,69,"Olfr722","olfactory receptor 722"
"1269","ENSMUSG00000044923",0.652435899490858,0.977927671088176,4.98071146335169,0.0256314402278278,0.883501869279504,64,50,43,100,100,78,"Olfr1030","olfactory receptor 1030"
"1292","ENSMUSG00000073915",0.723768443456076,0.998170336480173,4.92223340268672,0.0265132215168201,0.883501869279504,45,47,54,55,88,148,"Olfr676","olfactory receptor 676"
"1313","ENSMUSG00000045812",-0.964771754120034,0.037510655358179,4.87709638365887,0.0272153638662104,0.883501869279504,51,63,20,19,53,12,"Olfr984","olfactory receptor 984"
"1324","ENSMUSG00000051362",-2.67430948639326,-3.05156809007813,4.85740408645064,0.0275277252570949,0.883501869279504,6,4,3,1,0,1,"Olfr589","olfactory receptor 589"
