"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"4","ENSMUSG00000063881",2.65800502903401,4.4636991537532,77.0886788859736,1.63451576065274e-18,1.80123636823932e-15,86,129,106,902,421,904,"Olfr376","olfactory receptor 376"
"15","ENSMUSG00000096840",1.73116681610274,4.06734989468026,40.5759114188825,1.89123860417521e-10,1.04207247090054e-07,105,142,168,588,296,614,"Olfr136","olfactory receptor 136"
"21","ENSMUSG00000044798",3.05869884525743,4.72831616692486,33.1696260220817,8.44595812469127e-09,3.10248195113659e-06,38,70,72,69,862,1708,"Olfr923","olfactory receptor 923"
"32","ENSMUSG00000096273",2.41527185619298,1.10004820642275,23.8303579990145,1.05209983369534e-06,0.000289853504183066,10,17,7,101,31,73,"Olfr1474","olfactory receptor 1474"
"44","ENSMUSG00000059189",1.65214230783802,2.5399843594839,20.1551898015621,7.14062415598811e-06,0.00157379356397978,9,62,57,25,126,335,"Olfr913","olfactory receptor 913"
"46","ENSMUSG00000075166",1.07769984076225,3.87092142215162,19.2844542499878,1.12619574914597e-05,0.00177587931620296,116,140,219,175,388,558,"Olfr1104","olfactory receptor 1104"
"48","ENSMUSG00000042774",1.8340431411269,1.51756572138992,19.0492560100325,1.273874282466e-05,0.00177587931620296,29,20,9,216,39,28,"Olfr1353","olfactory receptor 1353"
"49","ENSMUSG00000096320",1.69767753211348,1.38988050033418,19.0264283285406,1.28920458526531e-05,0.00177587931620296,21,21,20,138,46,53,"Olfr1471","olfactory receptor 1471"
"50","ENSMUSG00000053815",1.72508105753496,2.93280947076759,18.6611702746691,1.5612986760441e-05,0.00191172349000066,53,49,56,73,198,397,"Olfr744","olfactory receptor 744"
"56","ENSMUSG00000059069",1.3989030225044,4.32541941075811,18.0061415361182,2.20193434069438e-05,0.00242653164344521,119,158,210,140,590,946,"Olfr749","olfactory receptor 749"
"59","ENSMUSG00000095527",3.10397812340897,-0.218506227389061,17.6422312573709,2.66602028737139e-05,0.00246237793159804,3,0,5,9,31,37,"Olfr888","olfactory receptor 888"
"60","ENSMUSG00000050134",1.44425672980615,3.10718453236384,17.6313228844241,2.6813552794171e-05,0.00246237793159804,48,96,72,84,217,414,"Olfr430","olfactory receptor 430"
"63","ENSMUSG00000061952",2.11778039407791,3.45212960376573,17.0433125944357,3.65368190772578e-05,0.0030971980479337,42,63,46,51,312,656,"Olfr1377","olfactory receptor 1377"
"66","ENSMUSG00000040328",1.46682397217505,2.9869102680622,16.4824490103847,4.91025161707717e-05,0.0036541138763669,53,48,139,327,134,207,"Olfr56","olfactory receptor 56"
"68","ENSMUSG00000094426",1.80210481155048,1.26702646580462,16.4580552231722,4.97383921465549e-05,0.0036541138763669,15,29,10,37,64,103,"Olfr478","olfactory receptor 478"
"83","ENSMUSG00000094612",1.03178707875325,3.32776769412958,14.968396704761,0.000109326916178354,0.00752989135178413,51,172,119,100,291,354,"Olfr491","olfactory receptor 491"
"84","ENSMUSG00000059874",3.57635187140977,-0.650258578850396,14.8425832576585,0.00011686672190397,0.00757571338459853,0,6,0,16,21,18,"Olfr603","olfactory receptor 603"
"90","ENSMUSG00000049015",1.46027978618106,1.48470403963785,14.5306516216036,0.000137897545381478,0.0080565919517312,13,35,23,22,84,120,"Olfr1467","olfactory receptor 1467"
"91","ENSMUSG00000095187",1.14101962256475,1.92640863165436,14.5169140245705,0.000138906757788469,0.0080565919517312,25,42,59,76,80,132,"Olfr1381","olfactory receptor 1381"
"95","ENSMUSG00000072707",1.36112973160273,2.93340621577981,14.4000758908468,0.000147796353862015,0.00814357909779703,54,80,96,333,167,153,"Olfr31","olfactory receptor 31"
"104","ENSMUSG00000042863",1.57733994379589,2.08360858173927,13.963362017297,0.000186408006256527,0.00978198204260442,27,40,28,31,142,187,"Olfr1026","olfactory receptor 1026"
"115","ENSMUSG00000052058",1.13349069117508,2.58932049265712,13.4054459232493,0.000250894805573271,0.012567548897352,49,75,67,98,125,244,"Olfr901","olfactory receptor 901"
"123","ENSMUSG00000049168",0.924983736643294,4.34472005119524,12.7905432080256,0.00034837594635312,0.0166917518643973,258,185,325,832,364,408,"Olfr449","olfactory receptor 449"
"134","ENSMUSG00000066750",1.92784680255094,2.71864337878664,12.3942796636048,0.000430651093264029,0.01977406269904,40,40,28,42,167,389,"Olfr876","olfactory receptor 876"
"141","ENSMUSG00000058981",1.01758813546604,2.17125176204587,12.1003479097601,0.000504124157209602,0.0219645536717416,47,55,54,80,146,114,"Olfr1406","olfactory receptor 1406"
"142","ENSMUSG00000056959",1.05720750343097,2.39028501569649,12.0489343500161,0.000518219959587371,0.0219645536717416,66,61,55,213,94,114,"Olfr315","olfactory receptor 315"
"145","ENSMUSG00000075119",1.04198579269972,2.2297012970526,11.9444785396635,0.000548095692228204,0.0223704241790919,39,78,49,97,119,135,"Olfr1197","olfactory receptor 1197"
"156","ENSMUSG00000046493",1.59511682737887,2.92404524879245,11.565507734464,0.000671865415776576,0.0264427031494924,54,60,44,597,104,77,"Olfr1352","olfactory receptor 1352"
"171","ENSMUSG00000032987",0.844187153616213,3.17701075571564,11.2222553323925,0.000808222149385673,0.0307124416766556,94,121,134,188,266,206,"Olfr281","olfactory receptor 281"
"175","ENSMUSG00000045013",0.692864499112183,4.14231912224501,11.1002131124402,0.000863177997045437,0.0317074050914691,208,203,325,362,382,491,"Olfr711","olfactory receptor 711"
"186","ENSMUSG00000057464",0.974567902662014,1.84988666347326,10.9730695125274,0.000924455079103583,0.0328628870055532,35,39,56,80,86,100,"Olfr1415","olfactory receptor 1415"
"189","ENSMUSG00000066671",0.933991185822091,3.65568500198344,10.8870251837728,0.000968402372419731,0.0333493567002045,138,166,164,493,248,251,"Olfr220","olfactory receptor 220"
"195","ENSMUSG00000062712",1.34298504191085,4.12147552412609,10.7287510574644,0.00105483618806234,0.0352251357346878,117,194,181,1015,315,266,"Olfr531","olfactory receptor 531"
"199","ENSMUSG00000044205",1.01116390397366,2.90569088634145,10.5809576074823,0.00114258459537468,0.0370331830618499,60,108,81,93,180,294,"Olfr983","olfactory receptor 983"
"218","ENSMUSG00000060583",1.61184106965733,1.16284395602789,10.3678397856091,0.0012822950175664,0.0403739745530906,22,27,7,28,74,82,"Olfr881","olfactory receptor 881"
"249","ENSMUSG00000063777",1.85512606291273,-0.152439531753509,9.73763280954031,0.00180533242451082,0.0540771781785098,5,3,11,14,28,29,"Olfr1469","olfactory receptor 1469"
"250","ENSMUSG00000066748",1.72579674723408,3.12052399676455,9.72714961960257,0.0018156584324908,0.0540771781785098,50,88,31,49,272,446,"Olfr145","olfactory receptor 145"
"268","ENSMUSG00000063350",1.54000625952444,2.83362800928455,9.40372804931754,0.002165446890022,0.0609061813150703,39,76,35,43,181,390,"Olfr874","olfactory receptor 874"
"270","ENSMUSG00000068818",1.83367376956424,-0.226074495341154,9.39761198703152,0.00217268246777337,0.0609061813150703,8,6,3,47,16,9,"Olfr1132","olfactory receptor 1132"
"274","ENSMUSG00000045341",0.790191006289073,2.78246277763061,9.36577033109002,0.00221075068294266,0.0609061813150703,80,100,93,156,178,162,"Olfr167","olfactory receptor 167"
"286","ENSMUSG00000050742",1.7216993555298,1.19703397700838,9.17958604258681,0.00244729369175989,0.0657784792273024,12,13,20,162,38,21,"Olfr164","olfactory receptor 164"
"387","ENSMUSG00000062782",1.0752986667342,4.13458147623434,8.3938074832411,0.00376501432923896,0.0987868045433651,172,136,245,1051,198,312,"Olfr527","olfactory receptor 527"
"403","ENSMUSG00000057654",0.7984712840487,2.5158711094145,8.29412661586112,0.00397735042194782,0.101931166627593,85,67,75,147,158,113,"Olfr328","olfactory receptor 328"
"413","ENSMUSG00000050158",1.4572676379405,1.19660341971537,8.23602058426086,0.004106707331515,0.102854351802944,15,16,26,138,38,29,"Olfr165","olfactory receptor 165"
"423","ENSMUSG00000067524",0.752999894154403,2.81578174069655,8.18640630952014,0.00422054475066253,0.103356451449558,59,123,102,126,191,175,"Olfr1428","olfactory receptor 1428"
"431","ENSMUSG00000096069",1.41627791185271,2.3284912546045,8.10561188695007,0.00441284228565549,0.10571635214766,27,51,54,301,80,78,"Olfr61","olfactory receptor 61"
"446","ENSMUSG00000108674",0.859091806803327,1.76052313224504,7.99049190753989,0.00470236373720216,0.108721026845325,26,48,55,66,85,89,"Olfr1359","olfactory receptor 1359"
"461","ENSMUSG00000047048",1.35370918455507,0.363651324640082,7.93153765866205,0.00485804953025265,0.108721026845325,9,10,17,23,45,30,"Olfr432","olfactory receptor 432"
"466","ENSMUSG00000050028",0.850931149915252,4.28955068826978,7.90812212793356,0.00492133298209678,0.108721026845325,165,308,204,186,486,780,"Olfr745","olfactory receptor 745"
"467","ENSMUSG00000039608",0.927919855441454,1.4003756863138,7.90387687372699,0.00493289595486954,0.108721026845325,28,34,32,44,79,69,"Olfr303","olfactory receptor 303"
"485","ENSMUSG00000051680",0.870193901258489,2.02554889500305,7.80617775155087,0.00520679192549749,0.112507543174475,44,70,43,120,91,88,"Olfr693","olfactory receptor 693"
"528","ENSMUSG00000094347",0.919771616249287,1.39436685774726,7.58697815474308,0.00587914151391017,0.124592575929404,21,37,35,38,63,88,"Olfr784","olfactory receptor 784"
"542","ENSMUSG00000109884",1.62512024385066,-0.217106340164908,7.49548850716945,0.00618537503363378,0.128609118623857,7,7,5,43,15,12,"Olfr490","olfactory receptor 490"
"576","ENSMUSG00000049041",0.793936727516533,2.25547846843272,7.42140634438286,0.00644524198179145,0.131530678961744,74,57,57,153,75,125,"Olfr398","olfactory receptor 398"
"653","ENSMUSG00000075195",-1.4309322225026,0.197142535188356,7.11568846349935,0.00764122535344524,0.15310236980903,17,41,22,6,27,4,"Olfr1048","olfactory receptor 1048"
"699","ENSMUSG00000075104",0.912207663859153,2.0098773757099,6.96442476011557,0.00831461591484344,0.163619763181383,44,67,40,142,72,90,"Olfr1219","olfactory receptor 1219"
"711","ENSMUSG00000108167",0.550346059967624,4.38607605523351,6.92295634040223,0.00850961816890771,0.164233251383097,273,347,312,517,433,484,"Olfr1386","olfactory receptor 1386"
"716","ENSMUSG00000070380",1.45066795957333,-0.288375764926076,6.89497124416065,0.00864385533595245,0.164233251383097,6,7,8,22,19,20,"Olfr401","olfactory receptor 401"
"728","ENSMUSG00000051591",1.63849306249261,-0.373629555236519,6.8601924535186,0.00881370556843316,0.164622093837514,7,6,4,11,29,19,"Olfr697","olfactory receptor 697"
"812","ENSMUSG00000093839",1.02206909462249,0.787024561163921,6.59275714629885,0.0102394469567956,0.188064509106479,15,15,29,48,26,52,"Olfr462","olfactory receptor 462"
"851","ENSMUSG00000075141",1.20478566678636,0.913946336907701,6.47427854177865,0.0109446732310804,0.19772180165001,18,21,14,109,29,22,"Olfr1160","olfactory receptor 1160"
"864","ENSMUSG00000093920",1.14092886323494,3.38268339713042,6.43972521574511,0.0111595907347763,0.198352725640701,83,93,126,668,115,171,"Olfr463","olfactory receptor 463"
"888","ENSMUSG00000075174",1.03826784036636,1.0480841042118,6.38856245715307,0.0114858008561011,0.200365913772897,17,29,24,77,48,33,"Olfr1087","olfactory receptor 1087"
"910","ENSMUSG00000052417",0.702145523179454,2.31499366317814,6.33778933545009,0.0118192096648647,0.200365913772897,69,63,71,100,121,128,"Olfr720","olfactory receptor 720"
"928","ENSMUSG00000075091",0.877096349359759,1.2007467942174,6.29520753540704,0.0121064841762602,0.200365913772897,28,26,31,55,66,45,"Olfr1233","olfactory receptor 1233"
"931","ENSMUSG00000051362",4.22286503462785,-2.59420353089309,6.28988917418427,0.012142864392893,0.200365913772897,0,0,0,1,4,2,"Olfr589","olfactory receptor 589"
"947","ENSMUSG00000057761",3.00035045565603,-1.88331519200272,6.22930051135989,0.0125653362236788,0.200365913772897,0,2,0,3,6,8,"Olfr1022","olfactory receptor 1022"
"952","ENSMUSG00000050818",0.768704313707968,2.69643951345822,6.21930724741481,0.0126364546679981,0.200365913772897,85,89,82,255,133,104,"Olfr330","olfactory receptor 330"
"970","ENSMUSG00000073897",0.546444538068172,3.9878141593939,6.17470448093454,0.0129589554639073,0.200365913772897,165,263,262,278,314,473,"Olfr17","olfactory receptor 17"
"976","ENSMUSG00000071065",-1.00245065774827,0.801506482673038,6.16297972424558,0.0130451274113456,0.200365913772897,42,33,44,19,12,35,"Olfr806","olfactory receptor 806"
"979","ENSMUSG00000034583",0.725650713908204,2.57022820795994,6.15995854436976,0.0130674270869629,0.200365913772897,81,61,104,164,137,122,"Olfr1347","olfactory receptor 1347"
"987","ENSMUSG00000060918",2.04111020094723,-0.537630931602107,6.14547976703944,0.013174841794863,0.200365913772897,1,1,10,0,20,33,"Olfr51","olfactory receptor 51"
