"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"80","ENSMUSG00000075064",-6.27311288793111,-1.93737060218247,13.1759878980574,0.000283559202849907,0.312482241540598,0,16,16,0,0,0,"Olfr1506","olfactory receptor 1506"
"152","ENSMUSG00000056883",-1.49210009248549,3.29299859683711,11.2695820142225,0.000787874670055746,0.39142734404825,460,241,411,267,39,169,"Olfr533","olfactory receptor 533"
"233","ENSMUSG00000051046",-1.47571906840239,1.15010570476612,10.0957340436345,0.0014861295172349,0.39142734404825,82,89,89,29,22,43,"Olfr214","olfactory receptor 214"
"261","ENSMUSG00000049618",1.89414232088306,0.471304524768137,9.7540943420335,0.00178923767227367,0.39142734404825,24,11,11,39,89,43,"Olfr103","olfactory receptor 103"
"290","ENSMUSG00000094285",0.897478108688465,5.5176751975811,9.44349176691073,0.00211899681520774,0.39142734404825,1102,856,551,2452,1799,716,"Olfr743","olfactory receptor 743"
"300","ENSMUSG00000107677",-1.53259986471908,0.823131149385368,9.34193494703814,0.00223968924003159,0.39142734404825,67,35,102,24,7,46,"Olfr316","olfactory receptor 316"
"323","ENSMUSG00000058244",-1.7155897726042,0.674079912546381,9.15058870696243,0.00248638058832827,0.39142734404825,55,34,97,24,3,40,"Olfr506","olfactory receptor 506"
"435","ENSMUSG00000051190",1.67381575513126,0.226035875073521,8.34578391789206,0.00386583332477075,0.532518540487171,8,13,24,28,68,42,"Olfr1356","olfactory receptor 1356"
"711","ENSMUSG00000044120",-1.48250116948064,0.958361255806465,7.21655959128384,0.00722340240797509,0.585245677717556,71,27,114,35,2,60,"Olfr683","olfactory receptor 683"
"781","ENSMUSG00000052625",-1.70804237016491,0.361996127903812,6.96761098910706,0.00829982335759952,0.585245677717556,31,51,68,15,4,33,"Olfr851","olfactory receptor 851"
"823","ENSMUSG00000062649",1.37568125175111,1.39009366532415,6.80757648654612,0.00907718798743897,0.585245677717556,29,28,49,48,207,68,"Olfr44","olfactory receptor 44"
"831","ENSMUSG00000064006",-1.43099356123328,0.442124147712317,6.79594612207599,0.00913650917378449,0.585245677717556,56,24,75,34,9,15,"Olfr190","olfactory receptor 190"
"867","ENSMUSG00000095893",-1.87043798508975,0.31030198140974,6.71412134816238,0.0095652407079488,0.585245677717556,40,32,63,3,7,48,"Olfr884","olfactory receptor 884"
"877","ENSMUSG00000070820",-1.2047226531466,2.00349671211918,6.6894659961505,0.00969842515003657,0.585245677717556,165,75,190,68,19,128,"Olfr1339","olfactory receptor 1339"
"886","ENSMUSG00000082980",1.11149358476461,2.69927709162037,6.65608643840587,0.00988177025091066,0.585245677717556,105,95,131,144,294,290,"Olfr1274","olfactory receptor 1274"
"959","ENSMUSG00000052508",-0.967719121192989,5.94306801278318,6.46570261118785,0.0109976151106656,0.585245677717556,1481,3277,2054,1040,756,1546,"Olfr536","olfactory receptor 536"
"961","ENSMUSG00000075095",-1.03647889641458,2.35824404124818,6.46437365333561,0.0110058426609631,0.585245677717556,241,101,211,126,42,104,"Olfr1229","olfactory receptor 1229"
"981","ENSMUSG00000057050",1.17473118719003,2.91231541476703,6.42620067957821,0.0112448865864474,0.585245677717556,107,82,210,258,379,207,"Olfr397","olfactory receptor 397"
"985","ENSMUSG00000057564",-1.28672454715412,1.78143493950121,6.41511844798606,0.0113152780063242,0.585245677717556,116,104,156,71,16,91,"Olfr1508","olfactory receptor 1508"
"994","ENSMUSG00000051200",-3.77348986195832,-2.18623485950445,6.40212147826109,0.0113984078242238,0.585245677717556,2,5,17,1,0,0,"Olfr513","olfactory receptor 513"
"995","ENSMUSG00000090129",-1.13846620429476,2.12913472783307,6.40174546922347,0.0114008221205934,0.585245677717556,170,129,178,63,44,122,"Olfr287","olfactory receptor 287"
"1039","ENSMUSG00000032987",-0.880490759519372,4.16547072550298,6.26588458836217,0.012308470123181,0.585245677717556,835,626,451,374,310,309,"Olfr281","olfactory receptor 281"
"1057","ENSMUSG00000094266",4.88573347155378,-2.67815851499011,6.22621410131726,0.0125872570839191,0.585245677717556,0,0,0,3,11,0,"Olfr340","olfactory receptor 340"
"1088","ENSMUSG00000109813",-2.70584653802253,-1.01552344182437,6.13999143502418,0.0132157953524487,0.585245677717556,33,5,12,18,0,0,"Olfr1279","olfactory receptor 1279"
"1091","ENSMUSG00000059503",-3.71893547952298,-2.51299903228752,6.13183523183024,0.0132768983148266,0.585245677717556,5,5,6,1,0,0,"Olfr248","olfactory receptor 248"
"1126","ENSMUSG00000075104",-1.03714536585128,1.37247778411607,6.04162877871211,0.0139723875444389,0.591055400180191,112,56,115,46,33,52,"Olfr1219","olfactory receptor 1219"
"1175","ENSMUSG00000108995",-1.99327811612793,-0.91083503400992,5.94157922739777,0.0147877628693303,0.591055400180191,28,22,10,3,9,3,"Olfr485","olfactory receptor 485"
"1190","ENSMUSG00000057207",-2.04638745963992,-0.508294578762377,5.91438534418826,0.0150177415653769,0.591055400180191,27,17,35,10,0,15,"Olfr1028","olfactory receptor 1028"
"1254","ENSMUSG00000050215",-2.74662562535246,-1.37102633893559,5.78325328341322,0.0161795675448027,0.614823566702502,11,15,16,0,1,9,"Olfr70","olfactory receptor 70"
"1359","ENSMUSG00000057447",-1.65163031053903,-0.230644409489359,5.59255530426046,0.0180369652090025,0.6470615874428,38,5,54,10,1,21,"Olfr1205","olfactory receptor 1205"
