"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000096109",4.59321945265768,3.45064677836673,168.759463837366,1.38075821920738e-38,1.52159555756653e-35,66,25,13,808,889,596,"Olfr1537","olfactory receptor 1537"
"5","ENSMUSG00000046881",2.45314479849113,2.23178827242818,64.0731744167409,1.19882804495115e-15,6.60554252768084e-13,68,41,43,304,326,235,"Olfr374","olfactory receptor 374"
"9","ENSMUSG00000111689",2.90546552489836,1.59580463535791,38.5631900302719,5.30093105699852e-10,1.94720867493746e-07,58,9,20,160,216,190,"Olfr1082","olfactory receptor 1082"
"10","ENSMUSG00000057067",2.37263538806298,1.81609880912901,33.8375588962558,5.99109894394644e-09,1.40012846086831e-06,50,41,23,106,296,249,"Olfr297","olfactory receptor 297"
"11","ENSMUSG00000075172",2.97226285015449,0.103319623737883,33.6752142072057,6.51252241144673e-09,1.40012846086831e-06,6,7,10,79,79,41,"Olfr1090","olfactory receptor 1090"
"13","ENSMUSG00000075179",1.93748722575399,2.43746375942412,33.3689332384665,7.62320396117049e-09,1.40012846086831e-06,82,90,55,178,411,364,"Olfr1079","olfactory receptor 1079"
"16","ENSMUSG00000049708",1.89809434193119,1.21569618917788,28.0819734409742,1.16283963680014e-07,1.83064182821965e-05,59,20,28,127,136,126,"Olfr27","olfactory receptor 27"
"24","ENSMUSG00000036744",2.10172751974574,2.60478936181045,22.4073726681423,2.20525854617706e-06,0.00030377436473589,106,62,55,154,617,339,"Olfr701","olfactory receptor 701"
"27","ENSMUSG00000062245",1.79298736828238,3.04172279711836,21.9029298702618,2.86795716393132e-06,0.000351165421628035,223,95,88,307,618,470,"Olfr170","olfactory receptor 170"
"39","ENSMUSG00000062629",3.23196124721423,-0.97555270076193,16.4839168257545,4.90645161988249e-05,0.0054069096851105,7,3,0,21,37,31,"Olfr114","olfactory receptor 114"
"46","ENSMUSG00000072708",2.05076087962406,0.201887374745965,15.3742443311232,8.81821074382242e-05,0.00883424385426573,26,8,12,40,82,72,"Olfr381","olfactory receptor 381"
"69","ENSMUSG00000093901",1.94212951081081,-0.154137411948111,11.6558495440642,0.000640009703492141,0.0587742244373616,12,10,10,15,69,69,"Olfr893","olfactory receptor 893"
"77","ENSMUSG00000048356",1.04006647635063,1.04080195834986,10.9359128800781,0.00094318001371736,0.0799526442397331,40,41,57,87,102,108,"Olfr1496","olfactory receptor 1496"
"90","ENSMUSG00000095917",-1.20882246982913,5.18256899491708,9.73115052443963,0.00181171047169917,0.142607495700892,2891,1510,1040,406,918,1079,"Olfr740","olfactory receptor 740"
"92","ENSMUSG00000063394",0.960209313045658,1.35674433619564,9.57854564231766,0.00196864290539526,0.144629632116372,60,55,61,87,159,124,"Olfr293","olfactory receptor 293"
"103","ENSMUSG00000045306",-1.33415850946442,-0.0414042205810196,9.2190040952504,0.00239515799040818,0.164966506589363,61,41,38,19,19,19,"Olfr734","olfactory receptor 734"
"118","ENSMUSG00000049334",1.68555235226546,-0.821977014120212,8.63824664873349,0.00329178082493097,0.210741365772912,7,7,11,20,31,35,"Olfr902","olfactory receptor 902"
"124","ENSMUSG00000094986",1.3840118878873,0.166762923445553,8.55685459335187,0.00344223646453032,0.210741365772912,24,25,12,35,58,79,"Olfr1454","olfactory receptor 1454"
"154","ENSMUSG00000075212",-3.16565121343662,-2.66393030540397,7.732424086325,0.00542378836554633,0.314579725201687,8,8,4,0,1,1,"Olfr154","olfactory receptor 154"
"175","ENSMUSG00000051611",1.04568692553503,1.35229154658545,7.43822681606362,0.00638527713718277,0.351828770258771,67,45,52,59,154,170,"Olfr112","olfactory receptor 112"
"196","ENSMUSG00000061549",0.955236470232535,1.20349506970913,7.15256677849667,0.00748567793459677,0.392819861139316,39,69,43,43,133,164,"Olfr301","olfactory receptor 301"
"217","ENSMUSG00000110912",0.927017617434158,1.22974014608115,6.84260763229253,0.00890088170956051,0.445853256542531,66,42,55,67,145,125,"Olfr1080","olfactory receptor 1080"
"272","ENSMUSG00000094266",-2.60746112968758,-2.1636698589882,6.381804072548,0.0115296177555526,0.525049955060486,9,4,18,0,3,2,"Olfr340","olfactory receptor 340"
"276","ENSMUSG00000073893",-0.805401595572708,3.64239710069449,6.34729309324492,0.0117560544787772,0.525049955060486,1017,377,357,275,270,398,"Olfr472","olfactory receptor 472"
"282","ENSMUSG00000092413",0.855663746725677,1.84574975159167,6.31335771159865,0.0119831687036942,0.525049955060486,135,75,61,146,137,218,"Olfr115","olfactory receptor 115"
"299","ENSMUSG00000075210",-0.832344611311238,0.74226148045762,6.15371520425666,0.013113634147726,0.525049955060486,87,98,35,39,64,25,"Olfr1012","olfactory receptor 1012"
"305","ENSMUSG00000095212",-1.0764422502293,0.110517218065906,6.08123880152213,0.0136624930426113,0.525049955060486,61,38,45,37,11,28,"Olfr473","olfactory receptor 473"
"307","ENSMUSG00000094745",1.65532790516489,-1.09212401778169,6.07720948924628,0.0136936912950519,0.525049955060486,12,5,4,20,15,34,"Olfr954","olfactory receptor 954"
"311","ENSMUSG00000096708",-4.51435444285347,-3.35981691753823,6.06136252788519,0.0138171040805391,0.525049955060486,3,0,6,0,0,0,"Olfr1475","olfactory receptor 1475"
"340","ENSMUSG00000094285",-1.0989644301579,5.7709387598218,5.87325126617071,0.0153726350210985,0.564688126441685,4230,2002,1626,488,1454,2030,"Olfr743","olfactory receptor 743"
"371","ENSMUSG00000075169",-1.64572646683663,-1.01268545284641,5.71998916663789,0.0167728339281311,0.591964791846153,38,21,12,4,15,5,"Olfr1098","olfactory receptor 1098"
"377","ENSMUSG00000095187",-0.705967573695038,1.93203401828023,5.67691768269093,0.017189540235097,0.591964791846153,238,140,117,118,131,67,"Olfr1381","olfactory receptor 1381"
"401","ENSMUSG00000063380",-2.37212517765717,-2.35829588945635,5.53601342567407,0.018628973386873,0.618496759530262,7,11,6,0,5,1,"Olfr945","olfactory receptor 945"
"414","ENSMUSG00000075079",-1.05325439268761,0.00821055232177688,5.47006488551473,0.0193449073351168,0.618496759530262,70,38,30,21,29,17,"Olfr1249","olfactory receptor 1249"
"418","ENSMUSG00000070821",-0.567574118464143,3.28300214606511,5.44328189019087,0.0196437264823586,0.618496759530262,399,501,299,222,450,212,"Olfr1340","olfactory receptor 1340"
"440","ENSMUSG00000068431",-0.812698437060015,4.77362439595206,5.30621619438877,0.0212494592093567,0.650469556908641,2061,943,774,438,725,978,"Olfr742","olfactory receptor 742"
"480","ENSMUSG00000075427",-0.894169445888071,1.97527316166653,5.13807709984314,0.023406560004139,0.696618780982105,257,67,165,137,15,197,"Olfr288","olfactory receptor 288"
"490","ENSMUSG00000059366",-0.802843209788817,1.31873748837919,5.0930911855273,0.024021337275245,0.696618780982105,124,145,62,44,75,75,"Olfr959","olfactory receptor 959"
"507","ENSMUSG00000048620",-0.735217250447636,1.1695978779123,4.97431697593015,0.0257263599264559,0.703174512748883,146,92,45,92,80,18,"Olfr1336","olfactory receptor 1336"
"508","ENSMUSG00000051160",1.76013845500632,-1.40698632955281,4.97264548223143,0.0257512317060448,0.703174512748883,12,3,2,14,14,25,"Olfr853","olfactory receptor 853"
"515","ENSMUSG00000109497",4.27164208393792,-3.36519203887074,4.94530218162226,0.0261616651748677,0.703174512748883,0,0,0,1,8,0,"Olfr492","olfactory receptor 492"
"546","ENSMUSG00000095804",-1.10674002492096,-0.410688133311093,4.76266279153867,0.0290835210714965,0.763096195733075,42,37,20,17,27,7,"Olfr824","olfactory receptor 824"
