"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"5","ENSMUSG00000067522",2.85941925821755,1.87637258122664,50.902127017134,9.70883195678895e-13,1.06991328163814e-09,29,7,43,271,42,284,"Olfr76","olfactory receptor 76"
"10","ENSMUSG00000052625",2.69598163083065,3.22261037893559,34.1474294521106,5.10906863148596e-09,2.81509681594876e-06,212,16,57,627,142,690,"Olfr851","olfactory receptor 851"
"11","ENSMUSG00000075170",2.45156617472133,1.70352993403921,31.7379002373642,1.76445099719099e-08,6.4814166630149e-06,70,11,22,252,83,164,"Olfr1097","olfactory receptor 1097"
"13","ENSMUSG00000048391",2.84775753289762,2.01594543766363,29.5774757629377,5.37256458529639e-08,1.48014154324916e-05,103,5,23,310,97,221,"Olfr843","olfactory receptor 843"
"33","ENSMUSG00000073896",1.29022997426742,3.87096802343926,16.5755500075799,4.6749857828301e-05,0.0103036686653575,495,78,108,2418,124,209,"Olfr716","olfactory receptor 716"
"40","ENSMUSG00000049149",0.948012464406479,4.547203172657,15.1122255391799,0.000101305097910614,0.0186063696495828,1025,115,344,2974,168,607,"Olfr1258","olfactory receptor 1258"
"43","ENSMUSG00000094285",1.06245704216596,5.25941460964647,14.6054709357426,0.000132529233303404,0.0208638878714787,1377,293,542,3972,367,1457,"Olfr743","olfactory receptor 743"
"57","ENSMUSG00000062497",1.1684760526821,2.30780008479798,12.5282114658448,0.00040085332798308,0.054958308837385,119,40,115,302,101,225,"Olfr1411","olfactory receptor 1411"
"61","ENSMUSG00000068431",0.882989333818495,4.65676436933169,12.3170361965366,0.00044884281264652,0.054958308837385,1019,151,438,2895,198,773,"Olfr742","olfactory receptor 742"
"76","ENSMUSG00000049280",1.11769160700068,2.49796826652099,11.6285037927905,0.000649487782600086,0.0715735536425295,215,47,66,621,97,122,"Olfr509","olfactory receptor 509"
"82","ENSMUSG00000060480",1.09166753084325,2.51123986976412,10.810053165912,0.00100950403442655,0.101038508814563,217,47,64,637,126,85,"Olfr171","olfactory receptor 171"
"83","ENSMUSG00000050813",0.963741232426356,4.77538332691413,10.6507919459263,0.00110023784553063,0.101038508814563,869,207,392,3873,343,431,"Olfr332","olfactory receptor 332"
"100","ENSMUSG00000049797",0.793109721852436,3.85848203493429,9.80120199994781,0.00174397841114139,0.147835708390601,236,383,188,500,596,331,"Olfr642","olfactory receptor 642"
"118","ENSMUSG00000094612",1.09782201782282,2.11587178175718,9.16818506554884,0.00246258667730932,0.193840751313919,143,28,82,446,79,101,"Olfr491","olfactory receptor 491"
"122","ENSMUSG00000066122",1.58559578730844,0.744385132823844,8.97848919844601,0.00273176425227826,0.197984425231175,68,11,9,146,28,58,"Olfr45","olfactory receptor 45"
"133","ENSMUSG00000095917",1.09772136739815,4.98475963324051,8.62991451157849,0.00330687092259704,0.197984425231175,843,472,366,2619,431,1333,"Olfr740","olfactory receptor 740"
"139","ENSMUSG00000059397",1.3503339374944,0.736106378739735,8.56007739011796,0.00343614813986708,0.197984425231175,52,7,29,129,20,76,"Olfr54","olfactory receptor 54"
"144","ENSMUSG00000060205",1.41642427800438,1.34995290357954,8.50221594692072,0.00354714226253907,0.197984425231175,58,27,27,115,52,155,"Olfr57","olfactory receptor 57"
"147","ENSMUSG00000060084",1.17027791235665,1.36161829356056,8.4799584717524,0.00359080299474421,0.197984425231175,105,10,43,228,25,101,"Olfr748","olfactory receptor 748"
"149","ENSMUSG00000075179",1.1248870143411,1.51473817940286,8.47875272310972,0.00359318376100136,0.197984425231175,90,19,61,178,73,100,"Olfr1079","olfactory receptor 1079"
"159","ENSMUSG00000050865",1.09379730670445,1.38498426954172,8.31917505528586,0.00392287318199639,0.205857440312382,47,38,51,145,83,81,"Olfr1494","olfactory receptor 1494"
"182","ENSMUSG00000095765",0.73704305384286,3.72501604341495,8.02564872188504,0.00461195039618502,0.225574152784818,550,76,330,1310,144,371,"Olfr741","olfactory receptor 741"
"185","ENSMUSG00000045030",0.900399224981516,3.08548376400047,7.98832678311306,0.00470799048461961,0.225574152784818,427,41,120,952,60,247,"Olfr1443","olfactory receptor 1443"
"208","ENSMUSG00000075168",1.23451741314045,0.813002863739603,7.61352504931112,0.00579321240012129,0.266005002705569,49,10,34,126,21,85,"Olfr1099","olfactory receptor 1099"
"250","ENSMUSG00000062527",1.53305445621461,1.14265096529543,7.18048433984533,0.00737008090317427,0.324873166211922,165,1,16,211,21,52,"Olfr1408","olfactory receptor 1408"
"265","ENSMUSG00000045381",1.09169745384928,1.40419790571422,7.01019857112623,0.00810466904465813,0.343513280277433,71,16,59,273,29,83,"Olfr433","olfactory receptor 433"
"274","ENSMUSG00000043310",0.890451463401372,2.26729103114615,6.88292355949518,0.00870231040672165,0.35518318771138,134,27,156,330,54,220,"Olfr571","olfactory receptor 571"
"295","ENSMUSG00000061626",1.57404302794809,0.40067124996304,6.65621237485373,0.00988107188103852,0.38889075760373,38,1,16,194,1,31,"Olfr68","olfactory receptor 68"
"373","ENSMUSG00000052058",1.06026629394039,1.52074884449105,6.19587880807507,0.0128048126007835,0.486582878829773,84,32,34,324,39,66,"Olfr901","olfactory receptor 901"
"395","ENSMUSG00000044061",2.36906747073035,-0.994451550068252,5.99953198394848,0.0143096739531906,0.524027597600137,20,1,0,50,7,10,"Olfr225","olfactory receptor 225"
"409","ENSMUSG00000051793",-3.18171446581949,-2.01972970971647,5.94713228840179,0.0147412482083523,0.524027597600137,16,2,11,5,0,0,"Olfr284","olfactory receptor 284"
"455","ENSMUSG00000096167",1.20979154697487,1.32147305683711,5.70834220802688,0.0168844769941781,0.581459176487008,95,13,27,209,14,131,"Olfr887","olfactory receptor 887"
"477","ENSMUSG00000075100",-1.29728464035402,0.237638924381928,5.58350097262618,0.0181304439420689,0.605446946186665,21,53,39,6,35,13,"Olfr1223","olfactory receptor 1223"
"498","ENSMUSG00000044293",0.905369750860078,1.35885745584829,5.48684086355236,0.019160133748701,0.606228559533507,89,19,58,154,45,106,"Olfr794","olfactory receptor 794"
"518","ENSMUSG00000063660",3.66921099572312,-2.70556212415149,5.40519665020413,0.0200768865388329,0.606228559533507,1,0,0,8,3,4,"Olfr98","olfactory receptor 98"
"546","ENSMUSG00000056863",1.2151406013625,0.406565557992521,5.30208390758448,0.0212999266390806,0.606228559533507,55,8,13,119,15,44,"Olfr702","olfactory receptor 702"
"549","ENSMUSG00000096109",1.48353107583922,0.614040727099568,5.28642986415627,0.0214922369036892,0.606228559533507,64,9,11,69,31,83,"Olfr1537","olfactory receptor 1537"
"555","ENSMUSG00000049168",0.599316755907673,3.55015883142524,5.2809961143621,0.0215594101897406,0.606228559533507,536,104,265,855,180,370,"Olfr449","olfactory receptor 449"
"567","ENSMUSG00000053815",0.990663753792314,1.29356929803388,5.2472268327806,0.0219817769606731,0.606228559533507,66,14,62,255,26,70,"Olfr744","olfactory receptor 744"
"569","ENSMUSG00000059873",1.59221151567051,0.1899361685398,5.24541600610919,0.0220046664077498,0.606228559533507,57,5,3,113,9,36,"Olfr1029","olfactory receptor 1029"
"591","ENSMUSG00000073893",0.945859583423264,2.97833964719508,5.14927024992275,0.0232561447114383,0.624699055350679,323,61,87,902,52,258,"Olfr472","olfactory receptor 472"
"603","ENSMUSG00000096229",-4.91414980866555,-2.88271013818131,5.10850287048762,0.0238088569189914,0.624699055350679,12,1,0,0,0,0,"Olfr774","olfactory receptor 774"
"623","ENSMUSG00000075204",-1.29599057833663,0.000862630917412901,5.0604427992135,0.0244779831183545,0.627319474335504,57,11,55,25,4,23,"Olfr1039","olfactory receptor 1039"
"636","ENSMUSG00000073949",0.849320336850693,1.61956723400279,5.01530095403155,0.0251242617600366,0.629248555899099,168,10,49,327,21,79,"Olfr606","olfactory receptor 606"
"653","ENSMUSG00000075068",0.58457969913665,6.17303331916408,4.97155572527018,0.0257674607091885,0.631016482256127,1650,763,2356,4022,685,3896,"Olfr140","olfactory receptor 140"
"736","ENSMUSG00000075377",1.23429352032529,1.5425363851228,4.69992878241681,0.0301638672710112,0.655199195018516,96,8,36,152,9,235,"Olfr362","olfactory receptor 362"
"758","ENSMUSG00000062128",0.958549626730943,1.07403679346437,4.6620343827625,0.0308366340784906,0.655199195018516,100,6,25,284,11,34,"Olfr20","olfactory receptor 20"
"766","ENSMUSG00000111021",-1.87107286634119,-1.13537842933904,4.64767935501092,0.0310955585343473,0.655199195018516,41,8,10,5,4,4,"Olfr50","olfactory receptor 50"
"775","ENSMUSG00000075156",4.50844302765679,-3.1275801451,4.63313878176128,0.0313601421438201,0.655199195018516,0,0,0,6,1,2,"Olfr1128","olfactory receptor 1128"
"791","ENSMUSG00000068574",2.31104799266198,-1.88065665948086,4.59877763245759,0.0319947605031884,0.655199195018516,5,0,2,19,2,11,"Olfr458","olfactory receptor 458"
"804","ENSMUSG00000075205",0.960007363868197,0.761746153301514,4.58465184250704,0.0322595242985058,0.655199195018516,50,11,45,111,36,55,"Olfr1037","olfactory receptor 1037"
"806","ENSMUSG00000096365",0.728367903872974,2.70483828763849,4.58018633124033,0.0323436975945469,0.655199195018516,333,73,78,539,108,166,"Olfr1463","olfactory receptor 1463"
"815","ENSMUSG00000073970",4.43899731967401,-3.12454263379286,4.55961656836304,0.0327344012453656,0.655199195018516,0,0,0,6,2,1,"Olfr555","olfactory receptor 555"
"818","ENSMUSG00000093901",2.25290497284962,-1.086656646244,4.54900065224755,0.0329379655257371,0.655199195018516,23,0,0,54,4,4,"Olfr893","olfactory receptor 893"
"851","ENSMUSG00000094678",1.29139592159397,0.304098271192537,4.47598045576797,0.0343744746938646,0.655199195018516,39,2,34,58,27,55,"Olfr857","olfactory receptor 857"
"857","ENSMUSG00000058692",4.44425504842924,-3.06494140927479,4.46664776045866,0.0345627384289113,0.655199195018516,0,0,0,0,3,6,"Olfr846","olfactory receptor 846"
"866","ENSMUSG00000061489",1.00154555125988,1.10869792081577,4.44001657730722,0.0351059066131445,0.655199195018516,120,7,31,156,18,91,"Olfr525","olfactory receptor 525"
"895","ENSMUSG00000075220",3.38518259669763,-2.70362243545626,4.38813470448993,0.0361898860598491,0.655199195018516,0,1,0,9,3,3,"Olfr993","olfactory receptor 993"
"907","ENSMUSG00000062272",1.92573700222913,-1.52442461280593,4.3688620739062,0.0366014263237508,0.655199195018516,3,3,3,29,7,8,"Olfr1129","olfactory receptor 1129"
