"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"4","ENSMUSG00000073966",1.90823112383421,3.08143359006593,84.5511871823124,3.74395321387751e-20,4.12583644169302e-17,110,115,127,390,395,486,"Olfr561","olfactory receptor 561"
"5","ENSMUSG00000110012",1.71497312173026,3.10938566207088,65.5624589427179,5.63010698844209e-16,3.10218895063159e-13,158,99,143,446,325,487,"Olfr644","olfactory receptor 644"
"6","ENSMUSG00000043948",1.79528583921519,2.85123881574186,51.4955044841775,7.17612339847153e-13,2.63602932837188e-10,135,91,96,334,366,360,"Olfr691","olfactory receptor 691"
"9","ENSMUSG00000045132",1.54396823012902,2.54505024200269,36.0505012528879,1.922693221815e-09,4.54357605639689e-07,102,78,115,249,283,288,"Olfr620","olfactory receptor 620"
"10","ENSMUSG00000073949",1.60494360106719,2.55135566585486,35.9146637626614,2.06151363720367e-09,4.54357605639689e-07,121,93,75,243,301,289,"Olfr606","olfactory receptor 606"
"11","ENSMUSG00000044899",1.70618201735818,1.137852915976,32.4037140363776,1.25246869090617e-08,2.300367495631e-06,29,28,43,88,92,134,"Olfr649","olfactory receptor 649"
"16","ENSMUSG00000061361",0.951794579016708,3.74750379571121,26.140740593836,3.17415561783943e-07,4.99702784408436e-05,356,276,279,641,556,491,"Olfr168","olfactory receptor 168"
"23","ENSMUSG00000045792",1.12381662206486,3.17606047267469,24.3436619227861,8.05914720582297e-07,0.000111014752760211,199,121,240,318,306,548,"Olfr578","olfactory receptor 578"
"24","ENSMUSG00000063615",1.22564852302936,1.90784970673742,22.5606384817773,2.03613850012427e-06,0.000249313847459661,84,45,91,210,102,185,"Olfr64","olfactory receptor 64"
"25","ENSMUSG00000070423",1.72630929077034,2.45386473759625,21.6484057143864,3.27482086393281e-06,0.000360885259205396,98,46,110,224,331,232,"Olfr558","olfactory receptor 558"
"28","ENSMUSG00000049041",1.05799391605605,2.69230550725136,19.7210105174651,8.96107195455709e-06,0.000897736481265629,195,79,126,383,112,352,"Olfr398","olfactory receptor 398"
