"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"14","ENSMUSG00000059411",2.49128333763449,1.00478408072829,45.5858518721554,1.46093017298668e-11,1.60994505063132e-08,20,19,8,127,139,57,"Olfr434","olfactory receptor 434"
"34","ENSMUSG00000050813",1.16982315454954,5.00433330201486,24.8771226340676,6.11032603654202e-07,0.000336678964613465,429,402,573,1001,1003,1765,"Olfr332","olfactory receptor 332"
"71","ENSMUSG00000049797",-0.796457780860929,3.69501612400405,18.6849531495463,1.54194490163146e-05,0.00566407760532623,481,688,195,462,420,105,"Olfr642","olfactory receptor 642"
"101","ENSMUSG00000059488",0.783069719951195,5.08138759145215,16.4047817586525,5.11560154140463e-05,0.0140934822465698,374,1326,550,1576,1844,761,"Olfr727","olfactory receptor 727"
"131","ENSMUSG00000052508",0.414082720019047,6.94117917518429,15.3270249790478,9.04137800764131e-05,0.0199271971288414,2439,4222,2015,6816,6654,1695,"Olfr536","olfactory receptor 536"
"153","ENSMUSG00000059887",0.595606949955039,4.15544630105148,14.5361734754465,0.000137493973504666,0.025253059800357,218,658,335,681,1262,304,"Olfr1507","olfactory receptor 1507"
"190","ENSMUSG00000049011",1.08636174835356,1.61747776201432,13.2891560286415,0.000266945621278966,0.0399583791491257,30,91,44,147,187,70,"Olfr729","olfactory receptor 729"
"199","ENSMUSG00000060523",0.609028271378828,4.154380164557,13.1333929621523,0.000290078977489116,0.0399583791491257,264,678,274,836,1039,321,"Olfr726","olfactory receptor 726"
"240","ENSMUSG00000099486",0.646403063261053,4.13526506135508,12.483102537476,0.000410649609546745,0.0432334286807369,202,594,390,734,885,444,"Olfr1228","olfactory receptor 1228"
"241","ENSMUSG00000059610",-0.461457934745143,5.53564501399565,12.4780960536855,0.000411751650139165,0.0432334286807369,1470,1075,1770,1844,1304,696,"Olfr222","olfactory receptor 222"
"248","ENSMUSG00000074966",1.89290299278277,-0.419981211035087,12.3903876576955,0.000431549651078136,0.0432334286807369,5,14,5,35,48,20,"Olfr1275","olfactory receptor 1275"
"313","ENSMUSG00000093877",0.543037121451761,3.96841402310173,11.6058341121285,0.000657452528163235,0.0603760571696571,270,411,360,735,855,306,"Olfr1348","olfactory receptor 1348"
"471","ENSMUSG00000111448",1.03984701344414,0.903139940069962,10.0632789409749,0.00151253792668995,0.128216676554794,32,45,16,102,126,25,"Olfr912","olfactory receptor 912"
"522","ENSMUSG00000061561",-0.93582524689056,1.77579556856804,9.72177855451903,0.00182097213525815,0.137188035646246,143,83,134,83,87,50,"Olfr373","olfactory receptor 373"
"536","ENSMUSG00000056822",0.406845330680895,4.54607491365141,9.67556264759129,0.00186735075743529,0.137188035646246,454,740,461,1071,1245,425,"Olfr166","olfactory receptor 166"
"610","ENSMUSG00000049168",0.450300902702806,4.44527569852663,9.28183756147869,0.00231437139118712,0.159402329568013,470,580,440,894,1269,421,"Olfr449","olfactory receptor 449"
"660","ENSMUSG00000052417",0.683166038114023,2.56396506232447,9.04244302525445,0.00263782904212147,0.170993388495168,97,170,100,231,400,115,"Olfr720","olfactory receptor 720"
"727","ENSMUSG00000062608",1.17433916160094,0.348999574413708,8.7403295246191,0.00311248267999843,0.190553106297682,12,35,15,50,87,28,"Olfr195","olfactory receptor 195"
"748","ENSMUSG00000068437",1.38556219069943,0.535861344261247,8.61850867396643,0.00332764178574412,0.193003223573159,9,59,8,70,93,25,"Olfr725","olfactory receptor 725"
"777","ENSMUSG00000101750",-0.510327563102334,4.54561507368304,8.48793111660566,0.00357510122044714,0.196988077246637,463,523,1326,684,567,451,"Olfr1392","olfactory receptor 1392"
"839","ENSMUSG00000054938",0.721779576527154,2.42824139875432,8.25144855636202,0.00407194938751804,0.213680391668804,63,191,83,234,394,76,"Olfr1346","olfactory receptor 1346"
"904","ENSMUSG00000057997",0.643987796827127,2.57064718611228,8.01435094217756,0.00464081036788661,0.227304706362656,114,174,87,256,380,107,"Olfr541","olfactory receptor 541"
"922","ENSMUSG00000047050",1.54746928853056,-0.0194657166130742,7.97449109342784,0.00474410911646197,0.227304706362656,4,21,16,51,32,42,"Olfr914","olfactory receptor 914"
"1032","ENSMUSG00000034583",0.66613842953225,2.77925506384749,7.59320337490351,0.00585887522363068,0.259210223583932,139,254,59,306,454,102,"Olfr1347","olfactory receptor 1347"
"1037","ENSMUSG00000040328",0.52601432607678,3.44175180607486,7.58657706454619,0.00588044971832876,0.259210223583932,226,156,320,674,289,270,"Olfr56","olfactory receptor 56"
"1090","ENSMUSG00000051392",-1.60086654890776,-0.732356765591109,7.44513172933759,0.00636082634226641,0.269601178045292,24,19,23,16,12,2,"Olfr1402","olfactory receptor 1402"
"1139","ENSMUSG00000083361",0.601510217182,3.03336605845325,7.31604464933295,0.00683416606678191,0.275909793500184,141,189,193,338,510,161,"Olfr360","olfactory receptor 360"
"1161","ENSMUSG00000045708",1.19299508779399,0.370973777506386,7.27029926603457,0.00701041217604822,0.275909793500184,32,23,7,78,59,28,"Olfr447","olfactory receptor 447"
"1207","ENSMUSG00000111863",1.92394971520167,-1.05847318613437,7.19530899901002,0.0073094403339888,0.277758732691574,0,10,6,17,33,11,"Olfr347","olfactory receptor 347"
"1277","ENSMUSG00000075214",-1.2937640397659,-0.406295073054482,7.02760951501902,0.0080262423471703,0.294830635552722,20,31,32,16,16,8,"Olfr1002","olfactory receptor 1002"
"1517","ENSMUSG00000095248",-0.760840986103507,1.61796082836565,6.5424780267979,0.0105328532851377,0.368593045427916,130,116,49,121,121,14,"Olfr681","olfactory receptor 681"
"1562","ENSMUSG00000060114",0.760613687165016,1.18572207942727,6.45984665129531,0.0110339166622497,0.368593045427916,33,64,38,85,140,52,"Olfr910","olfactory receptor 910"
"1611","ENSMUSG00000095156",0.716402369664018,2.3935473194246,6.33546147558559,0.0118347320048515,0.368593045427916,66,175,96,250,228,140,"Olfr1281","olfactory receptor 1281"
"1656","ENSMUSG00000059112",0.539585648753805,3.00827249225774,6.2509305940597,0.0124128077191308,0.368593045427916,105,279,162,315,547,132,"Olfr1263","olfactory receptor 1263"
"1686","ENSMUSG00000061616",0.482020942717354,3.12196076052199,6.20211090847479,0.0127598046246047,0.368593045427916,178,255,157,380,490,164,"Olfr12","olfactory receptor 12"
