"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000043312",2.43144287553361,4.72549609420424,171.764962839986,3.0457367335105e-39,3.35640188032857e-36,356,324,302,1344,1787,2012,"Olfr131","olfactory receptor 131"
"4","ENSMUSG00000066671",2.28660138033183,4.69328711672885,169.379596435818,1.01081163150884e-38,5.56957208961371e-36,387,354,306,1800,1691,1409,"Olfr220","olfactory receptor 220"
"6","ENSMUSG00000062782",1.98489283742471,4.54958381883491,113.072756967836,2.08000538385354e-26,7.640553110022e-24,467,276,377,1328,1083,1864,"Olfr527","olfactory receptor 527"
"12","ENSMUSG00000054054",1.36544927869883,4.70665865716407,52.1225689995473,5.21421791045501e-13,1.43651703433036e-10,676,581,473,1180,1227,1942,"Olfr309","olfactory receptor 309"
"32","ENSMUSG00000095765",1.09753490403245,4.0991548887915,29.8186426957015,4.7440811101286e-08,1.04559547667234e-05,496,445,348,1047,979,644,"Olfr741","olfactory receptor 741"
"40","ENSMUSG00000107645",-1.00571050883596,3.95548804254642,26.0936450178068,3.25252770605318e-07,5.97380922011767e-05,590,932,919,234,437,535,"Olfr1380","olfactory receptor 1380"
"79","ENSMUSG00000094285",1.39299592177597,5.53725038892462,18.672278135774,1.55222925811881e-05,0.00244365234635275,1389,619,871,3762,2807,1114,"Olfr743","olfactory receptor 743"
"112","ENSMUSG00000045030",1.2379632527352,3.65323706878427,16.2349407204121,5.59525720744979e-05,0.00770746680326209,391,209,273,790,802,412,"Olfr1443","olfactory receptor 1443"
"161","ENSMUSG00000059887",0.739104953239927,4.06047002148266,13.8842534705371,0.000194420557937158,0.0238057172051942,684,408,407,924,737,688,"Olfr1507","olfactory receptor 1507"
"167","ENSMUSG00000068431",0.896329921988861,4.54469572031966,13.5271362942539,0.000235138573486363,0.0259122707981972,770,542,598,1213,1439,818,"Olfr742","olfactory receptor 742"
"190","ENSMUSG00000099486",0.843816265960879,3.50864786200949,12.6284467285039,0.000379920726640141,0.0380611491597669,476,293,223,578,442,627,"Olfr1228","olfactory receptor 1228"
"236","ENSMUSG00000068816",1.79321008069659,-0.377304155709328,11.4915850110269,0.000699119919572341,0.06420251261406,25,7,9,45,29,52,"Olfr152","olfactory receptor 152"
"351","ENSMUSG00000095917",1.01201354881334,4.76204399503112,9.75628966778798,0.00178710227774592,0.151491285390462,1148,428,555,1554,1797,741,"Olfr740","olfactory receptor 740"
