"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"307","ENSMUSG00000071510",4.28805553701752,-2.43532495923254,3.88785325031895,0.0486365543848539,1,0,0,0,0,23,0,"Olfr172","olfactory receptor 172"
"414","ENSMUSG00000067513",-4.35811715581335,-3.15346185559247,3.60831625546989,0.0574912984109272,1,5,3,0,0,0,0,"Olfr1436","olfactory receptor 1436"
"482","ENSMUSG00000066240",-2.60520751885061,-2.12346860793796,3.39273504554616,0.0654842412372174,1,7,6,10,0,2,3,"Olfr517","olfactory receptor 517"
"760","ENSMUSG00000056853",3.05916517638862,-1.96340070071606,3.01151269389768,0.0826751037630148,1,0,0,5,3,22,6,"Olfr765","olfactory receptor 765"
"992","ENSMUSG00000094197",-3.08822046682663,-3.51340401041468,2.78382667317702,0.0952204098178795,1,0,0,4,0,0,0,"Olfr474","olfactory receptor 474"
"1165","ENSMUSG00000068574",2.86090738142586,-1.12511478302616,2.70862891149685,0.0998067398214463,1,5,0,2,2,46,20,"Olfr458","olfactory receptor 458"
"1313","ENSMUSG00000110526",-2.95806355847346,-3.56942247131311,2.61480553572603,0.105870502888069,1,4,0,0,0,0,0,"Olfr151","olfactory receptor 151"
"1326","ENSMUSG00000058692",3.72539703952789,-3.1706971678107,2.60945458219773,0.106228292145671,1,0,0,0,0,1,7,"Olfr846","olfactory receptor 846"
"1329","ENSMUSG00000109813",-2.63267981608218,-1.26794106608165,2.59983687832225,0.106874714590228,1,20,9,12,0,22,1,"Olfr1279","olfactory receptor 1279"
"1337","ENSMUSG00000044801",3.00113713206407,-3.59241488612939,2.5974460549181,0.107036074861313,1,0,0,0,0,0,3,"Olfr159","olfactory receptor 159"
"1435","ENSMUSG00000046041",-1.99093477117928,-0.548641458311057,2.51877987509328,0.112497598449227,1,34,15,27,3,31,3,"Olfr803","olfactory receptor 803"
"1577","ENSMUSG00000060170",-2.79214232795203,-3.6059499529339,2.40659639892223,0.120824811137678,1,0,0,3,0,0,0,"Olfr1371","olfactory receptor 1371"
"1689","ENSMUSG00000063380",1.91508099297865,-1.78311815870646,2.3518481418861,0.125134574736879,1,1,3,3,4,16,13,"Olfr945","olfactory receptor 945"
"2008","ENSMUSG00000108827",-1.87832201531431,-1.58943096751004,2.14333243870244,0.143190548062166,1,16,12,6,1,6,4,"Olfr1310","olfactory receptor 1310"
"2142","ENSMUSG00000074952",-1.39107076675821,0.21684189658452,2.04112500530703,0.153096383448157,1,43,39,39,12,45,9,"Olfr1308","olfactory receptor 1308"
"2237","ENSMUSG00000094266",2.56183538902875,-3.6955182965313,2.03757031417012,0.153454585228079,1,0,0,0,0,0,2,"Olfr340","olfactory receptor 340"
"2348","ENSMUSG00000075175",1.80285052722028,-1.16474133370686,2.03518206170038,0.153695780003045,1,18,1,3,19,10,22,"Olfr1086","olfactory receptor 1086"
"2352","ENSMUSG00000062527",2.1802363480291,1.17295412891708,2.02911886128095,0.15431004906834,1,165,1,16,37,144,83,"Olfr1408","olfactory receptor 1408"
"2436","ENSMUSG00000062199",2.1123653417471,-2.24053298582152,1.99392260581608,0.157931340060646,1,3,0,2,8,12,3,"Olfr1465","olfactory receptor 1465"
"2836","ENSMUSG00000111179",-3.46246714858057,-3.37346264365676,1.84737105648794,0.174089465886954,1,5,1,0,0,0,0,"Olfr996","olfactory receptor 996"
"2856","ENSMUSG00000096708",-3.46107920458204,-3.37346264365676,1.8420415607459,0.174711852244745,1,5,1,0,0,0,0,"Olfr1475","olfactory receptor 1475"
"2894","ENSMUSG00000057349",2.17539921468195,0.020377755891695,1.81985166576661,0.177330934394936,1,38,3,3,6,104,32,"Olfr948","olfactory receptor 948"
"2900","ENSMUSG00000049334",2.16171868802473,-1.57853939960565,1.81375287660104,0.178058692012152,1,6,1,1,2,28,13,"Olfr902","olfactory receptor 902"
"2975","ENSMUSG00000061195",-1.65289275161905,-1.53664381404511,1.73493494377261,0.187781884663009,1,31,6,6,3,4,4,"Olfr1289","olfactory receptor 1289"
"3006","ENSMUSG00000061520",-2.25341829262241,-3.73565582380903,1.71220142798957,0.190699995427455,1,2,0,0,0,0,0,"Olfr153","olfactory receptor 153"
"3019","ENSMUSG00000075192",-2.25341829262241,-3.73565582380903,1.71220142798957,0.190699995427455,1,2,0,0,0,0,0,"Olfr1053","olfactory receptor 1053"
"3200","ENSMUSG00000073970",2.29104647438145,-3.61601450158731,1.70998425496702,0.190987413349869,1,0,0,0,0,3,0,"Olfr555","olfactory receptor 555"
"3293","ENSMUSG00000070855",-1.76783090315299,-0.197553644479204,1.70995709059921,0.190990937869414,1,33,10,61,6,39,3,"Olfr1116","olfactory receptor 1116"
"3326","ENSMUSG00000075220",-2.25310765970199,-3.76966430840727,1.70936468406241,0.191067820242525,1,0,1,0,0,0,0,"Olfr993","olfactory receptor 993"
"3580","ENSMUSG00000073997",2.01070116930017,-0.981371536058143,1.69703635965909,0.192676013143722,1,33,1,1,12,31,11,"Olfr521","olfactory receptor 521"
"3650","ENSMUSG00000058251",1.57411753561424,-0.961783139218064,1.60807751998131,0.20476225421361,1,23,1,5,21,25,13,"Olfr822","olfactory receptor 822"
"3699","ENSMUSG00000093901",3.59932231903952,-1.08769810933025,1.59146187145255,0.207117397468289,1,23,0,0,0,52,7,"Olfr893","olfactory receptor 893"
"3724","ENSMUSG00000062186",-1.69455392667192,-1.95444531024356,1.56777939392326,0.210529792800154,1,16,1,14,2,2,3,"Olfr395","olfactory receptor 395"
"3730","ENSMUSG00000047352",2.03833314719559,-0.306093381235884,1.56509973382573,0.210920080655551,1,47,0,7,13,51,31,"Olfr976","olfactory receptor 976"
"3772","ENSMUSG00000073931",-1.51035421785621,-1.17534646048913,1.53542324512742,0.215300333630787,1,24,10,14,2,8,10,"Olfr646","olfactory receptor 646"
"3827","ENSMUSG00000075153",-1.40531343899581,-1.117882301227,1.48968413353119,0.222265474773641,1,33,9,11,12,3,6,"Olfr1135","olfactory receptor 1135"
"3841","ENSMUSG00000062793",-2.04782670984473,-2.79579446431551,1.47744671937533,0.224174434417283,1,4,4,2,0,1,2,"Olfr1158","olfactory receptor 1158"
"3851","ENSMUSG00000095586",2.07707195824163,-2.52089876274479,1.46909507076943,0.225488525427695,1,1,0,3,10,0,6,"Olfr1287","olfactory receptor 1287"
"3855","ENSMUSG00000058659",-1.96648570010256,-1.00261309660749,1.46615777569668,0.225952889915253,1,19,11,6,0,42,1,"Olfr58","olfactory receptor 58"
"3902","ENSMUSG00000096714",-1.49062116995998,-0.0875627892260531,1.42787337498825,0.232111818562528,1,20,31,25,0,57,14,"Olfr699","olfactory receptor 699"
"4034","ENSMUSG00000109824",-1.73408998139788,-2.66177785989131,1.3611349966714,0.243340873604358,1,9,1,4,2,0,2,"Olfr643","olfactory receptor 643"
"4044","ENSMUSG00000075064",-2.10329169283446,-0.889928696886837,1.35848078652819,0.243800948133459,1,16,12,2,0,56,0,"Olfr1506","olfactory receptor 1506"
"4046","ENSMUSG00000093934",1.61853853789704,-1.06774587966972,1.35633723585673,0.244173280610627,1,21,2,0,38,20,0,"Olfr971","olfactory receptor 971"
"4314","ENSMUSG00000093866",-1.86519924317588,-1.60081672649899,1.33376033487591,0.248137350488773,1,9,6,8,0,24,1,"Olfr802","olfactory receptor 802"
"4408","ENSMUSG00000066239",1.92457562935875,-3.71198250953702,1.29330687992951,0.255439428041602,1,0,0,0,0,2,0,"Olfr519","olfactory receptor 519"
"4719","ENSMUSG00000075100",-1.07490917850249,0.23528183375084,1.22746797548134,0.267900022242753,1,21,53,39,11,27,22,"Olfr1223","olfactory receptor 1223"
"4744","ENSMUSG00000050281",1.59101011265005,0.917387570044246,1.21612944911207,0.270121588814009,1,165,7,5,21,144,34,"Olfr630","olfactory receptor 630"
"5449","ENSMUSG00000096566",-1.93893819404027,-1.14298975675953,1.20506117338183,0.272312454302735,1,28,4,15,0,26,3,"Olfr1306","olfactory receptor 1306"
"5456","ENSMUSG00000095484",1.29522944881985,-0.986385954837444,1.20039618954153,0.273242507151142,1,17,6,2,14,31,12,"Olfr1480","olfactory receptor 1480"
"5471","ENSMUSG00000044061",2.37806442199817,-1.29265561721384,1.19656436294559,0.274009434276228,1,20,1,0,2,16,27,"Olfr225","olfactory receptor 225"
"5521","ENSMUSG00000075121",-1.38587433214202,0.368401271637963,1.16906942156695,0.27959253183382,1,179,10,22,5,32,12,"Olfr1195","olfactory receptor 1195"
"5577","ENSMUSG00000096356",-1.56673586210381,-0.575452348299194,1.15096899207101,0.28334639750479,1,67,4,19,5,27,3,"Olfr889","olfactory receptor 889"
"5596","ENSMUSG00000048197",2.780466301578,-2.6398594475031,1.13951955434657,0.285753870984406,1,2,0,0,0,11,5,"Olfr1153","olfactory receptor 1153"
"5630","ENSMUSG00000061614",-1.48119613257768,-2.30970984820392,1.12574615240104,0.288684514484009,1,4,3,9,0,3,5,"Olfr845","olfactory receptor 845"
"6166","ENSMUSG00000068182",1.2171611232586,-0.436746148501481,1.0931887737216,0.295765758185503,1,31,11,2,23,38,20,"Olfr203","olfactory receptor 203"
"6216","ENSMUSG00000075172",-1.75127008856252,-1.78617497049652,1.07645246903247,0.29949252056107,1,20,3,7,0,12,2,"Olfr1090","olfactory receptor 1090"
"6234","ENSMUSG00000062629",1.84640139223747,-1.69098568992227,1.06732607497311,0.301550204113539,1,19,1,0,4,20,5,"Olfr114","olfactory receptor 114"
"6261","ENSMUSG00000060057",-1.14099789133365,-0.196918597789036,1.05517660934182,0.304317872292377,1,39,16,35,11,42,6,"Olfr193","olfactory receptor 193"
"6294","ENSMUSG00000066122",1.08638032167656,0.406447813866047,1.04305631085259,0.307111718712534,1,68,11,9,31,97,29,"Olfr45","olfactory receptor 45"
"6300","ENSMUSG00000048810",-1.02689808109379,0.38658089667204,1.0402407308293,0.307765490901157,1,91,19,48,14,44,22,"Olfr202","olfactory receptor 202"
"6307","ENSMUSG00000111863",1.87055689833813,-1.06905159460762,1.03839667268641,0.308194656798102,1,16,4,0,2,41,15,"Olfr347","olfactory receptor 347"
"6319","ENSMUSG00000044025",1.62457037885904,-0.782508124146093,1.03226523811721,0.309627221607123,1,23,7,0,6,44,17,"Olfr790","olfactory receptor 790"
"6328","ENSMUSG00000074947",-1.09241809663347,0.52251597048871,1.03013849559667,0.31012614126088,1,60,34,37,5,92,19,"Olfr1312","olfactory receptor 1312"
"6387","ENSMUSG00000101078",1.14914288205364,-0.333817414500661,1.00053820477973,0.317180313098146,1,17,4,16,19,67,16,"Olfr1166","olfactory receptor 1166"
"6552","ENSMUSG00000095667",-1.60764987604232,-3.82752529012652,0.996501716693116,0.318158473221542,1,1,0,0,0,0,0,"Olfr854","olfactory receptor 854"
"6749","ENSMUSG00000075380",1.66268016556107,-1.08583953478647,0.993077898573758,0.318991270978266,1,29,2,1,5,25,18,"Olfr355","olfactory receptor 355"
"6801","ENSMUSG00000048378",2.0492318259413,-0.936974642225548,0.984670042052577,0.32104856127874,1,32,0,3,2,36,19,"Olfr1394","olfactory receptor 1394"
"6825","ENSMUSG00000059303",-2.68371183195347,-2.03338071677394,0.977737031073139,0.322758136044714,1,17,0,4,0,16,0,"Olfr836","olfactory receptor 836"
"6835","ENSMUSG00000059030",1.3232748909545,-0.18536356696179,0.975815162347817,0.323234163654614,1,45,10,1,12,75,14,"Olfr128","olfactory receptor 128"
