"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000060827",2.93383116845985,4.50301139420254,87.1526856104933,1.00458516522777e-20,1.107052852081e-17,93,155,137,633,2004,744,"Olfr1193","olfactory receptor 1193"
"3","ENSMUSG00000072707",2.36432654131284,3.93694340266235,78.1447483953525,9.575987782181e-19,5.27636926798173e-16,92,154,172,532,885,761,"Olfr31","olfactory receptor 31"
"4","ENSMUSG00000109219",2.65514382124854,2.92881156738448,69.9150741704364,6.19134942300564e-17,2.27428902138407e-14,33,81,54,191,580,340,"Olfr1299","olfactory receptor 1299"
"6","ENSMUSG00000108919",2.20859392668939,3.14435306155245,61.0385607434435,5.59677759091332e-15,1.54191222629662e-12,53,128,86,263,515,457,"Olfr1295","olfactory receptor 1295"
"7","ENSMUSG00000062608",3.14641648403048,2.13619046335062,57.1943467892656,3.94804386829515e-14,7.27126032027955e-12,10,33,34,178,287,188,"Olfr195","olfactory receptor 195"
"8","ENSMUSG00000094858",2.47698183206371,3.00629776354742,57.1889244060019,3.95894391303787e-14,7.27126032027955e-12,56,69,71,334,500,304,"Olfr1297","olfactory receptor 1297"
"10","ENSMUSG00000094612",1.96250556661176,3.58300018437138,51.5223351518828,7.0787178067112e-13,1.11439243185653e-10,138,133,126,603,543,448,"Olfr491","olfactory receptor 491"
"13","ENSMUSG00000044560",2.89882924882632,1.44232058996493,47.3427537889392,5.95980271631064e-12,8.20962824171791e-10,18,15,18,125,152,117,"Olfr1302","olfactory receptor 1302"
"14","ENSMUSG00000050818",2.15827253504518,3.98273438103803,45.3477754246283,1.64975284369027e-11,2.02003070416297e-09,78,171,279,608,797,750,"Olfr330","olfactory receptor 330"
"15","ENSMUSG00000095809",2.54103553215979,2.63223720293199,39.622875451782,3.08053709538971e-10,3.39475187911946e-08,37,41,64,195,452,240,"Olfr1290","olfactory receptor 1290"
