"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"5","ENSMUSG00000068535",2.90750826655928,5.40071457106697,107.661077709882,3.18904358865016e-25,3.51432603469248e-22,285,289,165,2531,1228,2366,"Olfr169","olfactory receptor 169"
"6","ENSMUSG00000056822",2.40154473776131,5.9185424578229,102.546511176477,4.21357906411582e-24,2.32168206432782e-21,549,528,324,4366,1781,2264,"Olfr166","olfactory receptor 166"
"7","ENSMUSG00000045341",2.45281645322378,4.65899132095705,95.4753379300232,1.49745183746013e-22,5.50063974960354e-20,242,201,140,1489,785,1225,"Olfr167","olfactory receptor 167"
"8","ENSMUSG00000061361",2.79652239445729,5.38709005699592,93.5722966919869,3.91630952671158e-22,1.07894327460904e-19,340,309,158,1867,1533,2565,"Olfr168","olfactory receptor 168"
"15","ENSMUSG00000075084",2.49999663444435,2.92862897992259,44.6752227809796,2.32582011633665e-11,5.12610753640598e-09,83,53,31,492,165,401,"Olfr1243","olfactory receptor 1243"
"27","ENSMUSG00000060480",1.93392230052962,3.5798296537969,32.3386236434811,1.29513235722128e-08,2.11631061244477e-06,122,151,86,406,363,786,"Olfr171","olfactory receptor 171"
"28","ENSMUSG00000062245",1.78286203477124,3.33684342259611,32.2662243238032,1.34429893712463e-08,2.11631061244477e-06,133,158,61,329,525,397,"Olfr170","olfactory receptor 170"
"30","ENSMUSG00000111715",1.93323823035801,2.42056257365526,31.3505712796542,2.15395309129896e-08,2.96707038326432e-06,55,68,36,357,201,132,"Olfr1246","olfactory receptor 1246"
"38","ENSMUSG00000075085",2.37235198668099,3.65956277913308,28.1336030202311,1.13222848898393e-07,1.3863508831781e-05,154,149,34,660,348,693,"Olfr1242","olfactory receptor 1242"
"52","ENSMUSG00000062608",1.72921160356885,1.24330335736874,23.1776956674657,1.47700537350144e-06,0.000162765992159859,33,30,17,123,98,65,"Olfr195","olfactory receptor 195"
"131","ENSMUSG00000096409",-3.12723741493336,-0.978909341636857,13.2499690225248,0.00027258437425414,0.0273079982207329,21,25,13,6,1,1,"Olfr890","olfactory receptor 890"
"156","ENSMUSG00000049010",-1.36939886582484,0.86073440861314,12.1496819746432,0.000490962355751511,0.0450867096698471,79,63,49,28,29,22,"Olfr982","olfactory receptor 982"
"223","ENSMUSG00000044824",-2.24060068130177,-0.522263665000813,10.4902516596265,0.00120006024823625,0.101728184119719,21,35,20,3,14,3,"Olfr545","olfactory receptor 545"
"252","ENSMUSG00000043366",-1.19188535707533,1.10773011000964,9.99050574748951,0.00157349382935996,0.115763775665307,113,78,33,53,25,24,"Olfr78","olfactory receptor 78"
"254","ENSMUSG00000095804",-1.58856166876761,0.232868621104949,9.98788834899076,0.0015757319736657,0.115763775665307,48,35,41,23,12,11,"Olfr824","olfactory receptor 824"
"275","ENSMUSG00000054890",-0.989955232422569,2.19293722111753,9.75075720031439,0.00179248866578681,0.123457656856067,177,128,141,122,59,71,"Olfr1535","olfactory receptor 1535"
"303","ENSMUSG00000050134",-0.925413162075726,2.67573029169678,9.52776010094293,0.00202386978353247,0.129573046563192,244,224,159,148,99,110,"Olfr430","olfactory receptor 430"
"311","ENSMUSG00000096822",-4.00326422501826,-2.2873227420501,9.44570773965612,0.00211643814713018,0.129573046563192,7,8,4,0,1,0,"Olfr344","olfactory receptor 344"
"379","ENSMUSG00000075186",-2.86849476323213,-1.21794027594905,8.83104869556207,0.00296148154002042,0.171765929321184,12,24,11,6,2,0,"Olfr1058","olfactory receptor 1058"
"426","ENSMUSG00000095484",1.49236498320945,0.311482354549561,8.40366080867117,0.00374466150929438,0.20633084916212,15,16,12,78,27,38,"Olfr1480","olfactory receptor 1480"
"503","ENSMUSG00000057564",-0.918735795259142,1.9953515075946,7.9481609072156,0.00481362681563515,0.250664190489709,120,230,54,65,98,46,"Olfr1508","olfactory receptor 1508"
"512","ENSMUSG00000051593",-0.970123115629372,1.21578244836079,7.87792544594555,0.00500418529108311,0.250664190489709,76,72,76,43,38,43,"Olfr272","olfactory receptor 272"
"576","ENSMUSG00000057817",-1.11458080857394,0.792013161371115,7.51743675163794,0.00611045681921398,0.290737222275743,80,51,42,32,21,32,"Olfr1446","olfactory receptor 1446"
"593","ENSMUSG00000075062",-0.826990613410985,2.41316597166139,7.45335120885622,0.00633184513123216,0.290737222275743,210,193,111,126,93,88,"Olfr1271","olfactory receptor 1271"
"613","ENSMUSG00000057444",4.80224320680519,-2.77575478644198,7.337666363273,0.00675244430475781,0.297647744953724,0,0,0,7,2,2,"Olfr915","olfactory receptor 915"
"717","ENSMUSG00000064084",-1.54660960715406,-0.231119164393622,6.94312154140328,0.00841421495419024,0.356633264596833,25,49,16,7,13,11,"Olfr1202","olfactory receptor 1202"
"757","ENSMUSG00000055971",-1.43540405329339,-0.0796038489124783,6.79111603366173,0.00916126178250396,0.365503321661413,34,35,27,8,16,15,"Olfr378","olfactory receptor 378"
"767","ENSMUSG00000073972",-0.774143154752302,2.49829865805468,6.76681630182559,0.00928683575909217,0.365503321661413,249,157,131,138,101,94,"Olfr553","olfactory receptor 553"
"808","ENSMUSG00000042801",-0.940324792737299,1.26495291680505,6.64031732131139,0.00996961750454167,0.378845465172583,110,55,67,42,30,58,"Olfr769","olfactory receptor 769"
"834","ENSMUSG00000040328",-1.18532589993933,3.4785574175665,6.5700208573047,0.0103710735418162,0.380964101436048,572,542,120,165,125,218,"Olfr56","olfactory receptor 56"
