"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"9","ENSMUSG00000070377",2.8690726483934,3.92782023313595,23.3424890923024,1.35571860224585e-06,0.00149400189967493,194,137,51,564,1100,372,"Olfr43","olfactory receptor 43"
"10","ENSMUSG00000075084",3.73498997031458,2.3588802167432,21.6409517574644,3.2875717210653e-06,0.00181145201830698,80,23,4,243,372,106,"Olfr1243","olfactory receptor 1243"
"11","ENSMUSG00000075085",2.64243792503657,2.7204164924868,20.17279083461,7.07521980043955e-06,0.00259896407336146,64,73,35,208,414,208,"Olfr1242","olfactory receptor 1242"
"15","ENSMUSG00000090059",-6.72880603077359,-1.75909480020974,17.4579443497569,2.93734189877378e-05,0.00809237693112176,14,19,9,0,0,0,"Olfr1062","olfactory receptor 1062"
"23","ENSMUSG00000073966",2.21329471501114,2.94605549116745,13.8613690350162,0.00019680248298443,0.0384957185189709,148,62,62,318,513,155,"Olfr561","olfactory receptor 561"
"24","ENSMUSG00000049372",2.58929877599044,1.78289638272284,13.7430439357207,0.000209595563624161,0.0384957185189709,49,24,20,90,235,103,"Olfr1183","olfactory receptor 1183"
"30","ENSMUSG00000045678",2.55112604207188,0.194667344234362,12.7257704218345,0.000360651255248504,0.0514378016726658,6,12,9,25,101,22,"Olfr1489","olfactory receptor 1489"
"31","ENSMUSG00000061361",1.97454653088213,3.60709194094196,12.6607411001822,0.000373414168222619,0.0514378016726658,223,179,83,406,828,260,"Olfr168","olfactory receptor 168"
"32","ENSMUSG00000095910",2.36739717639308,0.825708214690063,12.440540081115,0.000420114281030929,0.0514406597440093,28,13,14,64,87,58,"Olfr469","olfactory receptor 469"
"34","ENSMUSG00000095484",3.31788008940229,-0.558652398483837,11.7096204303841,0.000621778013159558,0.0685199370501833,6,6,0,22,39,22,"Olfr1480","olfactory receptor 1480"
"37","ENSMUSG00000075380",-4.75734419226974,-1.72417651166092,11.1631220653217,0.000834393870386387,0.0835910950150726,27,12,3,0,1,0,"Olfr355","olfactory receptor 355"
"42","ENSMUSG00000059189",2.1571857879541,0.456249133611039,10.3969727491016,0.00126222075817634,0.115913939625861,22,14,11,54,76,34,"Olfr913","olfactory receptor 913"
"70","ENSMUSG00000047050",1.96768321917823,0.249985915100857,8.27424593270343,0.00402113594547725,0.34086860091661,15,9,20,34,52,42,"Olfr914","olfactory receptor 914"
