"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"10","ENSMUSG00000075125",-6.78427164857785,-1.68590327188684,14.2803571892681,0.000157499902307353,0.153475032382319,44,6,1,0,0,0,"Olfr1181","olfactory receptor 1181"
"17","ENSMUSG00000045708",3.0079455889098,0.14139034231405,12.96810148215,0.000316843148836924,0.153475032382319,6,2,11,24,52,104,"Olfr447","olfactory receptor 447"
"22","ENSMUSG00000061210",2.34906896890866,1.61003989766959,12.4508188108321,0.000417808618100688,0.153475032382319,35,16,30,87,217,219,"Olfr47","olfactory receptor 47"
"33","ENSMUSG00000059411",2.55926352695317,0.993895378489204,10.4122404110333,0.0012518277936846,0.344878557160107,21,4,15,33,67,217,"Olfr434","olfactory receptor 434"
"53","ENSMUSG00000111021",-3.78070383187345,-1.39353443303193,8.91984963328239,0.00282087736412824,0.621721371053864,41,8,10,0,2,2,"Olfr50","olfactory receptor 50"
"149","ENSMUSG00000045150",-3.6455457071535,-2.20523786908124,5.7240792198621,0.0167338091922545,1,10,3,13,0,0,3,"Olfr1161","olfactory receptor 1161"
"180","ENSMUSG00000062186",-3.46445099805845,-2.09639607405619,5.22819741380457,0.0222235525708257,1,16,1,14,0,0,3,"Olfr395","olfactory receptor 395"
"195","ENSMUSG00000067522",-3.50336778534811,-0.360354414931685,5.07195512846926,0.0243159432333793,1,29,7,43,0,0,50,"Olfr76","olfactory receptor 76"
"222","ENSMUSG00000095831",-2.21183935511878,-0.684959504688034,4.92292326449782,0.0265026374748845,1,51,5,39,3,10,6,"Olfr453","olfactory receptor 453"
"235","ENSMUSG00000094182",-2.32986101722369,-0.727026278902916,4.85208112455945,0.0276127972395256,1,55,12,20,1,12,8,"Olfr937","olfactory receptor 937"
"267","ENSMUSG00000066240",-3.55563109744926,-2.21003990233466,4.60755440848342,0.0318313979507131,1,7,6,10,0,0,4,"Olfr517","olfactory receptor 517"
"272","ENSMUSG00000044040",-1.825722058079,-0.37438820561176,4.5900067437967,0.0321588877154284,1,33,14,53,4,18,13,"Olfr1497","olfactory receptor 1497"
"339","ENSMUSG00000061457",-3.15217433523417,-2.02612744285005,4.28293722232591,0.0384967686422949,1,30,0,7,1,0,1,"Olfr871","olfactory receptor 871"
"350","ENSMUSG00000109813",-2.43517123586551,-1.52874391430234,4.24062070537463,0.0394677350748955,1,20,9,12,3,12,0,"Olfr1279","olfactory receptor 1279"
"353","ENSMUSG00000063137",-2.23033382091353,-0.168092943303123,4.2300004710631,0.0397154295731054,1,33,22,43,0,14,36,"Olfr177","olfactory receptor 177"
"358","ENSMUSG00000096229",-4.46754643903745,-3.01492326219515,4.19599502331682,0.0405195678072176,1,12,1,0,0,0,0,"Olfr774","olfactory receptor 774"
"410","ENSMUSG00000053287",-1.42805270691317,0.87583437862097,4.08668220108198,0.0432224067475052,1,100,25,104,11,31,66,"Olfr1013","olfactory receptor 1013"
"504","ENSMUSG00000070855",-1.60245104663899,-0.296732438576695,3.83186639435296,0.0502869074017652,1,33,10,61,6,10,21,"Olfr1116","olfactory receptor 1116"
"536","ENSMUSG00000096679",-2.42399862048344,-1.87970571156904,3.72603963517076,0.0535702690219926,1,7,5,17,0,2,7,"Olfr498","olfactory receptor 498"
"551","ENSMUSG00000059762",-2.42180731047239,-0.881406536799193,3.6585978210567,0.0557805584352478,1,41,10,19,0,6,16,"Olfr767","olfactory receptor 767"
"553","ENSMUSG00000047960",-1.40935956545213,0.408643167712495,3.64381492601386,0.0562778415709847,1,128,18,41,19,18,27,"Olfr186","olfactory receptor 186"
"570","ENSMUSG00000058244",-1.65133656950869,0.191472724479876,3.58204767625329,0.0584071138264504,1,92,12,44,12,5,42,"Olfr506","olfactory receptor 506"
"621","ENSMUSG00000074965",-1.66568586833616,-0.607775093880024,3.45695889854006,0.062986059119731,1,75,10,11,10,10,5,"Olfr1277","olfactory receptor 1277"
"627","ENSMUSG00000094266",4.54298700940735,-2.94438638681667,3.44379575117403,0.0634896733963031,1,0,0,0,0,0,12,"Olfr340","olfactory receptor 340"
"636","ENSMUSG00000093980",3.6025078983824,-3.68521783460008,3.43650795583458,0.0637703449408197,1,0,0,0,2,0,1,"Olfr493","olfactory receptor 493"
"793","ENSMUSG00000046975",-1.69385634566367,-0.731105053759822,3.28646832692957,0.0698531213959447,1,33,8,34,3,8,17,"Olfr1020","olfactory receptor 1020"
"813","ENSMUSG00000049315",-1.63813385603551,-0.666930794733426,3.22712509561486,0.0724277330564105,1,64,8,15,13,4,8,"Olfr348","olfactory receptor 348"
"836","ENSMUSG00000043605",1.4838478837409,1.05340244049973,3.17042821811051,0.0749827843381133,1,33,10,22,19,72,219,"Olfr13","olfactory receptor 13"
"837","ENSMUSG00000054938",-1.32330231446383,1.55079812593609,3.16983719293737,0.0750099232078184,1,269,44,83,31,42,92,"Olfr1346","olfactory receptor 1346"
"883","ENSMUSG00000090824",-2.57054601412666,-1.5802752111771,3.11430319483477,0.0776076666916497,1,12,0,31,0,0,9,"Olfr1344","olfactory receptor 1344"
"920","ENSMUSG00000047225",-1.74884664009789,-0.978187341914088,3.07827697432721,0.0793445418357638,1,23,9,29,2,20,6,"Olfr684","olfactory receptor 684"
"972","ENSMUSG00000050776",-2.14131746545719,-1.48448108757514,3.02842203386097,0.0818175515114951,1,18,5,18,0,4,11,"Olfr1317","olfactory receptor 1317"
"977","ENSMUSG00000053146",-1.87037041876883,-1.49981197815149,3.01052192647918,0.0827256502600433,1,23,5,16,2,10,3,"Olfr352","olfactory receptor 352"
"979","ENSMUSG00000050085",-1.33543045974459,0.478449021448999,3.00828092154049,0.0828401039101545,1,125,18,49,12,28,35,"Olfr622","olfactory receptor 622"
"989","ENSMUSG00000051200",2.32904193812508,-2.292122101466,2.98205267591319,0.084192434356575,1,4,1,0,10,8,5,"Olfr513","olfactory receptor 513"
"1037","ENSMUSG00000096254",-1.7471731386312,-1.07519628568974,2.94596353229981,0.086092342686105,1,22,11,21,12,6,3,"Olfr724","olfactory receptor 724"
"1039","ENSMUSG00000075121",-1.6449091004085,0.305750954347897,2.94461274825928,0.0861643490557462,1,179,10,22,6,16,19,"Olfr1195","olfactory receptor 1195"
"1161","ENSMUSG00000073970",4.28026570569019,-3.36174155311804,2.88583542974445,0.0893616452012522,1,0,0,0,4,2,1,"Olfr555","olfactory receptor 555"
"1248","ENSMUSG00000042849",-1.0702777472642,1.04351463861326,2.78132742653052,0.095369094666443,1,85,33,119,21,43,72,"Olfr1414","olfactory receptor 1414"
"1290","ENSMUSG00000059595",-1.71326252095219,-0.810506006403282,2.76151895961678,0.0965565201253487,1,41,14,15,2,14,12,"Olfr935","olfactory receptor 935"
"1330","ENSMUSG00000094295",-1.84442519362969,-1.19195121706021,2.69449962671437,0.100695096370366,1,39,3,20,3,11,3,"Olfr819","olfactory receptor 819"
"1336","ENSMUSG00000096209",-1.39516545461486,-0.578510769667651,2.68729498116135,0.101151399770728,1,31,16,30,6,22,11,"Olfr510","olfactory receptor 510"
"1337","ENSMUSG00000070438",-1.66541376032012,-1.5032973096884,2.68532699683581,0.101276433900216,1,15,8,16,5,4,5,"Olfr313","olfactory receptor 313"
"1388","ENSMUSG00000096566",-2.06770539939982,-1.4393573609263,2.61340745749574,0.105963857097849,1,28,4,15,0,5,9,"Olfr1306","olfactory receptor 1306"
"1483","ENSMUSG00000094197",-2.99055868926461,-3.60751340432697,2.55462367403875,0.109971997657049,1,0,0,4,0,0,0,"Olfr474","olfactory receptor 474"
"1720","ENSMUSG00000064084",-1.52310533409605,-0.639723646113823,2.46858215927368,0.116142649882925,1,58,9,20,4,22,8,"Olfr1202","olfactory receptor 1202"
"1736","ENSMUSG00000049011",-1.22319405016491,0.786986212566488,2.44836430203281,0.117647405738451,1,135,13,87,10,34,56,"Olfr729","olfactory receptor 729"
"1742","ENSMUSG00000062527",1.49031588018256,0.80656356663279,2.44030130605427,0.118253509387875,1,165,1,16,55,70,55,"Olfr1408","olfactory receptor 1408"
"1799","ENSMUSG00000073953",-1.10469763352903,0.350257232238212,2.40604306500025,0.120867537410335,1,93,19,47,23,22,30,"Olfr596","olfactory receptor 596"
"1836","ENSMUSG00000109542",-2.04209780784072,-1.96799227497897,2.37128346417736,0.123585407285293,1,14,6,7,0,5,5,"Olfr470","olfactory receptor 470"
"1843","ENSMUSG00000081836",3.03365608915337,-1.88853214396178,2.3574288201868,0.124687549519912,1,11,0,0,3,24,10,"Olfr1180","olfactory receptor 1180"
"1876","ENSMUSG00000075127",-2.1999128376619,-2.14333319819087,2.32624891323251,0.127208086579722,1,21,3,4,0,4,2,"Olfr1179","olfactory receptor 1179"
"1955","ENSMUSG00000093901",2.69610990291584,-1.57908072509854,2.32540977450593,0.127276699750603,1,23,0,0,9,10,14,"Olfr893","olfactory receptor 893"
"1961","ENSMUSG00000107711",-2.54747038958889,-2.2980747101906,2.32358596852018,0.127425967458189,1,12,0,12,0,0,4,"Olfr320","olfactory receptor 320"
"1983","ENSMUSG00000074952",-1.12734288749016,0.187337310140067,2.30611667929202,0.128865639324226,1,43,39,39,19,34,18,"Olfr1308","olfactory receptor 1308"
"1994","ENSMUSG00000051493",-1.05087736997235,0.686392409955265,2.29185701009943,0.130054236968609,1,97,40,46,15,84,28,"Olfr974","olfactory receptor 974"
"2002","ENSMUSG00000081649",-1.046563943085,1.22602021597855,2.28528974450918,0.130605749402396,1,158,34,92,22,55,82,"Olfr213","olfactory receptor 213"
"2038","ENSMUSG00000044801",3.94197852816175,-3.39727997156162,2.25225345920489,0.133419985692159,1,0,0,0,1,0,5,"Olfr159","olfactory receptor 159"
"2143","ENSMUSG00000110526",-2.73888672045514,-3.64933030149922,2.21984371911267,0.136246850683217,1,4,0,0,0,0,0,"Olfr151","olfactory receptor 151"
"2170","ENSMUSG00000047594",-1.49038821079674,0.37373559243285,2.20692092614574,0.137392654514696,1,86,29,37,1,74,28,"Olfr1122","olfactory receptor 1122"
"2173","ENSMUSG00000050030",-1.12947644523144,1.33653727304757,2.20211828199891,0.137821231065845,1,224,36,74,19,64,78,"Olfr728","olfactory receptor 728"
"2186","ENSMUSG00000060170",-2.71124505972451,-3.70503891500537,2.19778794676277,0.13820894493583,1,0,0,3,0,0,0,"Olfr1371","olfactory receptor 1371"
"2490","ENSMUSG00000109497",-2.68598250249688,-3.89656883436017,2.16954926241445,0.140767487982135,1,0,1,0,0,0,0,"Olfr492","olfactory receptor 492"
"2578","ENSMUSG00000096427",-1.28871269972319,-0.378367272692175,2.14867539155288,0.142692951172607,1,53,10,33,6,16,21,"Olfr895","olfactory receptor 895"
"2604","ENSMUSG00000057564",-0.950074900117255,1.28047153241577,2.11674216485006,0.145696171859842,1,245,30,53,61,36,46,"Olfr1508","olfactory receptor 1508"
"2649","ENSMUSG00000058071",-1.23901771934887,-0.0705168155928446,2.07466513517938,0.149762805642702,1,74,13,35,7,24,25,"Olfr818","olfactory receptor 818"
"2659","ENSMUSG00000046643",-1.49131586589194,-0.880561794343736,2.0701441817453,0.150207320327055,1,21,2,49,2,8,12,"Olfr218","olfactory receptor 218"
"2716","ENSMUSG00000058692",2.62568679472843,-3.75020703173079,2.02984272101749,0.154236567931667,1,0,0,0,0,2,1,"Olfr846","olfactory receptor 846"
"2789","ENSMUSG00000062892",-3.37699058626864,-1.60262090405165,2.01706141892961,0.155539895799319,1,39,3,1,0,0,11,"Olfr1450","olfactory receptor 1450"
