"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000046678",2.94602873255167,4.38528262853138,179.653725392336,5.76801665217798e-41,6.35635435070013e-38,93,187,117,1092,872,939,"Olfr981","olfactory receptor 981"
"3","ENSMUSG00000063867",2.50183565361239,3.92053725145024,168.502200150213,1.57148123720753e-38,8.65886161701349e-36,127,119,118,890,746,457,"Olfr1511","olfactory receptor 1511"
"5","ENSMUSG00000060254",3.18525033874439,2.69148819706091,110.385645898123,8.06670796592045e-26,2.96317072614811e-23,25,57,26,355,328,243,"Olfr980","olfactory receptor 980"
"8","ENSMUSG00000071185",1.77618507802604,2.69844445612455,50.8835708527697,9.80105294791262e-13,2.62801111596969e-10,87,94,54,367,301,152,"Olfr1357","olfactory receptor 1357"
"9","ENSMUSG00000051528",2.40503486082838,1.75021391447661,50.4987905495297,1.19238253900621e-12,2.62801111596969e-10,24,38,23,175,123,142,"Olfr424","olfactory receptor 424"
"11","ENSMUSG00000044213",2.27154479698609,1.42215198866155,44.7306239481112,2.26093291043388e-11,4.15258011216356e-09,27,22,23,131,102,110,"Olfr1094","olfactory receptor 1094"
"22","ENSMUSG00000059473",1.57991340173976,2.45060360873348,28.4473815612785,9.62798933914528e-08,1.51572060739116e-05,46,98,81,275,258,132,"Olfr979","olfactory receptor 979"
"37","ENSMUSG00000101750",-1.13473322948518,4.34241540143295,21.3717688954761,3.78300771636439e-06,0.000521109312929195,463,523,1326,448,240,263,"Olfr1392","olfactory receptor 1392"
"57","ENSMUSG00000043331",2.84040173109612,-0.296350145426228,17.3725817321034,3.0722610271876e-05,0.00376181294662304,8,6,1,33,30,40,"Olfr975","olfactory receptor 975"
"79","ENSMUSG00000044292",1.53664704979854,1.06748482560868,14.4144495283064,0.000146672552004497,0.0161633152308956,30,38,17,92,65,81,"Olfr978","olfactory receptor 978"
"85","ENSMUSG00000096000",-5.89005581143517,-2.06875226906917,14.0389485653135,0.000179063031060329,0.0164014876190866,0,11,16,0,0,0,"Olfr773","olfactory receptor 773"
"87","ENSMUSG00000052508",-0.526961935150708,6.47406819655405,13.9046904909464,0.000192317929389717,0.0164014876190866,2439,4222,2015,2862,2265,1001,"Olfr536","olfactory receptor 536"
"90","ENSMUSG00000096477",-0.906881821459459,2.71428175640735,13.8933291944912,0.000193483973727882,0.0164014876190866,201,194,291,146,107,103,"Olfr92","olfactory receptor 92"
"97","ENSMUSG00000040328",-0.945359119366244,2.74746561606421,13.2747283938525,0.000269007857482619,0.0205753376615001,226,156,320,176,91,92,"Olfr56","olfactory receptor 56"
"99","ENSMUSG00000094200",-1.08477770641934,1.80948729008689,13.1992338885317,0.000280063579784484,0.0205753376615001,125,159,95,87,52,41,"Olfr237","olfactory receptor 237"
"105","ENSMUSG00000075427",-0.960757209379006,2.2778540172842,12.9251154501544,0.000324202658983738,0.022329458137505,90,180,250,63,71,114,"Olfr288","olfactory receptor 288"
"115","ENSMUSG00000075068",-0.607563000224543,6.60143813200211,12.3020461968743,0.000452461983197113,0.0293301826754834,2733,3137,3482,3360,1973,1186,"Olfr140","olfactory receptor 140"
"120","ENSMUSG00000096068",-5.63821983629367,-2.47872600121677,12.1494271480003,0.00049102944183981,0.0300619136059706,11,4,2,0,0,0,"Olfr486","olfactory receptor 486"
"124","ENSMUSG00000095917",-0.605441514000733,5.30631049003816,11.9646517208794,0.000542193424337385,0.0314472186115683,955,1237,1654,1148,576,783,"Olfr740","olfactory receptor 740"
"133","ENSMUSG00000057564",-1.01380157430122,1.63814716287021,11.5452197881,0.00067923670090211,0.0369246302950428,68,135,136,51,55,51,"Olfr1508","olfactory receptor 1508"
"136","ENSMUSG00000050023",-0.909599581063274,2.18996720488729,11.4376347096172,0.000719713490799075,0.0369246302950428,171,200,106,96,114,47,"Olfr1176","olfactory receptor 1176"
"138","ENSMUSG00000096151",-0.56890305471369,4.09166111591396,11.3931548199424,0.000737152328939149,0.0369246302950428,428,376,846,418,253,371,"Olfr477","olfactory receptor 477"
"143","ENSMUSG00000044170",-0.665567865834201,3.97584235979579,11.2983798793326,0.000775747530860512,0.0371684251742732,438,575,547,424,404,185,"Olfr1384","olfactory receptor 1384"
"152","ENSMUSG00000051392",-2.560646304256,-0.797696596211687,11.0862457869594,0.000869703758831609,0.039933897593018,24,19,23,12,0,3,"Olfr1402","olfactory receptor 1402"
"166","ENSMUSG00000108167",-0.577753132107015,4.32542869418038,10.8178564778783,0.00100525806717394,0.0443117756010273,542,664,738,580,441,290,"Olfr1386","olfactory receptor 1386"
"179","ENSMUSG00000059610",-0.493999579522713,5.52042925963583,10.2737074589783,0.00134939373178095,0.0571935343239464,1470,1075,1770,1306,949,757,"Olfr222","olfactory receptor 222"
"186","ENSMUSG00000059729",-0.783108204796979,2.66471241622038,10.1257963760049,0.00146208472808273,0.0595769322396883,214,184,237,175,108,90,"Olfr1385","olfactory receptor 1385"
"189","ENSMUSG00000073927",-1.31178177353271,0.438626318917551,10.0401980379274,0.0015316073672896,0.0595769322396883,56,53,39,24,20,15,"Olfr652","olfactory receptor 652"
"195","ENSMUSG00000046300",-0.810268597788725,2.39456618105254,9.90459237269196,0.00164866842209623,0.0595769322396883,194,180,156,137,112,61,"Olfr1412","olfactory receptor 1412"
"199","ENSMUSG00000060030",-1.52793947725451,0.151520140634614,9.87843555901092,0.00167227061577075,0.0595769322396883,60,41,23,17,19,7,"Olfr317","olfactory receptor 317"
"200","ENSMUSG00000062037",-0.533679800562921,4.25688310675639,9.87440361274223,0.00167593911019087,0.0595769322396883,447,565,823,497,319,404,"Olfr285","olfactory receptor 285"
"214","ENSMUSG00000071494",-0.498920583122788,4.66757036954821,9.5851805015295,0.00196154153908569,0.0675505867522634,680,880,850,783,561,382,"Olfr455","olfactory receptor 455"
