"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000050366",2.81893349640079,4.59485825691536,130.236776360668,3.63700286604461e-30,4.00797715838116e-27,159,194,334,1233,1350,2265,"Olfr524","olfactory receptor 524"
"2","ENSMUSG00000044985",2.28762094438288,5.0308937839904,118.845783300906,1.13196713678013e-27,6.23713892365852e-25,390,460,388,1989,1920,2188,"Olfr124","olfactory receptor 124"
"3","ENSMUSG00000036647",2.23243935328195,4.1124920285502,86.8414873097825,1.17577024142326e-20,4.31899602016144e-18,191,241,247,1018,923,1298,"Olfr6","olfactory receptor 6"
"4","ENSMUSG00000108674",2.7232837801977,2.82533658729496,74.5799548721866,5.82314707194182e-18,1.60427701831997e-15,45,60,109,414,312,698,"Olfr1359","olfactory receptor 1359"
"5","ENSMUSG00000048933",2.69451278636432,2.30735399973695,66.9900997195222,2.72874062680089e-16,6.01414434146916e-14,45,54,46,301,331,314,"Olfr722","olfactory receptor 722"
"6","ENSMUSG00000108534",2.94386177893914,1.9940073780105,65.7805944952585,5.04020607085393e-16,9.25717848346838e-14,11,60,41,157,269,355,"Olfr1360","olfactory receptor 1360"
"7","ENSMUSG00000046016",2.16465210283041,3.66389087782595,55.0736229442815,1.16098534660602e-13,1.82772264565691e-11,134,136,264,749,644,940,"Olfr1364","olfactory receptor 1364"
"9","ENSMUSG00000070417",3.01520077603121,0.723468150089189,44.5444108271133,2.48652335764734e-11,3.42518592515921e-09,10,33,4,121,105,84,"Olfr2","olfactory receptor 2"
"11","ENSMUSG00000108167",1.61332830890639,4.38021740283594,31.9524399937551,1.57993793015382e-08,1.9345462211439e-06,440,268,442,1221,1086,1181,"Olfr1386","olfactory receptor 1386"
"12","ENSMUSG00000094819",1.68794019481943,1.74533797214786,27.4587718651552,1.60479326432568e-07,1.7684821772869e-05,39,89,49,125,229,204,"Olfr53","olfactory receptor 53"
"16","ENSMUSG00000061616",1.3951054334005,3.39262315089437,24.7269442634688,6.60542432572462e-07,6.61743418813503e-05,171,224,237,385,601,734,"Olfr12","olfactory receptor 12"
"22","ENSMUSG00000066273",1.40064052873133,2.38725098940023,20.3839450749963,6.33591288751031e-06,0.000581848000169697,62,108,153,179,264,415,"Olfr33","olfactory receptor 33"
"23","ENSMUSG00000090874",1.58381610354095,2.22958300499269,19.148950872192,1.20903939278988e-05,0.00102489339296496,39,114,117,193,320,241,"Olfr733","olfactory receptor 733"
"37","ENSMUSG00000057447",1.66472601478122,0.130335460440754,14.3899929030908,0.000148589862173262,0.0116961448653525,14,19,23,65,46,70,"Olfr1205","olfactory receptor 1205"
"39","ENSMUSG00000062199",5.69608884921218,-2.83074501094196,13.3863747567904,0.000253458806363891,0.0186207736408672,0,0,0,7,4,9,"Olfr1465","olfactory receptor 1465"
"101","ENSMUSG00000036658",1.08210908312182,0.931037466170758,9.69036455547264,0.00185236785296389,0.127581835872888,18,67,53,50,85,154,"Olfr11","olfactory receptor 11"
"111","ENSMUSG00000049280",0.897624951000665,2.66481945937574,9.35309820939842,0.00222608838083715,0.139922403633281,81,213,211,192,260,492,"Olfr509","olfactory receptor 509"
"114","ENSMUSG00000063230",0.955405389598883,1.35910708595374,9.30484701298649,0.0022854839068957,0.139922403633281,73,64,54,141,94,144,"Olfr535","olfactory receptor 535"
"118","ENSMUSG00000044061",1.87738747988325,-0.922490901242669,9.09053015649224,0.00256936381946802,0.149023101529145,7,6,9,18,31,36,"Olfr225","olfactory receptor 225"
"123","ENSMUSG00000058802",1.35243377687466,0.234806656978249,8.97641589563033,0.00273486571965509,0.150691101152995,12,21,42,47,57,75,"Olfr97","olfactory receptor 97"
"143","ENSMUSG00000050865",0.960226858118526,1.03176196657568,8.2257506772915,0.00413001183211206,0.214642827104161,37,45,68,66,83,157,"Olfr1494","olfactory receptor 1494"
"147","ENSMUSG00000057564",1.0035669026553,1.15442971430457,8.12789680579318,0.00435892822880439,0.214642827104161,54,46,60,96,114,115,"Olfr1508","olfactory receptor 1508"
"153","ENSMUSG00000056959",0.974853579858416,1.93495661382246,8.00930121205506,0.00465376922494956,0.214642827104161,67,106,103,167,98,345,"Olfr315","olfactory receptor 315"
"155","ENSMUSG00000091873",2.03174618540572,-1.57067992558917,8.00120738102677,0.00467461692422855,0.214642827104161,4,5,3,26,13,13,"Olfr732","olfactory receptor 732"
"176","ENSMUSG00000064044",1.05251225483801,0.581694372769265,7.54501924859188,0.00601761793687051,0.260004443607052,25,30,51,84,47,93,"Olfr319","olfactory receptor 319"
"179","ENSMUSG00000062314",1.10805440583069,0.605868456613439,7.51039077741212,0.0061344061105112,0.260004443607052,9,78,33,45,91,74,"Olfr1505","olfactory receptor 1505"
"191","ENSMUSG00000055838",0.916475811768047,1.17252080224141,7.42205986462631,0.00644290148753209,0.262965831083717,57,62,50,81,105,143,"Olfr357","olfactory receptor 357"
"208","ENSMUSG00000049015",1.67118245941898,-0.423392753512751,7.202112237466,0.00728178247666644,0.286590153188801,3,25,14,39,25,54,"Olfr1467","olfactory receptor 1467"
"289","ENSMUSG00000059867",1.97360483759051,-1.59559357269859,6.47554160471388,0.0109368980710186,0.415602126698707,0,6,8,7,13,30,"Olfr960","olfactory receptor 960"
"314","ENSMUSG00000051414",-2.1377544824576,-1.62407581750631,6.24705429751534,0.0124400015684406,0.448482405047043,12,20,16,4,0,10,"Olfr829","olfactory receptor 829"
"321","ENSMUSG00000043855",0.85959347941057,1.044349227799,6.22215991084521,0.0126161112127571,0.448482405047043,45,62,51,108,57,141,"Olfr479","olfactory receptor 479"
