"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"9","ENSMUSG00000066273",2.75402729370516,3.24247094128922,20.0841878489137,7.41068402546694e-06,0.00816657379606457,76,88,55,285,447,739,"Olfr33","olfactory receptor 33"
"45","ENSMUSG00000051340",2.4527091238245,0.318551391992881,12.0908738378289,0.000506692215001065,0.217344146462244,21,19,2,78,62,37,"Olfr645","olfactory receptor 645"
"66","ENSMUSG00000056853",3.1447105596706,-1.25620332773933,10.6800720442937,0.0010829584339805,0.217344146462244,2,2,2,18,33,8,"Olfr765","olfactory receptor 765"
"77","ENSMUSG00000044814",2.68666836457778,-0.85519520229107,10.1360228037592,0.00145399542113197,0.217344146462244,5,6,2,31,22,24,"Olfr543","olfactory receptor 543"
"84","ENSMUSG00000059873",2.24331191816955,0.442429029174537,9.8806913397786,0.00167022172804077,0.217344146462244,7,15,19,52,115,29,"Olfr1029","olfactory receptor 1029"
"92","ENSMUSG00000066272",2.11284818937655,0.792277033389481,9.54440511449976,0.00200559817648721,0.217344146462244,14,15,18,22,62,167,"Olfr559","olfactory receptor 559"
"107","ENSMUSG00000094764",1.94972805396555,1.14230440507915,9.27136853370259,0.00232763720183703,0.217344146462244,52,43,6,147,84,67,"Olfr346","olfactory receptor 346"
"116","ENSMUSG00000096757",2.05751018041171,0.250263934729515,9.06473441451775,0.00260586381192691,0.217344146462244,25,13,7,62,42,58,"Olfr251","olfactory receptor 251"
"134","ENSMUSG00000049573",2.2480592329402,-0.259357712373579,8.57761894662539,0.00340320105423027,0.217344146462244,14,3,11,46,36,32,"Olfr780","olfactory receptor 780"
"137","ENSMUSG00000049806",2.05453774021273,0.514652080553143,8.56044627118446,0.00343545196928281,0.217344146462244,22,15,9,102,20,84,"Olfr466","olfactory receptor 466"
"139","ENSMUSG00000049926",1.9522373361821,0.99394830722194,8.49088141774239,0.00356930844550702,0.217344146462244,69,15,12,94,96,69,"Olfr921","olfactory receptor 921"
"141","ENSMUSG00000073972",1.82094506176123,2.0579506045756,8.47607235477482,0.00359848193459575,0.217344146462244,94,87,19,178,215,162,"Olfr553","olfactory receptor 553"
"174","ENSMUSG00000095903",1.85938392577137,0.320171450257141,7.88938163647459,0.00497258626579888,0.217344146462244,19,16,12,70,28,73,"Olfr968","olfactory receptor 968"
"176","ENSMUSG00000070855",2.70418950145266,-0.589826692936537,7.86426129777571,0.00504214212570104,0.217344146462244,11,8,0,29,29,33,"Olfr1116","olfactory receptor 1116"
"177","ENSMUSG00000066749",1.73863765442359,0.431838484918779,7.85687931969326,0.00506277002275349,0.217344146462244,17,28,14,63,56,59,"Olfr877","olfactory receptor 877"
"179","ENSMUSG00000074955",2.06021298449569,-0.46096175930791,7.84944689352996,0.00508362578103942,0.217344146462244,11,6,8,37,32,28,"Olfr1305","olfactory receptor 1305"
"181","ENSMUSG00000070375",1.93852036075707,0.9263624319094,7.82018290903114,0.00516659667452369,0.217344146462244,50,23,9,77,67,110,"Olfr406","olfactory receptor 406"
"183","ENSMUSG00000095030",1.75268641245751,0.475547805226336,7.77967098565535,0.0052837419395195,0.217344146462244,34,19,10,72,57,53,"Olfr1513","olfactory receptor 1513"
"187","ENSMUSG00000073925",1.99669734932503,0.389629386482163,7.73483410944153,0.00541655395055948,0.217344146462244,44,9,6,76,31,64,"Olfr654","olfactory receptor 654"
"196","ENSMUSG00000060827",1.60799340049106,2.07793630293454,7.62532257324652,0.00575543745546279,0.217344146462244,116,67,32,230,148,176,"Olfr1193","olfactory receptor 1193"
"199","ENSMUSG00000094119",1.93980298786821,0.421542176057823,7.57310821071306,0.00592455288518953,0.217344146462244,41,9,10,60,45,69,"Olfr612","olfactory receptor 612"
"205","ENSMUSG00000056564",2.0750116962924,0.0580655722226354,7.50477397780753,0.00615356623519833,0.217344146462244,34,9,3,58,54,23,"Olfr324","olfactory receptor 324"
"206","ENSMUSG00000075115",1.60961490963576,1.4401310632274,7.48891703323998,0.00620798798202322,0.217344146462244,49,65,21,122,113,119,"Olfr1200","olfactory receptor 1200"
"211","ENSMUSG00000073920",1.81541967960963,0.827959268339645,7.43884013245558,0.00638310146249715,0.217344146462244,62,14,13,81,73,72,"Olfr661","olfactory receptor 661"
"229","ENSMUSG00000045708",2.71276372810105,-0.840025369380107,7.2235270500175,0.00719541888584776,0.217344146462244,5,11,0,26,21,28,"Olfr447","olfactory receptor 447"
"236","ENSMUSG00000094080",1.58922826376885,0.55595648456332,7.14870933700764,0.00750179536412139,0.217344146462244,36,23,11,97,57,38,"Olfr8","olfactory receptor 8"
"237","ENSMUSG00000051180",1.6726341681118,3.56595246085421,7.13095720637825,0.0075764270631666,0.217344146462244,428,225,40,641,537,318,"Olfr522","olfactory receptor 522"
"238","ENSMUSG00000045812",2.09957991004795,0.356948390310785,7.11276261398971,0.00765370676893085,0.217344146462244,33,21,2,57,57,54,"Olfr984","olfactory receptor 984"
"245","ENSMUSG00000056995",1.46738927754728,0.994790731584409,7.08438445726442,0.00777585239910184,0.217344146462244,46,34,21,112,84,61,"Olfr1178","olfactory receptor 1178"
"247","ENSMUSG00000073974",2.12889616300597,-0.753371471513554,7.06253664326497,0.00787124672527767,0.217344146462244,11,4,4,40,12,27,"Olfr551","olfactory receptor 551"
"248","ENSMUSG00000057464",1.92969171553191,1.72241175681401,7.04894169491491,0.00793120970403059,0.217344146462244,89,71,7,146,154,130,"Olfr1415","olfactory receptor 1415"
"249","ENSMUSG00000067064",1.49014225443554,1.27054296754089,7.03138960015239,0.0080093179544022,0.217344146462244,57,49,20,120,108,81,"Olfr1416","olfactory receptor 1416"
"259","ENSMUSG00000068815",1.97814413597852,-0.076126046199218,6.93488680595565,0.00845304124882831,0.217344146462244,17,14,5,37,37,52,"Olfr1143","olfactory receptor 1143"
"261","ENSMUSG00000049864",1.56423239918368,1.33031716901554,6.91453880522733,0.00854976901946051,0.217344146462244,60,51,18,109,110,104,"Olfr250","olfactory receptor 250"
"267","ENSMUSG00000050763",1.64285880892412,3.15640628230626,6.88213371319227,0.00870615682528197,0.217344146462244,213,210,48,405,370,388,"Olfr1395","olfactory receptor 1395"
"279","ENSMUSG00000075066",1.56300480175243,1.38804146472956,6.82565903294648,0.00898573930499486,0.217344146462244,92,27,23,138,83,109,"Olfr32","olfactory receptor 32"
"280","ENSMUSG00000052537",1.967663163283,-0.457478848088782,6.82462852665347,0.00899092543831888,0.217344146462244,3,12,12,19,26,49,"Olfr198","olfactory receptor 198"
"281","ENSMUSG00000095248",1.56547272536943,1.41308388951797,6.82414837312583,0.00899334290890402,0.217344146462244,73,50,17,135,102,104,"Olfr681","olfactory receptor 681"
"295","ENSMUSG00000075218",2.74186684429962,-1.11177330338531,6.74189408214168,0.00941745858360167,0.217344146462244,7,0,4,11,12,38,"Olfr995","olfactory receptor 995"
"315","ENSMUSG00000063350",1.523834812907,1.07660300289517,6.59916114253533,0.0102026825061995,0.217344146462244,52,27,26,78,89,103,"Olfr874","olfactory receptor 874"
"318","ENSMUSG00000075194",3.79905015092576,-1.56963508880113,6.58372011178623,0.0102915585093488,0.217344146462244,4,0,0,5,10,30,"Olfr1049","olfactory receptor 1049"
"319","ENSMUSG00000043925",1.58966164956856,2.63589456811829,6.58020022205829,0.0103119292624778,0.217344146462244,191,71,64,238,312,253,"Olfr544","olfactory receptor 544"
"322","ENSMUSG00000049057",1.63323942214926,2.62855370730962,6.57176231627323,0.0103609306871804,0.217344146462244,154,108,45,228,251,335,"Olfr1257","olfactory receptor 1257"
"325","ENSMUSG00000049315",2.07332771670969,-0.369539808847442,6.55228064033676,0.0104749806262971,0.217344146462244,20,5,5,31,28,41,"Olfr348","olfactory receptor 348"
"337","ENSMUSG00000059595",2.13062339606513,-0.84010874748534,6.46464805034179,0.0110041433576468,0.217344146462244,8,2,9,27,23,22,"Olfr935","olfactory receptor 935"
"340","ENSMUSG00000073937",1.48584496437845,1.56035684040251,6.44517419425386,0.0111254132853163,0.217344146462244,90,38,29,137,153,86,"Olfr633","olfactory receptor 633"
"341","ENSMUSG00000073111",1.51223999501707,1.92045827931101,6.43335579255239,0.0111996780673952,0.217344146462244,97,63,35,158,137,194,"Olfr446","olfactory receptor 446"
"343","ENSMUSG00000069823",1.63563322336962,1.80074104417076,6.41730478753369,0.0113013552341518,0.217344146462244,114,64,15,171,140,129,"Olfr1","olfactory receptor 1"
"344","ENSMUSG00000111715",1.88003908153614,0.497563770726005,6.40674138237718,0.0113687869237708,0.217344146462244,48,12,8,54,53,72,"Olfr1246","olfactory receptor 1246"
"347","ENSMUSG00000046493",1.67246618327078,1.40102423254721,6.39976611760454,0.0114135398901531,0.217344146462244,84,33,17,110,87,142,"Olfr1352","olfactory receptor 1352"
"350","ENSMUSG00000109631",2.68070532116425,-1.07419943385638,6.39672719918502,0.0114330939557231,0.217344146462244,15,2,0,27,14,18,"Olfr494","olfactory receptor 494"
"351","ENSMUSG00000073952",1.69777714489514,3.29020486688178,6.39501495762963,0.0114441265972805,0.217344146462244,249,117,85,271,371,671,"Olfr597","olfactory receptor 597"
"357","ENSMUSG00000075196",1.59724321529821,0.243850291363718,6.33871788104401,0.0118130238884956,0.217344146462244,24,17,13,57,61,35,"Olfr1047","olfactory receptor 1047"
"360","ENSMUSG00000049018",1.69761567270022,0.0296971727666474,6.32855457086189,0.0118809110587531,0.217344146462244,13,12,18,32,54,46,"Olfr368","olfactory receptor 368"
"377","ENSMUSG00000060114",1.49742623865355,0.984477611484609,6.2573778776072,0.0123677125034299,0.217344146462244,53,17,32,76,69,104,"Olfr910","olfactory receptor 910"
"392","ENSMUSG00000049098",1.46381965955896,0.877300546405497,6.17442106231636,0.0129610315533865,0.217344146462244,39,21,29,64,55,116,"Olfr147","olfactory receptor 147"
"396","ENSMUSG00000075085",1.41779614592064,1.7124965626602,6.16502442034544,0.0130300574745896,0.217344146462244,64,73,35,107,161,150,"Olfr1242","olfactory receptor 1242"
"405","ENSMUSG00000073959",1.71371511949691,1.00276900292384,6.14773400842617,0.0131580586218724,0.217344146462244,70,28,9,78,92,80,"Olfr584","olfactory receptor 584"
"407","ENSMUSG00000048745",1.51981666601798,2.23817468851765,6.14204628764384,0.0132004468766745,0.217344146462244,145,75,36,217,166,219,"Olfr820","olfactory receptor 820"
"410","ENSMUSG00000043383",1.6930166315618,1.22296888009733,6.13479310737254,0.0132547056138086,0.217344146462244,62,69,4,118,112,58,"Olfr1342","olfactory receptor 1342"
"429","ENSMUSG00000057444",2.80770990355694,-2.14946066250643,6.04461735684576,0.0139487557599612,0.217344146462244,3,0,1,14,8,4,"Olfr915","olfactory receptor 915"
