"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"9","ENSMUSG00000075074",2.1520583210427,1.85122360321437,54.7030430086066,1.40189056705137e-13,1.54488340489061e-10,35,54,35,155,305,118,"Olfr1254","olfactory receptor 1254"
"50","ENSMUSG00000048745",1.03688443436102,2.59821449433976,18.8890750756567,1.38543828499451e-05,0.00763376495031975,120,170,99,326,300,177,"Olfr820","olfactory receptor 820"
"124","ENSMUSG00000093839",1.07579611206965,1.40841269543256,12.7712709232377,0.000351983607172998,0.120627499560693,46,66,53,142,98,109,"Olfr462","olfactory receptor 462"
"153","ENSMUSG00000095765",0.649115000430014,4.52043078280422,12.0177442670184,0.000526964405747434,0.120627499560693,636,658,425,759,1431,626,"Olfr741","olfactory receptor 741"
"156","ENSMUSG00000035626",0.688945816432158,3.21343633946003,11.9471454437233,0.000547311703995886,0.120627499560693,286,220,194,456,321,349,"Olfr1509","olfactory receptor 1509"
"189","ENSMUSG00000057564",0.912459657804864,2.00928599332271,10.8488360487639,0.000988578754341863,0.181568964547455,70,75,128,201,120,188,"Olfr1508","olfactory receptor 1508"
"220","ENSMUSG00000111159",-5.28021133581477,-2.87263674051157,10.2342211500925,0.00137858811313055,0.217029157238552,1,6,8,0,0,0,"Olfr1337","olfactory receptor 1337"
"293","ENSMUSG00000045030",0.778275877017077,4.06156699750103,9.05206656852278,0.00262398060485567,0.361453328318869,398,390,334,539,1238,392,"Olfr1443","olfactory receptor 1443"
"366","ENSMUSG00000059503",3.89126181069802,-2.62603168202666,8.43041603296294,0.00368995909655369,0.451814991600241,0,0,1,4,2,13,"Olfr248","olfactory receptor 248"
"385","ENSMUSG00000043366",-0.88202641722604,1.35061848057381,8.19279888770854,0.00420569889171575,0.463468017867076,94,106,118,59,72,43,"Olfr78","olfactory receptor 78"
"408","ENSMUSG00000107711",-2.29883758421119,-1.44439567311068,8.01954271485901,0.00462752530830502,0.463593899068376,13,30,8,6,3,1,"Olfr320","olfactory receptor 320"
"457","ENSMUSG00000075075",0.792551619947784,1.50376557162643,7.68985151010375,0.00555321963403233,0.477372870783388,48,88,68,113,114,118,"Olfr1253","olfactory receptor 1253"
"460","ENSMUSG00000060759",4.74752500377357,-3.1694609826427,7.66461088546624,0.00563144039944105,0.477372870783388,0,0,0,5,4,1,"Olfr503","olfactory receptor 503"
"485","ENSMUSG00000063660",-4.6237203320879,-3.23644589962219,7.50709656192257,0.00614563600110594,0.483749348087053,3,4,2,0,0,0,"Olfr98","olfactory receptor 98"
"513","ENSMUSG00000062245",0.645572402751798,2.40583469527276,7.30585591305181,0.00687302504834018,0.504938240218059,160,131,113,244,168,221,"Olfr170","olfactory receptor 170"
"562","ENSMUSG00000060480",0.728928768988344,2.74140529246529,7.00019640069095,0.00815007736398685,0.561336578444594,202,134,151,277,360,187,"Olfr171","olfactory receptor 171"
"592","ENSMUSG00000045341",0.547658295431089,2.94579550381368,6.88535613598965,0.00869047509253012,0.563347267762835,173,242,200,260,350,286,"Olfr167","olfactory receptor 167"
"656","ENSMUSG00000109547",0.680379641045701,2.26584079809411,6.59890254503377,0.010204164453367,0.595960914218927,86,154,107,125,330,137,"Olfr1294","olfactory receptor 1294"
"660","ENSMUSG00000075198",0.840830580096669,1.64594138197472,6.58655394409543,0.0102751881761884,0.595960914218927,62,63,91,152,151,88,"Olfr1045","olfactory receptor 1045"
"731","ENSMUSG00000109631",1.50275116699333,-0.698287282642247,6.36496697210754,0.0116395261773248,0.635209989804973,5,19,7,22,30,27,"Olfr494","olfactory receptor 494"
"772","ENSMUSG00000066061",2.75877162332451,-2.45983147588403,6.22308028006779,0.0126095548838913,0.635209989804973,2,1,0,10,9,2,"Olfr1335","olfactory receptor 1335"
"777","ENSMUSG00000094986",-1.18413070734479,-0.0425651054368267,6.21305733100399,0.0126811431721501,0.635209989804973,47,41,37,14,22,19,"Olfr1454","olfactory receptor 1454"
"838","ENSMUSG00000064006",0.970217399164858,0.804273331614219,6.05948248378964,0.013831821194291,0.651187561404847,57,35,21,67,111,43,"Olfr190","olfactory receptor 190"
"849","ENSMUSG00000110171",1.97585246939465,-1.01953669952083,6.01535276571345,0.0141819432610856,0.651187561404847,2,14,3,37,18,12,"Olfr484","olfactory receptor 484"
"894","ENSMUSG00000099486",0.412266756881519,4.06457922254417,5.88254311267092,0.0152917193761857,0.669961360386256,495,489,425,678,504,706,"Olfr1228","olfactory receptor 1228"
"937","ENSMUSG00000049456",0.607970622029961,2.01819354643689,5.79346390889314,0.0160858632974947,0.669961360386256,77,120,118,143,174,156,"Olfr1404","olfactory receptor 1404"
"1080","ENSMUSG00000073973",0.656261410213221,2.3227619802509,5.47225004608642,0.0193207356405756,0.669961360386256,88,126,171,226,184,181,"Olfr552","olfactory receptor 552"
"1083","ENSMUSG00000067525",0.368086227706421,4.85731536499863,5.47077522930126,0.0193370462645483,0.669961360386256,879,1010,632,939,1154,1113,"Olfr1427","olfactory receptor 1427"
"1114","ENSMUSG00000063583",0.809089468604284,0.809094840980694,5.39152981889815,0.0202347233910362,0.669961360386256,25,65,36,60,83,66,"Olfr1410","olfactory receptor 1410"
"1116","ENSMUSG00000050030",0.626428931432754,2.05606898679924,5.3814621430318,0.020351814536901,0.669961360386256,96,141,85,150,152,187,"Olfr728","olfactory receptor 728"
"1139","ENSMUSG00000075189",-3.98438448374076,-3.45914329060549,5.3343406766617,0.0209092477475995,0.669961360386256,1,4,1,0,0,0,"Olfr1055","olfactory receptor 1055"
"1205","ENSMUSG00000059864",-0.64959912062505,1.31139419128303,5.21866148685334,0.0223457444757614,0.669961360386256,116,85,91,78,51,58,"Olfr1393","olfactory receptor 1393"
"1214","ENSMUSG00000094182",1.346222306561,-0.575495943673122,5.20934219682579,0.0224658330741787,0.669961360386256,7,25,6,24,33,26,"Olfr937","olfactory receptor 937"
"1216","ENSMUSG00000067545",1.07070693618099,0.475396014318506,5.20322843077477,0.0225449782887481,0.669961360386256,28,13,49,61,60,51,"Olfr1419","olfactory receptor 1419"
"1218","ENSMUSG00000110970",0.668923407098968,1.17605262784576,5.19804977232456,0.0226122441528424,0.669961360386256,54,60,54,95,84,88,"Olfr156","olfactory receptor 156"
"1219","ENSMUSG00000094678",0.903947197258332,0.324091540582145,5.19672788050114,0.0226294475710066,0.669961360386256,30,29,23,61,50,43,"Olfr857","olfactory receptor 857"
"1232","ENSMUSG00000111174",0.494349963709294,2.83964647870042,5.17220644913281,0.0229510469130286,0.669961360386256,180,246,159,228,337,255,"Olfr1240","olfactory receptor 1240"
"1288","ENSMUSG00000048299",1.24790989979983,0.0118941972031997,5.0814107652579,0.0241836846877732,0.669961360386256,9,17,31,35,66,29,"Olfr148","olfactory receptor 148"
"1334","ENSMUSG00000048292",0.567494612636046,2.88471833978475,5.00200276564492,0.0253180058246906,0.669961360386256,178,236,168,348,209,313,"Olfr1417","olfactory receptor 1417"
"1351","ENSMUSG00000045150",-1.83775113183312,-1.58478398468743,4.9602699342257,0.0259361583983354,0.669961360386256,7,22,12,0,7,6,"Olfr1161","olfactory receptor 1161"
"1356","ENSMUSG00000051051",0.373859573497403,3.89712355629466,4.94726180968543,0.0261320255421356,0.669961360386256,352,434,493,554,485,609,"Olfr523","olfactory receptor 523"
"1358","ENSMUSG00000075384",0.638857339229242,1.49333135033475,4.93921715705263,0.0262539248299569,0.669961360386256,62,81,67,96,156,83,"Olfr3","olfactory receptor 3"
"1410","ENSMUSG00000075161",-3.15358428925938,-2.98470495522018,4.86982313279898,0.0273303014248121,0.669961360386256,6,4,2,0,0,1,"Olfr1109","olfactory receptor 1109"
"1427","ENSMUSG00000094119",0.842497469714187,0.594833782415098,4.84105846996905,0.0277898328429427,0.669961360386256,29,38,34,62,83,41,"Olfr612","olfactory receptor 612"
"1453","ENSMUSG00000094285",0.471687447886912,6.05766826588666,4.80575327407399,0.0283648637850645,0.669961360386256,2498,1398,1607,2299,3432,1913,"Olfr743","olfactory receptor 743"
"1463","ENSMUSG00000070820",0.553867831913773,1.89077233822594,4.78893116671245,0.0286431953553797,0.669961360386256,82,126,86,142,173,114,"Olfr1339","olfactory receptor 1339"
"1468","ENSMUSG00000094464",0.63296897202155,1.2539412664495,4.77889358094467,0.0288106260427206,0.669961360386256,40,79,63,70,105,102,"Olfr339","olfactory receptor 339"
"1482","ENSMUSG00000075112",0.665167006063247,1.03638319717512,4.75263966431633,0.0292533872341453,0.669961360386256,59,47,46,97,68,77,"Olfr1211","olfactory receptor 1211"
"1522","ENSMUSG00000075427",0.591433679627482,2.20674607745711,4.69274005580601,0.0302903079529432,0.669961360386256,120,94,144,237,160,146,"Olfr288","olfactory receptor 288"
"1527","ENSMUSG00000071494",0.388688320111881,4.46514335107225,4.68666897521348,0.0303975208886686,0.669961360386256,815,592,500,781,795,871,"Olfr455","olfactory receptor 455"
"1558","ENSMUSG00000059112",0.446234092398654,3.05891784242976,4.64406704851855,0.0311610707859863,0.673323529532488,285,246,166,372,346,228,"Olfr1263","olfactory receptor 1263"
"1600","ENSMUSG00000075208",0.62815714781939,1.28385864867491,4.58380862926738,0.0322754010383908,0.677545247734731,38,69,80,74,104,103,"Olfr1019","olfactory receptor 1019"
"1608","ENSMUSG00000075086",0.641750023693708,1.82981659841605,4.56739323933764,0.0325861144554816,0.677545247734731,88,114,68,127,115,179,"Olfr1241","olfactory receptor 1241"
"1781","ENSMUSG00000059887",0.403345257747304,4.03101193807215,4.33452270964311,0.0373468854862688,0.736480226266792,358,399,634,712,449,657,"Olfr1507","olfactory receptor 1507"
"1800","ENSMUSG00000039608",0.667583653364565,1.30156115046952,4.30161497538396,0.0380761993803505,0.736480226266792,71,77,39,85,98,106,"Olfr303","olfactory receptor 303"
"1810","ENSMUSG00000046450",0.616303422933887,1.23059095789351,4.28974277257957,0.0383429661263096,0.736480226266792,58,40,82,90,73,107,"Olfr71","olfactory receptor 71"
"1818","ENSMUSG00000046300",-0.535296544890214,2.88712715419286,4.27387064883196,0.0387026748101487,0.736480226266792,347,345,182,214,163,207,"Olfr1412","olfactory receptor 1412"
"1841","ENSMUSG00000062782",0.338661485210662,3.8615346355326,4.2454523492543,0.0393555840891514,0.736480226266792,475,441,350,656,501,449,"Olfr527","olfactory receptor 527"
"1850","ENSMUSG00000094496",0.956216805941826,-0.0515360019763742,4.24222628722655,0.0394304295369698,0.736480226266792,19,21,20,50,29,40,"Olfr792","olfactory receptor 792"
"1946","ENSMUSG00000075063",0.531928996614547,1.94099294968599,4.15843488704622,0.0414276677445606,0.757499159629391,88,102,116,163,142,136,"Olfr142","olfactory receptor 142"
"1969","ENSMUSG00000052508",0.217855433351736,6.04553919584246,4.1380059840082,0.0419305342444581,0.757499159629391,2220,2108,1691,2647,2685,1740,"Olfr536","olfactory receptor 536"
"2049","ENSMUSG00000075211",-0.917567026970967,-0.00673009065478262,4.07681605492464,0.0434755081958367,0.772742097287291,61,30,31,28,16,19,"Olfr1006","olfactory receptor 1006"
"2186","ENSMUSG00000096365",0.530114839100886,3.05308215560641,3.97460516606153,0.0461912813591423,0.789892165576435,183,250,199,259,553,187,"Olfr1463","olfactory receptor 1463"
"2213","ENSMUSG00000109449",0.610573522280865,1.33887469113551,3.94456659516791,0.0470229651261402,0.789892165576435,65,58,68,125,104,69,"Olfr1280","olfactory receptor 1280"
"2259","ENSMUSG00000043274",0.602761974760909,1.04111423764094,3.91815211746328,0.0477673580898037,0.789892165576435,58,57,42,94,83,62,"Olfr1123","olfactory receptor 1123"
"2269","ENSMUSG00000109219",0.538615686743256,1.52932156457005,3.91365693665611,0.0478952707335911,0.789892165576435,69,91,68,116,130,86,"Olfr1299","olfactory receptor 1299"
"2284","ENSMUSG00000049052",0.578963733440346,1.4663801605886,3.89902566452564,0.0483141197309236,0.789892165576435,74,56,85,102,113,103,"Olfr812","olfactory receptor 812"
"2299","ENSMUSG00000058084",1.18193299036061,-0.257232146158006,3.88424828520905,0.0487410773676929,0.789892165576435,7,25,16,51,27,28,"Olfr825","olfactory receptor 825"
"2322","ENSMUSG00000101750",-0.365006816785395,4.25794794249163,3.85415324116991,0.0496229689201335,0.791313556212359,1021,696,458,580,554,476,"Olfr1392","olfactory receptor 1392"
"2348","ENSMUSG00000060742",-2.34478264976503,-2.50113674893096,3.8325992549714,0.0502649264381716,0.791313556212359,3,12,3,0,5,0,"Olfr1076","olfactory receptor 1076"
"2537","ENSMUSG00000050028",0.403532649727557,3.52908069327004,3.64942020181929,0.0560887338537404,0.827131323993654,275,325,365,336,575,388,"Olfr745","olfactory receptor 745"
"2541","ENSMUSG00000095377",0.72313915908574,0.858886889175086,3.64698621342389,0.0561707674678158,0.827131323993654,27,66,41,88,71,55,"Olfr91","olfactory receptor 91"
"2562","ENSMUSG00000047716",0.728151412446368,0.663062084750198,3.62062954364091,0.0570672748116364,0.827131323993654,39,46,28,81,44,64,"Olfr736","olfactory receptor 736"
"2581","ENSMUSG00000048226",0.506070044346255,1.59961671750137,3.60748100785231,0.0575201821172088,0.827131323993654,79,98,67,129,121,95,"Olfr1212","olfactory receptor 1212"
"2598","ENSMUSG00000048933",-0.669929756246686,1.0519332044988,3.59157400382726,0.0580732141504416,0.827131323993654,89,90,63,66,29,62,"Olfr722","olfactory receptor 722"
"2618","ENSMUSG00000064044",0.5233376983132,1.46331836349601,3.57660753180444,0.0585987065004259,0.827131323993654,55,77,88,93,107,112,"Olfr319","olfactory receptor 319"
"2636","ENSMUSG00000066269",0.873855882341899,0.520955817255576,3.56932559934496,0.0588562098217373,0.827131323993654,21,30,45,76,64,36,"Olfr575","olfactory receptor 575"
"2700","ENSMUSG00000061361",0.368776885431912,3.84601113371238,3.53267439233563,0.0601706599261947,0.827131323993654,352,363,466,372,394,861,"Olfr168","olfactory receptor 168"
"2709","ENSMUSG00000070821",0.322660490183887,3.80121709126783,3.51815804780675,0.0606998716450297,0.827131323993654,379,529,306,475,721,346,"Olfr1340","olfactory receptor 1340"
"2751","ENSMUSG00000056822",0.28313867199777,4.23649634056895,3.49552349453423,0.0615349502878225,0.827131323993654,522,668,491,608,794,636,"Olfr166","olfactory receptor 166"
"2762","ENSMUSG00000067522",0.68256581273377,1.02041444682609,3.48186551943067,0.0620447576006211,0.827131323993654,33,86,38,91,72,71,"Olfr76","olfactory receptor 76"
"2828","ENSMUSG00000059488",0.249993249149978,5.07906885394149,3.43896319556921,0.0636756399229903,0.827131323993654,955,1019,1055,1370,949,1320,"Olfr727","olfactory receptor 727"
"2858","ENSMUSG00000062914",0.479810325121692,2.0792181719317,3.40640700068313,0.0649437075994414,0.827131323993654,114,138,94,170,139,170,"Olfr777","olfactory receptor 777"
"2903","ENSMUSG00000070460",-0.55340483885102,1.20302887561511,3.38481090087793,0.065799726479508,0.827131323993654,75,89,100,67,57,55,"Olfr291","olfactory receptor 291"
"2920","ENSMUSG00000054141",0.399615080059997,3.53661675159791,3.3679056508643,0.0664782156439487,0.827131323993654,251,413,283,319,741,279,"Olfr24","olfactory receptor 24"
"3040","ENSMUSG00000068950",0.968684436362496,-0.347822778669802,3.33523349512147,0.0678107814097016,0.827131323993654,11,28,11,39,36,19,"Olfr338","olfactory receptor 338"
"3113","ENSMUSG00000046016",0.368722628426456,3.48969110825173,3.30260891062026,0.0691699428038179,0.827131323993654,372,309,283,384,383,475,"Olfr1364","olfactory receptor 1364"
"3180","ENSMUSG00000092292",-1.92316262707257,-1.92856520708611,3.28504091586032,0.0699138857701117,0.827131323993654,13,13,5,0,3,6,"Olfr113","olfactory receptor 113"
"3225","ENSMUSG00000055033",0.785612118946755,1.18124629655712,3.26503085953197,0.0707716911437297,0.827131323993654,35,43,82,140,83,54,"Olfr420","olfactory receptor 420"
"3237","ENSMUSG00000078118",0.788265379024897,0.126799882553234,3.2553760881169,0.0711896045652504,0.827131323993654,19,27,29,50,39,40,"Olfr483","olfactory receptor 483"
"3271","ENSMUSG00000044798",0.509095232353097,1.86907211756512,3.24123524253898,0.0718064808954581,0.827131323993654,58,123,119,130,156,124,"Olfr923","olfactory receptor 923"
"3429","ENSMUSG00000066242",0.687096482595138,0.489409576418202,3.18144322707634,0.0744789190423646,0.827131323993654,34,31,36,43,61,60,"Olfr467","olfactory receptor 467"
"3434","ENSMUSG00000096679",1.58570686423376,-1.62948457293121,3.17928686837512,0.0745772714805387,0.827131323993654,1,5,7,20,11,8,"Olfr498","olfactory receptor 498"
"3465","ENSMUSG00000045812",-0.726916418089767,0.294422337737193,3.15595547602394,0.0756503923975917,0.827131323993654,41,49,52,20,27,41,"Olfr984","olfactory receptor 984"
"3528","ENSMUSG00000073972",0.493013861571064,2.27589719617349,3.11739141180153,0.0774606954963096,0.827131323993654,84,171,146,202,177,167,"Olfr553","olfactory receptor 553"
"3554","ENSMUSG00000070379",1.40954355518864,-1.89848336010046,3.1004675833555,0.078269810607305,0.827131323993654,2,5,4,6,9,15,"Olfr402","olfactory receptor 402"
"3555","ENSMUSG00000074952",-0.873524787311725,-0.22784020065664,3.0992146693341,0.078330072072,0.827131323993654,31,36,34,24,13,19,"Olfr1308","olfactory receptor 1308"
"3567","ENSMUSG00000063827",0.463869360085752,2.23200804643467,3.08754356313441,0.0788938239214124,0.827131323993654,141,86,158,144,155,227,"Olfr1382","olfactory receptor 1382"
"3597","ENSMUSG00000045421",1.02747807055236,-0.775451359037184,3.06210701779747,0.0801376907961849,0.827131323993654,10,19,5,29,33,8,"Olfr1390","olfactory receptor 1390"
"3610","ENSMUSG00000062793",1.80463567498616,-2.62955120205052,3.05142322844915,0.0806664248161722,0.827131323993654,2,1,1,10,3,3,"Olfr1158","olfactory receptor 1158"
"3667","ENSMUSG00000073974",-1.25144327475705,-1.02659217977239,3.02247632009743,0.0821179871919702,0.827131323993654,23,17,18,3,16,8,"Olfr551","olfactory receptor 551"
"3709","ENSMUSG00000075158",-0.728115029535249,0.310407461507031,3.00074845852652,0.0832260603976347,0.827131323993654,65,54,28,27,40,20,"Olfr1111","olfactory receptor 1111"
"3723","ENSMUSG00000094612",0.3888571028188,2.63487992294676,2.99318419267122,0.0836156016603438,0.827131323993654,138,220,170,199,291,199,"Olfr491","olfactory receptor 491"
