"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"41","ENSMUSG00000070821",1.60090137776972,3.81242686760264,15.3284370142861,9.03462274591261e-05,0.099561542659957,251,148,255,387,1004,788,"Olfr1340","olfactory receptor 1340"
"126","ENSMUSG00000075064",5.56075203711017,-2.76170673938344,10.2202727408821,0.001389053083315,0.765368248906565,0,0,0,0,16,2,"Olfr1506","olfactory receptor 1506"
"204","ENSMUSG00000050366",0.887005895972446,3.30938810705744,8.78332091444307,0.0030399725501733,1,250,169,275,434,410,474,"Olfr524","olfactory receptor 524"
"340","ENSMUSG00000110621",-2.31993683192163,-2.11269260725161,7.41335403565817,0.00647415157350279,1,11,8,10,2,1,3,"Olfr837","olfactory receptor 837"
"498","ENSMUSG00000075212",-3.12735055580421,-2.45658324958482,6.59791019794713,0.0102098533547244,1,8,6,8,0,3,0,"Olfr154","olfactory receptor 154"
"675","ENSMUSG00000111454",3.33378096766059,-3.03397172924262,6.04383650541003,0.0139549262676854,1,0,1,0,3,6,3,"Olfr998","olfactory receptor 998"
"693","ENSMUSG00000075427",1.24513623390689,1.10101029695876,5.97603354298315,0.0145015802089938,1,47,76,13,70,104,120,"Olfr288","olfactory receptor 288"
"754","ENSMUSG00000094721",3.11925711840517,-2.31452828967334,5.79651637967676,0.0160579591235751,1,3,0,0,4,15,7,"Olfr1462","olfactory receptor 1462"
"762","ENSMUSG00000067545",1.07564857300653,0.419908782196818,5.77862783176374,0.0162222009288416,1,43,32,11,91,44,45,"Olfr1419","olfactory receptor 1419"
"795","ENSMUSG00000048425",1.15775719026048,0.279745363166906,5.70109296326504,0.0169543520895129,1,30,25,16,39,69,57,"Olfr686","olfactory receptor 686"
"939","ENSMUSG00000043692",0.996769955911467,0.356940785908526,5.39742148361113,0.020166524360933,1,26,29,26,61,63,46,"Olfr399","olfactory receptor 399"
"1139","ENSMUSG00000073932",1.38249159766672,-0.411198097156723,5.06413801028685,0.0244258500258332,1,24,9,7,35,46,21,"Olfr641","olfactory receptor 641"
