"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000062497",2.56166661990001,4.16597662009315,129.145482380751,6.30253375099368e-30,6.94539219359504e-27,130,208,115,857,877,673,"Olfr1411","olfactory receptor 1411"
"5","ENSMUSG00000062245",3.08532422344748,4.47122140991408,97.7235654122547,4.81063080877855e-23,2.63989992976546e-20,90,161,127,1395,1204,525,"Olfr170","olfactory receptor 170"
"6","ENSMUSG00000067186",2.15027604034026,4.24207926805859,96.9287751838042,7.18666042585878e-23,2.63989992976546e-20,161,277,170,780,877,765,"Olfr132","olfactory receptor 132"
"7","ENSMUSG00000053251",2.28724291641949,4.49523692782574,90.9347318566971,1.48490213298748e-21,4.09090537638051e-19,143,309,221,1060,1084,787,"Olfr212","olfactory receptor 212"
"10","ENSMUSG00000044985",1.89075350097315,5.6609467638041,54.0086320252261,1.99610746082595e-13,4.39942084366039e-11,458,817,392,2697,2838,751,"Olfr124","olfactory receptor 124"
"11","ENSMUSG00000045341",1.83287586294246,4.05870468150201,48.3342473137161,3.59419914369204e-12,6.60134576058105e-10,154,265,180,776,885,375,"Olfr167","olfactory receptor 167"
"18","ENSMUSG00000061342",2.43576387440739,1.37344355578104,39.9241439012799,2.64019438328417e-10,4.15642030054165e-08,32,11,27,92,94,158,"Olfr1168","olfactory receptor 1168"
"19","ENSMUSG00000090129",1.65806566399869,2.99820637984476,35.1625791181866,3.03295929309057e-09,4.17790142623226e-07,85,189,53,395,411,128,"Olfr287","olfactory receptor 287"
"21","ENSMUSG00000056600",1.97244239505845,2.41091834695031,30.6910093951392,3.02563727131247e-08,3.60507354497747e-06,43,104,31,351,239,78,"Olfr90","olfactory receptor 90"
"22","ENSMUSG00000052012",2.2065272413718,3.62103589373796,30.5394907318947,3.27139160161295e-08,3.60507354497747e-06,91,121,110,711,723,169,"Olfr796","olfactory receptor 796"
"23","ENSMUSG00000062105",2.25792590754776,2.80138792104369,29.5617466416122,5.41634031874168e-08,5.4261882102303e-06,48,58,95,397,348,161,"Olfr183","olfactory receptor 183"
"24","ENSMUSG00000061616",1.65144711542496,3.4772843009079,28.5428189347793,9.16491011294064e-08,8.41644245371715e-06,88,204,174,515,509,295,"Olfr12","olfactory receptor 12"
"26","ENSMUSG00000049926",1.66898971322214,2.058465057013,27.4004971467646,1.65388714128877e-07,1.40198740746171e-05,49,67,45,215,199,84,"Olfr921","olfactory receptor 921"
"33","ENSMUSG00000059460",2.41492281694293,1.81320640532452,23.3083130915994,1.38002250509244e-06,0.000108627485757991,13,44,27,265,160,48,"Olfr286","olfactory receptor 286"
"37","ENSMUSG00000108674",1.47228638265495,2.3320513231343,20.84970124054,4.96769738373888e-06,0.000364960167792016,83,62,78,207,227,145,"Olfr1359","olfactory receptor 1359"
"39","ENSMUSG00000074996",2.62825677287282,1.08665013521381,19.0045453264373,1.30407438624472e-05,0.000875572930908476,16,7,18,137,128,21,"Olfr199","olfactory receptor 199"
"40","ENSMUSG00000064006",1.39186643739971,1.21266443470912,18.9363317832488,1.35154086787757e-05,0.000875572930908476,25,45,39,90,91,78,"Olfr190","olfactory receptor 190"
"41","ENSMUSG00000061489",1.36554023832947,2.7191833192523,18.8284804992812,1.43015542253653e-05,0.000875572930908476,59,175,100,271,241,221,"Olfr525","olfactory receptor 525"
"43","ENSMUSG00000081649",1.74980684209597,3.31187501369554,17.8271562730115,2.41905968441668e-05,0.00140305461696167,71,102,258,390,480,290,"Olfr213","olfactory receptor 213"
"44","ENSMUSG00000060057",1.94551095690367,0.26145839764791,17.662677546184,2.63751388820822e-05,0.00145327015240273,7,16,19,52,44,48,"Olfr193","olfactory receptor 193"
"74","ENSMUSG00000073915",1.25946995714622,0.849548618378832,12.6894220924413,0.000367729904266353,0.0187716462747158,17,31,44,59,58,78,"Olfr676","olfactory receptor 676"
"77","ENSMUSG00000090894",1.14559797680566,3.8189630325605,12.6540570523123,0.000374751559023364,0.0187716462747158,167,312,249,757,532,274,"Olfr110","olfactory receptor 110"
"81","ENSMUSG00000096703",2.50912428709598,-0.916367511236364,12.1026687972716,0.000503497059400362,0.024124076498226,2,2,9,12,19,32,"Olfr1286","olfactory receptor 1286"
"101","ENSMUSG00000050763",0.835106677303722,3.28023826540801,11.1862229987542,0.000824069209711231,0.037838511212574,131,249,227,257,283,454,"Olfr1395","olfactory receptor 1395"
"110","ENSMUSG00000095301",1.02996164385091,1.12679478044699,10.6023172011221,0.00112946020411399,0.0497866057973447,26,52,45,64,73,89,"Olfr476","olfactory receptor 476"
"117","ENSMUSG00000093839",1.01977783952249,1.07464510497366,10.2474006152852,0.00136877339540464,0.0580149339129197,34,42,41,73,59,89,"Olfr462","olfactory receptor 462"
