"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000047050",2.91538111109281,1.24907574650674,48.9241677653204,2.66052241376981e-12,2.93189569997433e-09,23,14,15,76,140,165,"Olfr914","olfactory receptor 914"
"7","ENSMUSG00000095910",2.204651807904,1.64598764870165,26.1395019072079,3.17619248410789e-07,0.000175008205874345,21,38,25,70,367,56,"Olfr469","olfactory receptor 469"
"31","ENSMUSG00000059189",1.49125873495331,1.33173580820275,15.810496190019,7.00130368111345e-05,0.0257181221886234,30,59,26,41,229,80,"Olfr913","olfactory receptor 913"
"111","ENSMUSG00000060583",1.68754732007192,1.1618709411378,10.816645972135,0.00100591554666743,0.277129733106877,27,24,28,36,237,58,"Olfr881","olfactory receptor 881"
"156","ENSMUSG00000062186",-3.43356923449117,-2.23006153254361,9.76658243868006,0.00177712488194837,0.391678323981421,10,11,6,0,1,1,"Olfr395","olfactory receptor 395"
"230","ENSMUSG00000062314",1.32030153469521,1.56648674317956,8.55075945851075,0.00345378104827415,0.561357620907348,37,42,59,48,272,89,"Olfr1505","olfactory receptor 1505"
"268","ENSMUSG00000059503",3.76054236811396,-2.71392891941556,8.1251324963896,0.00436557934239892,0.561357620907348,0,0,1,6,4,6,"Olfr248","olfactory receptor 248"
"290","ENSMUSG00000056184",1.67502397556634,-0.356244081648138,7.74970653720663,0.00537212700675694,0.561357620907348,5,18,13,33,34,33,"Olfr283","olfactory receptor 283"
"296","ENSMUSG00000066242",1.11452682178462,0.79281873212053,7.67661670256073,0.00559409518448551,0.561357620907348,34,31,36,40,96,79,"Olfr467","olfactory receptor 467"
"303","ENSMUSG00000073953",0.89675362044844,1.24943110440149,7.58928939678055,0.00587160889974095,0.561357620907348,34,74,50,48,137,97,"Olfr596","olfactory receptor 596"
"305","ENSMUSG00000066122",0.790907801852048,2.21720682746799,7.57990216472509,0.00590226436252101,0.561357620907348,137,99,98,175,203,157,"Olfr45","olfactory receptor 45"
"316","ENSMUSG00000075085",0.890106423177756,2.5541493302445,7.51674991965078,0.00611278716051559,0.561357620907348,159,124,107,185,366,160,"Olfr1242","olfactory receptor 1242"
"348","ENSMUSG00000095484",1.99541589516808,0.184016342202641,7.19663615296828,0.00730403651189598,0.619157556623798,25,13,5,16,76,68,"Olfr1480","olfactory receptor 1480"
"378","ENSMUSG00000096151",-0.654438958960512,4.4037684118882,7.01852580252175,0.00806706213631346,0.634993033872674,1065,759,723,368,652,499,"Olfr477","olfactory receptor 477"
"434","ENSMUSG00000075064",-4.99196409009147,-2.78351122968801,6.54074733976632,0.010543104918481,0.771881389371058,0,16,0,0,0,0,"Olfr1506","olfactory receptor 1506"
"456","ENSMUSG00000055971",-1.31069573860046,-0.0633030135306118,6.43219664024053,0.011206989319362,0.771881389371058,35,40,48,9,14,26,"Olfr378","olfactory receptor 378"
"517","ENSMUSG00000094200",0.675207919623653,2.14092428822845,6.0239773105902,0.014112806837323,0.914841949101762,73,108,150,107,168,217,"Olfr237","olfactory receptor 237"
"565","ENSMUSG00000067513",-4.34961907876415,-3.25669619721112,5.7548005187257,0.0164436625840628,0.920263660120746,4,0,4,0,0,0,"Olfr1436","olfactory receptor 1436"
"572","ENSMUSG00000073973",0.649157371413057,2.37254274226711,5.73072369400519,0.0166706112799039,0.920263660120746,88,126,171,115,171,297,"Olfr552","olfactory receptor 552"
"575","ENSMUSG00000044798",0.678660415252224,1.98543290039505,5.72745188045146,0.0167016998207032,0.920263660120746,58,123,119,97,176,167,"Olfr923","olfactory receptor 923"
"600","ENSMUSG00000109449",0.897382521034713,1.58215632793392,5.63758495905322,0.0175794058771852,0.922500251269433,65,58,68,86,201,77,"Olfr1280","olfactory receptor 1280"
"657","ENSMUSG00000049456",0.653766569606917,2.06776164317924,5.44072869356352,0.0196724606391332,0.970962251927742,77,120,118,100,191,178,"Olfr1404","olfactory receptor 1404"
"678","ENSMUSG00000058244",1.00217697007212,1.27102252301769,5.38891287082123,0.0202650923723576,0.970962251927742,27,39,79,34,174,91,"Olfr506","olfactory receptor 506"
"738","ENSMUSG00000059251",-2.7307521933365,-2.33840997928151,5.20043531449434,0.0225812324231226,1,2,13,7,0,4,0,"Olfr345","olfactory receptor 345"
