"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000091601",2.69881287705177,4.71303978940939,209.871976166697,1.46486302429895e-47,1.61427905277744e-44,251,177,115,1260,1166,848,"Olfr93","olfactory receptor 93"
"6","ENSMUSG00000052537",3.25324522702414,1.96918749733608,103.873476478522,2.15657247731416e-24,1.1882714350001e-21,27,17,12,191,195,120,"Olfr198","olfactory receptor 198"
"12","ENSMUSG00000045148",2.11189422760713,2.74692031749718,66.5554262984228,3.40192308458548e-16,1.2496397464044e-13,56,75,57,267,318,199,"Olfr1255","olfactory receptor 1255"
"14","ENSMUSG00000050813",1.49729799818657,4.48452417398535,61.3699586404342,4.7297234624817e-15,1.30303881391371e-12,358,300,205,1221,653,538,"Olfr332","olfactory receptor 332"
"15","ENSMUSG00000107417",1.19300343436211,4.26968394430533,46.2070981776615,1.06390839272706e-11,2.34485409757044e-09,305,330,249,673,711,546,"Olfr1383","olfactory receptor 1383"
"16","ENSMUSG00000095377",1.83683343736809,2.43542917741027,42.9037365845209,5.75007258321662e-11,1.05609666445079e-08,67,71,40,240,187,173,"Olfr91","olfactory receptor 91"
"104","ENSMUSG00000044170",0.386508927590256,6.23789414399668,13.1451161420766,0.000288269646647925,0.0453818786580019,1922,1644,1374,2344,2061,1749,"Olfr1384","olfactory receptor 1384"
"144","ENSMUSG00000096000",-5.60509442263731,-2.21051353370658,11.3908936409914,0.000738050166865874,0.101666410485774,16,4,0,0,0,0,"Olfr773","olfactory receptor 773"
"164","ENSMUSG00000096477",0.88330966574752,2.32227559689348,10.7552627759023,0.00103983201997069,0.127321654000856,105,86,71,142,184,135,"Olfr92","olfactory receptor 92"
"201","ENSMUSG00000075220",-5.41810984893198,-2.30292857127842,9.84629355442675,0.00170174284669708,0.187532061706018,15,3,0,0,0,0,"Olfr993","olfactory receptor 993"
"234","ENSMUSG00000096409",-2.24205885384215,-0.805269395482211,9.19863675827636,0.00242195428323027,0.225078348369899,21,25,13,8,6,0,"Olfr890","olfactory receptor 890"
"237","ENSMUSG00000060112",0.711235048069793,3.27034693191175,9.17685824139118,0.00245094390239454,0.225078348369899,205,181,156,296,388,191,"Olfr60","olfactory receptor 60"
"316","ENSMUSG00000043226",0.994517977291172,2.13897203753649,8.22228316398887,0.0041379106789047,0.350767505242537,67,72,66,168,214,57,"Olfr1009","olfactory receptor 1009"
"332","ENSMUSG00000095075",-1.82389875827415,-0.567071951031993,8.05664286327006,0.00453371132017294,0.356867848202184,33,16,18,15,4,2,"Olfr782","olfactory receptor 782"
"346","ENSMUSG00000107677",1.0725069956745,0.71360040234747,7.91997934276552,0.00488918306298006,0.359191982360268,40,25,13,72,45,35,"Olfr316","olfactory receptor 316"
"409","ENSMUSG00000055838",0.72454901413879,2.30728417265823,7.49207866669111,0.00619709804520322,0.426825127863372,54,120,105,102,169,159,"Olfr357","olfactory receptor 357"
"419","ENSMUSG00000070311",-2.83100333749385,-1.92244316053391,7.37103304349267,0.00662828454456977,0.429668798124464,12,8,4,2,0,1,"Olfr894","olfactory receptor 894"
"509","ENSMUSG00000094182",1.26737788966633,0.0908101282524232,6.89313619304838,0.00865273294828238,0.529739539389288,11,13,20,36,35,29,"Olfr937","olfactory receptor 937"
"543","ENSMUSG00000075068",0.301397336825741,7.19222701458062,6.77058696584356,0.00926723511151493,0.537499636467866,4207,3452,2339,4733,3780,3099,"Olfr140","olfactory receptor 140"
"587","ENSMUSG00000049528",-0.856438497966885,1.22928238611044,6.54380432106142,0.0105250039699295,0.579927718743115,81,64,73,34,53,30,"Olfr429","olfactory receptor 429"
"655","ENSMUSG00000057444",4.41904554155812,-2.87844254414906,6.25871867446817,0.0123583555236651,0.588351811788145,0,0,0,5,0,3,"Olfr915","olfactory receptor 915"
"685","ENSMUSG00000075427",0.810312568559052,2.16090322663402,6.19740661424203,0.0127937637720068,0.588351811788145,77,139,41,142,140,110,"Olfr288","olfactory receptor 288"
"711","ENSMUSG00000094755",-4.25415563714951,-2.95725325814248,6.1080253447457,0.0134569394718936,0.588351811788145,3,3,1,0,0,0,"Olfr1453","olfactory receptor 1453"
"719","ENSMUSG00000109813",2.40576860574251,-1.65166011899596,6.09216135851432,0.0135782887821614,0.588351811788145,1,6,0,10,13,5,"Olfr1279","olfactory receptor 1279"
"739","ENSMUSG00000061798",1.1948681250379,0.188184029610481,6.03652189862084,0.0140128648990866,0.588351811788145,23,16,10,27,50,30,"Olfr1204","olfactory receptor 1204"
"760","ENSMUSG00000067971",0.760427811721974,2.82702214787105,5.9882409954298,0.0144015564267018,0.588351811788145,160,201,58,262,197,161,"Olfr1321","olfactory receptor 1321"
