"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"15","ENSMUSG00000063350",2.40242555901939,2.52505107344876,23.8141546418331,1.06099364037727e-06,0.000917426899929996,34,85,39,115,297,345,"Olfr874","olfactory receptor 874"
"17","ENSMUSG00000049015",2.39695055639789,0.826965013795839,22.9473201887681,1.66502159696914e-06,0.000917426899929996,4,19,24,16,109,106,"Olfr1467","olfactory receptor 1467"
"21","ENSMUSG00000096409",2.55637187281415,0.699993263837953,19.567516236173,9.71062963376784e-06,0.00356703795213739,6,13,21,78,72,50,"Olfr890","olfactory receptor 890"
"37","ENSMUSG00000066750",1.84347525231015,1.61808513373511,15.4945056861878,8.27454193955365e-05,0.0227963630434703,28,41,38,53,122,211,"Olfr876","olfactory receptor 876"
"47","ENSMUSG00000060583",1.9960838696297,0.906560452736351,13.6079258655979,0.000225232595073584,0.0496412639542179,17,11,26,23,46,183,"Olfr881","olfactory receptor 881"
"59","ENSMUSG00000094612",1.56591767483955,3.47112936823334,12.1348370035937,0.000494885937452176,0.0908940505120497,127,216,147,362,371,539,"Olfr491","olfactory receptor 491"
"68","ENSMUSG00000095212",1.55704988908742,1.51861656571928,11.3131384771525,0.000769605781784627,0.121157938789523,17,34,63,25,99,235,"Olfr473","olfactory receptor 473"
"75","ENSMUSG00000092077",1.34657771937672,3.85913349357155,10.3339917158073,0.00130602449202148,0.179904873775959,184,230,296,357,524,762,"Olfr101","olfactory receptor 101"
"112","ENSMUSG00000096705",4.18474665874345,-2.11760374807869,8.45122651138311,0.00364797341250037,0.446674077841712,0,1,0,0,20,4,"Olfr1329","olfactory receptor 1329"
"175","ENSMUSG00000058628",1.38728340105952,0.619016504444232,7.1892989773856,0.00733396275442876,0.808202695538049,8,35,30,26,44,100,"Olfr875","olfactory receptor 875"
"206","ENSMUSG00000096000",5.05009159253528,-2.5169467587688,6.78458766171139,0.00919482671205721,0.822729390017912,0,0,0,0,16,0,"Olfr773","olfactory receptor 773"
"224","ENSMUSG00000042801",-1.31140415235945,0.433023081263541,6.55963301338739,0.0104317877667257,0.822729390017912,33,67,54,12,33,13,"Olfr769","olfactory receptor 769"
"227","ENSMUSG00000062629",2.26745647380858,-1.66400546069753,6.5462033833201,0.0105108210014252,0.822729390017912,2,3,2,11,7,14,"Olfr114","olfactory receptor 114"
"243","ENSMUSG00000046913",-2.07796667818963,-1.24073091681955,6.4242182179806,0.0112574455767395,0.822729390017912,9,18,21,1,7,3,"Olfr1451","olfactory receptor 1451"
"248","ENSMUSG00000095484",2.03670992015702,-1.17738031191074,6.34636413454066,0.0117622123665807,0.822729390017912,2,6,4,7,12,30,"Olfr1480","olfactory receptor 1480"
"261","ENSMUSG00000045479",-1.80723227030968,-0.569293067967742,6.2629747844708,0.0123287016867345,0.822729390017912,14,39,21,2,20,3,"Olfr459","olfactory receptor 459"
"283","ENSMUSG00000073893",1.30797872912263,3.66501266487587,6.13903518873739,0.0132229441744592,0.822729390017912,122,238,234,641,446,260,"Olfr472","olfactory receptor 472"
